 10 輸出貨物主要港品種別表（上位15位）,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,(単位：トン）,,,,,,,,,(単位：トン）,,,,
64,たばこ,-,12,-,-,-,15,-,-,64,たばこ,-,-,4,-,-,-,-,,,,
65,その他食料工業品,1,1,-,15,15,31,-,-,65,その他食料工業品,-,-,34,-,24,-,-,,,,
雑工業品,,"92,096","50,230","43,043","60,146","25,267","69,033","50,578","34,800",雑工業品,,"7,245","13,541","21,215","25,511","28,526","11,347","27,283",,,,
66,がん具,275,"1,362",272,"4,534",8,"1,472",177,163,66,がん具,-,17,484,"3,367",351,57,637,,,,
67,衣服、身廻品、はきもの,"6,872","3,800","5,475","6,495",318,"10,302","1,337",442,67,衣服、身廻品、はきもの,139,372,"6,492","4,291","1,832","1,403","11,848",,,,
68,文房具、運動娯楽用品、楽器,"14,926","7,112",933,"9,698","1,355","5,660","5,560",298,68,文房具、運動娯楽用品、楽器,321,"2,266","6,784","3,896","4,944",686,"1,585",,,,
69,家具装備品,"16,271","3,259","12,290","9,588","3,357","2,617","2,885",413,69,家具装備品,18,97,"1,611","4,574","3,113",844,"1,409",,,,
70,その他日用品,"6,057","10,792","4,694","8,330","3,936","9,482","5,731",292,70,その他日用品,"1,131","1,123",854,"2,773","8,813","2,003","2,044",,,,
71,ゴム製品,"6,118","21,543","10,736","9,719","16,090","32,910","34,266","1,098",71,ゴム製品,"5,618",996,"4,016","2,335","2,033","2,674","6,705",,,,
72,木製品,479,141,46,224,61,570,33,97,72,木製品,2,-,201,64,597,71,-,,,,
73,その他製造工業品,"41,098","2,221","8,597","11,558",142,"6,020",589,"31,997",73,その他製造工業品,16,"8,670",773,"4,211","6,843","3,609","3,055",,,,
特殊品,,"440,366","12,180","189,533","108,619","24,151","23,376","6,456","290,742",特殊品,,"16,772","152,833","62,779","61,948","20,929","8,523","33,895",,,,
74,金属くず,"1,691",172,90,"5,996",50,138,63,"5,300",74,金属くず,-,"49,415","25,509","4,756",27,398,-,,,,
75,再利用資材,"399,532",-,"162,043","61,454",-,-,-,"273,090",75,再利用資材,-,"73,416","19,422","35,447","8,105","1,679","13,797",,,,
76,動植物性製造飼肥料,32,529,-,"1,264",90,90,-,19,76,動植物性製造飼肥料,-,-,658,153,18,15,3,,,,
77,廃棄物,-,-,-,-,-,-,-,-,77,廃棄物,-,-,-,-,-,-,-,,,,
78,廃土砂,-,-,-,-,-,-,-,-,78,廃土砂,-,-,-,-,-,-,-,,,,
79,輸送用容器,"16,590","6,138","7,479","3,710","2,368","2,622","4,245",546,79,輸送用容器,709,"10,756","9,948","1,716","5,567","3,991","3,641",,,,
80,取合せ品,"22,521","5,341","19,921","36,195","21,643","20,526","2,148","11,787",80,取合せ品,"16,063","19,246","7,242","19,876","7,212","2,440","16,454",,,,
分類不能のもの,,-,-,-,-,-,-,-,-,分類不能のもの,,-,-,-,-,-,-,-,,,,
