"大分類","中分類","小分類","事業所数","従業者数[人]"
"E 製造業","13 家具・装備品製造業","131 家具製造業","23","409"
"E 製造業","13 家具・装備品製造業","132 宗教用具製造業","0","0"
"E 製造業","13 家具・装備品製造業","133 建具製造業","1","1"
"E 製造業","13 家具・装備品製造業","139 その他の家具・装備品製造業","9","52"
"E 製造業","14 パルプ・紙・紙加工品製造業","140 管理，補助的経済活動を行う事業所","1","257"
"E 製造業","14 パルプ・紙・紙加工品製造業","141 パルプ製造業","0","0"
"E 製造業","14 パルプ・紙・紙加工品製造業","142 紙製造業","2","13"
"E 製造業","14 パルプ・紙・紙加工品製造業","143 加工紙製造業","1","55"
"E 製造業","14 パルプ・紙・紙加工品製造業","144 紙製品製造業","3","16"
"E 製造業","14 パルプ・紙・紙加工品製造業","145 紙製容器製造業","6","156"
"E 製造業","14 パルプ・紙・紙加工品製造業","149 その他のパルプ・紙・紙加工品製造業","4","27"
"E 製造業","15 印刷・同関連業","150 管理，補助的経済活動を行う事業所","7","739"
"E 製造業","15 印刷・同関連業","151 印刷業","251","2885"
"E 製造業","15 印刷・同関連業","152 製版業","24","319"
"E 製造業","15 印刷・同関連業","153 製本業，印刷物加工業","24","101"
"E 製造業","15 印刷・同関連業","159 印刷関連サービス業","2","36"
"E 製造業","16 化学工業","160 管理，補助的経済活動を行う事業所","28","4139"
"E 製造業","16 化学工業","161 化学肥料製造業","0","0"
"E 製造業","16 化学工業","162 無機化学工業製品製造業","11","357"
"E 製造業","16 化学工業","163 有機化学工業製品製造業","11","2461"
"E 製造業","16 化学工業","164 油脂加工製品・石けん・合成洗剤・界面活性剤・塗料製造業","11","259"
"E 製造業","16 化学工業","165 医薬品製造業","22","2089"
"E 製造業","16 化学工業","166 化粧品・歯磨・その他の化粧用調整品製造業","25","704"
"E 製造業","16 化学工業","169 その他の化学工業","14","343"
"E 製造業","17 石油製品・石炭製品製造業","170 管理，補助的経済活動を行う事業所","2","578"
"E 製造業","17 石油製品・石炭製品製造業","171 石油精製業","0","0"
"E 製造業","17 石油製品・石炭製品製造業","172 潤滑油・グリース製造業（石油精製業によらないもの）","1","12"
"E 製造業","17 石油製品・石炭製品製造業","173 コークス製造業","0","0"
"E 製造業","17 石油製品・石炭製品製造業","174 舗装材料製造業","0","0"
"E 製造業","17 石油製品・石炭製品製造業","179 その他の石油製品・石炭製品製造業","0","0"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","180 管理，補助的経済活動を行う事業所","10","1124"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","181 プラスチック板・棒・管・継手・異形押出製品製造業","4","26"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","182 プラスチックフィルム・シート・床材・合成皮革製造業","2","15"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","183 工業用プラスチック製品製造業","7","189"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","184 発泡・強化プラスチック製品製造業","2","33"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","185 プラスチック成形材料製造業（廃プラスチックを含む）","0","0"
"E 製造業","18 プラスチック製品製造業（別掲を除く）","189 その他のプラスチック製品製造業","16","104"
"E 製造業","19 ゴム製品製造業","190 管理，補助的経済活動を行う事業所","3","314"
"E 製造業","19 ゴム製品製造業","191 タイヤ・チューブ製造業","1","875"
"E 製造業","19 ゴム製品製造業","192 ゴム製・プラスチック製履物・同附属品製造業","0","0"
"E 製造業","19 ゴム製品製造業","193 ゴムベルト・ゴムホース・工業用ゴム製品製造業","9","101"
"E 製造業","19 ゴム製品製造業","199 その他のゴム製品製造業","2","14"
"E 製造業","20 なめし革・同製品・毛皮製造業","200 管理，補助的経済活動を行う事業所","1","77"
"E 製造業","20 なめし革・同製品・毛皮製造業","201 なめし革製造業","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","202 工業用革製品製造業（手袋を除く）","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","203 革製履物用材料・同附属品製造業","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","204 革製履物製造業","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","205 革製手袋製造業","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","206 かばん製造業","1","5"
"E 製造業","20 なめし革・同製品・毛皮製造業","207 袋物製造業","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","208 毛皮製造業","0","0"
"E 製造業","20 なめし革・同製品・毛皮製造業","209 その他のなめし革製品製造業","0","0"
"E 製造業","21 窯業・土石製品製造業","210 管理，補助的経済活動を行う事業所","15","829"
"E 製造業","21 窯業・土石製品製造業","211 ガラス・同製品製造業","4","21"
"E 製造業","21 窯業・土石製品製造業","212 セメント・同製品製造業","7","163"
"E 製造業","21 窯業・土石製品製造業","213 建設用粘土製品製造業（陶磁器製を除く)","0","0"
"E 製造業","21 窯業・土石製品製造業","214 陶磁器・同関連製品製造業","2","5"
"E 製造業","21 窯業・土石製品製造業","215 耐火物製造業","1","80"
"E 製造業","21 窯業・土石製品製造業","216 炭素・黒鉛製品製造業","1","9"
"E 製造業","21 窯業・土石製品製造業","217 研磨材・同製品製造業","1","59"
"E 製造業","21 窯業・土石製品製造業","218 骨材・石工品等製造業","3","19"
"E 製造業","21 窯業・土石製品製造業","219 その他の窯業・土石製品製造業","0","0"
"E 製造業","22 鉄鋼業","220 管理，補助的経済活動を行う事業所","6","318"
"E 製造業","22 鉄鋼業","221 製鉄業","0","0"
"E 製造業","22 鉄鋼業","222 製鋼・製鋼圧延業","0","0"
"E 製造業","22 鉄鋼業","223 製鋼を行わない鋼材製造業（表面処理鋼材を除く）","3","2"
"E 製造業","22 鉄鋼業","224 表面処理鋼材製造業","0","0"
"E 製造業","22 鉄鋼業","225 鉄素形材製造業","2","124"
"E 製造業","22 鉄鋼業","229 その他の鉄鋼業","3","6"
"E 製造業","23 非鉄金属製造業","230 管理，補助的経済活動を行う事業所","4","648"
"E 製造業","23 非鉄金属製造業","231 非鉄金属第１次製錬・精製業","0","0"
"E 製造業","23 非鉄金属製造業","232 非鉄金属第２次製錬・精製業（非鉄金属合金製造業を含む）","1","16"
"E 製造業","23 非鉄金属製造業","233 非鉄金属・同合金圧延業（抽伸，押出しを含む）","1","1"
"E 製造業","23 非鉄金属製造業","234 電線・ケーブル製造業","1","3"
"E 製造業","23 非鉄金属製造業","235 非鉄金属素形材製造業","2","5"
"E 製造業","23 非鉄金属製造業","239 その他の非鉄金属製造業","2","7"
"E 製造業","24 金属製品製造業","240 管理，補助的経済活動を行う事業所","13","154"
"E 製造業","24 金属製品製造業","241 ブリキ缶・その他のめっき板等製品製造業","0","0"
"E 製造業","24 金属製品製造業","242 洋食器・刃物・手道具・金物類製造業","8","61"
"E 製造業","24 金属製品製造業","243 暖房・調理等装置，配管工事用附属品製造業","6","94"
"E 製造業","24 金属製品製造業","244 建設用・建築用金属製品製造業（製缶板金業を含む）","24","372"
"E 製造業","24 金属製品製造業","245 金属素形材製品製造業","6","34"
"E 製造業","24 金属製品製造業","246 金属被覆・彫刻業，熱処理業（ほうろう鉄器を除く）","8","46"
"E 製造業","24 金属製品製造業","247 金属線製品製造業（ねじ類を除く)","1","3"
"E 製造業","24 金属製品製造業","248 ボルト・ナット・リベット・小ねじ・木ねじ等製造業","8","16"
"E 製造業","24 金属製品製造業","249 その他の金属製品製造業","9","94"
"E 製造業","25 はん用機械器具製造業","250 管理，補助的経済活動を行う事業所","1","70"
"E 製造業","25 はん用機械器具製造業","251 ボイラ・原動機製造業","3","27"
"E 製造業","25 はん用機械器具製造業","252 ポンプ・圧縮機器製造業","6","178"
"E 製造業","25 はん用機械器具製造業","253 一般産業用機械・装置製造業","10","543"
"E 製造業","25 はん用機械器具製造業","259 その他のはん用機械・同部分品製造業","28","417"
"E 製造業","26 生産用機械器具製造業","260 管理，補助的経済活動を行う事業所","12","1595"
"E 製造業","26 生産用機械器具製造業","261 農業用機械製造業（農業用器具を除く）","0","0"
"E 製造業","26 生産用機械器具製造業","262 建設機械・鉱山機械製造業","5","45"
"E 製造業","26 生産用機械器具製造業","263 繊維機械製造業","0","0"
"E 製造業","26 生産用機械器具製造業","264 生活関連産業用機械製造業","6","94"
"E 製造業","26 生産用機械器具製造業","265 基礎素材産業用機械製造業","10","317"
"E 製造業","26 生産用機械器具製造業","266 金属加工機械製造業","13","110"
"E 製造業","26 生産用機械器具製造業","267 半導体・フラットパネルディスプレイ製造装置製造業","7","888"
"E 製造業","26 生産用機械器具製造業","269 その他の生産用機械・同部分品製造業","14","214"
"E 製造業","27 業務用機械器具製造業","270 管理，補助的経済活動を行う事業所","8","91"
"E 製造業","27 業務用機械器具製造業","271 事務用機械器具製造業","3","18"
"E 製造業","27 業務用機械器具製造業","272 サービス用・娯楽用機械器具製造業","9","383"
"E 製造業","27 業務用機械器具製造業","273 計量器・測定器・分析機器・試験機・測量機械器具・理化学機械器具製造業","8","85"
"E 製造業","27 業務用機械器具製造業","274 医療用機械器具・医療用品製造業","10","636"
"E 製造業","27 業務用機械器具製造業","275 光学機械器具・レンズ製造業","7","49"
"E 製造業","27 業務用機械器具製造業","276 武器製造業","0","0"
"E 製造業","28 電子部品・デバイス・電子回路製造業","280 管理，補助的経済活動を行う事業所","4","102"
"E 製造業","28 電子部品・デバイス・電子回路製造業","281 電子デバイス製造業","5","80"
"E 製造業","28 電子部品・デバイス・電子回路製造業","282 電子部品製造業","4","574"
"E 製造業","28 電子部品・デバイス・電子回路製造業","283 記録メディア製造業","3","98"
"E 製造業","28 電子部品・デバイス・電子回路製造業","284 電子回路製造業","3","21"
"E 製造業","28 電子部品・デバイス・電子回路製造業","285 ユニット部品製造業","2","256"
"E 製造業","28 電子部品・デバイス・電子回路製造業","289 その他の電子部品・デバイス・電子回路製造業","11","99"
"E 製造業","29 電気機械器具製造業","290 管理，補助的経済活動を行う事業所","18","2319"
"E 製造業","29 電気機械器具製造業","291 発電用・送電用・配電用電気機械器具製造業","20","3305"
"E 製造業","29 電気機械器具製造業","292 産業用電気機械器具製造業","4","448"
"E 製造業","29 電気機械器具製造業","293 民生用電気機械器具製造業","4","22"
"E 製造業","29 電気機械器具製造業","294 電球・電気照明器具製造業","13","81"
"E 製造業","29 電気機械器具製造業","295 電池製造業","2","17"
"E 製造業","29 電気機械器具製造業","296 電子応用装置製造業","4","124"
"E 製造業","29 電気機械器具製造業","297 電気計測器製造業","4","25"
"E 製造業","29 電気機械器具製造業","299 その他の電気機械器具製造業","6","103"
"E 製造業","30 情報通信機械器具製造業","300 管理，補助的経済活動を行う事業所","3","151"
"E 製造業","30 情報通信機械器具製造業","301 通信機械器具・同関連機械器具製造業","10","535"
"E 製造業","30 情報通信機械器具製造業","302 映像・音響機械器具製造業","6","50"
"E 製造業","30 情報通信機械器具製造業","303 電子計算機・同附属装置製造業","11","6746"
"E 製造業","31 輸送用機械器具製造業","310 管理，補助的経済活動を行う事業所","13","2491"
"E 製造業","31 輸送用機械器具製造業","311 自動車・同附属品製造業","9","1982"
"E 製造業","31 輸送用機械器具製造業","312 鉄道車両・同部分品製造業","3","21"
"E 製造業","31 輸送用機械器具製造業","313 船舶製造・修理業，舶用機関製造業","10","655"
"E 製造業","31 輸送用機械器具製造業","314 航空機・同附属品製造業","3","34"
"E 製造業","31 輸送用機械器具製造業","315 産業用運搬車両・同部分品・附属品製造業","1","3"
"E 製造業","31 輸送用機械器具製造業","319 その他の輸送用機械器具製造業","0","0"
"E 製造業","32 その他の製造業","320 管理，補助的経済活動を行う事業所","7","373"
"E 製造業","32 その他の製造業","321 貴金属・宝石製品製造業","9","33"
"E 製造業","32 その他の製造業","322 装身具・装飾品・ボタン・同関連品製造業（貴金属・宝石製を除く）","5","28"
"E 製造業","32 その他の製造業","323 時計・同部分品製造業","2","7"
"E 製造業","32 その他の製造業","324 楽器製造業","4","10"
"E 製造業","32 その他の製造業","32A がん具製造業","2","38"
"E 製造業","32 その他の製造業","32B 運動用具製造業","1","11"
"E 製造業","32 その他の製造業","326 ペン・鉛筆・絵画用品・その他の事務用品製造業","3","45"
"E 製造業","32 その他の製造業","327 漆器製造業","0","0"
"E 製造業","32 その他の製造業","328 畳等生活雑貨製品製造業","3","77"
"E 製造業","32 その他の製造業","32C 情報記録物製造業（新聞，書籍等の印刷物を除く）","11","144"
"E 製造業","32 その他の製造業","32D 他に分類されないその他の製造業","40","541"
"F 電気・ガス・熱供給・水道業","33 電気業","330 管理，補助的経済活動を行う事業所","11","1267"
"F 電気・ガス・熱供給・水道業","33 電気業","331 電気業","18","320"
"F 電気・ガス・熱供給・水道業","34 ガス業","340 管理，補助的経済活動を行う事業所","5","3613"
"F 電気・ガス・熱供給・水道業","34 ガス業","341 ガス業","0","0"
"F 電気・ガス・熱供給・水道業","35 熱供給業","350 管理，補助的経済活動を行う事業所","0","0"
"F 電気・ガス・熱供給・水道業","35 熱供給業","351 熱供給業","17","209"
"F 電気・ガス・熱供給・水道業","36 水道業","360 管理，補助的経済活動を行う事業所","0","0"
"F 電気・ガス・熱供給・水道業","36 水道業","361 上水道業","3","35"
"F 電気・ガス・熱供給・水道業","36 水道業","362 工業用水道業","0","0"
"F 電気・ガス・熱供給・水道業","36 水道業","363 下水道業","7","285"
"G 情報通信業","37 通信業","370 管理，補助的経済活動を行う事業所","0","0"
"G 情報通信業","37 通信業","371 固定電気通信業","50","13582"
"G 情報通信業","37 通信業","372 移動電気通信業","13","5104"
"G 情報通信業","37 通信業","373 電気通信に附帯するサービス業","33","1307"
"G 情報通信業","38 放送業","380 管理，補助的経済活動を行う事業所","0","0"
"G 情報通信業","38 放送業","381 公共放送業（有線放送業を除く）","0","0"
"G 情報通信業","38 放送業","382 民間放送業（有線放送業を除く）","50","9321"
"G 情報通信業","38 放送業","383 有線放送業","6","820"
"G 情報通信業","39 情報サービス業","390 管理，補助的経済活動を行う事業所","6","58"
"G 情報通信業","39 情報サービス業","391 ソフトウェア業","1174","88465"
"G 情報通信業","39 情報サービス業","39A 情報処理サービス業","136","7609"
"G 情報通信業","39 情報サービス業","39B 情報提供サービス業","71","2294"
"G 情報通信業","39 情報サービス業","39C その他の情報処理・提供サービス業","120","4726"
"G 情報通信業","40 インターネット附随サービス業","400 管理，補助的経済活動を行う事業所","0","0"
"G 情報通信業","40 インターネット附随サービス業","401 インターネット附随サービス業","297","18044"
"G 情報通信業","41 映像・音声・文字情報制作業","410 管理，補助的経済活動を行う事業所","2","8"
"G 情報通信業","41 映像・音声・文字情報制作業","411 映像情報制作・配給業","478","12488"
"G 情報通信業","41 映像・音声・文字情報制作業","412 音声情報制作業","78","2656"
"G 情報通信業","41 映像・音声・文字情報制作業","413 新聞業","48","1617"
"G 情報通信業","41 映像・音声・文字情報制作業","414 出版業","218","5063"
"G 情報通信業","41 映像・音声・文字情報制作業","415 広告制作業","223","2764"
"G 情報通信業","41 映像・音声・文字情報制作業","416 映像・音声・文字情報制作に附帯するサービス業","182","4942"
"H 運輸業，郵便業","42 鉄道業","420 管理，補助的経済活動を行う事業所","0","0"
"H 運輸業，郵便業","42 鉄道業","421 鉄道業","43","4895"
"H 運輸業，郵便業","43 道路旅客運送業","430 管理，補助的経済活動を行う事業所","0","0"
"H 運輸業，郵便業","43 道路旅客運送業","431 一般乗合旅客自動車運送業","11","3867"
"H 運輸業，郵便業","43 道路旅客運送業","432 一般乗用旅客自動車運送業","24","1000"
"H 運輸業，郵便業","43 道路旅客運送業","433 一般貸切旅客自動車運送業","2","240"
"H 運輸業，郵便業","43 道路旅客運送業","439 その他の道路旅客運送業","2","27"
"H 運輸業，郵便業","44 道路貨物運送業","440 管理，補助的経済活動を行う事業所","14","394"
"H 運輸業，郵便業","44 道路貨物運送業","441 一般貨物自動車運送業","268","7672"
"H 運輸業，郵便業","44 道路貨物運送業","442 特定貨物自動車運送業","1","2"
"H 運輸業，郵便業","44 道路貨物運送業","443 貨物軽自動車運送業","5","54"
"H 運輸業，郵便業","44 道路貨物運送業","444 集配利用運送業","42","1269"
"H 運輸業，郵便業","44 道路貨物運送業","449 その他の道路貨物運送業","4","259"
"H 運輸業，郵便業","45 水運業","450 管理，補助的経済活動を行う事業所","3","43"
"H 運輸業，郵便業","45 水運業","451 外航海運業","41","2033"
"H 運輸業，郵便業","45 水運業","452 沿海海運業","49","1441"
"H 運輸業，郵便業","45 水運業","453 内陸水運業","8","217"
"H 運輸業，郵便業","45 水運業","454 船舶貸渡業","26","334"
"H 運輸業，郵便業","46 航空運輸業","460 管理，補助的経済活動を行う事業所","2","232"
"H 運輸業，郵便業","46 航空運輸業","461 航空運送業","38","2837"
"H 運輸業，郵便業","46 航空運輸業","462 航空機使用業（航空運送業を除く）","1","1"
"H 運輸業，郵便業","47 倉庫業","470 管理，補助的経済活動を行う事業所","5","386"
"H 運輸業，郵便業","47 倉庫業","471 倉庫業（冷蔵倉庫業を除く）","72","1603"
"H 運輸業，郵便業","47 倉庫業","472 冷蔵倉庫業","11","277"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","480 管理，補助的経済活動を行う事業所","13","367"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","481 港湾運送業","63","2272"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","482 貨物運送取扱業（集配利用運送業を除く）","77","2445"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","483 運送代理店","49","1559"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","484 こん包業","17","328"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","485 運輸施設提供業","12","580"
"H 運輸業，郵便業","48 運輸に附帯するサービス業","489 その他の運輸に附帯するサービス業","150","3082"
"H 運輸業，郵便業","49 郵便業（信書便事業を含む）","490 管理，補助的経済活動を行う事業所","0","0"
"H 運輸業，郵便業","49 郵便業（信書便事業を含む）","491 郵便業（信書便事業を含む）","2","957"
"I 卸売業，小売業","50 各種商品卸売業","500 管理，補助的経済活動を行う事業所","1","83"
"I 卸売業，小売業","50 各種商品卸売業","50A 各種商品卸売業（従業者が常時100人以上のもの）","3","1070"
"I 卸売業，小売業","50 各種商品卸売業","50B その他の各種商品卸売業","21","528"
"I 卸売業，小売業","51 繊維・衣服等卸売業","510 管理，補助的経済活動を行う事業所","4","17"
"I 卸売業，小売業","51 繊維・衣服等卸売業","511 繊維品卸売業（衣服，身の回り品を除く）","39","847"
"I 卸売業，小売業","51 繊維・衣服等卸売業","512 衣服卸売業","158","6140"
"I 卸売業，小売業","51 繊維・衣服等卸売業","513 身の回り品卸売業","118","3712"
"I 卸売業，小売業","52 飲食料品卸売業","520 管理，補助的経済活動を行う事業所","17","514"
"I 卸売業，小売業","52 飲食料品卸売業","52A 米穀類卸売業","19","495"
"I 卸売業，小売業","52 飲食料品卸売業","52B 野菜・果実卸売業","42","305"
"I 卸売業，小売業","52 飲食料品卸売業","52C 食肉卸売業","106","1993"
"I 卸売業，小売業","52 飲食料品卸売業","52D 生鮮魚介卸売業","42","1558"
"I 卸売業，小売業","52 飲食料品卸売業","52E その他の農畜産物・水産物卸売業","16","335"
"I 卸売業，小売業","52 飲食料品卸売業","522 食料・飲料卸売業","419","11072"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","530 管理，補助的経済活動を行う事業所","10","321"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","531 建築材料卸売業","193","2648"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","532 化学製品卸売業","296","12617"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","533 石油・鉱物卸売業","126","7717"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","534 鉄鋼製品卸売業","120","6237"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","535 非鉄金属卸売業","79","2383"
"I 卸売業，小売業","53 建築材料，鉱物・金属材料等卸売業","536 再生資源卸売業","30","279"
"I 卸売業，小売業","54 機械器具卸売業","540 管理，補助的経済活動を行う事業所","22","15064"
"I 卸売業，小売業","54 機械器具卸売業","541 産業機械器具卸売業","511","17762"
"I 卸売業，小売業","54 機械器具卸売業","542 自動車卸売業","136","5319"
"I 卸売業，小売業","54 機械器具卸売業","543 電気機械器具卸売業","566","40022"
"I 卸売業，小売業","54 機械器具卸売業","549 その他の機械器具卸売業","244","7052"
"I 卸売業，小売業","55 その他の卸売業","550 管理，補助的経済活動を行う事業所","11","101"
"I 卸売業，小売業","55 その他の卸売業","551 家具・建具・じゅう器等卸売業","192","3507"
"I 卸売業，小売業","55 その他の卸売業","552 医薬品・化粧品等卸売業","180","12104"
"I 卸売業，小売業","55 その他の卸売業","553 紙・紙製品卸売業","77","1272"
"I 卸売業，小売業","55 その他の卸売業","55A 代理商，仲立業","43","502"
"I 卸売業，小売業","55 その他の卸売業","55B 他に分類されないその他の卸売業","481","12654"
"I 卸売業，小売業","56 各種商品小売業","560 管理，補助的経済活動を行う事業所","0","0"
"I 卸売業，小売業","56 各種商品小売業","561 百貨店，総合スーパー","1","79"
"I 卸売業，小売業","56 各種商品小売業","569 その他の各種商品小売業（従業者が常時50人未満のもの）","5","68"
"I 卸売業，小売業","57 織物・衣服・身の回り品小売業","570 管理，補助的経済活動を行う事業所","13","485"
"I 卸売業，小売業","57 織物・衣服・身の回り品小売業","571 呉服・服地・寝具小売業","41","204"
"I 卸売業，小売業","57 織物・衣服・身の回り品小売業","572 男子服小売業","127","1119"
