 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,971",822,"11,544","3,825",353,822,"1,638","3,724","1,618",-,"9,906",101
,31.5%,30.1%,36.4%,34.8%,30.4%,30.1%,25.7%,33.9%,31.8%,-,39.0%,3366.7%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"128,818","27,413","824,379","169,174","34,097","27,203","224,973","167,845","94,721",210,"599,406","1,329"
,103.6%,121.1%,105.9%,131.8%,94.0%,122.8%,102.4%,132.6%,107.5%,43.6%,107.3%,73.3%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"10,104","3,843","76,421","34,849","2,934","3,775","21,916","34,383","7,170",68,"54,505",466
,85.4%,78.1%,93.9%,112.1%,87.5%,78.1%,93.4%,113.8%,84.6%,78.2%,94.1%,53.3%
中国(香港含む),"74,669","51,706","502,906","337,285","12,006","51,605","86,106","336,403","62,663",101,"416,800",882
,106.5%,131.7%,93.7%,102.3%,75.2%,131.8%,82.4%,102.5%,115.8%,96.2%,96.4%,66.3%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"26,563","17,149","161,661","125,931","12,765","15,331","75,506","111,930","13,798","1,818","86,155","14,001"
,118.6%,77.8%,96.7%,82.5%,110.8%,75.6%,81.8%,80.1%,126.9%,102.4%,115.2%,108.1%
内航定期計,"21,962","3,589","132,018","32,209","10,012","1,832","61,152","18,361","11,950","1,757","70,866","13,848"
,121.3%,64.3%,107.8%,102.6%,111.3%,48.0%,97.4%,92.7%,131.0%,99.5%,118.8%,119.7%
北海道,"8,211",438,"44,938","2,014","4,060",434,"23,050","1,902","4,151",4,"21,888",112
,142.9%,730.0%,109.8%,149.7%,132.5%,-,107.1%,469.6%,154.8%,6.7%,112.7%,11.9%
東北,"3,682","1,139","23,056","5,883","1,743","1,051","10,869","5,419","1,939",88,"12,187",464
,92.9%,85.6%,84.2%,75.5%,105.0%,84.0%,81.5%,79.1%,84.2%,110.0%,86.9%,49.1%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,4.8%,39.1%,-,-,-,69.3%,-,-,23.8%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"2,210",271,"16,586","7,679",387,232,"2,922","7,601","1,823",39,"13,664",78
,138.3%,13.7%,149.8%,86.7%,124.8%,11.7%,95.2%,93.1%,141.5%,1950.0%,170.7%,11.4%
近畿,"1,301",111,"7,662","3,309",76,94,571,"3,182","1,225",17,"7,091",127
,155.4%,19.8%,149.1%,78.2%,108.6%,17.4%,112.6%,80.4%,159.7%,89.5%,153.1%,46.4%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"3,427",99,"18,754",385,"1,259",21,"7,507",78,"2,168",78,"11,247",307
,123.5%,91.7%,111.7%,59.9%,96.1%,91.3%,94.6%,34.7%,148.0%,91.8%,127.1%,73.4%
沖縄,"3,131","1,531","20,671","12,799","2,487",-,"16,011",39,644,"1,531","4,660","12,760"
,104.7%,100.8%,102.2%,157.1%,102.1%,-,101.9%,-,116.2%,100.8%,103.2%,156.6%
内航不定期,"4,601","13,560","29,643","93,722","2,753","13,499","14,354","93,569","1,848",61,"15,289",153
,107.5%,82.4%,66.3%,77.3%,109.0%,82.0%,48.6%,78.1%,105.3%,610.0%,100.8%,11.1%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
