建物番号,建物名称,施設形態,建築年度(和暦),建築年度(西暦),築年数,延床面積,構造,規模,令和元年度-建-合計,令和元年度-事-合計,令和元年度-人件費（合計）,コード,施設名称,用途別面積,【用途中分類】,建物所有者
2,目黒区防災センター,複合,H9,1997,22,"3,656.21",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,0 ,0 ,0 ,C011,中央地区備蓄倉庫,402.31,01 庁舎等,目黒区
6,中央地区五本木二丁目防災備蓄倉庫,単独,H22,2010,9,33.30,S（鉄骨造）,地上1階,"26,202 ",0 ,0 ,C012,中央地区五本木二丁目防災備蓄倉庫,33.3,01 庁舎等,目黒区
140,南部地区センター,複合,S56,1981,38,"4,655.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,0 ,0 ,0 ,C013,南部地区備蓄倉庫,316.89,01 庁舎等,目黒区
120,宮前小学校,複合,S59,1984,35,"6,326.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,0 ,0 ,0 ,C014,西部地区備蓄倉庫,-,01 庁舎等,目黒区
148,めぐろ区民キャンパス,複合,H11,1999,20,"25,347.83",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,0 ,0 ,0 ,C015,西部地区応急対策資機材等倉庫,350.02,01 庁舎等,目黒区
7,目黒区三田防災街づくり会館,単独,H15,2003,16,320.70,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"3,024,590 ",0 ,0 ,C016,目黒区三田防災街づくり会館,320.7,01 庁舎等,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,0 ,0 ,0 ,C017,東部地区三田フレンズ備蓄倉庫,84.46,01 庁舎等,目黒区
8,東部地区三田二丁目備蓄倉庫,単独,S54,1979,40,19.44,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上1階,"4,688 ",0 ,0 ,C018,東部地区三田二丁目備蓄倉庫,19.44,01 庁舎等,目黒区
9,北部地区大坂橋下備蓄倉庫,単独,S48,1973,46,26.56,ＣＢ(ｺﾝｸﾘｰﾄﾌﾞﾛｯｸ造),地上1階,"20,868 ",0 ,0 ,C019,北部地区大坂橋下備蓄倉庫,26.56,01 庁舎等,目黒区
121,東山小学校,複合,H27,2015,4,"14,577.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,0 ,0 ,0 ,C020,東山小学校内防災備蓄倉庫,53.74,01 庁舎等,目黒区
-,（借上建物）,-,R元年度,2019,0,201.56,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上１階,"17,846 ",0 ,0 ,C021,中央地区目黒中央の家備蓄倉庫,201.56,01 庁舎等,民間
10,北部地区サービス事務所,複合,H24,2012,7,"2,162.58",RC（鉄筋ｺﾝｸﾘｰﾄ造）,クロスエアタワー9階,"39,047,124 ","2,348,517 ","91,610,551 ",F001,北部地区サービス事務所,989.31,01 庁舎等,目黒区
1,目黒区総合庁舎,複合,S41,1966,53,"48,075.27",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下3階,0 ,"86,905,136 ","8,091,367 ",F002,東部地区サービス事務所,-,01 庁舎等,目黒区
-,（借上建物）,-,H元年度,1989,30,895.23,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"33,757,588 ","7,137,508 ","89,063,070 ",F003,中央地区サービス事務所,537.05,01 庁舎等,民間
103,碑小学校,複合,H19,2007,12,"9,997.03",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"4,446,815 ","1,825,570 ","95,427,863 ",F004,南部地区サービス事務所,533.75,01 庁舎等,目黒区
11,西部地区サービス事務所,複合,H10,1998,21,"1,189.60",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"7,922,099 ","9,442,231 ","140,586,873 ",F005,西部地区サービス事務所,639.96,01 庁舎等,目黒区
-,（借上建物）,-,H13,2001,18,95.67,S（鉄骨造）,地上17階・地下4階,"13,631,498 ","291,849 ","26,585,600 ",F008,目黒駅行政サービス窓口,95.67,01 庁舎等,民間
12,碑文谷保健センター,単独,S60,1985,34,"3,094.74",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"58,950,705 ","76,026,533 ","236,047,382 ",K001,碑文谷保健センター,"3,094.74",01 庁舎等,目黒区
13,目黒土木公園事務所,複合,S53,1978,41,"1,037.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"4,134,325 ","410,693,407 ","154,363,688 ",N001,目黒土木公園事務所,472.56,01 庁舎等,目黒区
27,碑住区センター,複合,S53,1978,41,"1,251.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"938,519 ","410,693,407 ","111,567,360 ",N002,碑文谷土木公園事務所,563.55,01 庁舎等,目黒区
14,中目黒スクエア,複合,H3,1991,28,"4,911.33",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下2階,"70,430,034 ","9,399,278 ","22,217,419 ",B001,男女平等・共同参画センター,"1,637.83",02 男女平等・共同参画センター,目黒区
148,めぐろ区民キャンパス,複合,H11,1999,20,"25,347.83",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"76,547 ","19,249,654 ",0 ,E002,セレモニー目黒,"1,746.86",03 区民斎場,目黒区
15,駒場住区センター,単独,S63,1988,31,543.79,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"15,765,559 ","252,436 ",0 ,F010,駒場住区会議室,531.04,04 住区会議室,目黒区
16,菅刈住区センター,複合,S55,1980,39,"1,535.37",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"22,655,491 ","576,838 ",0 ,F011,菅刈住区会議室,"1,145.72",04 住区会議室,目黒区
121,東山小学校,複合,H27,2015,4,"14,577.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"15,550,766 ","475,195 ",0 ,F012,東山住区会議室,551.30,04 住区会議室,目黒区
17,烏森住区センター,複合,H2,1990,29,"1,149.77",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下2階,"26,240,173 ","422,190 ",0 ,F013,烏森住区会議室,465.02,04 住区会議室,目黒区
14,中目黒スクエア,複合,H3,1991,28,"4,911.33",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下2階,"9,405,255 ","371,170 ",0 ,F014,中目黒住区会議室,"1,005.23",04 住区会議室,目黒区
83,田道ふれあい館,複合,H4,1992,27,"6,282.22",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下2階,"10,801,629 ","158,114 ",0 ,F015,田道住区会議室,364.14,04 住区会議室,目黒区
18,田道住区センター三田分室,複合,S59,1984,35,732.85,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"24,371,645 ","324,946 ",0 ,F016,田道住区三田分室住区会議室,"1,108.23",04 住区会議室,目黒区
19,下目黒住区センター,複合（民間併設）,H2,1990,29,"1,385.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"20,394,916 ","269,474 ",0 ,F017,下目黒住区会議室,"1,032.23",04 住区会議室,目黒区
20,不動住区センター,複合,S52,1977,42,592.86,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"14,852,812 ","164,586 ",0 ,F018,不動住区会議室,318.53,04 住区会議室,目黒区
21,上目黒住区センター,複合,S54,1979,40,"2,353.91",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"32,318,894 ","916,899 ",0 ,F019,上目黒住区会議室,"1,489.88",04 住区会議室,目黒区
22,油面住区センター,複合,S61,1986,33,"1,047.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"21,605,488 ","192,088 ",0 ,F020,油面住区会議室,559.99,04 住区会議室,目黒区
23,五本木住区センター,複合,S58,1983,36,968.08,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"19,748,374 ","701,061 ",0 ,F021,五本木住区会議室,673.54,04 住区会議室,目黒区
24,鷹番住区センター,複合,H7,1995,24,"1,098.17",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"21,871,940 ","768,314 ",0 ,F022,鷹番住区会議室,895.32,04 住区会議室,目黒区
25,月光原住区センター,複合,S55,1980,39,646.39,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"15,033,324 ","322,758 ",0 ,F023,月光原住区会議室,413.22,04 住区会議室,目黒区
26,向原住区センター,複合,S59,1984,35,"1,304.02",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"23,517,364 ","748,845 ",0 ,F024,向原住区会議室,620.10,04 住区会議室,目黒区
27,碑住区センター,複合,S53,1978,41,"1,251.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"18,265,979 ","504,236 ",0 ,F025,碑住区会議室,473.17,04 住区会議室,目黒区
28,原町住区センター,複合,S62,1987,32,"1,057.53",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"18,786,233 ","418,362 ",0 ,F026,原町住区会議室,588.79,04 住区会議室,目黒区
29,大岡山東住区センター,複合,S56,1981,38,678.19,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"17,441,243 ","418,637 ",0 ,F027,大岡山東住区会議室,511.39,04 住区会議室,目黒区
30,大岡山西住区センター,単独,S57,1982,37,552.97,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"14,577,371 ","246,400 ",0 ,F028,大岡山西住区会議室,535.58,04 住区会議室,目黒区
119,中根小学校,複合,S45,1970,49,"7,962.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"21,076,226 ","385,467 ",0 ,F029,中根住区会議室,"1,009.78",04 住区会議室,目黒区
31,自由が丘住区センター,単独,S57,1982,37,384.84,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"15,949,875 ","287,353 ",0 ,F030,自由が丘住区会議室,375.01,04 住区会議室,目黒区
32,自由が丘住区センター宮前分室,複合,S59,1984,35,453.60,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"14,469,298 ","217,719 ",0 ,F031,自由が丘住区宮前分室住区会議室,356.86,04 住区会議室,目黒区
33,八雲住区センター,複合,H9,1997,22,"1,610.63",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"134,874,746 ","441,109 ",0 ,F032,八雲住区会議室,901.67,04 住区会議室,目黒区
34,東根住区センター,複合,S59,1984,35,"2,118.17",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"20,556,280 ","677,907 ",0 ,F033,東根住区会議室,863.46,04 住区会議室,目黒区
35,八雲住区中根一丁目会議室,単独（民間併設）,S50,1975,44,443.47,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"8,208,184 ","3,310 ",0 ,F034,八雲住区中根一丁目会議室,210.37,04 住区会議室,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,0 ,"4,185,600 ",0 ,G001,勤労福祉会館,"1,407.87",05 中小企業センター等,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,"263,692,865 ","49,433,650 ","24,975,404 ",G002,中小企業センター,"6,286.67",05 中小企業センター等,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,0 ,"5,413,156 ","71,480,796 ",G003,消費生活センター,753.49,05 中小企業センター等,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"228,000 ",0 ,0 ,G005,三田地区街づくり活動室,240.69,05 中小企業センター等,目黒区
37,区営住宅上目黒四丁目アパート,単独,S51,1976,43,"3,263.52",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"10,509,271 ","411,868 ",0 ,P001,区営住宅上目黒四丁目アパート,"3,263.52",06 居住施設,目黒区
38,区営住宅中町一丁目アパート,単独,S54,1979,40,"1,840.21",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"4,334,022 ","274,578 ",0 ,P002,区営住宅中町一丁目アパート,"1,840.21",06 居住施設,目黒区
39,区営住宅東が丘一丁目アパート,単独,S61,1986,33,"1,597.26",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"3,759,695 ","164,768 ",0 ,P003,区営住宅東が丘一丁目アパート,"1,597.26",06 居住施設,目黒区
40,区営住宅碑文谷四丁目アパート,単独,S51,1976,43,"1,305.67",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"3,075,465 ","192,194 ",0 ,P004,区営住宅碑文谷四丁目アパート,"1,305.67",06 居住施設,目黒区
41,区営住宅八雲五丁目アパート,単独,S56,1981,38,"2,417.95",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"23,723,650 ","302,057 ",0 ,P005,区営住宅八雲五丁目アパート,"2,417.95",06 居住施設,目黒区
42,区営住宅下目黒五丁目アパート,単独,S61,1986,33,"1,026.77",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"2,416,261 ","100,668 ",0 ,P006,区営住宅下目黒五丁目アパート,"1,026.77",06 居住施設,目黒区
43,区営清水町アパート,複合,H24,2012,7,"4,531.93",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"42,383,224 ","594,920 ",0 ,P007,区営住宅清水町アパート,"3,482.14",06 居住施設,目黒区
44,区営住宅南一丁目アパート,単独,S45,1970,49,"3,916.58",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"12,349,707 ","823,735 ",0 ,P008,区営住宅南一丁目アパート,"3,916.58",06 居住施設,目黒区
45,区営住宅青葉台二丁目アパート,単独,S59,1984,35,"2,122.95",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"29,352,997 ","219,674 ",0 ,P009,区営住宅青葉台二丁目アパート,"2,122.95",06 居住施設,目黒区
46,区営住宅目黒本町四丁目アパート,単独,H16,2004,15,"1,303.84",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"11,815,284 ","183,052 ",0 ,P010,区営住宅目黒本町四丁目アパート,"1,303.84",06 居住施設,目黒区
47,区営住宅青葉台一丁目アパート,単独,H21,2009,10,"4,391.13",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"10,507,247 ","732,209 ",0 ,P011,区営住宅青葉台一丁目アパート,"4,391.13",06 居住施設,目黒区
48,区営住宅上目黒一丁目アパート,単独,H21,2009,10,"3,923.62",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上13階・地下2階,"15,271,978 ","576,636 ",0 ,P012,区営住宅上目黒一丁目アパート,"3,923.62",06 居住施設,目黒区
49,区営住宅東が丘一丁目第２アパート,単独,S63,1988,31,"3,913.73",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"10,200,302 ","439,347 ",0 ,P013,区営住宅東が丘一丁目第２アパート,"3,913.73",06 居住施設,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"807,353 ","54,905 ",0 ,P014,区営住宅三田一丁目アパート,342.68,06 居住施設,目黒区
50,区営住宅碑文谷アパート,単独,H27,2015,4,"1,924.71",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"4,535,111 ","338,679 ",0 ,P015,区営住宅碑文谷アパート,"1,924.71",06 居住施設,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"1,158,336 ",606 ,0 ,P021,区民住宅三田一丁目住宅,257.08,06 居住施設,目黒区
81,ひがしがおかホーム,複合,H6,1994,25,"5,771.81",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"2,016,940 ","48,955 ",0 ,P022,区民住宅東が丘一丁目住宅,405.00,06 居住施設,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"1,234,989 ",0 ,0 ,P023,三田地区整備事業住宅,"1,351.89",06 居住施設,目黒区
51,従前居住者用住宅ホーム月光原,単独,H12,2000,19,384.43,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"757,893 ",0 ,0 ,P025,従前居住者用住宅ホーム月光原,384.43,06 居住施設,目黒区
11,西部地区サービス事務所,複合,H10,1998,21,"1,189.60",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"1,825,716 ","1,200,000 ",0 ,P026,高齢者福祉住宅コーポ柿の木坂,549.64,06 居住施設,目黒区
52,高齢者福祉住宅コーポ中目黒,単独,H9,1997,22,"1,631.23",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階・地下1階,"6,383,236 ","1,200,000 ",0 ,P027,高齢者福祉住宅コーポ中目黒,"1,631.23",06 居住施設,目黒区
152,三田フレンズ,複合,H6,1994,25,"5,294.46",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上6階・地下2階,"693,784 ","1,200,000 ",0 ,P028,高齢者福祉住宅コーポ三田,684.67,06 居住施設,目黒区
53,高齢者福祉住宅コーポ目黒,単独,H5,1993,26,529.31,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"3,135,260 ","1,851,428 ",0 ,P029,高齢者福祉住宅コーポ目黒,529.31,06 居住施設,目黒区
54,高齢者福祉住宅コーポ目黒本町,単独（民間併設）,H4,1992,27,"1,047.49",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階・地下1階,"5,425,618 ","1,200,000 ",0 ,P030,高齢者福祉住宅コーポ目黒本町,823.07,06 居住施設,目黒区
55,高齢者福祉住宅コーポ中町,単独,H3,1991,28,653.93,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階・地下1階,"2,297,619 ","1,135,660 ",0 ,P031,高齢者福祉住宅コーポ中町,653.93,06 居住施設,目黒区
72,第二ひもんや保育園,複合,H23,2011,8,"1,887.74",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"2,908,339 ","1,851,428 ",0 ,P032,高齢者福祉住宅コーポ目黒本町二丁目,806.69,06 居住施設,目黒区
43,区営清水町アパート,複合,H24,2012,7,"4,531.93",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"2,443,419 ","18,514,280 ",0 ,P033,高齢者福祉住宅コーポ清水町,"1,049.79",06 居住施設,目黒区
-,（借上建物）,-,H12,2000,19,879.61,SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上10階,"34,893,230 ","50,074 ",0 ,P111,区民住宅メイプル中目黒,879.61,06 居住施設,民間
-,（借上建物）,-,H12,2000,19,715.22,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"28,272,590 ","49,686 ",0 ,P112,区民住宅五反山ヒルズ,715.22,06 居住施設,民間
-,（借上建物）,-,H13,2001,18,"1,413.84",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"54,532,843 ","51,333 ",0 ,P113,区民住宅サント・コア目黒,"1,413.84",06 居住施設,民間
-,（借上建物）,-,H元年度,1989,30,272.16,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"12,887,040 ","1,851,429 ",0 ,P202,高齢者福祉住宅コーポみずなか,272.16,06 居住施設,民間
-,（借上建物）,-,H元年度,1989,30,895.23,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"17,043,033 ",0 ,0 ,P203,高齢者福祉住宅コーポ中央町,358.18,06 居住施設,民間
-,（借上建物）,-,S57,1982,37,211.26,W（木造）,地上2階,"5,411,470 ",0 ,0 ,P204,高齢者福祉住宅はぎ荘,211.26,06 居住施設,民間
-,（借上建物）,-,S56,1981,38,368.84,W（木造）,地上2階,"7,278,269 ",0 ,0 ,P205,高齢者福祉住宅しいの木荘,368.84,06 居住施設,民間
-,（借上建物）,-,H7,1995,24,663.72,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"26,170,689 ","1,851,429 ",0 ,P206,高齢者福祉住宅コーポ烏森,663.72,06 居住施設,民間
-,（借上建物）,-,H10,1998,21,610.38,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"26,577,466 ","1,200,000 ",0 ,P207,高齢者福祉住宅コーポ蛇崩,610.38,06 居住施設,民間
-,（借上建物）,-,H21,2009,10,824.42,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上5階,"36,712,672 ","1,851,429 ",0 ,P208,高齢者福祉住宅コーポ平町,824.42,06 居住施設,民間
-,（借上建物）,-,H22,2010,9,304.13,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"16,436,240 ","1,851,429 ",0 ,P209,高齢者福祉住宅コーポ八雲,304.13,06 居住施設,民間
-,（借上建物）,-,H23,2011,8,833.88,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上3階,"34,547,683 ","1,851,429 ",0 ,P210,高齢者福祉住宅コーポ中央町一丁目,833.88,06 居住施設,民間
56,駒場児童館,単独,H6,1994,25,490.10,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"9,761,385 ","2,898,138 ","44,241,866 ",L001,駒場児童館,490.10,07 児童館,目黒区
138,東山地区センター,複合,S34,1959,60,"3,484.75",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"1,157,853 ","11,296,971 ","49,364,134 ",L002,東山児童館,"1,359.07",07 児童館,目黒区
17,烏森住区センター,複合,H2,1990,29,"1,149.77",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下2階,"291,147 ","2,438,123 ","38,303,667 ",L003,烏森住区センター児童館,482.25,07 児童館,目黒区
14,中目黒スクエア,複合,H3,1991,28,"4,911.33",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上9階・地下2階,"6,118,834 ","5,203,541 ","41,272,767 ",L004,中目黒住区センター児童館,686.89,07 児童館,目黒区
36,目黒区民センター,複合,S49,1974,45,"16,538.52",SRC（鉄骨鉄筋ｺﾝｸﾘｰﾄ造）,地上8階・地下3階,"520,858 ","10,440,120 ","52,526,416 ",L005,目黒区民センター児童館,"1,306.74",07 児童館,目黒区
57,不動児童館,単独（民間併設）,H3,1991,28,804.97,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"82,764,673 ","1,944,761 ",0 ,L006,不動児童館,675.63,07 児童館,目黒区
21,上目黒住区センター,複合,S54,1979,40,"2,353.91",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"505,640 ","6,611,908 ","48,658,851 ",L007,上目黒住区センター児童館,809.83,07 児童館,目黒区
22,油面住区センター,複合,S61,1986,33,"1,047.18",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"409,775 ","6,294,198 ","38,303,667 ",L008,油面住区センター児童館,473.44,07 児童館,目黒区
23,五本木住区センター,複合,S58,1983,36,968.08,RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"363,828 ","3,919,990 ","38,303,667 ",L009,五本木住区センター児童館,425.84,07 児童館,目黒区
99,スマイルプラザ中央町,複合,S36,1961,58,"4,196.08",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階,"78,275,333 ","1,251,738 ",0 ,L010,中央町児童館,"1,295.74",07 児童館,目黒区
26,向原住区センター,複合,S59,1984,35,"1,304.02",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"470,727 ","4,526,460 ","38,303,667 ",L011,向原住区センター児童館,541.17,07 児童館,目黒区
28,原町住区センター,複合,S62,1987,32,"1,057.53",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"388,287 ","4,537,116 ","33,181,400 ",L012,原町住区センター児童館,454.74,07 児童館,目黒区
142,緑が丘コミュニティセンター別館,複合,S54,1979,40,"3,142.39",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,"4,531,869 ","7,460,366 ","54,486,401 ",L013,緑が丘児童館,853.63,07 児童館,目黒区
33,八雲住区センター,複合,H9,1997,22,"1,610.63",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階・地下1階,"398,223 ","4,250,935 ","38,303,667 ",L014,八雲住区センター児童館,497.71,07 児童館,目黒区
58,平町児童館,複合,H9,1997,22,"1,553.05",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上4階・地下1階,"82,631,054 ","1,500,310 ",0 ,L015,平町児童館,"1,553.05",07 児童館,目黒区
138,東山地区センター,複合,S34,1959,60,"3,484.75",RC（鉄筋ｺﾝｸﾘｰﾄ造）,地上2階,0 ,0 ,"30,212,300 ",L020,東山児童館学童保育クラブ,-,08 学童保育クラブ,目黒区
