"施設名称","施設郵便番号","施設所在地","施設方書","許可日","許可番号","施設種別"
"港区スポーツセンタープール","105-0023","東京都港区芝浦一丁目16番1号",,"2014/12/19","26港み生環き第113号","許可プール（営業）"
"港区立芝浜小学校プール","105-0023","東京都港区芝浦一丁目16番31号",,"2022/4/15","4港み生環き第10号","届出プール"
"東京工業大学附属科学技術高等学校プール","108-0023","東京都港区芝浦三丁目3番6号",,"1998/5/7","10港み生環き第14号","届出プール"
"港区立芝浦小学校プール","108-0023","東京都港区芝浦四丁目8番18号",,"2010/9/22","22港み生環き第107号","届出プール"
"ＮＡＳ　Ｗｅｌｌｎｅｓｓ＆Ｓｐａ　ＣＬＵＢ芝浦アイランド（ナス　ウェルネスアンドスパ　クラブ）","108-0023","東京都港区芝浦四丁目20番3号",,"2008/9/9","19港み生環き第121号","許可プール（営業）"
"港区立芝公園多目的運動場","105-0011","東京都港区芝公園二丁目7番2号",,"2006/9/22","17港み生環き第70号","許可プール（営業）"
"港区立御成門小学校プール","105-0011","東京都港区芝公園三丁目2番4号",,"1994/6/13","6港芝総衛環き第16号","届出プール"
"東京プリンスホテル　ガーデンプール","105-0011","東京都港区芝公園三丁目3番1号",,"1975/6/18","50港芝保衛環き第9号","許可プール（営業）"
"ザ・プリンスパークタワー東京","105-0011","東京都港区芝公園四丁目8番1号","地下2階","2005/3/30","16港み生環き第110号","許可プール（営業）"
"白金の丘学園プール","108-0072","東京都港区白金四丁目1番12号",,"2014/7/31","26港み生環き第79号","届出プール"
"聖心女子学院室内プール","108-0072","東京都港区白金四丁目11番1号",,"1975/6/13","50港芝保衛環き第21号","届出プール"
"慶應義塾幼稚舎プール","108-0072","東京都港区白金五丁目12番",,"1988/8/19","63港芝総衛環き第28号","届出プール"
"スパ白金","108-0071","東京都港区白金台一丁目1番18号",,"1984/6/29","59港芝保衛環き第13号","許可プール（営業）"
"都ヘルスクラブ","108-0071","東京都港区白金台一丁目1番50号",,"1998/11/18","10港み生環き第83号","許可プール（営業）"
"明治学院高等学校プール","108-0071","東京都港区白金台一丁目2番37号",,"1980/5/20","55港芝保衛環き第15号","届出プール"
"港区立白金小学校プール","108-0071","東京都港区白金台一丁目4番26号",,"1980/7/1","55港芝保衛環き第25号","届出プール"
"頌栄プール","108-0071","東京都港区白金台二丁目26番5号",,"1975/7/14","50港芝保衛環き第47号","届出プール"
"港区立港陽中学校プール","135-0091","東京都港区台場一丁目1番5号",,"1996/5/9","8港芝総衛環き第8号","届出プール"
"港陽中学校プール","135-0091","東京都港区台場一丁目1番5号",,"2008/5/1","20港み生環き第21号","許可プール（開放）"
"ヒルトン東京お台場","135-0091","東京都港区台場一丁目9番1号",,"1996/3/5","7港芝総衛環き第17号","許可プール（営業）"
"Ｌｅ　ＣＬＵＢ　スイミングプール","135-0091","東京都港区台場二丁目6番1号","グランドニッコー東京台場3階","2005/6/28","17港み生環き第51号","許可プール（営業）"
"テラスプール「グランブルー」","135-0091","東京都港区台場二丁目6番1号",,"2006/6/14","18港み生環き第22号","許可プール（営業）"
"港区立高松中学校プール","108-0074","東京都港区高輪一丁目16番25号",,"1992/5/28","4港芝総衛環き第13号","届出プール"
"高松中学校屋内プール","108-0074","東京都港区高輪一丁目16番25号",,"1992/7/17","4港芝総衛環き第21号","許可プール（開放）"
"港区立高輪台小学校プール","108-0074","東京都港区高輪二丁目8番24号",,"2020/5/15","2港み生環き第37号","届出プール"
"グランドプリンスホテル新高輪　スカイプール","108-0074","東京都港区高輪三丁目13番1号",,"1982/5/29","57港芝保衛環き第2号","許可プール（営業）"
"グランドプリンスホテル新高輪　ダイヤモンドプール","108-0074","東京都港区高輪三丁目13番1号",,"1992/7/24","4港芝総衛環き第24号","許可プール（営業）"
"品川プリンスホテルメインタワープール","108-0074","東京都港区高輪四丁目10番30号",,"1994/11/22","6港芝総衛環き第41号","許可プール（営業）"
"Ａｏスパ＆クラブ（アオ　スパ＆クラブ）","105-0001","東京都港区虎ノ門一丁目23番4号","37階","2014/6/4","25港み生環き第157号","許可プール（営業）"
"スカイガーデン＆プール","105-0001","東京都港区虎ノ門二丁目6番2号","虎ノ門ステーションタワー49階","2023/10/10","5港み生環き第49号","許可プール（営業）"
"オークラ東京　Ｏｋｕｒａ　Ｆｉｔｎｅｓｓ　＆　Ｓｐａ","105-0001","東京都港区虎ノ門二丁目10番4号","27階","2019/9/4","28港み生環き第13号","許可プール（営業）"
"東京ＥＤＩＴＩＯＮ虎ノ門","105-0001","東京都港区虎ノ門四丁目1番1号","31階","2020/8/25","2港み生環き第103号","許可プール（営業）"
"ＴＨＥ　ＰＲＥＭＩＥＲ　ＣＬＵＢ","105-0001","東京都港区虎ノ門四丁目3番1号",,"1992/6/23","4港芝総衛環き第19号","許可プール（営業）"
"港区立笄小学校プール","106-0031","東京都港区西麻布三丁目11番16号",,"1977/7/4","52港麻保衛環き第21号","届出プール"
"高陵中学校プール","106-0031","東京都港区西麻布四丁目14番8号",,"2010/5/31","22港み生環き第37号","許可プール（開放）"
"港区立高陵中学校プール","106-0031","東京都港区西麻布四丁目14番8号",,"2010/5/27","22港み生環き第36号","届出プール"
"港区立御成門中学校プール","105-0003","東京都港区西新橋三丁目25番30号",,"1994/8/25","6港芝総衛環き第30号","届出プール"
"御成門中学校屋内プール","105-0003","東京都港区西新橋三丁目25番30号",,"1994/11/15","6港芝総衛環き第35号","許可プール（開放）"
"水月（Ｍｉｚｕｋｉ）","105-0021","東京都港区東新橋一丁目9番1号",,"2005/6/28","17港み生環き第27号","許可プール（営業）"
"東京都立三田髙等学校プール","108-0073","東京都港区三田一丁目4番46号",,"1977/5/24","52港芝保衛環き第12号","届出プール"
"港区立赤羽小学校プール","108-0073","東京都港区三田一丁目4番52号",,"1975/7/7","50港芝保衛環き第41号","届出プール"
"慶應義塾中等部プール","108-0073","東京都港区三田二丁目17番10号",,"2011/2/17","22港み生環き第178号","届出プール"
"港区立御田小学校プール","108-0073","東京都港区三田四丁目11番38号",,"1982/6/30","57港芝保衛環き第23号","届出プール"
"港区立三田中学校プール","108-0073","東京都港区三田四丁目13番13号",,"2010/3/3","21港み生環き第156号","届出プール"
"パークコート青山ザタワー","107-0062","東京都港区南青山二丁目3番3号","26階","2018/2/6","27港み生環き第129号","許可プール（営業）"
"港区立青山小学校プール","107-0062","東京都港区南青山二丁目21番2号",,"1982/7/13","57港赤保衛環き第11号","届出プール"
"東京都立青山特別支援学校プール","107-0062","東京都港区南青山二丁目33番77号",,"2013/8/28","25港み生環き第95号","届出プール"
"キッズガーデン南青山","107-0062","東京都港区南青山三丁目3番3号","南青山リビエラビル地下1階","2022/3/22","3港み生環き第250号","許可プール（営業）"
"港区立青南小学校プール","107-0062","東京都港区南青山四丁目21番15号",,"1981/7/3","56港赤保衛環き第14号","届出プール"
"セントラルフィットネスクラブ南青山","107-0062","東京都港区南青山六丁目1番3号","コレッツィオーネ地下1、2階","1998/10/15","10港み生環き第73号","許可プール（営業）"
"港区立東町小学校プール","106-0047","東京都港区南麻布一丁目8番11号",,"1981/6/5","56港麻保衛環き第7号","届出プール"
"港区立本村小学校プ－ル","106-0047","東京都港区南麻布三丁目9番33号",,"1991/6/19","3港麻総衛環き第12号","届出プール"
"本村小学校屋内プ－ル","106-0047","東京都港区南麻布三丁目9番33号",,"1991/7/25","3港麻総衛環き第17号","許可プール（開放）"
"ドムス南麻布　屋内プール","106-0047","東京都港区南麻布三丁目10番1号",,"1993/6/30","5港麻総衛環き第1号","許可プール（営業）"
"広尾タワーズ","106-0047","東京都港区南麻布四丁目1番12号",,"2000/6/26","12港み生環き第27号","許可プール（営業）"
"元麻布ヒルズスパ　（ＭＯＴＯＡＺＡＢＵ　ＨＩＬＬＳ　ＳＰＡ）","106-0046","東京都港区元麻布一丁目3番2号","フォレストテラスイースト","2002/10/11","13港み生環き第136号","許可プール（営業）"
"麻布学園プール","106-0046","東京都港区元麻布二丁目3番29号",,"1975/5/13","50港麻保衛環き第2号","届出プール"
"港区立南山小学校プール","106-0046","東京都港区元麻布三丁目8番15号",,"1986/6/19","61港麻保衛環き第20号","届出プール"
"ＡＲＫ　ＨＩＬＬＳ　ＳＰＡ　（アークヒルズスパ）","106-0032","東京都港区六本木一丁目3番40号",,"2000/7/19","12港み生環き第18号","許可プール（営業）"
"エスフォルタ六本木","106-0032","東京都港区六本木一丁目6番1号","泉ガーデンタワー2階","2002/9/24","13港み生環き第127号","許可プール（営業）"
"ＨＩＬＬＳ　ＳＰＡ　ＳＥＮＧＯＫＵＹＡＭＡ（ヒルズスパセンゴクヤマ）","106-0032","東京都港区六本木一丁目9番10号",,"2012/7/30","24港み生環き第32号","許可プール（営業）"
"麻布テラスアパートメントプール","106-0032","東京都港区六本木五丁目16番35号",,"2002/5/10","14港み生環き第19号","許可プール（営業）"
"ティップネス六本木","106-0032","東京都港区六本木六丁目6番9号","ピラミデビル地下1階","1994/7/7","6港麻総衛環き第6号","許可プール（営業）"
"港区立六本木中学校プール","106-0032","東京都港区六本木六丁目8番16号",,"1975/7/5","50港麻保衛環き第18号","届出プール"
"グランドハイアット東京ナゴミスパアンドフィットネス","106-0032","東京都港区六本木六丁目10番3号",,"2003/4/25","14港み生環き第54号","許可プール（営業）"
"ＲＯＰＰＯＮＧＩ　ＨＩＬＬＳ　ＳＰＡ　（六本木ヒルズスパ）","106-0032","東京都港区六本木六丁目12番3号",,"2003/4/1","14港み生環き第98号","許可プール（営業）"
"東京都立六本木高等学校　屋外プール","106-0032","東京都港区六本木六丁目16番36号",,"2006/6/13","18港み生環き第40号","届出プール"

"プール一覧(令和6年3月31日現在)","Ver202403",,,,,
