"場所","年度[和暦]","透視度[センチメートル]","水温[度]","水素イオン濃度(pH)","溶存酸素(DO)[mg/L]","生物化学的酸素要求量(BOD)[mg/L]","生物化学的酸素要求量(BOD)(75%値)[mg/L]","浮遊物質(SS)[mg/L]","電気伝導率[マイクロジーメンス毎cm]"
"古川橋","平成27年度","100","19.7","7.3","7.2","1.2","1.7","1","800"
"古川橋","平成28年度","99","19.3","7.1","6.2","2.6","2.6","4","584"
"古川橋","平成29年度",">100","19.6","7.0","6.3","2.0","2.4","1","563"
"古川橋","平成30年度","88.3","20.8","7.1","6.5","1.9","2","9","465.7"
"古川橋","令和元年度","85.8","20.7","7.1","7.6","1.5","1.8","3","452"
"古川橋","令和2年度","85.8","18.2","7.0","7.0","1.5","1.3","3","762"
"古川橋","令和3年度","85.8","20.2","7.0","6.9","1.8","2.4","4","707"
"古川橋","令和4年度",">100","20.3","7.4","5.7","1.8","2.2","2","616"
"一の橋","平成17年度","86.8","18.1","7.1","5","2.8","-","7","6514"
"一の橋","平成18年度","89.4","17.6","7.3","5.6","2.8","-","2","7304"
"一の橋","平成19年度","94.6","18","7.3","6.5","1.2","-","1.7","5375"
"一の橋","平成20年度","91.8","18.8","7.0","5.9","2.1","-","3","4781"
"一の橋","平成21年度","88.3","17.7","7.4","6.7","1.8","-","1.6","3358"
"一の橋","平成22年度","89.7","17.8","7.3","6.1","1.6","-","1.6","4700"
"一の橋","平成23年度","91.3","17.8","7.3","5.2","1.6","-","1.8","8633"
"一の橋","平成24年度","91","18.1","7.1","5.3","1.4","-","4","4728"
"一の橋","平成25年度","88","17.4","7.0","5.8","1.2","1.4","4","8228"
"一の橋","平成26年度","100","18.4","7.2","4.9","4.8","6.0","1.5","6883"
"一の橋","平成27年度","99","18.8","7.2","6.0","1.1","1.3","1","2627"
"一の橋","平成28年度","94","17.9","7.0","4.8","2.6","2.7","2","5250"
"一の橋","平成29年度",">100","18.6","7.1","5.5","1.7","1.6","2","6917"
"一の橋","平成30年度","77.8","20.5","7","4.8","2.2","2.8","7","4190"
"一の橋","令和元年度","76.6","19.5","7.0","5.5","1.5","1.5","3","3640"
"一の橋","令和2年度","76.6","18.2","6.9","5.4","1.1","1.2","2","3640"
"一の橋","令和3年度",">100","19.4","6.8","5.8","1.2","1.4","3","4805"
"一の橋","令和4年度",">100","20","7.1","5.1","1.6","2.1","1","3400"
"金杉橋","平成17年度","89.7","17.5","7.1","4.9","2.4","-","2","13545"
"金杉橋","平成18年度","72.3","17.1","7.3","5.5","3","-","3","11198"
"金杉橋","平成19年度","78","18","7.5","6.6","1.6","-","3.6","15033"
"金杉橋","平成20年度","85.5","18.1","7.1","5.7","2.3","-","3","8114"
"金杉橋","平成21年度","86.2","17.4","7.4","6.1","1.6","-","1.5","11700"
"金杉橋","平成22年度","83","17.4","7.4","6.1","1.8","-","2.3","10050"
"金杉橋","平成23年度","90.8","17.9","7.4","6","1.8","-","2.1","15317"
"金杉橋","平成24年度","94.6","17.4","7.1","6.0","1.2","-","2","9139"
"金杉橋","平成25年度","100","17.3","7.1","5.2","1.4","1.5","3","14017"
"金杉橋","平成26年度","94.8","17.8","7.2","5","5.1","7.1","1.5","10733"
"金杉橋","平成27年度","98","18.4","7.2","6.3","1.5","1.9","2","10765"
"金杉橋","平成28年度","78","17.4","7.0","5.9","3.8","5.7","6","11795"
"金杉橋","平成29年度","89.9","18.3","7.1","5.6","1.6","1.9","2","7175"
"金杉橋","平成30年度","73.5","19.3","7.1","6","1.6","1.7","2.3","8920"
"金杉橋","令和元年度","73.7","19.3","7.0","5.0","2.0","2.0","3","12300"
"金杉橋","令和2年度","73.7","17.6","6.9","5.3","1.0","1.3","2","12300"
"金杉橋","令和3年度","73.0","18.7","7.0","6.7","1.3","1.6","8","10750"
"金杉橋","令和4年度",">100","19.3","7","5.3","1.8","2.3","2","8500"

"古川の水質調査","Ver202304",,,,,,,,
