地域,地域コード,地域,昭和60（世帯）,昭和61（世帯）,昭和62（世帯）,昭和63（世帯）,昭和64（世帯）,平成2（世帯）,平成3（世帯）,平成4（世帯）,平成5（世帯）,平成6（世帯）,平成7（世帯）,平成8（世帯）,平成9（世帯）,平成10（世帯）,平成11（世帯）,平成12（世帯）,平成13（世帯）,平成14（世帯）,平成15（世帯）,平成16（世帯）,平成17（世帯）,平成18（世帯）,平成19（世帯）,平成20（世帯）,平成21（世帯）,平成22（世帯）,平成23（世帯）,平成24（世帯）,平成25年／総世帯数（世帯）,平成25年／日本人のみの世帯（世帯）,平成25年／外国人のみの世帯（世帯）,平成25年／日本人と外国人の複数国籍世帯（世帯）,平成26年／総世帯数（世帯）,平成26年／日本人のみの世帯（世帯）,平成26年／外国人のみの世帯（世帯）,平成26年／日本人と外国人の複数国籍世帯（世帯）,平成27年／総世帯数（世帯）,平成27年／日本人のみの世帯（世帯）,平成27年／外国人のみの世帯（世帯）,平成27年／日本人と外国人の複数国籍世帯（世帯）,平成28年／総世帯数（世帯）,平成28年／日本人のみの世帯（世帯）,平成28年／外国人のみの世帯（世帯）,平成28年／日本人と外国人の複数国籍世帯（世帯）,平成29年／総世帯数（世帯）,平成29年／日本人のみの世帯（世帯）,平成29年／外国人のみの世帯（世帯）,平成29年／日本人と外国人の複数国籍世帯（世帯）,平成30年／総世帯数（世帯）,平成30年／日本人のみの世帯（世帯）,平成30年／外国人のみの世帯（世帯）,平成30年／日本人と外国人の複数国籍世帯（世帯）,平成31年／総世帯数（世帯）,平成31年／日本人のみの世帯（世帯）,平成31年／外国人のみの世帯（世帯）,平成31年／日本人と外国人の複数国籍世帯（世帯）,令和2年／総世帯数（世帯）,令和2年／日本人のみの世帯（世帯）,令和2年／外国人のみの世帯（世帯）,令和2年／日本人と外国人の複数国籍世帯（世帯）,令和3年／総世帯数（世帯）,令和3年／日本人のみの世帯（世帯）,令和3年／外国人のみの世帯（世帯）,令和3年／日本人と外国人の複数国籍世帯（世帯）,令和4年／総世帯数（世帯）,令和4年／日本人のみの世帯（世帯）,令和4年／外国人のみの世帯（世帯）,令和4年／日本人と外国人の複数国籍世帯（世帯）,令和5年／総世帯数（世帯）,令和5年／日本人のみの世帯（世帯）,令和5年／外国人のみの世帯（世帯）,令和5年／日本人と外国人の複数国籍世帯（世帯）,令和6年／総世帯数（世帯）,令和6年／日本人のみの世帯（世帯）,令和6年／外国人のみの世帯（世帯）,令和6年／日本人と外国人の複数国籍世帯（世帯）
4,13210,小金井市,41100,41567,42278,42572,42914,43656,44141,45138,45635,45863,46008,46819,47310,47915,48293,48794,49454,49762,50476,50911,51424,51685,52063,52683,53211,53620,54485,54877,56234,54606,1212,416,56828,55299,1103,426,57356,55733,1179,444,58011,56304,1247,460,58829,56986,1368,475,59548,57575,1488,485,60367,58170,1690,507,61070,58703,1844,523,61909,59721,1633,555,62328,60304,1478,546,62753,60538,1664,551,62848,60485,1806,557
4,13211,小平市,56940,57752,58497,58614,59718,61227,62651,64539,66124,66870,67475,68680,69634,70304,71826,72772,73812,75053,76102,76729,77305,78142,79007,80182,81173,81619,81747,82330,85564,82446,2396,722,86026,82864,2425,737,86611,83299,2542,770,88016,84541,2714,761,88967,85320,2876,771,90166,86100,3258,808,91602,87387,3353,862,92815,88405,3515,895,93638,89574,3138,926,94183,90387,2851,945,95738,91404,3367,967,96344,91765,3595,984
4,13212,日野市,53834,55821,57425,58876,59780,61632,62673,64012,64886,65546,66002,66525,67424,67691,68544,69543,69918,70952,72005,73456,74076,75266,76233,77137,77934,78594,79637,80406,82169,80337,1202,630,82906,81049,1225,632,84008,82063,1280,665,85408,83320,1386,702,86257,84077,1483,697,87444,85126,1606,712,88402,85981,1698,723,89585,87003,1842,740,90870,88276,1836,758,91736,89252,1731,753,92594,89895,1938,761,93257,90324,2143,790
4,13213,東村山市,41618,42675,44330,45114,46670,48235,49449,50498,51576,52415,52854,53448,54021,55286,56593,57735,58738,59402,60056,61184,62236,63066,63969,64779,66005,67271,67980,68373,70137,68629,829,679,70199,68705,814,680,70446,68810,959,677,70795,69040,1075,680,71417,69576,1159,682,72222,70205,1310,707,72676,70624,1338,714,73418,71269,1423,726,74210,72078,1392,740,74846,72755,1311,780,75556,73278,1480,798,76295,73640,1830,825
4,13214,国分寺市,35484,36184,37290,38244,38927,39727,40614,41559,42614,43450,44187,44734,45232,45841,46367,47132,48599,49746,50574,50861,51455,52280,52840,53481,54264,54637,54485,54373,55940,54660,905,375,56351,55057,902,392,56960,55636,921,403,57511,56092,1007,412,58019,56535,1068,416,58844,57222,1179,443,60111,58237,1414,460,61163,59139,1542,482,62339,60338,1507,494,62992,61065,1428,499,63479,61446,1518,515,63950,61856,1556,538
4,13215,国立市,24584,24798,25183,25330,25559,25911,26477,27148,27442,27678,27942,28139,28837,30326,33418,31227,31693,32287,32631,32877,32930,33243,33626,34087,34229,34431,34479,34579,35418,34504,595,319,35532,34625,571,336,35771,34840,597,334,36368,35362,658,348,36815,35749,717,349,37179,36043,792,344,37728,36485,894,349,38241,36881,1002,358,38642,37323,948,371,38957,37738,855,364,39142,37777,985,380,39293,37875,1044,374
4,13218,福生市,18453,18723,19174,19892,20748,21534,22164,22843,23281,23736,24095,24451,24812,25147,25367,25566,25895,26359,26519,26549,26877,27175,27327,27542,27691,27765,27681,27596,28978,27191,1259,528,29066,27139,1373,554,29353,27225,1581,547,29711,27317,1844,550,29977,27304,2124,549,30176,27277,2358,541,30506,27467,2499,540,30415,27393,2496,526,30271,27456,2278,537,30086,27503,2061,522,30380,27663,2203,514,31022,27830,2675,517
4,13219,狛江市,27237,28282,28846,29434,29726,29897,30475,31056,31516,32018,32229,32707,33053,33280,34141,34521,34838,35376,36054,36294,36651,37099,37196,37501,37700,37892,37799,37854,38509,37783,424,302,38959,38190,458,311,39591,38793,473,325,40192,39326,534,332,40806,39888,585,333,41533,40503,697,333,42157,41093,709,355,42682,41549,779,354,42980,41888,737,355,43134,42098,681,355,43227,42146,725,356,43062,41894,813,355
4,13220,東大和市,21769,22159,22751,23558,23966,24517,25191,25747,26280,26747,27246,27547,28140,28356,28484,29064,29718,30546,31426,31915,32179,32613,33325,34095,34419,34946,35454,35819,36630,35940,338,352,37108,36390,356,362,37742,37010,380,352,37966,37222,389,355,38291,37523,408,360,38544,37742,437,365,38852,38025,454,373,39117,38249,491,377,39610,38727,503,380,40049,39156,510,383,40282,39315,580,387,40783,39725,659,399
4,13221,清瀬市,21550,21753,22189,22796,23107,23647,24303,24668,25079,25353,25673,26016,26410,26673,27000,27215,27521,28180,28906,29563,30810,31230,31465,31644,31968,32411,32726,33024,33509,32816,340,353,33829,33104,361,364,34162,33365,422,375,34388,33591,423,374,34709,33887,444,378,35246,34365,501,380,35454,34541,526,387,35745,34802,553,390,36152,35185,570,397,36502,35553,549,400,36697,35693,600,404,36899,35806,693,400
4,13222,東久留米市,37042,37476,37929,38447,38748,39807,40548,40970,41424,41669,42192,42447,43000,43638,44534,44918,45280,45975,46412,47078,47767,48284,48661,49220,49825,50267,50530,50627,51344,50236,503,605,51860,50764,494,602,52279,51113,564,602,52915,51675,643,597,53225,51974,650,601,53708,52346,754,608,54257,52769,876,612,54784,53202,946,636,55414,53798,966,650,55777,54188,938,651,56093,54447,984,662,56510,54700,1119,691
4,13223,武蔵村山市,18806,19203,19464,19881,20619,21388,21822,22205,22856,23346,23746,23889,23877,24176,24178,24417,24507,24918,25069,25376,25804,26514,26976,27518,28064,28382,28671,29017,29753,29014,329,410,30072,29314,330,428,30256,29454,374,428,30662,29717,521,424,30928,29955,540,433,31378,30266,661,451,31640,30480,696,464,31938,30671,806,461,32128,30815,848,465,32373,31070,832,471,32476,31197,820,459,32890,31390,1043,457
4,13224,多摩市,37357,39718,41904,44878,47139,48587,50153,51597,53032,53914,54362,54792,55183,56105,56727,57511,58170,58867,59631,60550,61356,61734,62720,64326,65015,65573,65625,65725,66879,65354,922,603,68176,66666,870,640,68528,67013,873,642,69312,67709,951,652,70327,68532,1133,662,71114,69278,1169,667,71851,69811,1365,675,72469,70238,1536,695,73160,71013,1453,694,73460,71354,1421,685,74531,72121,1687,723,75076,72420,1922,734
4,13225,稲城市,15963,16304,16882,17424,18279,19569,20453,21185,22400,23088,23070,23629,24281,24829,25496,26378,27194,28027,28910,29835,30509,31032,32348,33156,33907,34505,35298,35594,36404,35648,407,349,36755,36007,400,348,37184,36418,421,345,37780,37017,415,348,38809,37990,456,363,39487,38623,486,378,39991,39046,558,387,40643,39607,630,406,41230,40200,620,410,41932,40873,642,417,42397,41254,722,421,42844,41541,865,438
