運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
CSCL/GoldStar,東京/横浜/名古屋/釜山/上海/香港/蛇口/レムチャバン/南砂/香港/蛇口/厦門/東京,4隻28日ラウンド(水、ウィークリー),CSCLSANTIAGO,2546,33725,青海公共
CSCL/GoldStar,東京/横浜/名古屋/釜山/上海/香港/蛇口/レムチャバン/南砂/香港/蛇口/厦門/東京,4隻28日ラウンド(水、ウィークリー),CHINASTAR,3352,47230,青海A4
Evergreen,東京/横浜/清水/名古屋/四日市/台中/高雄/香港/ホーチミンシティー/香港/蛇口/香港/東京,3隻21日ラウンド(木/金、ウィークリー),EVERPRIDE,1618,19309,青海A4
Evergreen,東京/横浜/清水/名古屋/四日市/台中/高雄/香港/ホーチミンシティー/香港/蛇口/香港/東京,3隻21日ラウンド(木/金、ウィークリー),EVERPEACE,1618,19309,青海A4
Evergreen,東京/横浜/清水/名古屋/四日市/台中/高雄/香港/ホーチミンシティー/香港/蛇口/香港/東京,3隻21日ラウンド(木/金、ウィークリー),UNI-PRUDENT,1618,19309,青海A4
Evergreen[YangMing],東京/横浜/名古屋/四日市/台北/台中/高雄/シンガポール/ポートケラン/ペナン/タンジュンペラパス/クアンタン/香港/高雄/台中/台北/東京,4隻28日ラウンド(月/火、ウィークリー),GRORY,2080,30447,青海A4
Evergreen[YangMing],東京/横浜/名古屋/四日市/台北/台中/高雄/シンガポール/ポートケラン/ペナン/タンジュンペラパス/クアンタン/香港/高雄/台中/台北/東京,4隻28日ラウンド(月/火、ウィークリー),EVERPOWER,1618,19309,青海A4
Evergreen[YangMing],東京/横浜/名古屋/四日市/台北/台中/高雄/シンガポール/ポートケラン/ペナン/タンジュンペラパス/クアンタン/香港/高雄/台中/台北/東京,4隻28日ラウンド(月/火、ウィークリー),UNI-PROSPER,1618,19309,青海A4
Evergreen[YangMing],東京/横浜/名古屋/四日市/台北/台中/高雄/シンガポール/ポートケラン/ペナン/タンジュンペラパス/クアンタン/香港/高雄/台中/台北/東京,4隻28日ラウンド(月/火、ウィークリー),VNLRUBY,1794,25795,青海A4
Evergreen/WanHai[COSCO/インターエイシアライン/YangMing],大坂/神戸/清水/横浜/東京/台中/台北/香港/蛇口/北マニラ/南マニラ/蛇口/厦門/大阪,3隻21日ラウンド(土/日、ウィークリー),WANHAI265,1675,23643,大井O5
Evergreen/WanHai[COSCO/インターエイシアライン/YangMing],大坂/神戸/清水/横浜/東京/台中/台北/香港/蛇口/北マニラ/南マニラ/蛇口/厦門/大阪,3隻21日ラウンド(土/日、ウィークリー),WANHAI267,1675,23623,大井O5
Evergreen/WanHai[COSCO/インターエイシアライン/YangMing],大坂/神戸/清水/横浜/東京/台中/台北/香港/蛇口/北マニラ/南マニラ/蛇口/厦門/大阪,3隻21日ラウンド(土/日、ウィークリー),UNI-PACIFIC,1618,19309,青海A4
Hyundai/日本郵船/SPIC[Evergreen],神戸/大阪/名古屋/東京/横浜/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/神戸,3隻21日ラウンド(金/土、ウィークリー),RATANATHIDA,1228,18196,大井O6/7
Hyundai/日本郵船/SPIC[Evergreen],神戸/大阪/名古屋/東京/横浜/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/神戸,3隻21日ラウンド(金/土、ウィークリー),SATSUKI,1177,17705,大井O6/7
Hyundai/日本郵船/SPIC[Evergreen],神戸/大阪/名古屋/東京/横浜/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/神戸,3隻21日ラウンド(金/土、ウィークリー),SUZARAN,1177,17704,大井O6/7
インターエイシアライン/WanHai[CMACGM/OOCL],東京/横浜/上海/香港/ダナン/カトライ/香港/蛇口/厦門/東京,3隻21日ラウンド(木/金、ウィークリー),WANHAI232,1660,21008,大井O5
インターエイシアライン/WanHai[CMACGM/OOCL],東京/横浜/上海/香港/ダナン/カトライ/香港/蛇口/厦門/東京,3隻21日ラウンド(木/金、ウィークリー),WANHAI263,1675,23635,大井O5
インターエイシアライン/WanHai[CMACGM/OOCL],東京/横浜/上海/香港/ダナン/カトライ/香港/蛇口/厦門/東京,3隻21日ラウンド(木/金、ウィークリー),WANHAI275,1805,21650,大井O5
インターエイシアライン/WanHai[Evergreen/HamburgSub],東京/横浜/名古屋/香港/バンコク/レムチャバン/香港/蛇口/東京,3隻21日ラウンド(月、ウィークリー),HORAIBRIDGE,1708,21922,大井O5
インターエイシアライン/WanHai[Evergreen/HamburgSub],東京/横浜/名古屋/香港/バンコク/レムチャバン/香港/蛇口/東京,3隻21日ラウンド(月、ウィークリー),WANHAI272,1805,21650,大井O5
インターエイシアライン/WanHai[Evergreen/HamburgSub],東京/横浜/名古屋/香港/バンコク/レムチャバン/香港/蛇口/東京,3隻21日ラウンド(月、ウィークリー),WANHAI275,1549,21650,大井O5
インターエイシアライン/WanHai,東京/横浜/名古屋/神戸/香港/蛇口/ポートケラン/香港/東京,3隻21日ラウンド(火/水、ウィークリー),WANHAI313,2646,32937,大井O5
インターエイシアライン/WanHai,東京/横浜/名古屋/神戸/香港/蛇口/ポートケラン/香港/東京,3隻21日ラウンド(火/水、ウィークリー),WANHAI311,2646,32937,大井O5
インターエイシアライン/WanHai,東京/横浜/名古屋/神戸/香港/蛇口/ポートケラン/香港/東京,3隻21日ラウンド(火/水、ウィークリー),WANHAI317,2646,33055,大井O5
川崎汽船[SITC],清水/東京/横浜/名古屋/大阪/神戸/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/清水,3隻21日ラウンド(水、ウィークリー),AYUTTHAYABRIDGE,1708,21992,大井O1/2
川崎汽船[SITC],清水/東京/横浜/名古屋/大阪/神戸/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/清水,3隻21日ラウンド(水、ウィークリー),ANDERSONBRIDGE,1708,21972,大井O1/2
川崎汽船[SITC],清水/東京/横浜/名古屋/大阪/神戸/レムチャバン/バンコク/レムチャバン/ホーチミンシティー/清水,3隻21日ラウンド(水、ウィークリー),JAKARTABRIDGE,1708,21956,大井O1/2
川崎汽船/日本郵船[Hanjin/Samudera],東京/川崎/横浜/清水/四日市/名古屋/工場/マニラ/シンガポール/ポートケラン/ジャカルタ/シンガポール/香港/東京,4隻28日ラウンド(水/木、ウィークリー),CALICANTOBRIDGE,2546,34195,大井O1/2
川崎汽船/日本郵船[Hanjin/Samudera],東京/川崎/横浜/清水/四日市/名古屋/工場/マニラ/シンガポール/ポートケラン/ジャカルタ/シンガポール/香港/東京,4隻28日ラウンド(水/木、ウィークリー),NYKMARIA,2664,34558,大井O6/7
川崎汽船/日本郵船[Hanjin/Samudera],東京/川崎/横浜/清水/四日市/名古屋/工場/マニラ/シンガポール/ポートケラン/ジャカルタ/シンガポール/香港/東京,4隻28日ラウンド(水/木、ウィークリー),ACXPEARL,2858,39580,大井O6/7
川崎汽船/日本郵船[Hanjin/Samudera],東京/川崎/横浜/清水/四日市/名古屋/工場/マニラ/シンガポール/ポートケラン/ジャカルタ/シンガポール/香港/東京,4隻28日ラウンド(水/木、ウィークリー),ACXCRYSTAL,2846,39565,大井O6/7
