品目,出入,実績値Ｈ２２,推計値Ｈ３０代後半,推計方法
林産品原木,移出(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品原木,移入(千トン),4,3,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品原木,計(千トン),4,3,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品製材,移出(千トン),20,18,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品製材,移入(千トン),4,4,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品製材,計(千トン),24,22,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品その他,移出(千トン),2,3,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品その他,移入(千トン),2,1,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
林産品その他,計(千トン),3,4,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品石炭,移出(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品石炭,移入(千トン),1,1,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品石炭,計(千トン),1,1,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品砂利・砂,移出(千トン),8,14,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品砂利・砂,移入(千トン),1426,2234,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品砂利・砂,計(千トン),1433,2248,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品原油,移出(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品原油,移入(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品原油,計(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品その他,移出(千トン),44,44,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品その他,移入(千トン),56,61,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
鉱産品その他,計(千トン),100,105,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品鉄鋼,移出(千トン),40,42,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品鉄鋼,移入(千トン),255,298,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品鉄鋼,計(千トン),295,339,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品非鉄金属金属類,移出(千トン),26,38,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品非鉄金属金属類,移入(千トン),65,59,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品非鉄金属金属類,計(千トン),92,97,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品輸送機械(フェリー除),移出(千トン),54,74,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品輸送機械(フェリー除),移入(千トン),29,45,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品輸送機械(フェリー除),計(千トン),82,119,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品その他,移出(千トン),14,8,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品その他,移入(千トン),6,5,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
金属機械工業品その他,計(千トン),20,12,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品石油類,移出(千トン),18,19,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品石油類,移入(千トン),1,1,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品石油類,計(千トン),19,20,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品セメント,移出(千トン),50,44,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品セメント,移入(千トン),600,599,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品セメント,計(千トン),649,643,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品その他,移出(千トン),18,19,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品その他,移入(千トン),91,77,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
化学工業品その他,計(千トン),109,96,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品紙・パルプ,移出(千トン),9,3,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品紙・パルプ,移入(千トン),389,257,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品紙・パルプ,計(千トン),398,260,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品砂糖,移出(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品砂糖,移入(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品砂糖,計(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品その他,移出(千トン),24,32,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品その他,移入(千トン),113,28,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
軽工業品その他,計(千トン),137,60,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
雑工業品,移出(千トン),36,44,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
雑工業品,移入(千トン),13,24,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
雑工業品,計(千トン),50,67,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品金属くず,移出(千トン),22,21,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品金属くず,移入(千トン),15,16,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品金属くず,計(千トン),37,37,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品廃棄物(廃土砂),移出(千トン),1694,1990,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品廃棄物(廃土砂),移入(千トン),5,20,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品廃棄物(廃土砂),計(千トン),1699,2010,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊物取寄せ品,移出(千トン),115,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊物取寄せ品,移入(千トン),42,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊物取寄せ品,計(千トン),157,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品その他,移出(千トン),17,9,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品その他,移入(千トン),39,27,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
特殊品その他,計(千トン),56,36,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
分類不能のもの,移出(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
分類不能のもの,移入(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
分類不能のもの,計(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
フェリー,移出(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
フェリー,移入(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
フェリー,計(千トン),,,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
合計,移出(千トン),2238,2443,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
合計,移入(千トン),3209,3810,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
合計,計(千トン),5446,6254,内貿公共貨物推計値（国際フィーダー除く）から、内貿公共ユニット貨物、及び内貿フェリー貨物を除いたものを内貿公共在来貨物推計値とした。
