台帳コード,施設名称,記号,延長,水深,席数,船型（D/W）,備考
C-6-03,月島ふ頭物揚場,FO,290.00,-3.0,,300,
C-6-10,品川ふ頭物揚場,SK’,44.00,-3.0,,,※1
C-6-08,芝浦ふ頭物揚場,"S2,S3",161.27,-2.7,,300,
C-4-16-5,芝浦一丁目物揚場,,97.97,-2.7,,,
C-6-09,芝浦一丁目物揚場,,37.60,-2.7,,200,
C-4-28,新東京丸渡りさん橋(浜離宮）,,5.50,-4.0,,57G/T,
C-5-03,朝潮小型船発着所,,18.00,-3.0,,,※1
C-4’-001,マリーナ一号固定さん橋,7基,174.95,-3.0,164,,
C-4’-002,マリーナ二号固定さん橋,8基,294.15,-3.0,187,,
C-4’-003,マリーナ三号固定さん橋,13基,369.75,-3.0,329,,
C-4’-004,マリーナ四号固定さん橋,7基,594.70,-3.0,12,,
C-5-32,お台場海浜公園係船施設,,30.00,-3.0,,,
C-5-33,大井ふ頭中央海浜公園係船施設,,30.00,-3.0,,,
C-5-34,若洲海浜公園係船施設,,30.00,-3.0,,,
C-5-36,日の出浮さん橋,,,-3.0,,,
