品目,出入,実績値Ｈ２２,実績値Ｈ３０代後半,推計方針
化学工業品その他,輸入(千トン),2919,4056,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
化学工業品その他,計(千トン),5247,6579,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品紙・パルプ,輸出(千トン),197,274,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品紙・パルプ,輸入(千トン),891,891,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品紙・パルプ,計(千トン),1089,1165,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品砂糖,輸出(千トン),1,1,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品砂糖,輸入(千トン),41,45,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品砂糖,計(千トン),42,46,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品その他,輸出(千トン),345,345,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品その他,輸入(千トン),3636,4813,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
軽工業品その他,計(千トン),3981,5157,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
雑工業品,輸出(千トン),1227,1343,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
雑工業品,輸入(千トン),8767,12001,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
雑工業品,計(千トン),9994,13344,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品金属くず,輸出(千トン),21,31,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品金属くず,輸入(千トン),42,61,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品金属くず,計(千トン),63,93,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品廃棄物(廃土砂),輸出(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品廃棄物(廃土砂),輸入(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品廃棄物(廃土砂),計(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊物取寄せ品,輸出(千トン),312,698,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊物取寄せ品,輸入(千トン),1108,1154,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊物取寄せ品,計(千トン),1420,1851,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品その他,輸出(千トン),3154,5388,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品その他,輸入(千トン),1487,2392,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
特殊品その他,計(千トン),4642,7780,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
分別不能のもの,輸出(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
分別不能のもの,輸入(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
分別不能のもの,計(千トン),,,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
合計,輸出(千トン),12926,18837,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
合計,輸入(千トン),29893,39361,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
合計,計(千トン),42819,58197,外貿公共貨物品目別取扱量の設定値に、品目別コンテナ化率を乗じることにより、コンテナ貨物量を推計。
