品目,出入,実績値Ｈ２２,実績値Ｈ30代後半,推計方法
林産品原木,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品製材,輸出(千トン),6,3,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品製材,輸入(千トン),199,215,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品製材,計(千トン),205,218,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品その他,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品その他,輸入(千トン),24,8,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
林産品その他,計(千トン),24,8,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品石炭,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品石炭,輸入(千トン),98,99,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品石炭,計(千トン),98,99,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品砂利・砂,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品砂利・砂,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品砂利・砂,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品原油,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品原油,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品原油,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品その他,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品その他,輸入(千トン),110,71,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
鉱産品その他,計(千トン),110,71,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品鉄鋼,輸出(千トン),12,23,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品鉄鋼,輸入(千トン),42,85,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品鉄鋼,計(千トン),54,108,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品非鉄金属金属類,輸出(千トン),7,22,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品非鉄金属金属類,輸入(千トン),4,8,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品非鉄金属金属類,計(千トン),11,30,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品輸送機械(フェリー除),輸出(千トン),1,1,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品輸送機械(フェリー除),輸入(千トン),0,0,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品輸送機械(フェリー除),計(千トン),1,1,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品その他,輸出(千トン),11,16,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品その他,輸入(千トン),1,2,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
金属機械工業品その他,計(千トン),13,18,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品石油類,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品石油類,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品石油類,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品セメント,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品セメント,輸入(千トン),2,4,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品セメント,計(千トン),2,4,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品その他,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品その他,輸入(千トン),55,88,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
化学工業品その他,計(千トン),55,88,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品紙・パルプ,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品紙・パルプ,輸入(千トン),147,148,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品紙・パルプ,計(千トン),147,148,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品砂糖,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品砂糖,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品砂糖,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品その他,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品その他,輸入(千トン),2,3,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
軽工業品その他,計(千トン),2,3,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
雑工業品,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
雑工業品,輸入(千トン),4,6,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
雑工業品,計(千トン),4,6,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品金属くず,輸出(千トン),608,650,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品金属くず,輸入(千トン),1,4,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品金属くず,計(千トン),609,654,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品廃棄物(廃土砂),輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品廃棄物(廃土砂),輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品廃棄物(廃土砂),計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊物取寄せ品,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊物取寄せ品,輸入(千トン),0,0,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊物取寄せ品,計(千トン),0,0,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品その他,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品その他,輸入(千トン),1,1,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
特殊品その他,計(千トン),1,1,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
分別不能のもの,輸出(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
分別不能のもの,輸入(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
分別不能のもの,計(千トン),,,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
合計,輸出(千トン),645,714,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
合計,輸入(千トン),1671,1799,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
合計,計(千トン),2316,2513,外貿公共貨物量推計値から、外貿公共コンテナ貨物推計量を除いたものを外貿公共在来貨物量推計値とした。
