品目,出入,実績値Ｈ１８,実績値Ｈ１９,実績値Ｈ２０,実績値Ｈ２１,実績値Ｈ２２,推計値Ｈ３０代後半,推計方法類型,推計方法
金属機械工業品輸送機械(フェリー除),計(%),95.9,94.5,92.5,95.4,97.0,95.1,,
金属機械工業品その他,移出(%),94.5,95.2,94.0,92.4,90.6,95.2,４型,現状維持
金属機械工業品その他,移入(%),63.9,94.7,87.0,94.1,91.9,94.7,２型,直近5ヵ年平均
金属機械工業品その他,計(%),82.1,95.1,91.4,93.0,91.0,95.0,,
化学工業品石油類,移出(%),66.4,53.5,70.8,45.8,52.8,57.9,２型,直近5ヵ年平均
化学工業品石油類,移入(%),58.9,23.0,96.9,58.0,37.3,54.8,２型,直近5ヵ年平均
化学工業品石油類,計(%),66.2,51.6,71.2,46,52.3,57.8,,
化学工業品セメント,移出(%),1.6,4.7,2.0,3.0,2.0,2.7,２型,直近5ヵ年平均
化学工業品セメント,移入(%),0.5,0.3,0.3,0.2,0.2,0.3,２型,直近5ヵ年平均
化学工業品セメント,計(%),0.5,0.4,0.4,0.4,0.3,0.5,,
化学工業品その他,移出(%),87.8,90.5,88.1,86.9,88.9,88.4,２型,直近5ヵ年平均
化学工業品その他,移入(%),62.5,53.1,44.5,47.7,46.1,62.5,２型,直近5ヵ年平均
化学工業品その他,計(%),69.5,73.0,66.9,68.8,66.9,74.0,,
軽工業品紙・パルプ,移出(%),90.2,95.7,93.5,94.7,94.9,98.7,２型,直近5ヵ年平均
軽工業品紙・パルプ,移入(%),71.8,73.7,74.8,78.6,78.3,88.1,１型,時系列対数回帰
軽工業品紙・パルプ,計(%),73.7,76.2,76.5,80.4,79.8,89.0,,
軽工業品砂糖,移出(%),100.0,99.9,100.0,100.0,100.0,100.0,３型,現状維持
軽工業品砂糖,移入(%),99.5,98.0,99.4,100.0,100.0,100.0,３型,現状維持
軽工業品砂糖,計(%),99.6,98.3,99.5,100.0,100.0,100.0,,
軽工業品その他,移出(%),89.3,94.3,92.8,95.7,95.3,95.7,２型,直近5ヵ年平均
軽工業品その他,移入(%),63.4,69.2,68.5,68.8,66.6,92.0,１型,時系列対数回帰
軽工業品その他,計(%),78.2,83.9,83.2,85.0,83.9,94.5,,
雑工業品,移出(%),77.2,70.7,77.7,78.6,81.4,77.1,２型,直近5ヵ年平均
雑工業品,移入(%),64.0,54.2,52.4,63.3,82.7,63.3,２型,直近5ヵ年平均
雑工業品,計(%),72.0,64.6,67.2,73.2,81.8,71.8,,
特殊品金属くず,移出(%),5.8,5.4,17.7,5.6,5.3,7.9,２型,直近5ヵ年平均
特殊品金属くず,移入(%),25.2,34.8,41.3,38.4,36,35.1,２型,直近5ヵ年平均
特殊品金属くず,計(%),18.0,19.6,35.6,23.4,20.9,21.8,,
特殊品廃棄物(廃土砂),移出(%),0.1,0.0,0.2,0.4,0.2,0.2,２型,直近5ヵ年平均
特殊品廃棄物(廃土砂),移入(%),5.7,6.6,3.8,0.5,8.7,5.1,２型,直近5ヵ年平均
特殊品廃棄物(廃土砂),計(%),0.1,0.1,0.2,0.4,0.3,0.2,,
特殊物取寄せ品,移出(%),91.2,94.5,91.6,92.2,92.3,100.0,１型,時系列対数回帰
特殊物取寄せ品,移入(%),96.3,97.9,95.8,95.2,94.9,100.0,１型,時系列対数回帰
特殊物取寄せ品,計(%),93.1,95.9,93.2,93.3,93.3,100.0,,
特殊品その他,移出(%),93.2,96.9,98.2,96.2,95.5,98.2,２型,直近5ヵ年平均
特殊品その他,移入(%),76.7,84.9,75.1,78.3,81.7,87.5,２型,直近5ヵ年平均
特殊品その他,計(%),89.1,93.4,91.4,90.4,90.4,95.1,,
分類不能のもの,移出(%),,,,,,,,
分類不能のもの,移入(%),,,,,,,,
分類不能のもの,計(%),,,,,,,,
合計,移出(%),32.6,40.4,42.3,47.9,42.2,49.5,,
合計,移入(%),14.3,18.2,17.7,18.2,18.2%,24.3,,
合計,計(%),21.0,26.2,26.1,28.0,26.7,33.5,,
