品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
金属機械工業品輸送機械(フェリー除),計(千トン),2411,2320,3019,2989,2921,2786,2661,2992,2084,2729,2688,2810,5176
金属機械工業品その他,輸出(千トン),5285,3111,3366,3655,3845,3799,3563,3287,2035,2669,2785,2619,3746
金属機械工業品その他,輸入(千トン),2449,1801,2319,3099,3244,3354,3352,4543,3870,4686,5079,4823,7366
金属機械工業品その他,計(千トン),7733,4911,5685,6755,7089,7153,6915,7830,5905,7354,7864,7443,11113
化学工業品石油類,輸出(千トン),32,17,19,17,22,28,25,11,18,24,20,20,27
化学工業品石油類,輸入(千トン),22,12,14,31,44,62,32,24,18,23,23,25,28
化学工業品石油類,計(千トン),54,29,33,48,66,90,56,35,36,47,43,45,55
化学工業品セメント,輸出(千トン),1,1,1,0,1,0,0,4,5,4,5,6,6
化学工業品セメント,輸入(千トン),1,0,2,2,0,2,1,5,3,3,6,6,6
化学工業品セメント,計(千トン),1,1,3,2,1,2,1,9,9,7,11,12,12
化学工業品その他,輸出(千トン),1655,2074,2112,2385,2357,2038,2171,1813,2240,2328,1998,1819,2870
化学工業品その他,輸入(千トン),1434,1153,1403,1825,2055,2127,2264,2971,2443,2919,3271,3275,4617
化学工業品その他,計(千トン),3089,3226,3515,4210,4412,4165,4435,4784,4683,5247,5268,5094,7487
軽工業品紙・パルプ,輸出(千トン),375,595,734,721,786,713,592,274,165,197,136,177,312
軽工業品紙・パルプ,輸入(千トン),834,795,833,749,712,680,621,709,897,891,1006,1030,1014
軽工業品紙・パルプ,計(千トン),1209,1391,1567,1470,1498,1393,1213,983,1062,1089,1142,1208,1326
軽工業品砂糖,輸出(千トン),4,2,1,4,2,2,10,1,1,1,2,1,1
軽工業品砂糖,輸入(千トン),29,43,81,98,92,63,84,45,37,41,38,41,52
軽工業品砂糖,計(千トン),33,46,82,102,94,65,94,46,37,42,41,42,53
軽工業品その他,輸出(千トン),537,459,426,673,654,741,891,318,309,345,310,289,392
軽工業品その他,輸入(千トン),2179,1820,1936,2163,2481,2836,2902,3625,3291,3636,4039,4162,5477
軽工業品その他,計(千トン),2716,2279,2361,2836,3135,3577,3793,3943,3600,3981,4349,4451,5869
雑工業品,輸出(千トン),2365,2191,2429,2674,2838,2937,3250,1303,1020,1227,1265,1102,1528
雑工業品,輸入(千トン),4672,4151,4708,4658,4917,5839,6497,8462,8443,8767,9205,9463,13659
雑工業品,計(千トン),7037,6342,7138,7332,7755,8776,9748,9765,9463,9994,10470,10564,15187
特殊品金属くず,輸出(千トン),39,45,62,57,59,44,29,24,38,21,25,38,36
特殊品金属くず,輸入(千トン),68,47,52,19,21,33,43,65,29,42,35,37,70
特殊品金属くず,計(千トン),107,91,114,76,80,77,73,89,67,63,60,75,106
特殊品廃棄物(廃土砂),輸出(千トン),4,6,6,2,9,2,3,,,,,,
特殊品廃棄物(廃土砂),輸入(千トン),,,0,0,0,,0,,0,,,,
特殊品廃棄物(廃土砂),計(千トン),4,6,6,3,9,2,4,,0,,,,
特殊物取合せ品,輸出(千トン),1046,3412,3072,3178,3042,2085,1941,698,206,312,242,324,794
特殊物取合せ品,輸入(千トン),2473,5129,4582,3832,3969,3850,3470,1152,941,1108,1109,1107,1313
特殊物取合せ品,計(千トン),3520,8542,7654,7010,7011,5936,5412,1850,1147,1420,1351,1430,2107
特殊品その他,輸出(千トン),198,269,308,488,546,849,988,2577,3296,3154,3112,3410,6132
特殊品その他,輸入(千トン),245,324,278,338,460,561,641,1650,1423,1487,1641,1835,2722
特殊品その他,計(千トン),443,593,586,826,1007,1410,1629,4227,4719,4642,4753,5246,8854
分別不能のもの,輸出(千トン),,,,,,,,,,,,,
分別不能のもの,輸入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
合計,輸出(千トン),13947,15188,15998,17448,17607,16645,16929,13148,11446,12926,12504,12491,21438
合計,輸入(千トン),20799,21923,24190,25524,25673,26343,26492,29634,26782,29893,32191,32811,44796
合計,計(千トン),34746,37111,40189,42972,43281,42987,43421,42782,38228,42819,44695,45302,66234
