品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
鉱産品砂利・砂,輸出(千トン),2,2,3,9,17,18,13,4,2,2,2,2,2
鉱産品砂利・砂,輸入(千トン),18,30,133,145,206,172,178,133,122,126,125,128,151
鉱産品砂利・砂,計(千トン),20,32,137,154,223,190,191,137,123,128,126,130,153
鉱産品原油,輸出(千トン),1,0,0,0,1,1,3,0,0,,,,
鉱産品原油,輸入(千トン),1,,1,1,0,1,2,2,1,3,3,2,3
鉱産品原油,計(千トン),2,0,1,1,1,2,5,2,1,3,3,2,3
鉱産品その他,輸出(千トン),32,9,4,5,3,6,4,7,7,8,8,9,9
鉱産品その他,輸入(千トン),183,99,67,82,167,60,94,145,113,211,214,210,230
鉱産品その他,計(千トン),215,108,72,86,169,67,97,152,120,219,221,219,239
金属機械工業品鉄鋼,輸出(千トン),90,74,69,74,67,92,102,220,213,297,287,316,867
金属機械工業品鉄鋼,輸入(千トン),195,99,75,84,158,170,179,234,183,200,241,218,265
金属機械工業品鉄鋼,計(千トン),285,173,143,159,225,262,281,454,396,496,528,534,1132
金属機械工業品非鉄金属金属類,輸出(千トン),196,194,193,208,222,368,419,387,331,366,385,360,437
金属機械工業品非鉄金属金属類,輸入(千トン),307,379,392,492,520,622,724,1137,899,1065,1168,1155,2335
金属機械工業品非鉄金属金属類,計(千トン),504,573,585,700,742,990,1143,1524,1230,1431,1553,1515,2772
金属機械工業品輸送機械(フェリー除),輸出(千トン),1647,1734,2235,2141,2164,1978,1940,1995,1335,1755,1727,1778,4042
金属機械工業品輸送機械(フェリー除),輸入(千トン),764,587,791,851,772,809,721,997,749,975,964,1038,1135
金属機械工業品輸送機械(フェリー除),計(千トン),2411,2321,3026,2992,2936,2787,2661,2992,2084,2730,2690,2816,5177
金属機械工業品その他,輸出(千トン),5285,3112,3366,3658,3845,3808,3575,3307,2043,2680,2799,2620,3762
金属機械工業品その他,輸入(千トン),2449,1807,2323,3106,3248,3360,3354,4545,3870,4687,5091,4823,7368
金属機械工業品その他,計(千トン),7734,4920,5689,6764,7093,7168,6929,7852,5913,7367,7890,7443,11130
化学工業品石油類,輸出(千トン),32,17,19,17,22,28,25,11,18,24,20,20,27
化学工業品石油類,輸入(千トン),22,12,14,31,44,62,38,24,18,23,24,25,28
化学工業品石油類,計(千トン),54,29,33,48,66,90,62,35,36,47,44,45,55
化学工業品セメント,輸出(千トン),1,1,1,0,6,11,0,4,5,4,5,6,6
化学工業品セメント,輸入(千トン),1,2,2,2,0,2,2,9,5,5,7,7,10
化学工業品セメント,計(千トン),1,3,3,2,6,14,2,13,11,10,12,13,16
化学工業品その他,輸出(千トン),1702,2074,2112,2386,2357,2038,2171,1813,2240,2328,1998,1819,2870
化学工業品その他,輸入(千トン),1454,1188,1439,1862,2082,2193,2326,3022,2514,2974,3361,3338,4705
化学工業品その他,計(千トン),3156,3262,3551,4247,4438,4231,4497,4835,4754,5303,5359,5157,7575
軽工業品紙・パルプ,輸出(千トン),566,613,734,721,841,713,592,274,165,197,136,177,312
軽工業品紙・パルプ,輸入(千トン),958,1042,1081,990,779,715,789,845,1024,1039,1147,1154,1162
軽工業品紙・パルプ,計(千トン),1523,1655,1815,1711,1620,1428,1381,1119,1189,1236,1283,1331,1474
軽工業品砂糖,輸出(千トン),4,2,1,4,2,2,10,1,1,1,2,1,1
軽工業品砂糖,輸入(千トン),254,98,83,98,92,63,84,45,40,41,38,41,52
軽工業品砂糖,計(千トン),258,101,84,102,94,65,94,46,41,42,41,42,53
軽工業品その他,輸出(千トン),537,459,426,673,654,741,894,318,309,345,310,289,392
軽工業品その他,輸入(千トン),2185,1826,1942,2169,2541,3059,2915,3625,3302,3639,4043,4163,5481
軽工業品その他,計(千トン),2722,2285,2367,2841,3195,3800,3809,3943,3611,3983,4353,4452,5873
雑工業品,輸出(千トン),2368,2191,2429,2674,2851,2939,3250,1303,1020,1227,1265,1104,1528
雑工業品,輸入(千トン),4752,4165,4767,4678,4948,5932,6505,8469,8454,8772,9216,9463,13665
雑工業品,計(千トン),7120,6357,7197,7353,7798,8871,9756,9773,9474,9999,10481,10567,15193
特殊品金属くず,輸出(千トン),774,782,1105,948,1026,586,712,500,681,630,453,686,686
特殊品金属くず,輸入(千トン),113,59,55,49,26,36,43,65,34,43,43,38,74
特殊品金属くず,計(千トン),887,841,1160,997,1052,622,755,565,715,673,495,725,759
特殊品廃棄物(廃土砂),輸出(千トン),4,6,6,2,9,2,3,,,,,,
特殊品廃棄物(廃土砂),輸入(千トン),,,0,0,0,,0,,0,,,,
特殊品廃棄物(廃土砂),計(千トン),4,6,6,3,9,2,4,,0,,,,
特殊物取合せ品,輸出(千トン),1047,3417,3185,3178,3042,2091,1941,698,206,312,242,324,794
特殊物取合せ品,輸入(千トン),2476,5129,4585,3835,3969,3850,3473,1154,941,1108,1109,1107,1313
特殊物取合せ品,計(千トン),3522,8546,7770,7014,7011,5941,5415,1852,1147,1420,1351,1430,2107
特殊品その他,輸出(千トン),198,290,318,494,583,1085,990,2583,3296,3154,3112,3410,6132
特殊品その他,輸入(千トン),247,324,279,340,461,572,641,1650,1423,1488,1642,1835,2723
特殊品その他,計(千トン),444,615,597,834,1044,1657,1631,4233,4719,4642,4754,5246,8855
分別不能のもの,輸出(千トン),,,,,,,,,,,,,
分別不能のもの,輸入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
合計,輸出(千トン),15055,16009,17198,18382,18717,17492,17636,13679,12135,13575,12954,13147,22156
合計,輸入(千トン),23009,23801,26131,27572,27792,28366,28476,31440,28550,31575,33888,34253,46607
合計,計(千トン),38064,39810,43329,45954,46509,45858,46112,45119,40684,45150,46841,47399,68763
