品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値H30代後半
金属機械工業品非鉄金属金属類,輸入(千トン),94,80,66,83,83,48,83,88,73,79,93,69,74
金属機械工業品非鉄金属金属類,計(千トン),126,102,96,108,109,118,171,180,125,135,144,120,146
金属機械工業品輸送機械(フェリー除),輸出(千トン),1236,1357,1798,1937,1920,2124,2163,1934,1958,1862,1758,1976,2564
金属機械工業品輸送機械(フェリー除),輸入(千トン),489,674,779,687,711,967,1183,1094,981,857,834,857,1336
金属機械工業品輸送機械(フェリー除),計(千トン),1724,2031,2578,2624,2631,3091,3346,3028,2939,2719,2592,2833,3900
金属機械工業品その他,輸出(千トン),27,27,42,56,51,161,187,162,136,147,211,232,159
金属機械工業品その他,輸入(千トン),7,9,18,23,23,110,90,99,69,71,90,87,88
金属機械工業品その他,計(千トン),34,36,60,80,74,270,277,260,205,219,301,319,246
化学工業品石油類,輸出(千トン),47,65,50,58,69,68,46,35,43,39,40,40,46
化学工業品石油類,輸入(千トン),7,12,9,5,2,2,3,1,1,1,5,6,1
化学工業品石油類,計(千トン),54,77,59,62,71,69,50,35,43,40,45,46,48
化学工業品セメント,輸出(千トン),35,32,16,39,43,45,23,53,53,51,51,51,45
化学工業品セメント,輸入(千トン),2349,1195,966,778,724,743,629,593,588,601,588,586,601
化学工業品セメント,計(千トン),2384,1227,982,818,767,788,651,646,641,651,639,637,645
化学工業品その他,輸出(千トン),101,93,92,81,74,154,171,173,165,159,172,167,164
化学工業品その他,輸入(千トン),127,97,101,86,117,401,150,163,141,169,167,167,205
化学工業品その他,計(千トン),228,190,193,167,191,555,321,336,306,328,339,334,369
軽工業品紙・パルプ,輸出(千トン),171,374,130,292,434,187,246,181,207,180,193,214,200
軽工業品紙・パルプ,輸入(千トン),1865,1785,1910,1943,2161,1618,1904,1852,1691,1789,1755,1625,2161
軽工業品紙・パルプ,計(千トン),2037,2159,2040,2234,2595,1805,2150,2033,1898,1969,1947,1839,2361
軽工業品砂糖,輸出(千トン),16,17,13,10,16,15,12,12,14,12,11,12,13
軽工業品砂糖,輸入(千トン),82,57,50,75,74,68,52,48,46,54,44,48,54
軽工業品砂糖,計(千トン),98,74,63,85,90,83,64,60,60,67,55,60,67
軽工業品その他,輸出(千トン),205,281,320,359,406,451,516,552,527,511,478,475,741
軽工業品その他,輸入(千トン),223,256,162,268,290,341,366,361,348,337,428,416,350
軽工業品その他,計(千トン),428,537,482,626,696,792,883,912,875,848,906,891,1092
雑工業品,輸出(千トン),160,180,251,275,229,305,262,218,189,196,185,196,234
雑工業品,輸入(千トン),46,57,68,137,75,200,154,155,103,76,80,71,138
雑工業品,計(千トン),207,236,319,412,303,506,416,373,292,273,265,266,372
特殊品金属くず,輸出(千トン),167,221,140,70,26,20,27,7,15,23,7,3,23
特殊品金属くず,輸入(千トン),12,7,12,12,14,34,26,21,18,24,28,24,24
特殊品金属くず,計(千トン),179,228,153,82,40,54,53,28,33,47,34,27,47
特殊品廃棄物(廃土砂),輸出(千トン),383,1041,1058,1066,1315,1544,1994,1816,1064,1698,1895,2006,1994
特殊品廃棄物(廃土砂),輸入(千トン),6,3,4,58,9,9,6,10,74,6,5,4,21
特殊品廃棄物(廃土砂),計(千トン),389,1044,1062,1124,1324,1553,2000,1826,1138,1704,1900,2010,2015
特殊物取合せ品,輸出(千トン),1588,1541,1774,1904,2063,1646,2081,1723,1546,1501,2016,2008,2081
特殊物取合せ品,輸入(千トン),853,935,1138,1371,1450,995,1449,1019,857,822,1402,1394,1450
特殊物取合せ品,計(千トン),2441,2476,2912,3276,3513,2640,3530,2742,2402,2323,3418,3402,3531
特殊品その他,輸出(千トン),363,198,501,449,437,476,506,467,398,367,409,402,506
特殊品その他,輸入(千トン),107,99,68,72,175,161,203,196,191,212,221,232,212
特殊品その他,計(千トン),470,297,569,522,612,637,709,662,589,579,630,634,718
分別不能のもの,輸出(千トン),,,,,,,,,,,,,
分別不能のもの,輸入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
フェリー,輸出(千トン),8196,8052,8451,8250,8079,8068,5620,3832,3191,3604,4844,3941,3604
フェリー,輸入(千トン),7704,7143,7615,7649,7602,7632,5013,3538,3040,3453,4647,3838,3453
フェリー,計(千トン),15900,15195,16066,15899,15681,15699,10634,7370,6231,7057,9491,7779,7057
合計(ベース貨物),輸出(千トン),13054,13818,14939,15337,15499,15570,14219,11568,9796,10665,12674,12024,12735
合計(ベース貨物),輸入(千トン),16124,14671,15564,15777,16382,16012,14109,11659,10092,10477,12267,11148,12964
合計(ベース貨物),計(千トン),29178,28489,30502,31115,31881,31582,28327,23227,19887,21141,24942,23172,25699
合計（フェリー除く）,輸出(千トン),4858,5767,6488,7087,7420,7502,8598,7736,6605,7060,7830,8083,9131
合計（フェリー除く）,輸入(千トン),8420,7527,7949,8128,8780,8380,9095,8121,7051,7024,7620,7310,9511
合計（フェリー除く）,計(千トン),13278,13294,14436,15216,16200,15882,17694,15857,13656,14084,15451,15393,18642
