品目,出入,H22,推計値Ｈ３０代後半,推計方法
林産品その他,移出(千トン),14,13,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品その他,移入(千トン),5,5,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
林産品その他,計(千トン),19,18,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品石炭,移出(千トン),0,1,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品石炭,移入(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品石炭,計(千トン),0,1,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品砂利・砂,移出(千トン),7,12,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品砂利・砂,移入(千トン),1,4,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品砂利・砂,計(千トン),7,16,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品原油,移出(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品原油,移入(千トン),0,,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品原油,計(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品その他,移出(千トン),0,0,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品その他,移入(千トン),8,8,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
鉱産品その他,計(千トン),8,9,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品鉄鋼,移出(千トン),20,49,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品鉄鋼,移入(千トン),20,36,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品鉄鋼,計(千トン),39,85,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品非鉄金属金属類,移出(千トン),30,34,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品非鉄金属金属類,移入(千トン),14,15,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品非鉄金属金属類,計(千トン),43,49,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品輸送機械(フェリー除),移出(千トン),1808,2490,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品輸送機械(フェリー除),移入(千トン),828,1292,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品輸送機械(フェリー除),計(千トン),2636,3782,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品その他,移出(千トン),133,151,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品その他,移入(千トン),66,83,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
金属機械工業品その他,計(千トン),199,234,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品石油類,移出(千トン),20,27,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品石油類,移入(千トン),1,1,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品石油類,計(千トン),21,27,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品セメント,移出(千トン),1,1,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品セメント,移入(千トン),1,2,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品セメント,計(千トン),2,3,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品その他,移出(千トン),141,145,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品その他,移入(千トン),78,128,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
化学工業品その他,計(千トン),219,273,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品紙・パルプ,移出(千トン),170,198,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品紙・パルプ,移入(千トン),1400,1904,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品紙・パルプ,計(千トン),1571,2101,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品砂糖,移出(千トン),12,13,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品砂糖,移入(千トン),54,54,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品砂糖,計(千トン),67,67,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品その他,移出(千トン),486,709,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品その他,移入(千トン),224,322,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
軽工業品その他,計(千トン),711,1031,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
雑工業品,移出(千トン),160,191,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
雑工業品,移入(千トン),63,114,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
雑工業品,計(千トン),223,305,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品金属くず,移出(千トン),1,2,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品金属くず,移入(千トン),9,8,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品金属くず,計(千トン),10,10,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品廃棄物(廃土砂),移出(千トン),4,4,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品廃棄物(廃土砂),移入(千トン),0,1,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品廃棄物(廃土砂),計(千トン),5,5,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊物取寄せ品,移出(千トン),1386,2081,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊物取寄せ品,移入(千トン),780,1450,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊物取寄せ品,計(千トン),2166,3531,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品その他,移出(千トン),350,497,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品その他,移入(千トン),173,185,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
特殊品その他,計(千トン),523,682,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
分類不能のもの,移出(千トン),,,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
分類不能のもの,移入(千トン),,,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
分類不能のもの,計(千トン),,,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
合計,移出(千トン),4822,6688,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
合計,移入(千トン),3815,5701,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
合計,計(千トン),8638,12389,内貿公共貨物品目別取扱量の設定値に、品目別ユニット化率を乗じることにより、ユニット貨物量を推計した。
