品目,出入,H22,推計値Ｈ30代後半,推計方法
林産品製材,移出(千トン),11,11,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品製材,移入(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品製材,計(千トン),11,11,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品その他,移出(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品その他,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
林産品その他,計(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品石炭,移出(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品石炭,移入(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品石炭,計(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品砂利・砂,移出(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品砂利・砂,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品砂利・砂,計(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品原油,移出(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品原油,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品原油,計(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品その他,移出(千トン),9,9,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品その他,移入(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
鉱産品その他,計(千トン),9,9,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品鉄鋼,移出(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品鉄鋼,移入(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品鉄鋼,計(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品非鉄金属金属類,移出(千トン),6,6,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品非鉄金属金属類,移入(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品非鉄金属金属類,計(千トン),7,7,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品輸送機械(フェリー除),移出(千トン),6,6,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品輸送機械(フェリー除),移入(千トン),46,46,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品輸送機械(フェリー除),計(千トン),52,52,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品その他,移出(千トン),8,8,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品その他,移入(千トン),9,9,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
金属機械工業品その他,計(千トン),17,17,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品石油類,移出(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品石油類,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品石油類,計(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品セメント,移出(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品セメント,移入(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品セメント,計(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品その他,移出(千トン),18,18,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品その他,移入(千トン),30,30,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
化学工業品その他,計(千トン),48,48,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品紙・パルプ,移出(千トン),12,12,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品紙・パルプ,移入(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品紙・パルプ,計(千トン),13,13,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品砂糖,移出(千トン),0,0,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品砂糖,移入(千トン),17,17,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品砂糖,計(千トン),17,17,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品その他,移出(千トン),37,37,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品その他,移入(千トン),26,26,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
軽工業品その他,計(千トン),63,63,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
雑工業品,移出(千トン),52,52,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
雑工業品,移入(千トン),107,107,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
雑工業品,計(千トン),159,159,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品金属くず,移出(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品金属くず,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品金属くず,計(千トン),1,1,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品廃棄物(廃土砂),移出(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品廃棄物(廃土砂),移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品廃棄物(廃土砂),計(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊物取寄せ品,移出(千トン),269,269,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊物取寄せ品,移入(千トン),358,358,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊物取寄せ品,計(千トン),627,627,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品その他,移出(千トン),35,35,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品その他,移入(千トン),2,2,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
特殊品その他,計(千トン),37,37,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
分類不能のもの,移出(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
分類不能のもの,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
分類不能のもの,計(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
フェリー,移出(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
フェリー,移入(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
フェリー,計(千トン),,,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
合計,移出(千トン),513,513,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
合計,移入(千トン),609,609,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
合計,計(千トン),1123,1123,国際フィーダー貨物は、大井コンテナふ頭、青海コンテナふ頭、品川コンテナふ頭で取り扱われている内貿貨物とし、過去の動向を踏まえ推計した。
