品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
鉱産品砂利・砂,移出(千トン),248,81,36,18,64,74,50,94,60,59,68,21,71
鉱産品砂利・砂,移入(千トン),6640,6209,6158,6335,6373,6200,5909,5107,5109,4577,4561,4365,5389
鉱産品砂利・砂,計(千トン),6888,6290,6194,6354,6438,6274,5959,5201,5169,4637,4629,4385,5460
鉱産品原油,移出(千トン),0,,,,,0,0,,0,0,0,0,0
鉱産品原油,移入(千トン),847,731,1012,881,950,860,1050,993,560,435,720,1157,435
鉱産品原油,計(千トン),847,731,1012,881,950,860,1050,993,560,435,720,1157,435
鉱産品その他,移出(千トン),5,16,23,20,6,3,2,3,10,54,69,31,74
鉱産品その他,移入(千トン),31,76,173,73,82,35,82,96,69,63,20,92,69
鉱産品その他,計(千トン),37,92,196,93,88,38,84,99,78,117,89,123,143
金属機械工業品鉄鋼,移出(千トン),126,94,82,233,99,97,134,107,68,68,67,55,99
金属機械工業品鉄鋼,移入(千トン),1580,1360,1405,1262,1240,1283,1361,1421,895,1113,1175,1193,1175
金属機械工業品鉄鋼,計(千トン),1706,1454,1487,1494,1339,1379,1495,1528,963,1181,1242,1247,1274
金属機械工業品非鉄金属金属類,移出(千トン),32,22,30,26,31,78,88,98,56,62,53,56,92
金属機械工業品非鉄金属金属類,移入(千トン),95,80,66,83,88,48,83,89,75,80,96,69,76
金属機械工業品非鉄金属金属類,計(千トン),126,103,96,109,119,126,171,186,132,142,149,125,168
金属機械工業品輸送機械(フェリー除),移出(千トン),1260,1371,1819,1950,1921,2124,2164,1937,1961,1868,1762,1978,2585
金属機械工業品輸送機械(フェリー除),移入(千トン),551,725,873,754,741,967,1185,1129,1042,902,891,884,1485
金属機械工業品輸送機械(フェリー除),計(千トン),1811,2097,2692,2704,2661,3091,3349,3066,3003,2771,2653,2862,4070
金属機械工業品その他,移出(千トン),74,70,84,83,52,161,188,166,144,156,235,262,185
金属機械工業品その他,移入(千トン),60,64,97,85,34,110,90,107,88,80,107,118,116
金属機械工業品その他,計(千トン),133,134,181,168,86,270,278,273,231,235,341,380,301
化学工業品石油類,移出(千トン),380,408,404,406,386,381,276,230,204,162,170,173,170
化学工業品石油類,移入(千トン),5258,4981,5086,4579,4415,4252,4200,4196,3962,3702,3668,3663,3703
化学工業品石油類,計(千トン),5638,5389,5490,4985,4800,4633,4476,4426,4166,3865,3838,3836,3873
化学工業品セメント,移出(千トン),35,32,16,39,74,53,23,54,53,51,51,51,45
化学工業品セメント,移入(千トン),3605,3189,3248,3220,3005,2910,2694,2457,2285,2302,2353,2420,2303
化学工業品セメント,計(千トン),3640,3221,3264,3259,3078,2963,2717,2511,2338,2353,2404,2471,2347
化学工業品その他,移出(千トン),102,95,93,81,74,155,172,181,186,177,189,182,222
化学工業品その他,移入(千トン),130,97,101,86,117,401,150,184,180,199,211,198,303
化学工業品その他,計(千トン),233,191,194,167,191,556,323,365,366,376,399,380,526
軽工業品紙・パルプ,移出(千トン),173,375,131,295,436,188,246,182,218,192,206,236,241
軽工業品紙・パルプ,移入(千トン),1866,1785,1910,1943,2161,1618,1904,1852,1691,1790,1756,1627,2164
軽工業品紙・パルプ,計(千トン),2039,2160,2041,2238,2597,1806,2150,2034,1909,1982,1963,1863,2405
軽工業品砂糖,移出(千トン),16,17,13,10,16,15,12,12,14,13,11,13,14
軽工業品砂糖,移入(千トン),82,57,50,75,74,68,52,48,48,72,56,59,109
軽工業品砂糖,計(千トン),98,74,63,85,90,83,64,60,62,84,67,72,123
軽工業品その他,移出(千トン),401,479,492,496,525,588,651,673,634,619,573,603,933
軽工業品その他,移入(千トン),236,303,212,292,290,341,366,362,362,363,451,427,435
軽工業品その他,計(千トン),637,781,703,788,815,929,1017,1035,995,982,1024,1030,1367
雑工業品,移出(千トン),164,186,251,276,231,306,264,227,209,248,228,224,403
雑工業品,移入(千トン),50,62,69,159,91,200,154,159,144,183,164,129,487
雑工業品,計(千トン),214,248,320,435,321,506,418,385,354,431,392,353,889
特殊品金属くず,移出(千トン),167,221,140,70,26,20,27,8,16,24,7,3,25
特殊品金属くず,移入(千トン),12,7,12,13,19,36,26,22,18,25,29,25,25
特殊品金属くず,計(千トン),179,228,153,83,45,56,54,29,35,48,35,27,50
特殊品廃棄物(廃土砂),移出(千トン),383,1041,1062,1067,1315,1544,1994,1816,1064,1698,1895,2006,1994
特殊品廃棄物(廃土砂),移入(千トン),6,3,4,60,9,10,7,10,74,6,5,4,21
特殊品廃棄物(廃土砂),計(千トン),389,1044,1066,1126,1324,1554,2000,1826,1138,1704,1900,2010,2015
特殊物取寄せ品,移出(千トン),1661,1604,1831,2030,2191,1826,2296,2131,1741,1771,2294,2320,2960
特殊物取寄せ品,移入(千トン),905,991,1177,1494,1582,1241,1826,1628,1245,1180,1754,1786,2617
特殊物取寄せ品,計(千トン),2566,2594,3007,3525,3773,3067,4122,3758,2985,2951,4048,4106,5577
特殊品その他,移出(千トン),369,204,502,451,445,486,534,503,440,408,434,438,627
特殊品その他,移入(千トン),107,99,68,72,179,172,224,204,219,231,303,301,235
特殊品その他,計(千トン),476,302,570,523,624,658,758,707,659,639,737,738,862
分別不能のもの,移出(千トン),,,,,,,,,,,,,
分別不能のもの,移入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
フェリー,移出(千トン),8196,8052,8451,8250,8079,8068,5620,3832,3191,3604,4844,3941,3604
フェリー,移入(千トン),7704,7143,7615,7649,7602,7632,5013,3538,3040,3453,4647,3838,3453
フェリー,計(千トン),15900,15195,16066,15899,15681,15699,10634,7370,6231,7057,9491,7779,7057
合計,移出(千トン),14014,14583,15644,16073,16234,16335,14934,12455,10476,11432,13359,12833,14663
合計,移入(千トン),29956,28127,29496,29388,29286,28618,26583,23780,21254,20931,23194,22554,24821
合計,計(千トン),43971,42710,45139,45461,45519,44953,41517,36235,31729,32363,36553,35387,39484
合計（フェリー除く）,移出(千トン),5818,6531,7193,7823,8154,8267,9313,8623,7285,7828,8515,8892,11059
合計（フェリー除く）,移入(千トン),22252,20983,21881,21739,21684,20986,21570,20242,18213,17478,18547,18717,21368
合計（フェリー除く）,計(千トン),28071,27515,29074,29562,29838,29253,30883,28865,25498,25306,27062,27609,32426
