品目,出入,実績値Ｈ２２,推計値Ｈ30代後半,
鉱産品原油,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品原油,移入(千トン),435,435,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品原油,計(千トン),435,435,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品その他,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品その他,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
鉱産品その他,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品鉄鋼,移出(千トン),8,8,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品鉄鋼,移入(千トン),838,838,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品鉄鋼,計(千トン),846,846,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品非鉄金属金属類,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品非鉄金属金属類,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品非鉄金属金属類,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品輸送機械(フェリー除),移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品輸送機械(フェリー除),移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品輸送機械(フェリー除),計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品その他,移出(千トン),0,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品その他,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
金属機械工業品その他,計(千トン),0,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品石油類,移出(千トン),123,123,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品石油類,移入(千トン),3701,3701,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品石油類,計(千トン),3824,3824,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品セメント,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品セメント,移入(千トン),1702,1702,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品セメント,計(千トン),1702,1702,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品その他,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品その他,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
化学工業品その他,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品紙・パルプ,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品紙・パルプ,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品紙・パルプ,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品砂糖,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品砂糖,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品砂糖,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品その他,移出(千トン),71,71,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品その他,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
軽工業品その他,計(千トン),71,71,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
雑工業品,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
雑工業品,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
雑工業品,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品金属くず,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品金属くず,移入(千トン),0,0,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品金属くず,計(千トン),0,0,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品廃棄物(廃土砂),移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品廃棄物(廃土砂),移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品廃棄物(廃土砂),計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊物取寄せ品,移出(千トン),1,1,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊物取寄せ品,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊物取寄せ品,計(千トン),1,1,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品その他,移出(千トン),6,6,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品その他,移入(千トン),17,17,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
特殊品その他,計(千トン),24,24,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
分類不能のもの,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
分類不能のもの,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
分類不能のもの,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
フェリー,移出(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
フェリー,移入(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
フェリー,計(千トン),,,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
合計,移出(千トン),254,254,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
合計,移入(千トン),9845,9871,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
合計,計(千トン),10099,10125,内貿専用貨物量は、平成13年以降一貫して減少傾向にあり、品目別にみても殆どの品目が減少傾向とないっていることから、現状程度を見込むこととして推計した。
