品目,出入,実績値Ｈ20,実績値Ｈ21,実績値Ｈ22,推計値Ｈ30代後半,推計方法類型,推計方法
金属機械工業品輸送機械(フェリー除),輸入（%）,100.0,100.0,100.0,100.0,１型,現状維持
金属機械工業品輸送機械(フェリー除),計（%）,100.0,100.0,100.0,100.0,,
金属機械工業品その他,輸出（%）,99.4,99.6,99.6,99.5,２型,過去３年間の平均
金属機械工業品その他,輸入（%）,100.0,100.0,100.0,100.0,１型,現状維持
金属機械工業品その他,計（%）,99.7,99.9,99.8,99.8,,
化学工業品石油類,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
化学工業品石油類,輸入（%）,100.0,100.0,100.0,100.0,１型,現状維持
化学工業品石油類,計（%）,100.0,100.0,100.0,100.0,,
化学工業品セメント,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
化学工業品セメント,輸入（%）,55.2,59.8,57.0,57.3,２型,過去３年間の平均
化学工業品セメント,計（%）,69.2,79.6,76.2,73.1,,
化学工業品その他,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
化学工業品その他,輸入（%）,98.3,97.2,98.1,97.9,２型,過去３年間の平均
化学工業品その他,計（%）,98.9,98.5,99.0,98.7,,
軽工業品紙・パルプ,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
軽工業品紙・パルプ,輸入（%）,83.9,87.6,85.8,85.8,２型,過去３年間の平均
軽工業品紙・パルプ,計（%）,87.8,89.3,88.1,88.7,,
軽工業品砂糖,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
軽工業品砂糖,輸入（%）,100.0,90.8,100.0,100.0,１型,現状維持
軽工業品砂糖,計（%）,100.0,90.9,100.0,100.0,,
軽工業品その他,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
軽工業品その他,輸入（%）,100.0,99.7,99.9,99.9,１型,現状維持
軽工業品その他,計（%）,100.0,99.7,99.9,99.9,,
雑工業品,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
雑工業品,輸入（%）,99.9,99.9,100.0,100.0,１型,現状維持
雑工業品,計（%）,99.9,99.9,100.0,100.0,,
特殊品金属くず,輸出（%）,48.0,56.0,34.0,46.0,２型,過去３年間の平均
特殊品金属くず,輸入（%）,1,84.8,97.5,94.1,２型,過去３年間の平均
特殊品金属くず,計（%）,15.8,9.4,9.4,12.4,,
特殊品廃棄物(廃土砂),輸出（%）,,,,,５型,取扱なし
特殊品廃棄物(廃土砂),輸入（%）,,,,,５型,取扱なし
特殊品廃棄物(廃土砂),計（%）,,,,,,
特殊物取寄せ品,輸出（%）,100.0,100.0,100.0,100.0,１型,現状維持
特殊物取寄せ品,輸入（%）,99.9,100.0,100.0,100.0,１型,現状維持
特殊物取寄せ品,計（%）,99.9,100.0,100.0,100.0,,
特殊品その他,輸出（%）,99.8,100.0,100.0,100.0,１型,現状維持
特殊品その他,輸入（%）,100.0,100.0,100.0,100.0,１型,現状維持
特殊品その他,計（%）,99.9,100.0,100.0,100.0,,
分別不能のもの,輸出（%）,,,,,,
分別不能のもの,輸入（%）,,,,,,
分別不能のもの,計（%）,,,,,,
合計,輸出（%）,96.1,94.3,95.2,96.3,,
合計,輸入（%）,94.3,93.8,94.7,95.6,,
合計,計（%）,94.8,94.0,94.9,95.9,,
