品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
鉱産品砂利・砂,計(千トン),1678,1827,1992,1848,2274,2130,2241,1791,1397,1441,1351,1091,2264
鉱産品原油,移出(千トン),0,,,,,0,0,,0,0,0,0,0
鉱産品原油,移入(千トン),2,1,,,,0,,,,0,,,
鉱産品原油,計(千トン),2,1,,,,0,0,,0,0,0,0,0
鉱産品その他,移出(千トン),5,16,23,20,6,2,2,3,10,54,69,31,74
鉱産品その他,移入(千トン),31,76,173,73,81,35,82,96,69,63,20,92,69
鉱産品その他,計(千トン),37,92,196,93,87,37,84,99,78,117,89,123,143
金属機械工業品鉄鋼,移出(千トン),56,79,82,232,94,93,127,106,67,60,67,55,91
金属機械工業品鉄鋼,移入(千トン),366,274,311,368,348,354,334,412,298,275,368,373,337
金属機械工業品鉄鋼,計(千トン),422,354,393,601,442,447,460,518,365,335,435,427,428
金属機械工業品非鉄金属金属類,移出(千トン),32,22,30,25,26,70,88,98,56,62,53,56,92
金属機械工業品非鉄金属金属類,移入(千トン),94,80,66,83,83,48,83,88,75,80,94,69,76
金属機械工業品非鉄金属金属類,計(千トン),126,103,96,108,109,118,171,186,132,142,148,125,168
金属機械工業品輸送機械(フェリー除),移出(千トン),1260,1371,1819,1950,1921,2124,2164,1937,1961,1868,1762,1978,2585
金属機械工業品輸送機械(フェリー除),移入(千トン),551,725,873,754,741,967,1185,1129,1042,902,891,884,1485
金属機械工業品輸送機械(フェリー除),計(千トン),1811,2097,2692,2704,2661,3091,3349,3066,3003,2771,2653,2862,4070
金属機械工業品その他,移出(千トン),74,70,84,83,52,161,188,166,144,155,235,262,185
金属機械工業品その他,移入(千トン),60,64,97,85,33,110,90,107,88,80,106,118,116
金属機械工業品その他,計(千トン),133,134,181,168,86,270,278,273,231,235,340,380,301
化学工業品石油類,移出(千トン),47,65,50,58,69,68,47,35,43,39,41,40,47
化学工業品石油類,移入(千トン),8,12,9,5,2,2,3,1,1,1,5,6,1
化学工業品石油類,計(千トン),55,77,59,62,71,69,50,36,44,40,46,46,48
化学工業品セメント,移出(千トン),35,32,16,39,43,45,23,53,53,51,51,51,45
化学工業品セメント,移入(千トン),2349,1195,966,778,724,743,629,593,588,601,588,586,601
化学工業品セメント,計(千トン),2384,1227,982,818,767,788,651,646,641,651,639,637,646
化学工業品その他,移出(千トン),102,95,93,81,74,155,172,181,186,177,189,182,222
化学工業品その他,移入(千トン),128,97,101,86,117,401,150,184,177,199,211,198,303
化学工業品その他,計(千トン),230,191,194,167,191,555,323,365,363,376,399,380,526
軽工業品紙・パルプ,移出(千トン),173,375,131,295,436,188,246,182,218,192,206,236,241
軽工業品紙・パルプ,移入(千トン),1866,1785,1910,1943,2161,1618,1904,1852,1691,1790,1756,1627,2164
軽工業品紙・パルプ,計(千トン),2039,2160,2041,2238,2597,1806,2150,2034,1909,1982,1963,1863,2405
軽工業品砂糖,移出(千トン),16,17,13,10,16,15,12,12,14,13,11,13,14
軽工業品砂糖,移入(千トン),82,57,50,75,74,68,52,48,48,72,56,59,109
軽工業品砂糖,計(千トン),98,74,63,85,90,83,64,60,62,84,67,72,123
軽工業品その他,移出(千トン),234,326,356,376,409,459,521,558,548,548,506,520,862
軽工業品その他,移入(千トン),236,303,212,292,290,341,366,362,362,363,451,427,435
軽工業品その他,計(千トン),469,629,568,668,699,800,887,920,910,910,957,947,1296
雑工業品,移出(千トン),164,186,251,276,231,306,264,227,209,248,228,224,403
雑工業品,移入(千トン),50,62,69,159,91,200,154,159,144,183,164,129,487
雑工業品,計(千トン),214,248,320,435,321,506,418,385,354,431,392,353,889
特殊品金属くず,移出(千トン),167,221,140,70,26,20,27,8,16,24,7,3,25
特殊品金属くず,移入(千トン),12,7,12,12,14,34,26,21,18,24,28,24,24
特殊品金属くず,計(千トン),179,228,153,82,40,54,53,29,34,48,34,27,49
特殊品廃棄物(廃土砂),移出(千トン),383,1041,1058,1066,1315,1544,1994,1816,1064,1698,1895,2006,1994
特殊品廃棄物(廃土砂),移入(千トン),6,3,4,58,9,9,6,10,74,6,5,4,21
特殊品廃棄物(廃土砂),計(千トン),389,1044,1062,1124,1324,1553,2000,1826,1138,1704,1900,2010,2015
特殊物取合せ品,移出(千トン),1661,1604,1831,2030,2191,1823,2296,2131,1741,1770,2294,2320,2959
特殊物取合せ品,移入(千トン),904,991,1177,1494,1582,1241,1826,1628,1245,1180,1754,1786,2617
特殊物取合せ品,計(千トン),2565,2594,3007,3525,3773,3064,4121,3758,2985,2950,4048,4106,5576
特殊品その他,移出(千トン),369,204,502,451,442,482,510,476,419,402,432,438,620
特殊品その他,移入(千トン),107,99,68,72,175,161,203,196,218,214,225,232,218
特殊品その他,計(千トン),476,302,570,523,617,644,713,672,638,616,657,669,838
分別不能のもの,移出(千トン),,,,,,,,,,,,,
分別不能のもの,移入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
フェリー,移出(千トン),8196,8052,8451,8250,8079,8068,5620,3832,3191,3604,4844,3941,3604
フェリー,移入(千トン),7704,7143,7615,7649,7602,7632,5013,3538,3040,3453,4647,3838,3453
フェリー,計(千トン),15900,15195,16066,15899,15681,15699,10634,7370,6231,7057,9491,7779,7057
合計,移出(千トン),13300,14072,15150,15596,15729,15814,14521,12064,10173,11178,13157,12617,14409
合計,移入(千トン),16313,14885,15829,16095,16600,16306,14521,12351,10697,11086,12884,11723,14950
合計,計(千トン),29613,28957,30979,31691,32329,32120,29042,24415,20870,22264,26041,24340,29359
合計（フェリー除く）,移出(千トン),5104,6020,6699,7346,7650,7746,8900,8232,6982,7574,8314,8676,10804
合計（フェリー除く）,移入(千トン),8608,7742,8214,8446,8998,8674,9508,8813,7657,7633,8237,7885,11497
合計（フェリー除く）,計(千トン),13712,13762,14913,15792,16648,16420,18408,17044,14639,15207,16550,16561,22302
