品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
金属機械工業品非鉄金属金属類,計(千トン),0,0,0,0,,0,0,6,6,7,4,5,22
金属機械工業品輸送機械(フェリー除),移出(千トン),25,14,21,13,0,,1,3,3,6,4,2,21
金属機械工業品輸送機械(フェリー除),移入(千トン),62,51,94,67,30,,2,35,60,46,57,27,149
金属機械工業品輸送機械(フェリー除),計(千トン),87,65,115,80,30,,3,38,64,52,61,30,169
金属機械工業品その他,移出(千トン),46,43,42,27,1,,1,4,7,8,24,30,27
金属機械工業品その他,移入(千トン),53,54,79,62,10,,,9,18,9,16,30,28
金属機械工業品その他,計(千トン),99,97,121,89,11,,1,13,26,17,39,61,55
化学工業品石油類,移出(千トン),,,,0,,,0,1,0,0,1,1,1
化学工業品石油類,移入(千トン),1,,,,,,,,0,,0,,
化学工業品石油類,計(千トン),1,,,0,,,0,1,0,0,1,1,1
化学工業品セメント,移出(千トン),,,,,,,,,,,,,
化学工業品セメント,移入(千トン),,,,,,,,,,0,0,,0
化学工業品セメント,計(千トン),,,,,,,,,,0,0,,0
化学工業品その他,移出(千トン),1,2,1,0,0,1,1,8,21,18,17,15,58
化学工業品その他,移入(千トン),0,,0,0,,,,20,36,30,44,31,98
化学工業品その他,計(千トン),2,2,1,1,0,1,1,28,57,48,61,46,157
軽工業品紙・パルプ,移出(千トン),2,1,0,4,2,1,0,1,11,12,14,22,41
軽工業品紙・パルプ,移入(千トン),1,,,04,,,,01,1,1,2,2,3
軽工業品紙・パルプ,計(千トン),3,1,0,,2,1,0,,11,13,15,24,44
軽工業品砂糖,移出(千トン),,,,,,,,0,0,0,0,1,0
軽工業品砂糖,移入(千トン),,,,,,,,,2,17,12,11,56
軽工業品砂糖,計(千トン),,,,,,,,0,2,17,12,12,56
軽工業品その他,移出(千トン),28,45,36,17,3,8,5,6,21,37,28,45,121
軽工業品その他,移入(千トン),13,47,49,25,,,,1,14,26,23,11,84
軽工業品その他,計(千トン),41,92,86,41,3,8,5,7,35,63,51,56,205
雑工業品,移出(千トン),4,6,0,1,2,0,2,8,20,52,43,28,168
雑工業品,移入(千トン),4,6,1,22,16,,,4,41,107,84,59,349
雑工業品,計(千トン),7,12,2,23,18,0,2,12,61,159,128,87,517
特殊品金属くず,移出(千トン),,,,0,,,,1,1,1,0,0,2
特殊品金属くず,移入(千トン),,,,,,,0,,,,,0,
特殊品金属くず,計(千トン),,,,0,,,0,1,1,1,0,0,2
特殊品廃棄物(廃土砂),移出(千トン),,,,,,,,,,,,,
特殊品廃棄物(廃土砂),移入(千トン),,,,,,,,,,,,,
特殊品廃棄物(廃土砂),計(千トン),,,,,,,,,,,,,
特殊物取寄せ品,移出(千トン),73,62,56,126,128,178,215,408,195,269,278,312,878
特殊物取寄せ品,移入(千トン),52,56,39,123,132,246,376,609,388,358,352,392,1166
特殊物取寄せ品,計(千トン),125,118,95,249,260,424,591,1016,583,627,630,704,2045
特殊品その他,移出(千トン),6,5,1,2,5,6,4,9,21,35,23,36,114
特殊品その他,移入(千トン),,,,,,,,1,27,2,4,0,6
特殊品その他,計(千トン),6,5,1,2,5,6,4,10,49,37,27,36,120
分別不能のもの,移出(千トン),,,,,,,,,,,,,
分別不能のもの,移入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
合計,移出(千トン),246,254,212,259,231,244,302,496,377,513,483,593,1674
合計,移入(千トン),188,215,265,318,217,294,413,692,605,609,617,575,1986
合計,計(千トン),435,468,477,576,448,538,715,1187,983,1123,1100,1168,3659
