運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船TEU,投入船DWT,利用ターミナル
OOCL[MCCTranspoｒｔ],大坂/東京/名古屋/四日市/神戸/基隆/香港/蛇口/シンガポール/ジャカルタ/シンガポール/蛇口/香港/大阪,4隻28日ラウンド（月/火、ウィークリー）,OOCLDALIAN,4578,50554,青海公共
OOCL[MCCTranspoｒｔ],大坂/東京/名古屋/四日市/神戸/基隆/香港/蛇口/シンガポール/ジャカルタ/シンガポール/蛇口/香港/大阪,4隻28日ラウンド（月/火、ウィークリー）,OOCLAUSTALIA,4583,52217,青海公共
OOCL[MCCTranspoｒｔ],大坂/東京/名古屋/四日市/神戸/基隆/香港/蛇口/シンガポール/ジャカルタ/シンガポール/蛇口/香港/大阪,4隻28日ラウンド（月/火、ウィークリー）,OOCLGUANGZHOU,4526,50486,青海公共
OOCL[MCCTranspoｒｔ],大坂/東京/名古屋/四日市/神戸/基隆/香港/蛇口/シンガポール/ジャカルタ/シンガポール/蛇口/香港/大阪,4隻28日ラウンド（月/火、ウィークリー）,OOCLSAVANNAH,4578,50490,青海公共
Sinotrans/YangMing,上海/東京/横浜/上海/寧波/香港/蛇口/南マニラ/北マニラ/香港/大阪,3隻21日ラウンド（水、ウィークリー）,AKARI,1005,17785,品川公共
Sinotrans/YangMing,上海/東京/横浜/上海/寧波/香港/蛇口/南マニラ/北マニラ/香港/大阪,3隻21日ラウンド（水、ウィークリー）,SINOTRANSHONGKONG,1049,12829,品川公共
Sinotrans/YangMing,上海/東京/横浜/上海/寧波/香港/蛇口/南マニラ/北マニラ/香港/大阪,3隻21日ラウンド（水、ウィークリー）,ISARABHUM,1102,12475,品川公共
SITC,ハイフォン/蛇口/厦門/上海/東京/横浜/清水/釜山/上海/厦門/香港/ハイフォン,3隻21日ラウンド（火/水、ウィークリー）,MARCIFF,1049,12779,大井O1/2
SITC,ハイフォン/蛇口/厦門/上海/東京/横浜/清水/釜山/上海/厦門/香港/ハイフォン,3隻21日ラウンド（火/水、ウィークリー）,SITCMOJI,1042,12738,大井O1/2
SITC,ハイフォン/蛇口/厦門/上海/東京/横浜/清水/釜山/上海/厦門/香港/ハイフォン,3隻21日ラウンド（火/水、ウィークリー）,SITCOSAKA,1103,11913,大井O1/2
SITC［KL］,ハイフォン/蛇口/厦門/東京/横浜/川崎/四日市/上海/寧波/香港/蛇口/ハイフォン,3隻21日ラウンド（木、ウィークリー）,SITCTOKYO,847,12694,大井O1/2
SITC［KL］,ハイフォン/蛇口/厦門/東京/横浜/川崎/四日市/上海/寧波/香港/蛇口/ハイフォン,3隻21日ラウンド（木、ウィークリー）,SITCKOBE,831,12645,大井O1/2
SITC［KL］,ハイフォン/蛇口/厦門/東京/横浜/川崎/四日市/上海/寧波/香港/蛇口/ハイフォン,3隻21日ラウンド（木、ウィークリー）,SITCDALIAN,1042,12699,大井O1/2
