品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
軽工業品その他,輸入(千トン),6,6,6,6,60,222,14,,11,2,4,1,3
軽工業品その他,計(千トン),6,6,6,6,60,222,17,,11,2,4,1,3
雑工業品,輸出(千トン),3,0,0,0,13,3,,,,,,3,
雑工業品,輸入(千トン),80,14,59,21,31,92,8,8,11,4,11,,6
雑工業品,計(千トン),83,15,59,21,43,95,8,8,11,4,11,3,6
特殊品金属くず,輸出(千トン),726,731,1038,886,967,540,682,475,643,608,428,649,650
特殊品金属くず,輸入(千トン),45,12,1,30,4,2,,,5,1,8,1,4
特殊品金属くず,計(千トン),772,743,1038,916,971,543,682,475,648,609,436,650,654
特殊品廃棄物(廃土砂),輸出(千トン),,,,,,,,,,,,,
特殊品廃棄物(廃土砂),輸入(千トン),,,,,,,,,,,,,
特殊品廃棄物(廃土砂),計(千トン),,,,,,,,,,,,,
特殊物取合せ品,輸出(千トン),0,5,113,0,0,6,0,0,0,,,,
特殊物取合せ品,輸入(千トン),2,0,3,3,,0,3,1,0,0,,0,0
特殊物取合せ品,計(千トン),2,5,115,4,0,6,3,1,0,0,,0,0
特殊品その他,輸出(千トン),0,22,9,6,37,236,2,6,,,,,
特殊品その他,輸入(千トン),1,,1,2,1,10,,,,1,2,,1
特殊品その他,計(千トン),1,22,10,8,37,247,2,6,,1,2,,1
分別不能のもの,輸出(千トン),,,,,,,,,,,,,
分別不能のもの,輸入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
合計,輸出(千トン),1097,814,1194,929,1110,846,707,531,689,645,450,655,714
合計,輸入(千トン),2185,1859,1898,1940,2087,2002,1974,1797,1760,1671,1689,1436,1799
合計,計(千トン),3282,2673,3092,2869,3197,2848,2680,2328,2449,2316,2138,2091,2513
