品目,出入,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値(参考)H23,実績値(参考)H24,推計値（H30代後半）
鉱産品砂利・砂,移出(千トン),4,4,5,7,9,6,6,6,5,7,7,7,12
鉱産品砂利・砂,移入(千トン),3,3,4,1,3,7,3,4,2,1,2,1,4
鉱産品砂利・砂,計(千トン),8,6,9,7,12,14,9,10,6,7,9,8,16
鉱産品原油,移出(千トン),0,,,,,0,0,,0,0,0,,0
鉱産品原油,移入(千トン),,,,,,0,,,,0,,,
鉱産品原油,計(千トン),0,,,,,0,0,,0,0,0,,0
鉱産品その他,移出(千トン),3,1,1,1,0,2,1,0,0,0,0,0,0
鉱産品その他,移入(千トン),1,1,2,2,1,9,7,6,6,8,12,15,8
鉱産品その他,計(千トン),4,2,2,2,2,10,8,7,6,8,13,16,9
金属機械工業品鉄鋼,移出(千トン),8,10,10,35,38,37,79,72,45,20,19,17,49
金属機械工業品鉄鋼,移入(千トン),3,4,8,12,22,24,42,53,44,20,15,29,36
金属機械工業品鉄鋼,計(千トン),10,14,18,47,59,62,120,125,89,39,34,46,85
金属機械工業品非鉄金属金属類,移出(千トン),25,17,15,15,17,38,33,32,29,30,27,32,34
金属機械工業品非鉄金属金属類,移入(千トン),11,11,12,13,10,16,15,15,13,14,13,12,15
金属機械工業品非鉄金属金属類,計(千トン),36,28,27,28,27,54,48,47,41,43,40,44,49
金属機械工業品輸送機械(フェリー除),移出(千トン),1033,1189,1622,1762,1779,2048,2075,1830,1879,1808,1696,1907,2490
金属機械工業品輸送機械(フェリー除),移入(千トン),434,583,710,638,653,917,1088,972,927,828,811,833,1292
金属機械工業品輸送機械(フェリー除),計(千トン),1467,1772,2332,2400,2432,2965,3162,2802,2806,2636,2507,2739,3782
金属機械工業品その他,移出(千トン),24,20,25,45,38,152,178,152,126,133,161,177,151
金属機械工業品その他,移入(千トン),5,6,7,15,9,70,85,86,65,66,77,78,83
金属機械工業品その他,計(千トン),30,26,32,59,47,222,263,238,191,199,238,256,234
化学工業品石油類,移出(千トン),19,18,16,28,41,45,25,25,20,20,22,21,27
化学工業品石油類,移入(千トン),2,1,2,1,1,1,1,1,0,1,1,0,1
化学工業品石油類,計(千トン),21,19,18,29,42,46,26,25,20,21,23,22,27
化学工業品セメント,移出(千トン),1,1,1,1,1,1,1,1,2,1,1,1,1
化学工業品セメント,移入(千トン),0,1,1,1,2,4,2,2,1,1,1,1,2
化学工業品セメント,計(千トン),2,1,1,2,3,4,3,3,3,2,2,2,3
化学工業品その他,移出(千トン),75,53,53,53,50,135,155,153,143,141,152,148,145
化学工業品その他,移入(千トン),36,32,31,24,33,250,80,73,67,78,105,105,128
化学工業品その他,計(千トン),111,85,84,77,83,386,234,225,211,219,256,253,273
軽工業品紙・パルプ,移出(千トン),164,362,125,288,425,169,235,170,196,170,186,207,198
軽工業品紙・パルプ,移入(千トン),1125,1134,1307,1422,1595,1162,1403,1385,1329,1400,1368,1279,1904
軽工業品紙・パルプ,計(千トン),1288,1497,1432,1710,2020,1331,1638,1554,1525,1571,1555,1487,2101
軽工業品砂糖,移出(千トン),16,16,13,10,15,15,12,12,14,12,11,12,13
軽工業品砂糖,移入(千トン),50,42,47,72,71,67,51,48,46,54,44,48,54
軽工業品砂糖,計(千トン),66,58,60,82,87,82,63,60,60,67,55,60,67
軽工業品その他,移出(千トン),171,230,256,292,355,403,487,512,504,486,458,457,709
軽工業品その他,移入(千トン),72,93,94,116,142,216,254,247,239,224,270,249,322
軽工業品その他,計(千トン),243,323,350,408,497,619,740,759,743,711,728,707,1031
雑工業品,移出(千トン),133,143,186,222,163,236,185,170,149,160,152,164,191
雑工業品,移入(千トン),41,30,31,83,53,128,84,81,65,63,70,63,114
雑工業品,計(千トン),174,173,217,305,216,364,269,251,214,223,222,227,305
特殊品金属くず,移出(千トン),4,0,1,1,1,1,1,1,1,1,1,1,2
特殊品金属くず,移入(千トン),3,2,3,3,5,9,9,9,7,9,10,9,8
特殊品金属くず,計(千トン),7,2,3,4,6,10,10,10,8,10,11,10,10
特殊品廃棄物(廃土砂),移出(千トン),1,1,2,1,1,1,1,3,5,4,5,4,4
特殊品廃棄物(廃土砂),移入(千トン),1,1,0,0,0,1,0,0,0,0,0,0,1
特殊品廃棄物(廃土砂),計(千トン),2,1,3,2,1,2,1,3,5,5,5,5,5
特殊物取寄せ品,移出(千トン),1148,1169,1446,1598,1784,1501,1966,1578,1426,1386,1877,1865,2081
特殊物取寄せ品,移入(千トン),669,779,1023,1290,1405,958,1420,977,816,780,1356,1351,1450
特殊物取寄せ品,計(千トン),1817,1947,2469,2888,3189,2459,3386,2555,2242,2166,3234,3216,3531
特殊品その他,移出(千トン),321,173,445,430,417,444,490,458,383,350,390,391,497
特殊品その他,移入(千トン),94,77,47,45,139,124,172,147,150,173,175,185,185
特殊品その他,計(千トン),415,249,492,475,556,567,662,605,533,523,566,576,682
分別不能のもの,移出(千トン),,,,,,,,,,,,,
分別不能のもの,移入(千トン),,,,,,,,,,,,,
分別不能のもの,計(千トン),,,,,,,,,,,,,
フェリー,移出(千トン),,,,,,,,,,,,,
フェリー,移入(千トン),,,,,,,,,,,,,
フェリー,計(千トン),,,,,,,,,,,,,
合計（ベース貨物）,移出(千トン),3225,3484,4285,4893,5221,5328,6035,5263,5018,4822,5262,5509,6688
合計（ベース貨物）,移入(千トン),2652,2898,3412,3868,4278,4093,4830,4207,3862,3815,4429,4356,5701
合計（ベース貨物）,計(千トン),5877,6382,7697,8761,9499,9420,10865,9470,8880,8638,9692,9865,12389
