外内別,種別,トン階級,実績値H13,実績値H14,実績値H15,実績値H16,実績値H17,実績値H18,実績値H19,実績値H20,実績値H21,実績値H22,実績値（参考）H23,実績値（参考）H24
外航,うち客船,3000～5999（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,6000～9999（隻）,,2,1,-,-,1,1,-,-,-,-,-
外航,うち客船,10000～19999（隻）,2,1,1,-,-,-,-,-,-,-,-,-
外航,うち客船,20000～29999（隻）,19,13,4,7,2,4,3,3,1,1,-,4
外航,うち客船,30000～39999（隻）,-,-,1,3,-,-,-,-,-,1,-,1
外航,うち客船,40000～49999（隻）,-,-,-,3,1,1,-,-,3,-,-,-
外航,うち客船,50000～59999（隻）,-,-,-,-,-,1,1,1,5,-,-,-
外航,うち客船,60000～69999（隻）,-,1,-,-,-,-,-,-,1,-,-,-
外航,うち客船,70000～79999（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,80000～89999（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,90000～99999（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,100000～（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,うち客船,小計,21,17,7,14,3,7,5,4,10,2,-,5
外航,その他貨物船等,5～99（隻）,-,-,-,-,-,-,-,-,-,-,-,-
外航,その他貨物船等,100～499（隻）,1,7,3,1,3,2,4,12,10,3,4,2
外航,その他貨物船等,500～999（隻）,63,54,38,34,40,21,12,6,9,4,3,5
外航,その他貨物船等,1000～2999（隻）,345,376,506,461,502,482,487,413,369,457,369,423
外航,その他貨物船等,3000～5999（隻）,433,448,445,356,296,198,159,106,111,80,43,41
外航,その他貨物船等,6000～9999（隻）,120,112,84,150,235,258,231,210,239,253,245,211
外航,その他貨物船等,10000～19999（隻）,163,158,132,120,121,113,109,106,87,67,72,39
外航,その他貨物船等,20000～29999（隻）,63,60,48,38,33,33,22,20,12,17,28,20
外航,その他貨物船等,30000～39999（隻）,19,12,10,7,7,10,9,5,6,5,19,8
外航,その他貨物船等,40000～49999（隻）,1,-,16,24,18,8,3,7,6,6,6,7
外航,その他貨物船等,50000～59999（隻）,1,1,1,-,-,-,-,-,1,-,-,1
外航,その他貨物船等,60000～69999（隻）,-,2,3,2,-,-,2,2,1,3,2,-
外航,その他貨物船等,小計,1209,1230,1286,1193,1255,1125,1038,887,851,895,791,757
