運航社[スペースチャーター],寄港地,配船数[配船間隔],投入船船名,投入船ＴＥＵ,投入船ＤＷＴ,利用ターミナル
川崎汽船三井商船[ＡＰＬＣＯＳＣＯＥｖｅｒｇｒｅｅｎＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],神戸/塩田/厦門/ロングビーチ/オークランド/東京名古屋/香港,５隻３５日ラウンド（土、月、ウィークリー）,ＭＯＬＥＸＰＬＯＲＥＲＥＸＰＥＲＯＥＮＣＥ,4803,62953,大井Ｏ3/4
川崎汽船三井商船[ＡＰＬＣＯＳＣＯＥｖｅｒｇｒｅｅｎＨａｎｊｉｎＨｙｕｎｄａｉＹａｎｇＭｉｎｇ],神戸/塩田/厦門/ロングビーチ/オークランド/東京名古屋/香港,５隻３５日ラウンド（土、月、ウィークリー）,ＲＨＬＣＯＮＤＴＡＮＴＩＡ,3620,57500,大井Ｏ3/4
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＡＩＣＨＡＹＢＲＩＤＧＥ,4432,52452,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＲＵＳＳＥＬＳＢＲＩＤＧＥ,4434,52452,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＲＯＯＫＬＹＮＢＲＩＤＧＥ,4432,52055,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＡＹＢＲＩＤＧＥ,4432,52118,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＡＮＧＫＯＫＢＲＩＤＧＥ,4432,52089,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＡＬＴＩＭＯＲＥＢＲＩＤＧＥ,4432,52184,大井Ｏ1/2
川崎汽船三井商船[ＣＯＳＣＯＨａｎｊｉｎＰＩＬＷａｎＨai],香港/塩田/厦門/ロングビーチ/オークランド/東京/名古屋/香港,７隻４９日ラウンド（日/月、ウィークリー）,ＢＥＡＲＭＯＵＮＴＡＩＮＢＲＩＤＧＥ,4434,52118,大井Ｏ1/2
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＣＡＳＣＡＤＥ,2169,30135,青海公共
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＰＡＣＩＦＩＣ,2169,30007,青海公共
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＤＩＳＣＯＶＥＲＲＹ,2169,30007,青海公共
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＣＯＬＵＭＢＩＡ,2048,44851,青海公共
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＯＬＹＭＰＩＡ,2048,44766,青海公共
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＲＡＩＮＩＥＲ,2048,44759,青海公共
WESTWOOD,大坂/名古屋/清水/東京/シアトル/バンクーバー(a)/※ロングビュー/※シアトル/※ポートランド/ひたちなか/清水/※横浜/※東京/釜山/大阪(b)/シアトル/苫小牧/釜山/大阪(a)(b)を交互に運航,７隻４９日ラウンド（木、ウィークリー）,ＷＥＳＴＷＯＯＤＶＩＣＴＯＲＩＡ,2048,44851,青海公共
