年度,市民プール_総数(人),市民プール_大人(人),市民プール_生徒(人),市民プール_子ども(人),市民プール(ナイター)_総数(人),市民プール(ナイター)_大人(人),市民プール(ナイター)_生徒(人),市民プール(ナイター)_子ども(人),美好水遊び広場_総数(人),美好水遊び広場_大人(人),美好水遊び広場_生徒(人),美好水遊び広場_子ども(人),小柳プール_総数(人),小柳プール_大人(人),小柳プール_生徒(人),小柳プール_子ども(人),総合プール_総数(人),総合プール_大人(人),総合プール_生徒(人),総合プール_子ども(人),西府プール_総数(人),西府プール_大人(人),西府プール_生徒(人),西府プール_子ども(人),白糸台プール_総数(人),白糸台プール_大人(人),白糸台プール_生徒(人),白糸台プール_子ども(人),武蔵台プール_総数(人),武蔵台プール_大人(人),武蔵台プール_生徒(人),武蔵台プール_子ども(人),新町プール_総数(人),新町プール_大人(人),新町プール_生徒(人),新町プール_子ども(人)
2000,14545,7108,252,7185,2342,1468,172,702,11093,4676,2,6415,11258,3526,40,7692,104299,46833,1916,55550,7578,2466,42,5070,11577,3587,99,7891,11537,3499,63,7975,9779,3119,32,6628
2001,7994,3916,182,3896,1639,1063,124,452,7470,3131,5,4334,7225,2156,32,5037,67570,29526,1273,36771,5147,1647,42,3458,7138,2084,68,4986,7339,2214,28,5097,6865,2115,23,4727
2002,10504,5359,151,4994,2600,1691,110,799,11931,4982,8,6941,9896,3111,20,6765,98476,44647,1595,52234,7422,2420,35,4967,10226,3193,44,6989,10139,2940,101,7098,9719,3010,28,6681
2003,7984,3561,135,4288,1146,747,49,350,9114,3739,0,5375,7544,2087,20,5437,65934,28181,1234,36519,5945,1672,21,4252,7164,1934,17,5213,6922,1670,20,5232,7990,2269,22,5699
2004,12723,6205,207,6311,914,661,63,190,12815,6014,1,6800,8989,2620,8,6361,86086,38341,1191,46554,6841,1973,20,4848,9520,2751,56,6713,8597,2438,57,6102,9836,2866,40,6930
2005,11113,5974,164,4975,1131,768,61,302,11009,5092,2,5915,8160,2356,13,5791,91115,40451,1254,49410,5873,1717,16,4140,8928,2550,52,6326,8248,2202,43,6003,9353,2583,29,6741
2006,8227,4359,99,3769,854,570,22,262,10440,4872,4,5564,7079,1905,22,5152,78698,34489,872,43337,4955,1441,6,3508,7277,2144,50,5083,6973,1939,25,5009,7809,2154,13,5642
2007,11312,6239,121,4952,1453,978,35,440,11458,5302,7,6149,8150,2507,16,5627,96956,43509,941,52506,6174,2039,15,4120,9212,2768,28,6416,7914,2427,25,5462,9285,2877,21,6387
2008,10341,5665,84,4592,1227,816,29,382,10176,4949,3,5224,7863,2572,26,5265,89588,39658,1072,48858,5801,1846,24,3931,8923,2543,28,6352,6690,1937,22,4731,8572,2531,21,6020
2009,9382,5085,87,4210,816,513,50,253,10811,5387,6,5418,7476,2445,15,5016,90239,40077,827,49335,5283,1621,33,3629,7503,2179,23,5301,6334,1761,13,4560,7501,2217,23,5261
2010,12486,6983,121,5382,1416,993,52,371,14416,7364,4,7048,9191,3137,60,5994,118198,52868,1338,63992,6577,2341,12,4224,10649,2944,35,7670,8277,2669,36,5572,10523,3045,12,7466
2011,8157,4035,68,4054,1194,810,22,362,8855,4396,4,4455,5973,1805,28,4140,82439,35557,963,45919,4508,1490,27,2991,6675,1672,15,4988,5182,1518,9,3655,6729,1689,29,5011
2012,11360,5793,155,5412,1528,1001,24,503,12807,6439,9,6359,7881,2438,62,5381,95802,41518,1174,53110,6233,2047,28,4158,8435,2304,26,6105,7014,2263,25,4726,9156,2364,31,6761
2013,10086,5249,98,4739,1686,1061,76,549,11242,5630,5,5607,7026,2174,58,4794,95012,41065,1070,52877,6055,2050,26,3979,8020,2301,12,5707,6811,2195,32,4584,7869,2143,23,5703
2014,8487,4374,74,4039,1526,956,38,532,9746,4913,3,4830,5753,1873,54,3826,78756,33842,896,44018,5456,1709,21,3726,7286,2098,47,5141,5435,1815,23,3597,6387,1776,26,4585
2015,9124,4588,81,4455,1623,991,49,583,10864,5543,9,5312,6404,2063,22,4319,80508,34737,925,44846,5683,1886,24,3773,7999,2373,23,5603,5824,2025,19,3780,6460,1929,22,4509
2016,8072,3758,95,4219,1201,703,58,440,10771,5645,1,5125,5069,1523,24,3522,77198,32227,877,44094,6087,1873,13,4201,7877,2124,30,5723,5001,1563,25,3413,6253,1733,16,4504
2017,6918,3338,72,3508,795,470,54,271,11011,5629,2,5380,4276,1334,9,2933,56747,23221,611,32915,5782,1729,15,4038,6824,1873,32,4919,4779,1594,20,3165,5895,1632,8,4255
2018,8882,4501,97,4284,1123,680,36,407,13136,6929,4,6203,5001,1565,11,3425,73513,31838,670,41005,6325,1848,13,4464,7729,2310,16,5403,5800,1944,19,3837,5515,1794,15,3706
2019,7249,3438,81,3730,1331,776,61,494,11788,6067,5,5716,3949,1164,2,2783,68083,28845,618,38620,5365,1344,28,3993,6303,1888,9,4406,4892,1572,16,3304,5587,1602,24,3961
2020,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2022,6179,3529,45,2605,928,570,18,340,6307,3073,1,3233,…,…,…,…,45780,20473,598,24709,4672,1714,14,2944,…,…,…,…,…,…,…,…,…,…,…,…
2023,7446,4276,45,3125,1118,688,13,417,7069,3556,3,3510,…,…,…,…,69114,31153,839,37122,4502,1686,27,2789,…,…,…,…,…,…,…,…,…,…,…,…
