年度,総合体育館_総数(人),総合体育館_大人(人),総合体育館_子ども(人),朝日体育館_総数(人),朝日体育館_大人(人),朝日体育館_子ども(人),栄町体育館_総数(人),栄町体育館_大人(人),栄町体育館_子ども(人),四谷体育館_総数(人),四谷体育館_大人(人),四谷体育館_子ども(人),日吉体育館_総数(人),日吉体育館_大人(人),日吉体育館_子ども(人),白糸台体育館_総数(人),白糸台体育館_大人(人),白糸台体育館_子ども(人),押立体育館_総数(人),押立体育館_大人(人),押立体育館_子ども(人),本宿体育館_総数(人),本宿体育館_大人(人),本宿体育館_子ども(人)
1997,91956,81143,10813,1531,1313,218,17188,12712,4476,12992,9389,3603,3835,3394,441,15302,10217,5085,24758,16553,8205,22584,16591,5993
1998,95237,82818,12419,1874,1636,238,17500,12641,4859,13131,9355,3776,3388,3053,335,17569,11550,6019,22239,14880,7359,24864,18480,6384
1999,87549,77919,9630,1839,1667,172,15471,10713,4758,13009,8022,4987,3149,2716,433,15414,10693,4721,22942,15199,7743,23995,17032,6963
2000,81048,72863,8185,1967,1776,191,17167,12239,4928,14024,10022,4002,3647,3166,481,14957,10598,4359,22937,15763,7174,23658,18284,5374
2001,85648,77448,8200,1606,1462,144,17136,12626,4510,14675,10006,4669,3962,3317,645,14876,10296,4580,23707,17796,5911,22597,17739,4858
2002,92796,82861,9935,2021,1809,212,19943,14801,5142,12898,8186,4712,4620,3266,1354,16217,10674,5543,23398,17200,6198,21336,16121,5215
2003,87192,77590,9602,1852,1568,284,15325,12038,3287,17123,10380,6743,4584,3028,1556,15173,9839,5334,25215,18775,6440,24404,18428,5976
2004,82703,73150,9553,1298,1113,185,17743,14279,3464,15703,10463,5240,4775,3117,1658,15165,10865,4300,24071,18101,5970,22661,16643,6018
2005,78062,70159,7903,2542,1782,760,17232,13575,3657,12987,8242,4745,4856,3656,1200,17891,11483,6408,21666,15708,5958,19002,12500,6502
2006,74999,67883,7116,1067,965,102,16259,13903,2356,13590,11081,2509,4975,3879,1096,13332,10648,2684,22291,17294,4997,20854,17200,3654
2007,70830,64235,6595,1061,947,114,16955,13403,3552,13777,11142,2635,4849,3556,1293,12703,10227,2476,21572,17078,4494,18072,14922,3150
2008,74784,66571,8213,956,744,212,18403,14729,3674,15016,10539,4477,4223,3259,964,13803,10578,3225,21840,16403,5437,18974,15180,3794
2009,76247,67832,8415,1802,1408,394,16679,13451,3228,12510,8643,3867,4749,3387,1362,15368,11597,3771,20937,16760,4177,18718,14807,3911
2010,72894,65187,7707,1737,1603,134,15951,13046,2905,13838,9239,4599,4238,3369,869,12992,10239,2753,17828,14418,3410,16467,13293,3174
2011,73473,66839,6634,2444,2177,267,16162,12494,3668,13682,9733,3949,4333,3221,1112,13471,10075,3396,17210,13963,3247,17153,14160,2993
2012,77581,69920,7661,2532,2062,470,16717,13226,3491,15486,10720,4766,4550,3389,1161,12089,9043,3046,18357,15163,3194,16987,13130,3857
2013,75386,67678,7708,1812,1617,195,15253,12064,3189,16009,11019,4990,4467,3188,1279,11727,8368,3359,18339,13438,4901,16442,11993,4449
2014,80485,71894,8591,2116,1875,241,17401,13819,3582,16751,10856,5895,5085,3398,1687,13232,8680,4552,18522,13529,4993,16453,12431,4022
2015,84996,75990,9006,1773,1472,301,19011,14377,4634,16351,9932,6419,5247,3547,1700,13292,8571,4721,18161,13399,4762,16123,11936,4187
2016,83629,75321,8308,1751,1280,471,19640,14041,5599,16896,9766,7130,5843,3766,2077,14401,9388,5013,18868,13090,5778,18250,12261,5989
2017,83536,75191,8345,1801,1363,438,18259,13376,4883,17068,10379,6689,6516,4287,2229,9228,6074,3154,17815,12908,4907,12561,8489,4072
2018,78017,70575,7442,1753,1603,150,17990,12889,5101,10397,6160,4237,6716,4968,1748,14783,10147,4636,11226,7942,3284,17226,11750,5476
2019,34868,32326,2542,1488,1177,311,10442,7823,2619,15297,9287,6010,7131,5082,2049,14327,9600,4727,16221,11524,4697,16375,11419,4956
2020,0,0,0,765,530,235,9875,7773,2102,7982,5466,2516,3142,2281,861,7942,5580,2362,7966,6238,1728,10865,8584,2281
2021,26770,22435,4335,514,251,263,11747,8439,3308,8576,5428,3148,3784,2246,1538,9026,6227,2799,9851,6891,2960,13224,9882,3342
2022,41913,36939,4974,…,…,…,14435,10736,3699,11279,7148,4131,5009,3490,1519,7276,5268,2008,12236,8534,3702,9929,7493,2436
2023,52346,44466,7880,…,…,…,15562,10604,4958,8287,4935,3352,5233,3645,1588,11886,8513,3373,9335,6216,3119,14478,10994,3484
