年度,中央文化センター_児童館利用者数,中央文化センター_高齢者福祉館利用者数,中央文化センター_施設稼働回数,白糸台文化センター_児童館利用者数,白糸台文化センター_高齢者福祉館利用者数,白糸台文化センター_施設稼働回数,西府文化センター_児童館利用者数,西府文化センター_高齢者福祉館利用者数,西府文化センター_施設稼働回数,武蔵台文化センター_児童館利用者数,武蔵台文化センター_高齢者福祉館利用者数,武蔵台文化センター_施設稼働回数,新町文化センター_児童館利用者数,新町文化センター_高齢者福祉館利用者数,新町文化センター_施設稼働回数,住吉文化センター_児童館利用者数,住吉文化センター_高齢者福祉館利用者数,住吉文化センター_施設稼働回数,是政文化センター_児童館利用者数,是政文化センター_高齢者福祉館利用者数,是政文化センター_施設稼働回数,紅葉丘文化センター_児童館利用者数,紅葉丘文化センター_高齢者福祉館利用者数,紅葉丘文化センター_施設稼働回数,押立文化センター_児童館利用者数,押立文化センター_高齢者福祉館利用者数,押立文化センター_施設稼働回数,四谷文化センター_児童館利用者数,四谷文化センター_高齢者福祉館利用者数,四谷文化センター_施設稼働回数,片町文化センター_児童館利用者数,片町文化センター_高齢者福祉館利用者数,片町文化センター_施設稼働回数
1986,80621,82497,7431,59095,34117,3117,92167,39574,2813,50308,34789,2752,57938,45085,2900,71700,43898,2719,77958,33017,2677,52250,32178,3008,24529,5383,1723,42114,10396,1809,…,…,…
1987,51702,73149,5362,62291,38380,2898,84156,37772,2503,45517,38897,2727,49711,42319,2448,132108,67627,2411,90011,36335,2319,34734,27164,2469,22230,4839,1586,44201,16005,1728,28056,29348,1490
1988,50826,43759,6626,39502,35672,3995,59538,20126,3993,40201,28397,3588,41846,18492,3877,50807,28247,4296,59287,21601,3943,35184,18762,3237,13050,3752,2209,29154,11005,2848,50137,43322,4058
1989,35752,52409,12146,21104,33925,6414,38618,20935,5808,42363,32589,5809,24140,24054,6467,31937,29091,6204,37732,22872,5956,28816,23071,5874,13844,6027,2905,27992,12399,4673,41177,36449,7569
1990,36054,50394,12414,14946,27821,6579,30130,18900,5902,32362,30938,6720,17185,16525,6085,35243,28174,6691,29692,21037,6144,27707,24499,6358,11984,6877,2651,29312,14191,3220,29032,34145,8098
1991,37723,55569,12539,12158,27746,5756,31888,18295,6184,32241,33317,6820,25723,24151,5614,38789,27406,6964,33948,22110,6574,20279,21356,6036,14395,7968,2617,29075,15430,3253,27491,38480,8169
1992,19674,25214,6930,10531,22706,7952,26322,16667,6342,30264,32538,5435,21840,24027,5658,36766,23858,7178,25674,18543,7191,18185,18892,5692,12410,6840,3039,21847,16094,3299,31284,44041,8353
1993,28205,42254,9789,8558,21216,8014,21679,15779,5967,21020,27309,5658,17801,23638,5383,29320,20121,6463,21395,17208,6671,17139,19499,5513,11460,6200,2957,19784,14340,3283,24353,39499,8574
1994,36885,49731,12065,8837,20467,7690,21087,14863,6108,20708,31218,5651,17004,22940,5634,28150,19672,6160,24574,18387,6648,17625,19966,5334,11964,5696,2757,19655,14395,3054,20740,34617,7918
1995,35017,62626,12172,9684,17696,7609,21052,14846,6243,19528,27528,5886,14803,19040,5755,24581,17079,6040,21107,16033,6693,15889,18709,5209,10976,6832,2915,17452,12853,3043,20162,30493,8026
1996,36565,59750,11371,16668,23964,6494,17663,13359,5974,14020,27694,5921,13935,15464,5632,25234,17315,5760,23884,16978,6589,14999,20194,4999,11638,6329,2751,14069,11204,2964,18502,26414,7911
1997,32633,53876,11485,6631,9057,1890,15543,13959,6062,12604,25067,5844,15201,15666,5708,20863,14855,5313,23194,18154,6905,17037,21758,5389,11145,6038,2689,14337,12347,2964,16802,24588,7756
1998,30972,53003,12177,23434,24396,6782,15305,14724,6114,13550,16673,4930,14786,14982,5170,19984,16614,6590,18877,14105,6035,17827,19136,4874,12812,6206,3318,14444,12431,2994,15787,22408,7751
1999,30794,51002,11982,25111,27056,7135,13577,14268,6108,13236,19663,4914,17470,16131,5100,21784,16467,6710,10847,11031,6096,16540,17338,5060,13555,7603,3241,17690,14380,2972,15849,20596,7725
2000,33645,34326,12082,27577,30137,7353,6541,7658,3144,14185,20763,4894,18377,15587,5153,24815,16736,6858,8391,8846,6078,23282,19037,5018,15120,8950,3064,25953,18538,2938,15788,21120,7975
2001,32489,33806,12458,26222,26408,7523,9851,11233,5047,17098,22347,4816,15148,15457,5096,21944,18390,6770,18987,12565,6106,27688,19791,5180,15871,11182,3135,23680,21165,2935,16484,22403,7792
2002,33950,34593,12832,27166,26639,7873,13248,15728,5976,17881,22779,4754,20415,16208,5063,26060,18783,6888,22349,15714,6275,30967,24163,5316,15839,10692,3212,32547,27641,2922,15015,21011,7566
2003,44102,47769,12383,31047,29023,7987,24208,23021,6073,15139,14218,2700,19601,15547,5133,23119,17902,6838,30774,18297,6378,34300,27539,5420,21202,13737,3357,33459,28694,2844,15770,19885,7754
2004,50051,53965,12559,29764,28190,8001,24582,22188,5985,18787,23101,4725,8802,9823,2611,21580,14858,6879,36243,21972,6186,33386,25548,5410,23588,15238,3334,28623,27785,2942,26180,23206,7915
2005,43191,51742,12815,30144,31169,7701,23520,23182,6131,19373,22823,4741,17517,15047,5111,9079,6100,3561,29246,17856,6182,34783,25423,5627,27349,17740,3376,23792,24892,2965,19078,23547,8106
2006,35047,48006,12567,27202,30060,6553,22076,23159,5719,19368,23603,4761,13430,15035,5133,13807,11695,6872,14184,8038,3000,34320,25327,5695,19438,14930,2652,19107,14930,2909,17111,21999,7984
2007,34478,47775,13423,30126,29124,6799,22577,22622,5873,21244,22782,4811,15175,15691,4966,21643,17136,6968,28670,18081,5687,15796,13489,2787,15135,11656,2839,17373,13754,2967,24657,30382,8222
2008,24915,46725,12533,27006,25003,6370,24092,21713,5956,19318,24587,4799,18031,17685,4945,17947,17134,7005,24880,17786,5586,31324,24045,5478,20303,11594,2640,10458,7269,1687,31040,35903,7862
2009,21768,45097,13030,24745,27176,6224,28012,22502,6102,18338,23061,4827,20237,21728,4899,18479,15610,7003,26696,20443,5558,28401,33710,5762,20497,14082,2735,10387,6420,2168,22864,27342,7817
2010,20088,41359,12916,22480,22908,6090,26583,24939,6353,16872,21437,4831,17272,17757,4962,20317,16569,7069,30666,19597,5470,26771,36719,5919,22581,14419,2762,11725,7374,2714,19741,23969,7347
2011,9148,12938,7643,19259,19785,6269,25784,22563,5294,18059,18075,4919,18327,23451,5190,21029,13574,7237,29687,17011,5438,25726,31050,6234,17649,12908,2725,11429,5321,2686,20399,25206,7452
2012,13526,17395,8192,21696,22709,6303,25238,23748,5412,17126,19480,4907,19623,25312,5293,22061,14609,6954,31293,18317,5373,23237,29031,6452,13997,13757,2732,10211,4842,2783,27591,27118,7272
2013,23908,36573,12689,22339,26380,6099,24855,25520,6424,17082,18761,4809,19303,21761,5026,22917,14302,6964,31503,21337,5714,22155,26410,6702,5794,5646,1199,8799,4482,2957,32410,24483,6981
2014,26999,39937,13066,22772,23684,6166,24649,25984,5396,15950,19585,4661,19209,25223,5086,22363,18600,6842,34127,21487,5556,20642,25930,6133,2508,827,533,8325,4961,3012,30100,23120,6188
2015,30812,42447,12975,22708,22564,6055,25250,25788,5501,15589,20178,4327,19110,25821,5074,19577,13315,6707,29805,20572,5462,20873,24915,6037,25199,5930,3666,8399,5440,2857,31908,24176,6974
2016,32531,39636,13134,26702,25859,5931,26599,24289,5421,22577,26619,4362,18896,24327,4951,23892,16721,5404,28920,23265,4655,22437,29577,5904,26798,8926,3378,17492,8968,2823,31156,27138,6987
2017,31291,38135,12584,25495,25986,5739,26421,22352,5278,20265,22774,4358,20316,22474,4869,24794,17581,5766,27104,15550,4565,22201,29447,5912,21319,8617,3505,17163,9774,2813,26174,22245,6870
2018,27295,35121,12524,22944,25541,5569,38347,21753,5129,21228,25806,4236,20550,19393,4723,19226,16112,5774,24338,12922,4389,20111,26937,5724,21665,9680,3402,16195,10033,2770,25120,23696,6719
2019,22107,24726,12341,21788,23168,5511,35901,19587,4837,18626,22941,4165,13438,14539,4616,14339,10978,5647,19780,12616,4583,18661,20481,5592,18392,8005,3420,12854,6099,2618,22343,20717,6595
2020,2147,2227,5695,3017,1588,2662,1541,506,2334,2593,586,2002,1282,688,2651,2856,1281,2724,2245,892,2059,2690,425,2594,1323,630,1770,2302,787,1210,1793,920,3071
2021,3661,1689,7455,5305,731,3678,5843,1051,3210,4884,905,2790,1964,958,3294,4663,1306,3911,4132,1326,2893,5090,401,3582,2476,708,2420,3547,1020,1782,3926,997,4301
2022,3639,3300,10821,6649,1719,4936,6856,2627,4460,4781,2165,3872,2061,2437,4328,7946,4154,5310,5475,2864,4071,6893,690,5323,2739,1720,3206,3204,2316,2359,4063,1937,6098
2023,5833,3660,11405,7991,1929,5219,9185,2408,4749,5716,2274,3855,3511,2598,4259,10116,4761,5481,6676,3110,4340,9136,671,5430,2829,1675,3377,3843,2919,2508,4575,1316,6156
