時点,病院_施設数,病院_病床数_総数,病院_病床数_一般,病院_病床数_療養型,病院_病床数_結核,病院_病床数_精神,病院_病床数_感染症,一般診療所_施設数_総数,一般診療所_施設数_有床,一般診療所_施設数_無床,一般診療所_病床数_総数,一般診療所_病床数_一般,一般診療所_病床数_療養型,歯科診療所_施設数_総数,歯科診療所_施設数_有床,歯科診療所_施設数_無床,助産所_施設数_総数,助産所_施設数_有床,助産所_施設数_無床,施術所_総数,施術所_あマ指・はり・きゅう,施術所_柔道整復,歯科技工所,薬局
1999/3/31,12,2757,1999,…,48,710,0,152,18,134,103,103,…,120,…,…,1,0,1,147,…,…,35,78
2000/3/31,12,2803,2027,…,48,728,0,156,19,137,135,135,…,121,…,…,2,0,2,151,…,…,36,84
2001/3/31,12,2811,2035,…,48,728,0,163,19,144,135,135,…,123,…,…,4,0,4,158,…,…,36,83
2002/3/31,12,2790,2020,…,48,722,0,167,19,148,128,128,…,128,…,…,5,0,5,161,…,…,34,86
2003/3/31,13,2914,2144,…,48,722,0,174,19,155,128,128,…,130,…,…,5,0,5,148,…,…,33,86
2004/3/31,13,3087,2349,…,48,690,0,172,16,156,100,100,…,133,…,…,7,0,7,149,…,…,32,89
2005/3/31,13,3113,2178,197,48,690,0,176,17,159,132,117,15,…,…,…,7,0,7,159,…,…,33,91
2006/3/31,14,3074,2173,163,48,690,0,177,15,162,110,95,15,…,…,…,8,0,8,160,…,…,31,95
2007/3/31,14,3116,2165,213,48,690,0,176,12,164,91,76,15,137,0,137,9,0,9,181,121,60,30,97
2008/3/31,14,3472,2263,256,60,893,0,178,12,166,84,69,15,135,0,135,9,0,9,183,121,62,31,99
2009/3/31,15,3321,2067,236,60,958,0,178,12,166,84,69,15,135,0,135,9,0,9,197,131,66,32,104
2010/3/31,15,3659,2405,236,60,958,0,185,11,174,78,63,15,138,0,138,9,0,9,197,129,68,33,105
2011/3/31,15,3117,1872,240,60,945,0,178,10,168,68,53,15,138,0,138,8,0,8,212,137,75,34,105
2012/3/31,15,3651,2401,245,60,945,0,180,9,171,65,50,15,141,0,141,8,0,8,209,136,73,32,105
2013/3/31,16,3627,2359,267,60,941,0,187,7,180,61,46,15,143,0,143,7,0,7,221,140,81,28,107
2014/3/31,15,3627,2343,283,60,941,0,183,6,177,61,46,15,145,0,145,7,0,7,220,142,78,28,106
2015/3/31,15,3627,2343,283,60,941,0,183,6,177,61,46,15,145,0,145,7,0,7,217,139,78,30,109
2016/3/31,15,3625,2388,238,60,939,0,186,6,180,61,46,15,150,0,150,7,0,7,218,139,79,31,115
2017/3/31,15,3635,2388,248,60,939,0,184,5,179,58,43,15,152,0,152,7,0,7,233,149,84,31,115
2018/3/31,15,3611,2388,248,60,915,0,188,5,183,58,43,15,155,0,155,6,0,6,239,154,85,32,119
2019/3/31,14,3525,2367,248,60,850,0,186,5,181,58,43,15,153,0,153,6,0,6,229,147,82,31,120
2020/3/31,14,3616,2458,248,60,850,0,185,5,180,58,43,15,154,0,154,6,0,6,230,146,84,31,121
2021/3/31,14,3616,2458,248,60,850,0,183,5,178,58,43,15,152,0,152,7,1,6,232,148,84,31,121
2022/3/31,14,3568,2358,240,60,850,0,190,5,185,58,43,15,150,0,150,9,1,8,228,147,81,33,124
