時点,総数_延長(メートル),総数_面積(平方メートル),コンクリート_延長(メートル),コンクリート_面積(平方メートル),コンクリート平板_延長(メートル),コンクリート平板_面積(平方メートル),ブロック_延長(メートル),ブロック_面積(平方メートル),高級アスファルト_延長(メートル),高級アスファルト_面積(平方メートル),簡易_延長(メートル),簡易_面積(平方メートル),砂利_延長(メートル),砂利_面積(平方メートル),その他_延長(メートル),その他_面積(平方メートル)
2012/4/1,473412,3703718,3456,381906,503,32344,1169,59247,168811,1440655,284016,1633946,15457,35865,0,119755
2013/4/1,475162,3725359,3456,384663,503,32378,1185,60585,170088,1447135,284565,1641136,15365,35590,0,123872
2014/4/1,477348,3756614,3287,385924,503,32283,1185,61024,170413,1451243,287019,1668326,14941,34485,0,123329
2015/4/1,479525,3777972,3287,390290,503,32283,1269,67010,171854,1464678,288220,1665259,14392,33243,0,125209
2016/4/1,481553,3802342,3288,393218,503,32283,1308,67158,172818,1469086,289604,1682846,14032,32490,0,125261
2017/4/1,482340,3809375,2868,392031,503,32283,1219,67207,173632,1473648,290272,1686520,13846,32060,0,125626
2018/4/1,483835,3828444,2867,393691,851,32005,1219,70944,173738,1477048,291386,1697440,13744,31769,30,125547
2019/4/1,484520,3835985,2897,395591,965,33357,1219,72288,173916,1478607,291890,1698623,13633,31562,0,125957
2020/4/1,485102,3840302,2849,396276,963,33344,1219,72288,174006,1478585,292700,1702643,13365,31025,0,126141
2021/4/1,486100,3846705,2849,397484,963,33345,1219,72288,174123,1479787,293604,1706719,13342,30981,0,126101
2022/4/1,486887,3850382,2849,396272,963,36680,1219,71212,174299,1480789,294358,1708617,13199,30219,0,126593
2023/4/1,487587,3854421,2849,397369,1010,36940,1219,71212,174369,1481091,295066,1711304,13074,29909,0,126596
