時点,総数_公園数,総数_面積(100平方メートル),都市公園_住区基幹公園_公園総数,都市公園_住区基幹公園_面積(100平方メートル)総数,都市公園_住区基幹公園_街区公園(旧：児童公園)_公園数,都市公園_住区基幹公園_街区公園(旧：児童公園)_面積(100平方メートル),都市公園_住区基幹公園_近隣公園_公園数,都市公園_住区基幹公園_近隣公園_面積(100平方メートル),都市公園_住区基幹公園_地区公園_公園数,都市公園_住区基幹公園_地区公園_公園面積(100平方メートル),都市公園_都市基幹公園_総合公園_公園数,都市公園_都市基幹公園_総合公園_面積(100平方メートル),都市公園_都市基幹公園_運動公園_公園数,都市公園_都市基幹公園_運動公園_面積(100平方メートル),都市公園_広場_公園数,都市公園_広場_公園面積(100平方メートル),都市公園_特殊公園_公園数,都市公園_特殊公園_面積(100平方メートル),都市公園_特殊公園風致公園_公園数,都市公園_特殊公園風致公園_面積(100平方メートル),都市公園_特殊公園墓園_数,都市公園_特殊公園墓園_面積(100平方メートル),都市公園_広域公園_公園数,都市公園_広域公園_面積(100平方メートル),都市公園_都市緑地・緩衡緑地_数,都市公園_都市緑地・緩衡緑地_面積(100平方メートル),都市公園_緑道_数,都市公園_緑道_面積(100平方メートル),児童遊園_数,児童遊園_面積(100平方メートル),その他_公園数,その他_公園面積(100平方メートル)
1998/3/31,256,26402,200,25802,164,2149,8,1060,2,980,2,4955,2,3120,…,…,…,…,3,2087,1,10302,0,0,3,51,15,1098,56,600,0,0
1999/3/31,260,26430,203,25824,167,2164,8,1060,2,980,2,4955,2,3120,…,…,…,…,3,2111,1,10302,0,0,3,51,15,1081,57,606,0,0
2000/3/31,262,26431,206,25833,170,2173,8,1060,2,980,2,4955,2,3120,…,…,…,…,3,2111,1,10302,0,0,3,51,15,1081,56,598,0,0
2001/3/31,263,26451,207,25852,170,2178,8,1060,2,980,2,4955,2,3120,…,…,…,…,3,2121,1,10302,0,0,4,55,15,1081,56,599,0,0
2002/3/31,269,16283,212,15694,176,2219,8,1115,2,980,2,4955,2,3120,…,…,3,2169,…,…,…,…,0,0,4,55,15,1081,57,589,0,0
2003/3/31,299,16597,219,16440,177,2298,9,1115,2,980,2,4955,2,3120,4,13,…,…,3,2169,…,…,1,648,4,55,15,1087,0,0,80,157
2004/3/31,309,17060,228,16553,178,2308,9,1115,2,980,2,4955,2,3120,4,13,…,…,3,2169,…,…,1,648,12,158,15,1087,0,0,81,507
2005/3/31,312,17104,230,16594,179,2311,9,1115,2,980,2,4964,2,3120,4,13,…,…,3,2169,…,…,1,648,13,185,15,1089,0,0,82,510
2006/3/31,314,17143,232,16634,180,2319,9,1115,2,980,2,4964,2,3120,4,13,3,2182,…,…,…,…,1,648,13,200,16,1093,0,0,82,509
2007/3/31,319,17312,236,16797,182,2339,10,1187,2,980,2,4964,2,3120,4,13,3,2182,…,…,…,…,1,705,14,214,16,1093,0,0,83,515
2008/3/31,323,17510,238,16990,184,2366,10,1187,2,980,2,4964,2,3120,4,13,3,2182,…,…,…,…,1,871,14,214,16,1093,0,0,85,520
2009/3/31,326,17688,241,17169,188,2392,10,1187,2,980,2,5064,2,3120,4,13,3,2182,…,…,…,…,1,901,14,229,15,1101,0,0,85,519
2010/3/31,350,18160,248,17321,194,2460,10,1187,2,980,2,5069,2,3120,4,13,4,2188,…,…,…,…,1,938,14,254,15,1112,0,0,102,839
2011/3/31,352,18269,275,17685,216,2695,10,1187,2,980,2,5069,2,3130,4,13,4,2188,…,…,…,…,1,938,18,288,16,1197,0,0,77,584
2012/3/31,350,18292,274,17710,215,2686,10,1187,2,980,2,5074,2,3130,4,13,4,2188,…,…,…,…,1,938,18,317,16,1197,0,0,76,582
2013/3/31,351,18311,275,17729,215,2691,10,1187,2,980,2,5084,2,3130,4,13,4,2188,…,…,…,…,1,938,18,317,17,1201,0,0,76,582
2014/3/31,352,18353,278,17795,217,2708,10,1187,2,980,2,5101,2,3134,4,13,4,2189,…,…,…,…,1,938,19,344,17,1201,0,0,74,558
2015/3/31,353,18412,278,17852,217,2733,10,1187,2,980,2,5101,2,3134,4,13,4,2211,…,…,…,…,1,938,19,354,17,1201,…,…,75,560
2016/3/31,354,18398,278,17836,217,2730,10,1187,2,980,2,5101,2,3118,4,13,4,2211,…,…,…,…,1,938,19,354,17,1204,…,…,76,562
2017/3/31,353,18394,277,17832,217,2730,10,1187,2,980,2,5101,2,3118,4,13,4,2211,…,…,…,…,1,938,18,350,17,1204,…,…,76,562
2018/3/31,354,18453,278,17891,218,2744,10,1187,2,980,2,5101,2,3118,4,13,4,2256,…,…,…,…,1,938,18,350,17,1204,…,…,76,562
2019/3/31,354,18453,278,17891,218,2744,10,1187,2,980,2,5101,2,3118,4,13,4,2256,…,…,…,…,1,938,18,350,17,1204,…,…,76,562
2020/3/31,347,18548,274,17991,214,2714,10,1297,2,980,2,5101,2,3118,4,13,4,2276,…,…,…,…,1,938,18,350,17,1204,…,…,73,557
2021/3/31,367,18631,276,18040,216,2763,10,1297,2,980,2,5101,2,3118,4,13,4,2276,…,…,…,…,1,938,18,350,17,1204,…,…,91,591
2022/3/31,375,18711,276,18043,216,2765,10,1297,2,980,2,5101,2,3118,4,13,4,2277,…,…,…,…,1,938,18,350,17,1204,…,…,99,668
2023/3/31,375,18711,276,18043,216,2765,10,1297,2,980,2,5101,2,3118,4,13,4,2277,…,…,…,…,1,938,18,350,17,1204,…,…,99,668
2024/3/31,375,18724,277,18069,217,2791,10,1297,2,980,2,5101,2,3118,4,13,4,2277,…,…,…,…,1,938,18,350,17,1204,…,…,98,655
