時点,総数,総数_一般(人),総数_児童(人),中央図書館_総数(人),中央図書館_一般(人),中央図書館_児童(人),移動図書館_総数(人),移動図書館_一般(人),移動図書館_児童(人),白糸台図書館_総数(人),白糸台図書館_一般(人),白糸台図書館_児童(人),西府図書館_総数(人),西府図書館_一般(人),西府図書館_児童(人),武蔵台図書館_総数(人),武蔵台図書館_一般(人),武蔵台図書館_児童(人),新町図書館_総数(人),新町図書館_一般(人),新町図書館_児童(人),住吉図書館_総数(人),住吉図書館_一般(人),住吉図書館_児童(人),是政図書館_総数(人),是政図書館_一般(人),是政図書館_児童(人),紅葉丘図書館_総数(人),紅葉丘図書館_一般(人),紅葉丘図書館_児童(人),押立図書館_総数(人),押立図書館_一般(人),押立図書館_児童(人),四谷図書館_総数(人),四谷図書館_一般(人),四谷図書館_児童(人),片町図書館_総数(人),片町図書館_一般(人),片町図書館_児童(人),中文・桜通り図書館_総数(人),中文・桜通り図書館_一般(人),中文・桜通り図書館_児童(人),宮町図書館_総数(人),宮町図書館_一般(人),宮町図書館_児童(人),生涯学習センター図書館_総数(人),生涯学習センター図書館_一般(人),生涯学習センター図書館_児童(人),,,,,押立図書館_総数(人),押立図書館_一般(人),押立図書館_児童(人)
1985/3/31,86435,46043,40392,32935,22088,10847,3202,1424,1778,6242,3305,2937,5841,2211,3630,6783,3404,3379,6933,3241,3692,7795,3463,4332,6280,2673,3607,6257,3036,3221,1333,374,959,1298,345,953,…,…,…,1536,479,1057,…,…,…,…,…,…,,,,,,,
1986/3/31,50036,27297,22739,21366,14654,6712,1750,791,959,3356,1812,1544,3058,1149,1909,3615,1812,1803,3642,1579,2063,4165,1805,2360,3619,1448,2171,2784,1370,1414,619,192,427,530,154,376,…,…,…,1532,531,1001,…,…,…,…,…,…,,,,,,,
1987/3/31,64823,36023,28800,27613,19351,8262,2123,955,1168,4134,2264,1870,3761,1477,2284,4705,2413,2292,4676,2116,2560,5241,2327,2914,4537,1806,2731,3612,1780,1832,1161,431,730,1239,400,839,…,…,…,2021,703,1318,…,…,…,…,…,…,,,,,,,
1988/3/31,64148,34846,29302,16909,12952,3957,2720,1332,1388,4870,2720,2150,4462,1838,2624,5718,3005,2713,5744,2639,3105,6344,2941,3403,5618,2286,3332,4333,2152,2181,1540,583,957,1685,597,1088,1524,830,694,2681,971,1710,…,…,…,…,…,…,,,,,,,
1989/3/31,78079,43123,34956,22010,16963,5047,2913,1418,1495,6204,3426,2778,5301,2271,3030,5849,3073,2776,7958,3784,4174,6478,3003,3475,6025,2493,3532,5087,2529,2558,2068,781,1287,2393,881,1512,2341,1267,1074,3452,1234,2218,…,…,…,…,…,…,,,,,,,
1990/3/31,86394,48791,37603,25238,19703,5535,3078,1505,1573,6646,3722,2924,5569,2432,3137,6587,3526,3061,8638,4187,4451,7056,3338,3718,6299,2667,3632,5495,2757,2738,2470,974,1496,2751,1078,1673,2801,1547,1254,3766,1355,2411,…,…,…,…,…,…,,,,,,,
1991/3/31,95306,55336,39970,29939,23874,6065,3180,1561,1619,7018,3962,3056,5760,2522,3238,7195,3915,3280,9084,4451,4633,7569,3638,3931,6563,2815,3748,5927,2992,2935,2716,1096,1620,3078,1260,1818,3227,1800,1427,4050,1450,2600,…,…,…,…,…,…,,,,,,,
1992/3/31,102535,60626,41909,33464,26996,6468,3265,1599,1666,7343,4170,3173,5958,2655,3303,7708,4243,3465,9455,4671,4784,8004,3919,4085,6765,2925,3840,6341,3245,3096,2975,1225,1750,3359,1414,1945,3602,2023,1579,4296,1541,2755,…,…,…,…,…,…,,,,,,,
1993/3/31,110825,66897,43928,38384,31333,7051,3375,1654,1721,7630,4342,3288,6071,2716,3355,8260,4594,3666,9672,4793,4879,8463,4200,4263,6880,2989,3891,6784,3499,3285,3209,1338,1871,3611,1558,2053,3996,2271,1725,4490,1610,2880,…,…,…,…,…,…,,,,,,,
1994/3/31,62038,45693,16345,29610,24982,4628,446,234,212,3539,2463,1076,2045,1309,736,2590,1670,920,3103,2099,1004,3663,2599,1064,4088,2433,1655,2828,1858,970,1575,844,731,1575,878,697,2842,1724,1118,960,447,513,…,…,…,3174,2153,1021,,,,,,,
1995/3/31,81320,60730,20590,39970,34357,5613,625,334,291,4470,3107,1363,2629,1646,983,3530,2282,1248,3940,2619,1321,4477,3148,1329,4812,2848,1964,3600,2348,1252,1878,1013,865,2025,1143,882,3487,2131,1356,1385,646,739,…,…,…,4492,3108,1384,,,,,,,
1996/3/31,96773,72604,24169,48734,41973,6761,704,383,321,5147,3568,1579,2995,1867,1128,4196,2733,1463,4519,2987,1532,5130,3572,1558,5377,3201,2176,4183,2694,1489,2105,1122,983,2411,1345,1066,4031,2498,1533,1689,788,901,…,…,…,5552,3873,1679,,,,,,,
1997/3/31,110736,83125,27611,56859,49088,7771,799,440,359,5733,3736,1997,3313,2063,1250,4790,3139,1651,4975,3270,1705,5714,3928,1786,5830,3462,2368,4625,2982,1643,2342,1241,1101,2732,1504,1228,4484,2772,1712,1973,918,1055,…,…,…,6567,4582,1985,,,,,,,
1998/3/31,123535,93085,30450,64673,55889,8784,896,503,393,5916,3858,2058,3618,2270,1348,5250,3434,1816,5375,3503,1872,6197,4255,1942,6246,3719,2527,5095,3250,1845,2547,1362,1185,2985,1636,1349,4874,3014,1860,2213,1047,1166,…,…,…,7650,5345,2305,,,,,,,
1999/3/31,61193,47755,13438,29881,25930,3951,271,164,107,3714,2807,907,1846,1267,579,2601,1878,723,2551,1821,730,2985,2228,757,2873,1945,928,2623,1795,828,1229,794,435,1508,968,540,2778,1848,930,1889,1046,843,…,…,…,4444,3264,1180,,,,,,,
2000/3/31,82585,64669,17916,41707,36360,5347,…,…,…,4777,3580,1197,2433,1668,765,3593,2541,1052,3321,2308,1013,3938,2939,999,3610,2420,1190,3401,2294,1107,1576,987,589,1934,1238,696,3431,2263,1168,2467,1316,1151,…,…,…,6397,4755,1642,,,,,,,
2001/3/31,96149,75415,20734,49352,43205,6147,…,…,…,5488,4084,1404,2650,1807,843,4110,2896,1214,3743,2561,1182,4531,3349,1182,3986,2651,1335,3913,2611,1302,1756,1093,663,2276,1460,816,3846,2539,1307,2871,1510,1361,…,…,…,7627,5649,1978,,,,,,,
2002/3/31,109314,85905,23409,56952,50055,6897,…,…,…,6201,4585,1616,2978,1994,984,4551,3198,1353,4122,2798,1324,5037,3707,1330,4294,2841,1453,4327,2883,1444,1934,1187,747,2577,1645,932,4220,2775,1445,3149,1636,1513,…,…,…,8972,6601,2371,,,,,,,
2003/3/31,121851,95636,26215,64324,56641,7683,…,…,…,6894,5017,1877,3264,2145,1119,4962,3458,1504,4476,2993,1483,5524,4018,1506,4624,3018,1606,4696,3106,1590,2087,1270,817,2909,1833,1076,4563,2996,1567,3454,1763,1691,…,…,…,10074,7378,2696,,,,,,,
2004/3/31,133556,104739,28817,71320,62862,8458,…,…,…,7464,5389,2075,3541,2315,1226,5232,3612,1620,4742,3162,1580,6004,4315,1689,4927,3186,1741,5063,3343,1720,2227,1342,885,3290,2044,1246,4872,3162,1710,3773,1898,1875,…,…,…,11101,8109,2992,,,,,,,
2005/3/31,145077,112991,32086,78314,68424,9890,…,…,…,8007,5728,2279,3806,2458,1348,5622,3863,1759,4901,3242,1659,6482,4600,1882,5232,3351,1881,5457,3578,1879,2376,1418,958,3572,2193,1379,5210,3361,1849,4053,2010,2043,…,…,…,12045,8765,3280,,,,,,,
2006/3/31,155771,120648,35123,84703,73552,11151,…,…,…,8460,6018,2442,4075,2613,1462,5988,4083,1905,5143,3386,1757,6817,4800,2017,5675,3589,2086,5779,3785,1994,2526,1493,1033,3900,2366,1534,5519,3537,1982,4307,2106,2201,…,…,…,12879,9320,3559,,,,,,,
2007/3/31,131969,110541,21428,71073,63975,7098,…,…,…,7715,6086,1629,3477,2555,922,5045,3927,1118,3923,3021,902,5790,4573,1217,4291,3161,1130,4727,3638,1089,1724,1198,526,3620,2598,1022,4490,3380,1110,3796,2362,1434,…,…,…,12298,10067,2231,,,,,,,
2008/3/31,134716,116321,18395,73717,66427,7290,…,…,…,7861,6534,1327,3491,2739,752,5044,4182,862,3801,3142,659,5957,4920,1037,4323,3435,888,4546,3772,774,1723,1302,421,3646,2826,820,4492,3711,781,…,…,…,3926,2852,1074,12189,10479,1710,,,,,,,
2009/3/31,141038,122159,18879,79612,71129,8483,…,…,…,7900,6645,1255,3586,2858,728,4988,4197,791,3714,3113,601,6001,5001,1000,4377,3544,833,4527,3768,759,1770,1366,404,3562,2787,775,4470,3757,713,…,…,…,4760,3778,982,11771,10216,1555,,,,,,,
2010/3/31,153888,131967,21921,88221,77833,10388,…,…,…,8344,6970,1374,3917,3109,808,5383,4488,895,3958,3263,695,6467,5286,1181,4615,3696,919,4815,3947,868,1914,1471,443,3738,2870,868,4729,3955,774,…,…,…,5462,4430,1032,12325,10649,1676,,,,,,,
2011/3/31,159224,134836,24388,93577,81461,12116,…,…,…,8312,6879,1433,4013,3128,885,5465,4478,987,3929,3185,744,6591,5280,1311,4700,3695,1005,4850,3902,948,3778,2828,950,1960,1478,482,5219,4241,978,…,…,…,4787,3946,841,12043,10335,1708,,,,,,,
2012/3/31,161989,139493,22496,96281,83845,12436,…,…,…,8281,7111,1170,4103,3338,765,5563,4741,822,3875,3272,603,6586,5468,1118,4725,3839,886,4845,4051,794,1968,1566,402,3773,3007,766,4796,4101,695,…,…,…,5505,4781,724,11688,10373,1315,,,,,,,
2013/3/31,158585,138321,20264,95757,83222,12535,…,…,…,7834,6940,894,3977,3379,598,5541,4870,671,3622,3168,454,6304,5416,888,4472,3766,706,4583,3960,623,1896,1584,312,3539,2942,597,4607,4088,519,…,…,…,5514,4998,516,10939,9988,951,,,,,,,
2014/3/31,158361,138112,20249,97208,84066,13142,…,…,…,7535,6748,787,3941,3396,545,5361,4734,627,3620,3209,411,6112,5251,861,4349,3676,673,4472,3881,591,1813,1538,275,3449,2895,554,4541,4024,517,…,…,…,5544,5117,427,10416,9577,839,,,,,,,
2015/3/31,158579,138444,20135,98410,84796,13614,…,…,…,7400,6707,693,3947,3432,515,5303,4719,584,3562,3169,393,6085,5296,789,4251,3620,631,4387,3827,560,1788,1546,242,3324,2843,481,4480,4007,473,…,…,…,5596,5208,388,10046,9274,772,,,,,,,
2016/3/31,160103,139927,20176,100179,86153,14026,…,…,…,7255,6633,622,3955,3480,475,5216,4682,534,3500,3151,349,6058,5318,740,4246,3658,588,4397,3868,529,1925,1644,281,3317,2879,438,4506,4032,474,…,…,…,5747,5372,375,9802,9057,745,,,,,,,
2017/3/31,159871,139677,20194,100717,86387,14330,…,…,…,7119,6549,570,3961,3489,472,5118,4601,517,3403,3071,332,5898,5213,685,4184,3653,531,4388,3891,497,2024,1707,317,3264,2849,415,4521,4087,434,…,…,…,5776,5403,373,9498,8777,721,,,,,,,
2018/3/31,155524,135259,20265,98488,83887,14601,…,…,…,6828,6272,556,3942,3465,477,4973,4461,512,3243,2920,323,5667,5029,638,4017,3527,490,4232,3766,466,2021,1682,339,3192,2817,375,4483,4051,432,…,…,…,5240,4871,369,9198,8511,687,,,,,,,
2019/3/31,151479,131098,20381,96665,81889,14776,…,…,…,6524,6001,523,3827,3329,498,4743,4230,513,3060,2750,310,5421,4822,599,3875,3399,476,4076,3640,436,2060,1707,353,3120,2729,391,4436,4000,436,…,…,…,4848,4483,365,8824,8119,705,,,,,,,
2020/3/31,147640,127668,19972,94423,79785,14638,…,…,…,6322,5842,480,3737,3234,503,4527,4049,478,2932,2644,288,5238,4687,551,3653,3234,419,3904,3463,441,2076,1713,363,3032,2642,390,4380,3945,435,…,…,…,4988,4641,347,8428,7789,639,,,,,,,
2021/3/31,141511,123306,18205,90601,77267,13334,…,…,…,6068,5606,462,3581,3123,458,4213,3789,424,2804,2550,254,5006,4513,493,3445,3089,356,3726,3326,400,2053,1719,334,2905,2558,347,4261,3833,428,…,…,…,4773,4445,328,8075,7488,587,,,,,,,
2022/3/31,137959,120517,17442,88318,75658,12660,…,…,…,5926,5461,465,3518,3087,431,4091,3670,421,2665,2422,243,4868,4397,471,3329,2959,370,3664,3260,404,2135,1782,353,2817,2483,334,4194,3786,408,…,…,…,4639,4314,325,7795,7238,557,,,,,,,
2023/3/31,133180,114351,18829,84839,71572,13267,…,…,…,5760,5206,554,3469,2961,508,3964,3489,475,2581,2290,291,4721,4179,542,3191,2774,417,3560,3092,468,2231,1826,405,2724,2329,395,4083,3613,470,…,…,…,4532,4144,388,7525,6876,649,,,,,,,
2024/3/31,130211,111941,18270,83459,70480,12979,…,…,…,5603,5021,582,3361,2892,469,3768,3331,437,2453,2187,266,4546,4061,485,3041,2652,389,3429,2990,439,2236,1858,378,2655,2262,393,3951,3498,453,…,…,…,4461,4072,389,7248,6637,611,,,,,,,
