時点,総数,総数_一般(冊),総数_児童(冊),中央図書館_総数(冊),中央図書館_一般(冊),中央図書館_児童(冊),白糸台図書館_総数(冊),白糸台図書館_一般(冊),白糸台図書館_児童(冊),西府図書館_総数(冊),西府図書館_一般(冊),西府図書館_児童(冊),武蔵台図書館_総数(冊),武蔵台図書館_一般(冊),武蔵台図書館_児童(冊),新町図書館_総数(冊),新町図書館_一般(冊),新町図書館_児童(冊),住吉図書館_総数(冊),住吉図書館_一般(冊),住吉図書館_児童(冊),是政図書館_総数(冊),是政図書館_一般(冊),是政図書館_児童(冊),紅葉丘図書館_総数(冊),紅葉丘図書館_一般(冊),紅葉丘図書館_児童(冊),押立図書館_総数(冊),押立図書館_一般(冊),押立図書館_児童(冊),四谷図書館_総数(冊),四谷図書館_一般(冊),四谷図書館_児童(冊),片町図書館_総数(冊),片町図書館_一般(冊),片町図書館_児童(冊),中文・桜通り図書館_総数(冊),中文・桜通り図書館_一般(冊),中文・桜通り図書館_児童(冊),宮町図書館_総数(冊),宮町図書館_一般(冊),宮町図書館_児童(冊),生涯学習センター図書館_総数(冊),生涯学習センター図書館_一般(冊),生涯学習センター図書館_児童(冊),テーマブックス_総数(冊),テーマブックス_一般(冊),テーマブックス_児童(冊),保存書庫_総数(冊),保存書庫_一般(冊),保存書庫_児童(冊)
1991/3/31,829867,603226,226641,387751,325487,62264,62025,38471,23554,50538,29522,21016,50903,33547,17356,52257,35172,17085,54612,37929,16683,44981,30815,14166,52489,36153,16336,11382,4913,6469,20072,10927,9145,25320,14638,10682,17537,5652,11885,…,…,…,…,…,…,…,…,…,…,…,…
1992/3/31,877581,639526,238055,420906,349659,71247,59675,37536,22139,50899,34712,16187,52451,34365,18086,48266,33745,14521,55403,38233,17170,52710,33208,19502,55504,38015,17489,12031,5168,6863,22499,12074,10425,28599,16484,12115,18638,6327,12311,…,…,…,…,…,…,…,…,…,…,…,…
1993/3/31,919009,673892,245117,443157,376285,66872,65327,40184,25143,54032,31543,22489,53659,35261,18398,55635,37061,18574,55005,37779,17226,46445,31161,15284,52984,35572,17412,11725,5271,6454,23843,12937,10906,30839,18108,12731,19617,6937,12680,…,…,…,6741,5793,948,…,…,…,…,…,…
1994/3/31,974110,717113,256997,468657,398921,69736,68008,42336,25672,57681,34299,23382,54646,36095,18551,58090,38957,19133,56891,39439,17452,48008,32256,15752,55698,37365,18333,12579,5846,6733,25354,13819,11535,33262,19835,13427,21094,7757,13337,…,…,…,14142,10188,3954,…,…,…,…,…,…
1995/3/31,1016661,753890,262771,493350,421244,72106,69597,43439,26158,61191,36893,24298,53180,35211,17969,60481,40792,19689,58909,40767,18142,45975,32046,13929,58381,39338,19043,12528,5892,6636,26613,14606,12007,35689,21593,14096,22251,8345,13906,…,…,…,18516,13724,4792,…,…,…,…,…,…
1996/3/31,1065578,791222,274356,520048,443586,76462,71494,44682,26812,64411,39328,25083,55110,36342,18768,62465,42040,20425,59920,41353,18567,46896,32903,13993,60952,40983,19969,12376,5721,6655,28027,15398,12629,37619,22802,14817,23298,8818,14480,…,…,…,22962,17266,5696,…,…,…,…,…,…
1997/3/31,1098343,818794,279549,415345,350486,64859,71787,45174,26613,67187,41530,25657,55862,36920,18942,63773,42933,20840,61492,42422,19070,47511,33619,13892,62624,42365,20259,12287,5812,6475,29620,16323,13297,38590,23542,15048,23975,9084,14891,…,…,…,26352,19932,6420,…,…,…,121938,108652,13286
1998/3/31,1117222,836312,280910,428054,362188,65866,65125,40173,24952,65918,40972,24946,56062,37330,18732,62216,42337,19879,61805,42421,19384,47993,34097,13896,60827,40140,20687,12157,6026,6131,30557,16827,13730,39198,24029,15169,24397,9386,15011,…,…,…,30151,22642,7509,…,…,…,132762,117744,15018
1999/3/31,1132008,848873,283135,423196,357988,65208,65220,40399,24821,65265,40389,24876,53893,35585,18308,62388,42514,19874,59922,41110,18812,49782,35198,14584,61066,40364,20702,11991,5893,6098,31087,17051,14036,40444,24707,15737,25472,9942,15530,…,…,…,33818,25418,8400,…,…,…,148464,132315,16149
2000/3/31,1144009,858270,285739,413007,348154,64853,64518,39556,24962,63830,39252,24578,52314,34422,17892,62342,42168,20174,58509,39550,18959,50679,35677,15002,60380,39741,20639,11577,5495,6082,31131,16921,14210,40560,24401,16159,26246,10360,15886,…,…,…,36524,27676,8848,…,…,…,172392,154897,17495
2001/3/31,1160432,868946,291486,413610,347109,66501,63469,38114,25355,62712,37522,25190,52588,34230,18358,61083,40454,20629,58264,38881,19383,51228,35578,15650,60544,39671,20873,11587,5477,6110,31001,16519,14482,40998,24432,16566,26287,10082,16205,…,…,…,38987,29558,9429,…,…,…,188074,171319,16755
2002/3/31,1182884,885835,297049,428261,359507,68754,64760,38971,25789,63709,38032,25677,54126,35293,18833,62466,41699,20767,57486,38316,19170,51560,35741,15819,60734,39615,21119,11827,5625,6202,31692,16863,14829,41606,24797,16809,26562,10053,16509,…,…,…,41357,31311,10046,…,…,…,186738,170012,16726
2003/3/31,1182977,890398,292579,414897,353278,61619,61174,36141,25033,62382,37864,24518,53116,34878,18238,54471,35645,18826,55180,36176,19004,52562,36382,16180,56842,36953,19889,12086,5868,6218,31324,16901,14423,41052,24410,16642,25806,8946,16860,…,…,…,41731,31424,10307,…,…,…,220354,195532,24822
2004/3/31,1192626,898826,293800,418741,356286,62455,59056,34621,24435,62942,38325,24617,54081,35439,18642,55234,35967,19267,54328,35905,18423,47886,32369,15517,55571,35657,19914,11963,5861,6102,32251,17517,14734,42865,25602,17263,26364,9206,17158,…,…,…,43095,32491,10604,…,…,…,228249,203580,24669
2005/3/31,1181122,893452,287670,412614,349520,63094,52506,30578,21928,57881,37655,20226,50894,34310,16584,52863,34934,17929,53956,36268,17688,50642,31314,19328,54439,35871,18568,12271,6134,6137,29746,16837,12909,40152,23482,16670,24606,7543,17063,…,…,…,45675,33873,11802,…,…,…,242877,215133,27744
2006/3/31,1188882,897745,291137,429253,361969,67284,51521,29719,21802,55540,35578,19962,49520,32994,16526,48217,31209,17008,53549,35607,17942,47371,29421,17950,51642,33162,18480,12186,6144,6042,29655,16705,12950,39641,23016,16625,24493,7497,16996,…,…,…,46425,34160,12265,…,…,…,249869,220564,29305
2007/3/31,1199611,907767,291844,387001,324331,62670,51699,29485,22214,57188,36666,20522,50450,33781,16669,47172,30823,16349,54482,35999,18483,46587,28321,18266,52319,33599,18720,12430,6332,6098,29270,16291,12979,38713,22944,15769,24824,7638,17186,…,…,…,48173,35290,12883,…,…,…,299303,266267,33036
2008/3/31,1302657,979437,323220,787342,661562,125780,52877,30090,22787,56927,36185,20742,51644,34274,17370,47964,31160,16804,55466,36359,19107,47620,29382,18238,41933,25474,16459,12295,6141,6154,29767,16559,13208,38500,22611,15889,…,…,…,30608,13418,17190,49714,36222,13492,…,…,…,…,…,…
2009/3/31,1303002,978096,324906,787809,660839,126970,52710,30002,22708,53165,33753,19412,51278,33725,17553,47179,30382,16797,53811,35305,18506,48391,29704,18687,43245,26364,16881,12423,6229,6194,30161,16744,13417,39595,23302,16293,…,…,…,32960,15244,17716,50275,36503,13772,…,…,…,…,…,…
2010/3/31,1309824,989031,320793,808008,679558,128450,53589,30453,23136,50387,31103,19284,49973,32685,17288,46590,29790,16800,51329,34506,16823,47474,28827,18647,43903,26735,17168,12251,6237,6014,30296,16638,13658,37435,22208,15227,…,…,…,29512,14699,14813,49077,35592,13485,…,…,…,…,…,…
2011/3/31,1332262,1007692,324570,830045,698329,131716,53411,30660,22751,49346,29916,19430,50250,33074,17176,46567,29584,16983,51087,34152,16935,46943,28151,18792,44399,27290,17109,12606,6403,6203,29842,16547,13295,37244,21857,15387,…,…,…,31661,16545,15116,48861,35184,13677,…,…,…,…,…,…
2012/3/31,1351795,1024959,326836,851035,716696,134339,53541,30712,22829,49686,30357,19329,50619,33247,17372,42955,26980,15975,51218,33976,17242,46509,27803,18706,44157,27276,16881,13048,6703,6345,29364,16241,13123,36811,21424,15387,…,…,…,33214,17705,15509,49638,35839,13799,…,…,…,…,…,…
2013/3/31,1375472,1045750,329722,870705,734418,136287,53737,30765,22972,49398,30100,19298,50902,33341,17561,42620,27167,15453,51442,33944,17498,46668,28280,18388,44569,27435,17134,12660,6494,6166,29784,16486,13298,37731,21918,15813,…,…,…,34439,18685,15754,50817,36717,14100,…,…,…,…,…,…
2014/3/31,1397404,1064779,332625,889305,751864,137441,54176,31057,23119,49226,29931,19295,51258,33483,17775,42254,26893,15361,50715,33423,17292,46806,28112,18694,44904,27668,17236,12733,6581,6152,29935,16560,13375,38388,22250,16138,…,…,…,35693,19388,16305,52011,37569,14442,…,…,…,…,…,…
2015/3/31,1417370,1081344,336026,905083,766824,138259,53551,30871,22680,49146,29930,19216,49902,32565,17337,41646,26515,15131,50179,32797,17382,46859,28111,18748,45041,27527,17514,18415,9637,8778,30324,16828,13496,37736,21647,16089,…,…,…,36757,19999,16758,52731,38093,14638,…,…,…,…,…,…
2016/3/31,1438010,1098181,339829,924995,784389,140606,53155,30910,22245,49096,29526,19570,50602,33057,17545,41701,26466,15235,48132,31095,17037,46089,27208,18881,45380,27687,17693,19145,10174,8971,30743,16996,13747,37263,21004,16259,…,…,…,37239,20323,16916,54470,39346,15124,…,…,…,…,…,…
2017/3/31,1458830,1115333,343497,945287,802779,142508,53415,30973,22442,48717,28926,19791,49714,32264,17450,41708,26416,15292,46679,29684,16995,45899,27067,18832,44763,27047,17716,20464,10999,9465,31083,17210,13873,37362,20977,16385,…,…,…,37685,20539,17146,56054,40452,15602,…,…,…,…,…,…
2018/3/31,1478516,1132384,346132,962384,818169,144215,53860,31230,22630,49044,29028,20016,50043,32464,17579,42034,26796,15238,45761,28833,16928,45626,26880,18746,45262,27482,17780,21698,11830,9868,31080,17176,13904,37247,20794,16453,…,…,…,37269,20427,16842,57208,41275,15933,…,…,…,…,…,…
2019/3/31,1498898,1149621,349277,981493,835094,146399,53808,31227,22581,49388,29391,19997,50132,32634,17498,42637,27290,15347,44688,27441,17247,44267,25825,18442,45283,27483,17800,22568,12511,10057,31150,17227,13923,38166,21231,16935,…,…,…,37235,20576,16659,58083,41691,16392,…,…,…,…,…,…
2020/3/31,1520057,1166992,353065,999400,850655,148745,53920,31107,22813,49556,29319,20237,49803,32391,17412,43408,27784,15624,44907,27425,17482,44277,25741,18536,45638,27512,18126,23265,13072,10193,31047,17223,13824,38597,21608,16989,…,…,…,36694,20439,16255,59545,42716,16829,…,…,…,…,…,…
2021/3/31,1537099,1182117,354982,1014013,863713,150300,52998,30649,22349,49861,29428,20433,50757,33136,17621,44370,28429,15941,44474,27363,17111,44539,25930,18609,46711,28046,18665,23880,13576,10304,29525,16537,12988,38827,21519,17308,…,…,…,36779,20407,16372,60365,43384,16981,…,…,…,…,…,…
2022/3/31,1549323,1193634,355689,1028886,877502,151384,52529,30524,22005,49826,29401,20425,50213,32587,17626,44596,28405,16191,45270,27993,17277,43610,25165,18445,45936,27770,18166,24553,13898,10655,28448,15696,12752,38809,21402,17407,…,…,…,35902,20115,15787,60745,43176,17569,…,…,…,…,…,…
2023/3/31,1565409,1207294,358115,1041381,888422,152959,51493,31106,20387,50161,29596,20565,49821,32084,17737,44401,28347,16054,46189,28572,17617,44353,25538,18815,46375,27967,18408,29451,16329,13122,25410,14417,10993,36281,20461,15820,…,…,…,38629,21272,17357,61464,43183,18281,…,…,…,…,…,…
2024/3/31,1572175,1212979,359196,1053213,898051,155162,50376,30392,19984,48991,28703,20288,48674,31042,17632,43952,28070,15882,46038,28566,17472,44498,25551,18947,45200,27051,18149,25310,14417,10893,29904,16546,13358,38090,21048,17042,…,…,…,36299,20467,15832,61630,43075,18555,…,…,…,…,…,…
