時点,総数_棟数,総数_床面積(平方メートル),木造家屋_総数_棟数,木造家屋_総数_床面積(平方メートル),木造家屋_専用住宅_棟数,木造家屋_専用住宅_床面積(平方メートル),木造家屋_共同住宅・寄宿舎_棟数,木造家屋_共同住宅・寄宿舎_床面積(平方メートル),木造家屋_併用住宅_棟数,木造家屋_併用住宅_床面積(平方メートル),木造家屋_農家、養蚕、漁業者住宅_棟数,木造家屋_農家、養蚕、漁業者住宅_床面積(平方メートル),木造家屋_旅館、料亭、ホテル_棟数,木造家屋_旅館、料亭、ホテル_床面積(平方メートル),木造家屋_事務所、銀行、店舗_棟数,木造家屋_事務所、銀行、店舗_床面積(平方メートル),木造家屋_劇場、病院_棟数,木造家屋_劇場、病院_床面積(平方メートル),木造家屋_公衆浴場_棟数,木造家屋_公衆浴場_床面積(平方メートル),木造家屋_工場、倉庫_棟数,木造家屋_工場、倉庫_床面積(平方メートル),木造家屋_土蔵_棟数,木造家屋_土蔵_床面積(平方メートル),木造家屋_附属家_棟数,木造家屋_附属家_床面積(平方メートル),非木造家屋_総数_棟数,非木造家屋_総数_床面積(平方メートル),非木造家屋_事務所、店舗、百貨店_棟数,非木造家屋_事務所、店舗、百貨店_床面積(平方メートル),非木造家屋_住宅、アパート_棟数,非木造家屋_住宅、アパート_床面積(平方メートル),非木造家屋_病院、ホテル_棟数,非木造家屋_病院、ホテル_床面積(平方メートル),非木造家屋_工場、倉庫、市場_棟数,非木造家屋_工場、倉庫、市場_床面積(平方メートル),非木造家屋_その他_棟数,非木造家屋_その他_床面積(平方メートル)
2011/1/1,53779,10987679,38669,3918498,31777,3105009,2994,491858,1620,194004,72,10028,0,0,357,29331,22,2772,4,1384,239,31350,96,3207,1488,49555,15110,7069181,1274,1537786,10706,3805340,90,133515,1212,1051416,1828,541124
2012/1/1,54041,11097015,38850,3947266,32076,3139800,2973,491207,1591,191270,71,9774,0,0,348,28957,22,2795,4,1384,237,30799,95,3178,1433,48102,15191,7149749,1264,1539020,10858,3888244,93,136059,1176,1044528,1800,541898
2013/1/1,54363,11166856,39062,3966202,32399,3171731,2954,489769,1565,187642,69,9497,0,0,342,28643,22,2714,4,1384,231,25038,91,3081,1385,46703,15301,7200654,1255,1540821,10992,3948788,94,136250,1159,1045403,1801,529392
2014/1/1,54623,11318206,39188,3985247,32664,3201724,2911,485700,1539,184069,66,9025,0,0,335,27898,22,2714,4,1384,220,24227,89,3041,1338,45465,15435,7332959,1281,1582641,11099,4042609,90,134345,1144,1034889,1821,538475
2015/1/1,53960,11324008,38949,4020221,32798,3253959,2850,485857,1479,181089,0,0,0,0,275,25830,21,2697,0,0,192,24632,83,2917,1251,43240,15011,7303787,1192,1491338,10928,4182803,89,131786,1067,1038876,1735,458984
2016/1/1,54410,11498234,39296,4061007,33256,3300632,2831,484850,1446,177196,0,0,0,0,276,25908,20,2910,0,0,185,24199,82,2939,1200,42373,15114,7437236,1196,1557285,11033,4238069,92,135852,1060,1032524,1733,473506
2017/1/1,54840,11590354,39648,4096546,33694,3341854,2828,487975,1404,172276,0,0,0,0,267,26181,21,3160,0,0,179,20538,78,2822,1177,41740,15192,7493808,1193,1568953,11132,4285908,92,135613,1052,1029784,1723,473550
2018/1/1,55067,11701164,39884,4125371,34021,3374362,2816,489587,1375,169033,0,0,0,0,271,26712,20,3062,0,0,171,19029,78,2822,1132,40764,15183,7575793,1181,1624307,11174,4310345,95,136245,1042,1030859,1691,474037
2019/1/1,55334,11799807,40099,4151713,34335,3405723,2800,489686,1340,164435,0,0,0,0,268,26790,22,3253,0,0,168,19396,76,2754,1090,39676,15235,7648094,1189,1627473,11233,4379150,95,137681,1036,1030273,1682,473517
2020/1/1,55670,11887499,40401,4179617,34742,3442627,2779,490383,1303,159759,0,0,0,0,271,27698,21,3152,0,0,165,14751,74,2709,1046,38538,15269,7707882,1190,1614929,11282,4404910,95,137582,1030,1077531,1672,472930
2021/1/1,55825,11857968,40718,4216838,35168,3481785,2758,494552,1260,154039,0,0,0,0,262,27485,23,3704,0,0,162,14677,72,2647,1013,37949,15107,7641130,1154,1594199,11221,4397381,83,123436,1003,1064259,1646,461855
2022/1/1,56461,11999156,41093,4257952,35590,3521331,2761,496978,1242,152285,0,0,0,0,267,29104,23,3965,0,0,157,14491,70,2592,983,37206,44589,7741204,1187,1615662,11409,4440464,93,143809,1028,1073954,1651,467315
2023/1/1,56777,12062223,41381,4285987,35965,3556347,2736,494265,1201,147666,0,0,0,0,273,30042,23,3965,0,0,157,14680,71,2617,955,36405,15396,7776236,1182,1614234,11440,4464992,95,147761,1034,1102461,1645,446788
