年度,総数_許可件数,総数_手数料(円),市許可_総計_単位,市許可_総計_件数,市許可_総計_手数料(円),市許可_広告板・広告塔_単位,市許可_広告板・広告塔_件数,市許可_広告板・広告塔_手数料(円),市許可_立看板_単位,市許可_立看板_件数,市許可_立看板_手数料(円),市許可_はり紙・はり札・ポスター_単位,市許可_はり紙・はり札・ポスター_件数,市許可_はり紙・はり札・ポスター_手数料(円),市許可_広告幕ほか_単位,市許可_広告幕ほか_件数,市許可_広告幕ほか_手数料(円),市許可_アドバルーン_基,市許可_アドバルーン_件数,市許可_アドバルーン_手数料(円),都許可_総計_単位,都許可_総計_件数,都許可_総計_手数料(円),都許可_広告塔_単位,都許可_広告塔_件数,都許可_広告塔_手数料(円),都許可_広告板_単位,都許可_広告板_件数,都許可_広告板_手数料(円),都許可_アーチほか_単位,都許可_アーチほか_件数,都許可_アーチほか_手数料(円)
1980,127,1370686,3833,89,328186,29,13,75000,3113,67,249040,691,9,4146,0,0,0,…,…,…,43,38,1042500,28,27,918000,15,11,124500,…,…,…
1981,106,720640,4436,84,313640,9,2,13500,3697,74,295760,730,8,4380,0,0,0,…,…,…,281,22,407000,122,7,183000,159,15,224000,…,…,…
1982,118,1737310,2994,77,334550,54,9,97200,2586,59,232740,350,8,2450,4,1,2160,…,…,…,787,41,1402760,559,22,1006200,228,19,396560,…,…,…
1983,91,690190,2569,62,201830,10,2,18000,1999,54,179910,560,6,3920,0,0,0,…,…,…,279,29,488360,163,11,293400,116,18,194960,…,…,…
1984,93,1644525,2144,56,258525,58,9,104400,1681,40,151290,405,7,2835,0,0,0,…,…,…,770,37,1386000,534,20,961200,236,17,424800,0,0,0
1985,71,958770,1656,39,125370,8,1,14400,1198,32,107820,450,6,3150,0,0,0,…,…,…,463,32,833400,360,18,648000,103,14,185400,0,0,0
1986,76,1677650,1268,25,249050,48,7,86400,885,13,159300,335,5,3350,0,0,0,…,…,…,790,51,1428600,645,25,1161000,145,25,261000,0,1,6600
1987,59,1049790,997,23,147990,13,3,23400,675,15,121500,309,5,3090,0,0,0,…,…,…,501,36,901800,387,23,696600,114,13,205200,0,0,0
1988,76,1748920,760,22,178120,36,7,64800,624,14,112320,100,1,1000,0,0,0,…,…,…,871,54,1570800,613,23,1103400,258,30,464400,0,1,3000
1989,56,1265160,177,6,53760,12,2,21600,162,3,29160,0,0,0,3,1,3000,…,…,…,673,50,1211400,525,24,945000,148,26,266400,0,0,0
1990,52,1370140,342,10,74140,23,3,41400,168,5,30240,150,1,1500,1,1,1000,…,…,…,720,42,1296000,422,16,759600,298,26,536400,0,0,0
1991,37,640200,54,6,30000,11,3,19800,40,2,7200,0,0,0,3,1,3000,…,…,…,339,31,610200,226,12,406800,113,19,203400,0,0,0
1992,52,1601900,66,9,115000,46,8,110400,20,1,4600,0,0,0,0,0,0,…,…,…,617,43,1486900,454,18,1089600,162,24,388800,0,1,8500
1993,55,1617600,15,5,36000,15,5,36000,0,0,0,0,0,0,0,0,0,…,…,…,659,50,1581600,410,16,984000,249,34,597600,0,0,0
1994,67,1978400,55,13,123200,47,11,112800,0,0,0,0,0,0,8,2,10400,…,…,…,773,54,1855200,453,17,1087200,320,37,768000,0,0,0
1995,62,1439100,51,15,119100,48,13,115200,0,0,0,0,0,0,3,2,3900,…,…,…,550,47,1320000,333,19,799200,217,28,520800,0,0,0
1996,81,2495500,64,14,147000,58,13,139200,0,0,0,0,0,0,6,1,7800,…,…,…,975,67,2348500,452,16,1084800,523,50,1255200,0,1,8500
1997,67,1754400,72,17,172800,72,17,172800,0,0,0,0,0,0,0,0,0,…,…,…,659,50,1581600,445,19,1068000,214,31,513600,0,0,0
1998,80,2498400,63,18,151200,63,18,151200,0,0,0,0,0,0,0,0,0,…,…,…,978,62,2347200,437,18,1048800,541,44,1298400,0,0,0
1999,77,1830100,102,23,243700,101,22,242400,0,0,0,0,0,0,1,1,1300,…,…,…,661,54,1586400,375,19,900000,286,35,686400,0,0,0
2000,98,2810800,127,30,304800,127,30,304800,0,0,0,0,0,0,0,0,0,…,…,…,895,68,2506000,433,19,1212400,462,49,1293600,0,0,0
2001,86,2027600,132,31,316800,132,31,316800,0,0,0,0,0,0,0,0,0,…,…,…,611,55,1710800,259,13,725200,352,42,985600,0,0,0
2002,107,2772100,144,33,344500,143,32,343200,0,0,0,0,0,0,1,1,1300,…,…,…,867,74,2427600,298,12,834400,569,62,1593200,0,0,0
2003,92,2321220,161,41,376340,153,36,367200,0,0,0,0,0,0,8,5,9140,…,…,…,604,51,1944880,203,10,653660,401,41,1291220,0,0,0
2004,111,3302320,147,32,352800,147,32,352800,0,0,0,0,0,0,0,0,0,…,…,…,916,79,2949520,313,13,1007860,603,66,1941660,0,0,0
2005,69,1377140,68,20,163200,68,20,163200,0,0,0,0,0,0,0,0,0,…,…,…,377,49,1213940,150,10,483000,227,39,730940,0,0,0
2006,120,3389030,191,41,610170,186,36,598920,0,0,0,5,5,11250,0,0,0,…,…,…,863,79,2778860,283,13,911260,580,66,1867600,0,0,0
2007,178,4111330,381,88,1187570,362,74,1165640,0,0,0,1,1,2250,18,13,19680,…,…,…,908,90,2923760,425,19,1368500,483,71,1555260,0,0,0
2008,174,4242760,335,78,1032420,315,70,1014300,0,0,0,0,0,0,20,8,18120,…,…,…,997,96,3210340,368,17,1184960,629,79,2025380,0,0,0
2009,203,3801440,405,93,1280180,389,83,1252580,0,0,0,6,6,13500,10,4,14100,…,…,…,783,110,2521260,262,15,843640,521,95,1677620,0,0,0
2010,178,4207320,373,76,1145100,354,73,1139880,0,0,0,16,1,2250,3,2,2970,…,…,…,951,102,3062220,383,18,1233260,568,84,1828960,0,0,0
2011,210,4849320,508,98,1635760,508,98,1635760,0,0,0,0,0,0,0,0,0,…,…,…,998,112,3213560,319,14,1027180,679,98,2186380,0,0,0
2012,259,5817800,467,105,1503740,467,105,1503740,0,0,0,0,0,0,0,0,0,…,…,…,1340,154,4314060,379,19,1220380,959,134,3087980,2,1,5700
2013,204,4595430,501,98,1597610,494,93,1590680,0,0,0,0,0,0,7,5,6930,…,…,…,931,106,2997820,293,15,943460,638,91,2054360,0,0,0
2014,242,5657290,458,103,1458410,449,95,1445780,0,0,0,0,0,0,9,8,12630,…,…,…,1304,139,4198880,405,18,1304100,899,121,2894780,0,0,0
2015,220,3920220,452,101,1437600,444,95,1429680,0,0,0,0,0,0,8,6,7920,…,…,…,771,119,2482620,165,11,531300,606,108,1951320,0,0,0
2016,272,6074930,592,123,1866390,573,109,1845060,0,0,0,2,2,4500,17,12,16830,…,…,…,1307,149,4208540,263,15,846860,1044,134,3361680,0,0,0
2017,280,5388840,689,139,2155960,661,120,2128420,0,0,0,7,3,6750,21,16,20790,…,…,…,1004,141,3232880,375,17,1207500,629,124,2025380,0,0,0
2018,270,5980090,679,122,1961530,604,114,1944880,0,0,0,65,3,6750,10,5,9900,…,…,…,1248,148,4018560,182,13,586040,1066,135,3432520,0,0,0
2019,283,6510580,811,137,2575740,795,131,2559900,0,0,0,0,0,0,16,6,15840,…,…,…,1222,146,3934840,361,16,1162420,861,130,2772420,0,0,0
2020,276,5856210,635,120,2030850,630,119,2028600,5,1,2250,0,0,0,0,0,0,…,…,…,1188,156,3825360,167,10,537740,1021,146,3287620,0,0,0
2021,271,6369160,860,137,2769200,860,137,2769200,0,0,0,0,0,0,0,0,0,…,…,…,1131,134,3641820,277,12,891940,854,122,2749880,0,0,0
2022,306,6375600,694,132,2244340,694,132,2244340,0,0,0,0,0,0,0,0,0,…,…,…,1283,174,4131260,261,17,840420,1022,157,3290840,0,0,0
2023,283,6391940,814,131,2621080,814,131,2621080,0,0,0,0,0,0,10,5,9900,…,…,…,1168,147,3760960,325,12,1046500,843,135,2714460,0,0,0
