年度,種痘_対象者,種痘_実施人員,種痘_実施率(%),ジフテリア・百日せき・破傷風混合_対象者,ジフテリア・百日せき・破傷風混合_実施人員,ジフテリア・百日せき・破傷風混合_実施率(%),ジフテリア・破傷風混合_対象者,ジフテリア・破傷風混合_実施人員,ジフテリア・破傷風混合_実施率(%),ジフテリア・百日せき・破傷風・ポリオ混合_対象者,ジフテリア・百日せき・破傷風・ポリオ混合_実施人員,ジフテリア・百日せき・破傷風・ポリオ混合_実施率(%),ジフテリア・百日せき混合_対象者,ジフテリア・百日せき混合_実施人員,ジフテリア・百日せき混合_実施率(%),ジフテリア_対象者,ジフテリア_実施人員,ジフテリア_実施率(%),腸チフス・パラチフス_対象者,腸チフス・パラチフス_実施人員,腸チフス・パラチフス_実施率(%),ポリオ(急性灰白髄炎)_対象者,ポリオ(急性灰白髄炎)_実施人員,ポリオ(急性灰白髄炎)_実施率(%),日本脳炎_対象者,日本脳炎_実施人員,日本脳炎_実施率(%),麻しん・風しん混合_対象者,麻しん・風しん混合_実施人員,麻しん・風しん混合_実施率(%),麻しん_対象者,麻しん_実施人員,麻しん_実施率(%),風しん_対象者,風しん_実施人員,風しん_実施率(%),ＭＭＲ_対象者,ＭＭＲ_実施人員,ＭＭＲ_実施率(%),ＢＣＧ_対象者,ＢＣＧ_実施人員,ＢＣＧ_実施率(%),ＨＰＶ_対象者,ＨＰＶ_実施人員,ＨＰＶ_実施率(%),ヒブ_対象者,ヒブ_実施人員,ヒブ_実施率(%),小児用肺炎球菌_対象者,小児用肺炎球菌_実施人員,小児用肺炎球菌_実施率(%),水痘_対象者,水痘_実施人員,水痘_実施率(%),Ｂ型肝炎_対象者,Ｂ型肝炎_実施人員,Ｂ型肝炎_実施率(%),ロタウイルス_対象者,ロタウイルス_実施人員,ロタウイルス_実施率(%)
1971,8497,7627,89.7,…,…,…,…,…,…,…,…,…,14142,10687,75.5,4912,4627,94.1,0,0,…,7105,6407,90.1,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1972,8788,7720,87.8,…,…,…,…,…,…,…,…,…,14376,10983,76.3,5117,4258,83.2,0,0,…,7276,6568,90.2,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1973,9068,8125,89.6,14570,11619,80,5452,4730,87,…,…,…,14570,11619,79.7,5452,4730,86.7,…,…,…,7288,6834,94,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1974,9459,8648,91,14667,12185,83,5788,5110,88,…,…,…,14667,12185,83.1,5788,5110,88.2,…,…,…,7397,6791,92,…,…,…,…,…,…,…,…,…,0,0,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1975,1780,1745,98,1828,1558,85,2582,2091,81,…,…,…,…,…,…,…,…,…,…,…,…,7066,6384,90,…,…,…,…,…,…,…,…,…,0,0,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1976,0,0,0,3966,2320,59,2827,2375,84,…,…,…,…,…,…,…,…,…,…,…,…,8637,6738,78,…,…,…,…,…,…,…,…,…,0,0,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1977,0,0,0,9855,7577,77,2773,2339,84,…,…,…,…,…,…,…,…,…,…,…,…,5966,5476,92,…,…,…,…,…,…,…,…,…,1227,452,37,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1978,…,…,…,12346,10179,82,2624,2323,89,…,…,…,…,…,…,…,…,…,…,…,…,6016,5495,91,…,…,…,…,…,…,…,…,…,1225,506,41,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1979,…,…,…,11488,10026,87,2938,2627,89,…,…,…,…,…,…,…,…,…,…,…,…,5754,5835,101,…,…,…,…,…,…,17032,2103,12,1260,439,39,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1980,…,…,…,11285,10098,89,3117,2745,88,…,…,…,…,…,…,…,…,…,…,…,…,5496,5453,99,…,…,…,…,…,…,14500,1913,13,1365,601,44,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1981,…,…,…,10867,9908,91,2943,2620,89,…,…,…,…,…,…,…,…,…,…,…,…,5378,5344,99,…,…,…,…,…,…,2300,2191,95,1364,644,47,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1982,…,…,…,12429,9458,76,2966,2574,87,…,…,…,…,…,…,…,…,…,…,…,…,5507,4108,75,…,…,…,…,…,…,3000,1881,63,3018,1447,48,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1983,…,…,…,10153,9254,91,3150,2844,90,…,…,…,…,…,…,…,…,…,…,…,…,5037,5117,102,…,…,…,…,…,…,3000,2202,73,1506,876,58,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1984,…,…,…,9785,8941,91,3100,2589,84,…,…,…,…,…,…,…,…,…,…,…,…,5214,4996,96,…,…,…,…,…,…,…,1629,…,1505,838,56,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1985,…,…,…,9596,8860,92,3105,2715,87,…,…,…,…,…,…,…,…,…,…,…,…,5028,4862,97,…,…,…,…,…,…,…,1636,…,1629,986,61,…,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1986,…,…,…,10108,8942,88,2975,2532,85,…,…,…,…,…,…,…,…,…,…,…,…,4724,4520,96,…,…,…,…,…,…,…,1978,…,1557,1015,65,…,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1987,…,…,…,9550,8636,90,2650,2320,88,…,…,…,…,…,…,…,…,…,…,…,…,4728,4494,95,…,…,…,…,…,…,…,1917,…,1536,897,58,…,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1988,…,…,…,8977,7913,88,2556,2252,88,…,…,…,…,…,…,…,…,…,…,…,…,4657,4445,95,…,…,…,…,…,…,…,1745,…,1389,823,58,…,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1989,…,…,…,8635,7615,88,2454,2094,85,…,…,…,…,…,…,…,…,…,…,…,…,4499,4262,95,…,…,…,…,…,…,…,373,…,1280,776,58,…,1275,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1990,…,…,…,11689,10115,87,2382,2078,87,…,…,…,…,…,…,…,…,…,…,…,…,4369,4240,97,…,…,…,…,…,…,…,1013,…,1258,845,67,…,498,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1991,…,…,…,8611,8432,98,2293,2027,88,…,…,…,…,…,…,…,…,…,…,…,…,4172,3950,95,…,…,…,…,…,…,…,1233,…,1038,851,82,…,496,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1992,…,…,…,9200,7247,79,2300,2013,88,…,…,…,…,…,…,…,…,…,…,…,…,4800,4004,83,…,…,…,…,…,…,…,994,…,1182,732,62,…,436,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1993,…,…,…,9100,7001,77,2100,1922,92,…,…,…,…,…,…,…,…,…,…,…,…,4600,4271,93,…,…,…,…,…,…,…,1730,…,1172,760,65,…,25,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1994,…,…,…,8488,7224,85,2150,1902,88,…,…,…,…,…,…,…,…,…,…,…,…,4336,3968,92,…,…,…,…,…,…,…,1632,…,1116,729,65,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1995,…,…,…,11018,5952,54,2325,227,10,…,…,…,…,…,…,…,…,…,…,…,…,4555,4662,102,…,…,…,…,…,…,…,1989,…,2890,1367,47,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1996,…,…,…,16500,11199,68,2011,622,31,…,…,…,…,…,…,…,…,…,…,…,…,3911,4653,119,…,…,…,…,…,…,…,2736,…,21527,2064,10,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1997,…,…,…,16650,9804,59,2075,583,28,…,…,…,…,…,…,…,…,…,…,…,…,4453,4310,97,…,…,…,…,…,…,3396,2184,64,5425,2178,40,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1998,…,…,…,9342,9665,103,2034,813,40,…,…,…,…,…,…,…,…,…,…,…,…,4590,4364,95,…,…,…,…,…,…,2379,2358,99,4406,2244,51,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
1999,…,…,…,13943,9554,69,1961,704,36,…,…,…,…,…,…,…,…,…,…,…,…,4569,4606,101,…,…,…,…,…,…,3501,2366,68,5477,2621,48,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2000,…,…,…,13835,9061,66,2038,709,35,…,…,…,…,…,…,…,…,…,…,…,…,4517,3675,81,…,…,…,…,…,…,3452,2295,66,5338,2435,46,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2001,…,…,…,13909,8788,63,2060,671,33,…,…,…,…,…,…,…,…,…,…,…,…,5107,4461,87,…,…,…,…,…,…,3474,2381,69,5455,2487,46,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2002,…,…,…,14131,8730,62,2139,721,34,…,…,…,…,…,…,…,…,…,…,…,…,4598,4337,94,…,…,…,…,…,…,3537,2265,64,5587,2178,39,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2003,…,…,…,10184,9761,96,1950,744,38,…,…,…,…,…,…,…,…,…,…,…,…,4557,4339,95,…,…,…,…,…,…,2333,2485,107,2333,2461,106,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2004,…,…,…,9308,9201,99,2052,655,32,…,…,…,…,…,…,…,…,…,…,…,…,4560,4477,98,…,…,…,…,…,…,2310,2271,98,2310,2400,104,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2005,…,…,…,9018,8891,99,2104,835,40,…,…,…,…,…,…,…,…,…,…,…,…,4655,4494,97,…,…,…,…,…,…,2178,2513,115,2178,3811,175,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2006,…,…,…,9220,8722,95,2154,1069,50,…,…,…,…,…,…,…,…,…,…,…,…,4493,4336,97,…,…,…,4526,3916,87,0,86,0,0,378,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2007,…,…,…,9417,9146,97,2222,1349,61,…,…,…,…,…,…,…,…,…,…,…,…,4693,4504,96,…,…,…,4686,4466,95,0,6,0,0,13,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2008,…,…,…,9270,9570,103,2292,1546,68,…,…,…,…,…,…,…,…,…,…,…,…,4672,4558,98,…,…,…,8972,7584,85,0,9,0,0,13,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2009,…,…,…,9416,9573,102,2292,1426,62,…,…,…,…,…,…,…,…,…,…,…,…,4718,4415,94,…,…,…,8936,7601,85,0,3,0,0,10,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2010,…,…,…,9637,9697,101,2353,1757,75,…,…,…,…,…,…,…,…,…,…,…,…,4736,4471,94,…,…,…,9124,7807,86,0,6,0,0,7,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2011,…,…,…,9442,10014,106,2297,1895,82,…,…,…,…,…,…,…,…,…,…,…,…,4843,3541,73,…,…,…,9070,8167,90,0,6,0,0,8,0,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2012,…,…,…,6078,7802,128.4,2360,1576,66.8,2928,1791,61.2,…,…,…,…,…,…,…,…,…,9366,8577,91.6,9373,12480,133,9069,8258,91.2,0,1,0,0,15,0,…,…,…,2222,2103,95,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…,…
2013,…,…,…,1246,2277,182.7,2371,1335,56.3,7888,7031,89.1,…,…,…,…,…,…,…,…,…,1975,1647,83.4,9370,9131,97,4709,4450,94.5,0,1,0,0,0,0,…,…,…,2304,1943,84,3414,419,12,9134,9580,105,9134,9243,101,…,…,…,…,…,…,…,…,…
2014,…,…,…,0,368,0,2318,1364,59,8996,8882,99,…,…,…,…,…,…,…,…,…,0,1330,0,9190,9145,99,4557,4374,96,0,0,0,0,1,0,…,…,…,2249,2245,99,3369,12,0.1,8948,9128,102,8948,9204,103,4418,4203,95,…,…,…,…,…,…
2015,…,…,…,0,9,0,2250,1396,62,9137,9306,101.8,…,…,…,…,…,…,…,…,…,0,358,0,9460,8927,94,4824,4516,94,0,0,0,0,0,0,…,…,…,2297,2363,103,3423,5,0.1,9137,9251,102,9137,9252,101,4858,4897,101,…,…,…,…,…,…
2016,…,…,…,0,1,0,2194,1472,67,9103,9282,102,…,…,…,…,…,…,…,…,…,0,185,0,9344,9619,103,4711,4517,96,0,0,0,0,0,0,…,…,…,2222,2296,103,3396,6,0.1,9103,9223,101,9103,9191,101,4608,4466,97,6120,3841,63,…,…,…
2017,…,…,…,0,0,0,2357,1613,68,8573,8644,101,…,…,…,…,…,…,…,…,…,0,110,0,9734,9803,101,4528,4331,99,0,0,0,0,0,0,…,…,…,2128,2138,101,3375,17,1,8606,8568,100,8606,8559,100,4388,4243,97,6384,6497,102,…,…,…
2018,…,…,…,0,1,0,2380,1933,81,8201,8416,103,…,…,…,…,…,…,…,…,…,0,38,0,9400,10637,113,4577,4454,97,0,0,0,0,0,0,…,…,…,1988,2055,103,3378,38,1,8092,8170,101,8092,8236,102,4408,4481,102,5964,6034,101,…,…,…
2019,…,…,…,0,2,0,2369,1827,77,7683,7781,101,…,…,…,…,…,…,…,…,…,0,6,0,9007,9763,107,4240,4096,97,0,0,0,0,0,0,…,…,…,1892,1889,100,3354,118,4,7664,7377,96,7664,7620,99,3828,3965,104,5676,5571,98,…,…,…
2020,…,…,…,0,0,0,2423,2038,84,7366,7550,102,…,…,…,…,…,…,…,…,…,0,1,0,8851,9930,112,4267,4155,97,0,0,0,0,0,0,…,…,…,1779,1842,104,3384,723,21,7229,7500,104,7229,7282,101,3748,3947,105,5337,5400,101,1970,1674,81
2021,…,…,…,0,2,0,2429,1834,76,7089,6935,98,…,…,…,…,…,…,…,…,…,0,0,0,8350,5435,65,4129,3962,96,0,0,0,0,0,0,…,…,…,1762,1684,96,3519,1559,44,7065,6996,99,7065,6968,99,3568,3443,96,5286,5223,99,4233,4160,98
2022,…,…,…,0,3,0,2313,2006,87,6551,6499,99,…,…,…,…,…,…,…,…,…,0,0,0,7969,9748,122,3918,3699,94,0,0,0,0,0,0,…,…,…,1601,1591,99,3543,1661,47,6565,6467,99,6565,6466,98,3486,3336,96,4803,4751,99,3832,4085,107
2023,…,…,…,0,1,0,2359,1701,72,6243,6636,106,…,…,…,…,…,…,…,…,…,0,0,0,7195,7830,109,3837,3600,94,0,0,0,0,0,0,…,…,…,1554,1561,100,3606,1602,44,6263,6170,99,6263,6169,98,3256,3143,97,4662,4587,98,3694,3595,97
