年次,総数,総数_男,総数_女,0歳_総数,0歳_男,0歳_女,1～9歳_総数,1～9歳_男,1～9歳_女,10～19歳_総数,10～19歳_男,10～19歳_女,20～29歳_総数,20～29歳_男,20～29歳_女,30～39歳_総数,30～39歳_男,30～39歳_女,40～49歳_総数,40～49歳_男,40～49歳_女,50～59歳_総数,50～59歳_男,50～59歳_女,60～69歳_総数,60～69歳_男,60～69歳_女,70～79歳_総数,70～79歳_男,70～79歳_女,80歳以上_総数,80歳以上_男,80歳以上_女
2001,1263,704,559,4,2,2,3,1,2,1,0,1,7,2,5,14,11,3,43,30,13,129,87,42,216,150,66,327,193,134,519,228,291
2002,1297,685,612,4,0,4,3,1,2,5,3,2,14,10,4,32,20,12,34,21,13,105,75,30,222,152,70,340,202,138,538,201,337
2003,1378,767,611,8,6,2,1,1,0,8,4,4,12,6,6,22,15,7,33,18,15,124,82,42,217,147,70,344,223,121,609,265,344
2004,1452,824,628,5,2,3,2,1,1,5,3,2,7,3,4,23,18,5,53,37,16,106,69,37,250,172,78,380,252,128,621,267,354
2005,1533,837,696,3,2,1,2,1,1,5,1,4,9,4,5,23,13,10,48,34,14,110,74,36,221,150,71,395,263,132,717,295,422
2006,1504,818,686,5,3,2,4,3,1,4,1,3,11,6,5,15,11,4,38,29,9,122,76,46,213,149,64,404,247,157,688,293,395
2007,1584,868,716,4,2,2,2,1,1,1,0,1,14,6,8,19,11,8,51,30,21,105,75,30,240,163,77,401,254,147,747,326,421
2008,1606,845,761,6,5,1,2,1,1,1,1,0,11,8,3,25,15,10,48,33,15,117,82,35,213,127,86,421,248,173,762,325,437
2009,1573,869,704,4,3,1,1,1,0,1,1,0,11,6,5,23,16,7,41,30,11,91,65,26,218,161,57,377,259,118,806,327,479
2010,1762,933,829,7,3,4,1,1,0,3,3,0,7,6,1,22,13,9,53,32,21,102,63,39,231,151,80,409,266,143,927,395,532
2011,1752,982,770,3,1,2,5,2,3,3,3,0,13,10,3,23,17,6,53,33,20,91,55,36,226,164,62,422,264,158,913,433,480
2012,1843,959,884,4,2,2,2,1,1,0,0,0,6,5,1,21,14,7,43,32,11,105,77,28,218,143,75,421,260,161,1023,425,598
2013,1915,1036,879,2,1,1,2,1,1,3,1,2,10,9,1,21,14,7,44,31,13,71,50,21,238,159,79,400,269,131,1124,501,623
2014,1903,1006,897,1,1,1,3,1,2,5,5,0,17,10,7,15,10,5,39,29,10,76,51,25,206,137,69,437,265,172,1103,497,606
2015,1887,1024,863,3,1,2,3,2,1,4,4,0,18,15,3,18,11,7,36,26,10,76,57,19,214,155,59,415,254,161,1100,499,601
2016,2018,1116,902,5,2,1,3,2,1,3,2,1,11,8,3,15,10,5,49,31,18,90,60,30,204,150,54,415,254,161,1198,571,627
2017,2093,1134,959,0,0,0,4,3,1,0,0,0,4,4,0,18,12,6,46,26,20,98,64,34,232,152,80,446,302,144,1245,571,674
2018,2121,1119,1002,5,3,2,2,0,2,2,1,1,12,10,2,17,11,6,33,19,14,85,54,31,190,134,56,448,285,163,1327,602,725
2019,2087,1107,980,0,0,0,2,1,1,6,4,2,7,4,3,13,10,3,40,25,15,106,62,44,189,141,48,447,284,163,1277,576,701
2020,2171,1181,990,2,2,0,4,2,2,3,3,0,11,5,6,15,8,7,30,16,14,89,66,23,199,136,63,444,313,131,1374,630,744
2021,2309,1225,1084,3,1,2,6,4,2,6,3,3,15,12,3,9,7,2,38,24,14,102,67,35,204,143,61,476,301,175,1454,665,789
2022,2513,1293,1220,2,0,2,1,1,0,4,2,2,8,5,3,19,12,7,43,23,20,98,72,26,218,143,75,491,325,166,1629,710,919
