,,,,,,,,,,,,,,,,,,,(単位：トン）,,,,,
品種,,アジア,,,,,,,,,,,,,,,,品種,,,,,,
,,イエメン,,,サウジアラビア,,,,クウェート,,,,,アラブ首長国,,,,,,,,,,
,,アデン,ホディタ,"諸港
(イエメン)",小計,ジエッダ,ジュバイル,"諸港（サウジ
アラビア）",小計,クウェート,シャイバ,シュワイカ,"諸港
(クウェート)",小計,シャルジャー,ドバイ,アブダビ,,,,,,,
61,製造食品,-,-,-,"2,354","2,354",-,-,203,-,-,203,-,"1,905",510,31,-,61,製造食品,,,,,
62,飲料,-,-,-,-,-,-,-,-,-,-,-,-,80,6,5,-,62,飲料,,,,,
63,水,-,-,-,-,-,-,-,15,-,-,15,-,-,-,-,-,63,水,,,,,
64,たばこ,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,たばこ,,,,,
65,その他食料工業品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,65,その他食料工業品,,,,,
雑工業品,,-,-,-,"6,666",293,-,"6,373","4,150",9,9,"4,132",-,"22,622","3,599","2,403",18,雑工業品,,,,,,
66,がん具,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,がん具,,,,,
67,衣服・身廻品・はきもの,-,-,-,14,-,-,14,30,-,-,30,-,534,30,28,-,67,衣服・身廻品・はきもの,,,,,
68,文房具・運動娯楽用品・楽器,-,-,-,"1,013",159,-,854,82,6,9,67,-,"1,661",-,181,-,68,文房具・運動娯楽用品・楽器,,,,,
69,家具装備品,-,-,-,3,3,-,-,3,3,-,-,-,108,-,6,18,69,家具装備品,,,,,
70,その他日用品,-,-,-,48,39,-,9,-,-,-,-,-,588,-,543,-,70,その他日用品,,,,,
71,ゴム製品,-,-,-,"5,482",17,-,"5,465","4,005",-,-,"4,005",-,"18,992","3,449","1,623",-,71,ゴム製品,,,,,
72,木製品,-,-,-,-,-,-,-,-,-,-,-,-,35,-,5,-,72,木製品,,,,,
73,その他製造工業品,-,-,-,106,75,-,31,30,-,-,30,-,704,120,17,-,73,その他製造工業品,,,,,
特殊品,,-,-,-,270,-,-,270,21,5,16,-,-,505,180,12,-,特殊品,,,,,,
74,金属くず,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,74,金属くず,,,,,
75,再利用資材,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,再利用資材,,,,,
76,動植物性製造飼肥料,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,76,動植物性製造飼肥料,,,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,廃棄物,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃土砂,,,,,
79,輸送用容器,-,-,-,-,-,-,-,-,-,-,-,-,205,-,11,-,79,輸送用容器,,,,,
80,取合せ品,-,-,-,270,-,-,270,21,5,16,-,-,300,180,1,-,80,取合せ品,,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
