 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,070","1,007","12,614","4,832",171,971,"1,809","4,695",899,36,"10,805",137
,20.5%,56.8%,34.1%,37.9%,26.6%,54.7%,25.8%,36.8%,19.6%,-,36.1%,4566.7%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"113,948","24,156","938,327","193,330","30,310","23,996","255,283","191,841","83,638",160,"683,044","1,489"
,91.9%,88.3%,104.0%,124.1%,86.5%,88.9%,100.2%,124.9%,94.1%,41.7%,105.5%,67.7%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"9,617","3,909","86,038","38,758","2,755","3,825","24,671","38,208","6,862",84,"61,367",550
,93.6%,97.7%,93.9%,110.5%,93.5%,97.7%,93.4%,112.0%,93.7%,97.7%,94.1%,57.3%
中国(香港含む),"77,201","50,513","580,107","387,798","11,840","50,406","97,946","386,809","65,361",107,"482,161",989
,107.3%,116.0%,95.3%,103.9%,86.5%,116.0%,82.9%,104.0%,112.1%,123.0%,98.2%,69.7%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"21,871","12,808","183,532","138,739","10,736","11,451","86,242","123,381","11,135","1,357","97,290","15,358"
,105.9%,66.2%,97.7%,80.7%,101.6%,65.8%,83.8%,78.6%,110.4%,69.9%,114.6%,103.2%
内航定期計,"16,299","3,006","148,317","35,215","7,991","1,789","69,143","20,150","8,308","1,217","79,174","15,065"
,98.1%,71.4%,106.7%,98.9%,96.4%,74.9%,97.3%,90.8%,99.7%,66.9%,116.5%,112.5%
北海道,"6,764",416,"51,702","2,430","3,318",354,"26,368","2,256","3,446",62,"25,334",174
,140.9%,507.3%,113.1%,170.3%,132.0%,431.7%,109.7%,463.2%,150.8%,-,116.7%,18.5%
東北,"2,869",946,"25,925","6,829","1,503",930,"12,372","6,349","1,366",16,"13,553",480
,77.0%,78.1%,83.4%,75.8%,82.5%,84.6%,81.6%,79.9%,71.8%,14.2%,85.1%,45.4%
関東,-,-,44,140,-,-,-,140,-,-,44,-
,-,-,4.4%,28.7%,-,-,-,62.8%,-,-,20.5%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,577",579,"18,163","8,258",177,505,"3,099","8,106","1,400",74,"15,064",152
,104.3%,63.1%,144.3%,84.5%,57.5%,62.1%,91.7%,90.3%,116.3%,71.2%,163.6%,19.2%
近畿,656,-,"8,318","3,309",78,-,649,"3,182",578,-,"7,669",127
,59.9%,-,133.5%,72.0%,121.9%,-,113.7%,74.0%,56.1%,-,135.4%,43.1%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"1,803",-,"20,557",385,870,-,"8,377",78,933,-,"12,180",307
,79.5%,-,107.9%,49.4%,88.4%,-,93.9%,30.1%,72.7%,-,120.2%,58.9%
沖縄,"2,630","1,065","23,301","13,864","2,045",-,"18,056",39,585,"1,065","5,245","13,825"
,83.7%,77.7%,99.7%,145.6%,80.2%,-,98.9%,-,98.5%,77.7%,102.6%,145.2%
内航不定期,"5,572","9,802","35,215","103,524","2,745","9,662","17,099","103,231","2,827",140,"18,116",293
,138.2%,64.8%,72.3%,75.9%,120.4%,64.4%,53.8%,76.5%,161.3%,116.7%,107.1%,19.6%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
