年齢,関戸１丁目,,関戸２丁目,,関戸３丁目,,関戸４丁目,,関戸５丁目,,関戸６丁目,,連光寺１丁目,,連光寺２丁目,,連光寺３丁目,,連光寺４丁目,,連光寺５丁目,,連光寺６丁目,,貝取,,乞田,,和田,,百草,,落川,,東寺方,,東寺方１丁目,,一ノ宮１丁目,,一ノ宮２丁目,,一ノ宮３丁目,,一ノ宮４丁目,,桜ヶ丘１丁目,,桜ヶ丘２丁目,,桜ヶ丘３丁目,,桜ヶ丘４丁目,,和田（百草団地）,,聖ヶ丘１丁目,,聖ヶ丘２丁目,,聖ヶ丘３丁目,,聖ヶ丘４丁目,,聖ヶ丘５丁目,,馬引沢１丁目,,馬引沢２丁目,,山王下１丁目,,中沢１丁目,,中沢２丁目,,唐木田１丁目,,諏訪１丁目,,諏訪２丁目,,諏訪３丁目,,諏訪４丁目,,諏訪５丁目,,永山１丁目,,永山２丁目,,永山３丁目,,永山４丁目,,永山５丁目,,永山６丁目,,永山７丁目,,貝取１丁目,,貝取２丁目,,貝取３丁目,,貝取４丁目,,貝取５丁目,,豊ヶ丘１丁目,,豊ヶ丘２丁目,,豊ヶ丘３丁目,,豊ヶ丘４丁目,,豊ヶ丘５丁目,,豊ヶ丘６丁目,,落合１丁目,,落合２丁目,,落合３丁目,,落合４丁目,,落合５丁目,,落合６丁目,,鶴牧１丁目,,鶴牧２丁目,,鶴牧３丁目,,鶴牧４丁目,,鶴牧５丁目,,鶴牧６丁目,,南野１、２丁目,,南野３丁目,,東寺方３丁目,,和田３丁目,,愛宕１丁目,,愛宕２丁目,,愛宕３丁目,,愛宕４丁目,,合計,,
24,1,5,23,29,11,8,18,19,9,7,4,5,14,12,11,15,12,14,2,0,1,1,6,3,12,10,29,24,65,54,5,4,10,4,14,11,3,8,34,19,17,13,11,15,18,17,9,3,6,5,2,4,9,11,5,3,7,12,2,5,11,5,0,0,1,1,14,15,24,14,8,8,16,10,8,12,9,16,25,31,2,13,10,3,5,9,0,3,10,25,10,21,12,16,11,5,9,8,9,6,0,0,14,18,9,5,0,5,5,2,4,6,32,21,8,18,2,3,0,0,3,3,2,4,21,22,6,8,13,10,4,7,5,4,7,5,24,17,18,14,9,10,1,3,3,3,13,9,5,3,3,5,1,3,7,4,1,1,0,1,1,1,12,15,797,791,"1,588"
25,5,4,18,22,6,8,16,13,9,11,7,6,13,19,14,11,12,4,0,0,3,4,6,3,10,1,32,17,64,56,6,6,3,7,8,10,9,12,23,18,17,11,5,7,14,14,16,8,2,5,4,3,15,10,5,3,10,12,2,6,5,8,0,0,0,0,17,11,28,24,17,17,13,12,15,15,15,12,26,23,5,13,4,9,7,7,1,0,11,22,23,19,10,12,3,10,6,3,7,8,0,0,10,10,8,12,2,3,3,4,2,0,16,23,9,13,3,4,1,1,2,3,4,2,15,17,8,8,15,20,4,5,8,10,4,7,16,10,15,15,8,12,3,1,9,6,5,8,4,7,3,6,2,0,7,2,2,1,2,3,1,0,17,13,775,762,"1,537"
26,3,3,20,19,8,8,11,7,14,4,6,7,8,18,14,7,11,8,0,1,4,2,4,0,8,12,23,33,41,50,3,5,7,2,9,3,7,3,26,21,13,20,3,5,16,19,11,8,6,3,4,1,8,11,4,4,3,5,5,3,9,8,2,0,0,1,21,11,27,15,7,5,12,13,5,8,13,10,25,29,2,10,6,6,5,4,2,0,12,19,9,16,12,17,7,5,4,3,10,5,0,0,11,8,8,10,4,3,4,2,1,4,19,25,16,13,6,10,1,1,2,3,2,4,11,22,5,4,12,5,8,7,11,8,7,6,20,8,15,15,11,6,3,2,6,6,6,9,4,4,3,4,0,2,2,1,0,0,1,1,0,0,14,21,703,691,"1,394"
27,4,2,20,18,4,6,17,13,12,10,6,4,12,16,15,8,10,12,1,1,2,3,2,3,10,7,24,17,56,39,5,5,8,7,12,10,12,11,26,12,15,17,7,9,20,12,11,5,6,9,3,5,9,8,0,2,11,9,1,7,6,3,0,0,1,0,11,21,17,27,10,12,10,11,5,9,15,14,27,22,5,9,6,1,4,7,2,0,16,19,15,17,16,17,7,5,5,2,9,8,0,0,10,11,13,9,3,4,4,1,0,2,21,27,11,9,6,10,0,3,1,2,5,3,15,17,6,3,4,7,3,3,6,7,6,7,15,13,20,10,6,16,1,1,5,2,5,10,9,5,5,5,0,3,0,2,0,3,2,1,0,3,14,18,724,708,"1,432"
28,2,4,15,21,11,4,9,10,6,7,4,4,10,15,16,8,9,6,0,1,3,3,8,6,12,10,30,19,52,40,5,3,6,9,13,8,7,7,26,14,16,14,6,10,11,4,4,7,4,6,2,2,10,9,3,2,4,7,8,1,10,7,2,2,0,0,16,12,19,16,5,7,8,11,5,5,15,19,29,21,8,7,8,6,4,5,1,0,12,15,14,14,13,11,13,13,6,6,5,8,0,0,10,8,11,11,6,8,2,2,1,0,21,16,7,7,4,5,3,2,4,3,3,7,12,20,4,7,10,5,7,5,7,2,7,4,14,8,9,13,6,3,2,2,4,5,8,14,8,4,1,2,1,0,0,0,2,2,1,0,2,1,13,9,695,621,"1,316"
29,4,6,17,19,3,3,4,8,7,5,6,5,14,16,6,5,8,5,2,4,0,3,3,3,10,8,23,13,41,44,5,6,15,6,7,9,6,9,16,14,20,22,6,5,11,9,5,7,5,8,4,0,11,11,6,2,2,11,6,5,6,5,0,3,0,0,17,6,15,17,4,3,8,5,6,7,11,11,16,33,9,0,9,4,4,1,1,0,6,9,21,12,17,14,11,6,2,6,4,4,0,0,14,1,15,9,1,2,3,0,1,2,22,23,10,11,7,9,0,1,3,2,0,3,21,19,5,9,14,10,7,1,9,6,3,3,13,16,14,8,22,18,1,2,3,4,6,10,3,6,3,5,0,0,2,1,1,0,2,0,0,1,21,10,666,609,"1,275"
30,2,5,12,17,5,5,15,15,8,10,1,2,11,8,3,9,4,8,4,1,3,4,5,2,13,6,12,20,47,41,4,3,5,7,16,7,4,12,21,17,13,7,9,6,10,9,8,12,6,6,3,4,8,3,2,4,7,7,5,9,8,11,0,0,1,0,16,13,21,16,7,2,7,8,5,11,15,14,25,15,12,11,4,5,2,8,2,0,10,13,16,16,18,13,10,8,6,5,4,8,0,0,9,12,14,11,2,3,4,2,1,0,29,14,13,9,6,5,2,2,4,1,7,4,15,12,7,1,16,9,6,5,6,7,9,7,8,13,10,11,15,18,3,3,3,3,12,6,5,3,3,2,0,1,1,2,2,0,3,3,1,1,15,12,686,625,"1,311"
31,4,4,14,14,9,9,6,11,9,9,6,6,16,8,6,8,15,7,2,2,5,5,6,0,9,11,11,18,35,34,3,3,7,7,10,16,7,10,20,17,14,13,7,5,6,8,6,8,5,12,0,2,9,5,2,3,11,8,8,6,6,5,0,1,0,0,20,18,20,20,6,7,11,6,9,10,18,17,17,14,8,16,4,8,4,9,1,1,6,14,29,23,11,21,18,7,3,7,11,5,0,0,7,10,11,16,5,5,3,2,1,3,23,28,12,10,5,4,3,0,4,3,4,2,8,24,6,9,9,20,7,3,3,5,11,2,15,20,17,6,13,20,2,2,7,6,9,19,5,5,1,0,1,1,0,4,1,0,4,2,3,1,13,16,683,726,"1,409"
32,5,2,17,14,3,8,14,12,11,9,1,8,9,15,12,11,13,7,2,0,5,3,4,5,8,11,15,15,43,40,4,8,4,5,8,8,13,12,23,18,8,7,6,4,12,8,10,6,7,6,8,2,5,12,4,2,9,8,2,3,11,3,3,2,1,0,14,13,26,13,9,1,5,5,9,3,8,20,24,18,12,25,3,4,12,7,1,0,10,7,15,13,15,25,17,5,6,8,3,6,0,0,7,4,12,12,1,2,2,2,4,1,24,23,13,8,14,2,1,2,7,1,5,3,17,14,9,14,13,20,3,7,7,10,5,4,16,17,13,10,19,32,2,0,7,5,5,11,5,8,8,2,0,3,2,2,4,1,4,2,1,0,15,12,734,681,"1,415"
33,9,4,20,18,6,8,19,13,9,11,12,7,12,13,11,5,13,13,3,4,5,2,3,1,11,9,16,15,59,56,2,4,5,9,13,7,9,6,22,10,7,13,8,4,15,20,10,9,3,2,7,2,10,9,1,3,4,10,5,7,9,1,2,1,1,0,11,15,26,18,8,3,9,7,8,9,23,15,36,19,15,20,10,2,6,6,0,0,8,12,28,23,31,21,11,14,4,5,5,3,0,0,18,12,11,14,1,3,5,2,4,4,24,22,16,12,9,7,0,1,4,2,7,8,21,24,16,12,9,17,7,6,9,9,11,8,17,23,12,11,19,27,1,1,10,13,10,13,10,8,4,3,1,0,2,1,0,1,5,3,1,0,13,15,857,770,"1,627"
34,6,7,16,14,12,9,10,13,7,7,7,8,17,12,9,16,10,11,1,1,3,1,7,4,7,3,17,15,48,43,2,7,7,6,18,13,11,14,29,9,12,14,7,4,13,18,3,7,4,8,3,8,9,15,1,5,7,12,7,4,10,15,3,4,1,0,15,15,18,20,4,4,10,9,7,10,23,12,21,34,28,24,7,7,5,4,1,1,8,11,21,18,19,20,9,18,3,8,7,6,0,0,10,14,9,10,3,2,2,4,3,2,24,17,10,11,5,5,4,1,1,3,4,0,29,27,20,14,16,9,7,8,13,10,17,10,13,17,12,10,25,21,2,5,7,4,13,10,6,4,2,7,1,0,2,3,1,1,2,3,1,2,12,13,806,795,"1,601"
