 4-(3)コンテナ取扱個数航路別表,,,,,,,,,,,,(単位：ＴＥＵ）
航路名,合計,,,,出貨,,,,入貨,,,
,-,-,-,-,-,-,-,-,-,-,-,-
南米東岸･南ア経由,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
アフリカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
オセアニア,"1,003",449,"16,643","6,656",233,449,"2,642","6,519",770,-,"14,001",137
,25.4%,60.7%,34.0%,44.5%,40.0%,60.8%,29.9%,43.6%,22.8%,-,34.9%,3425.0%
印パ･ペルシャ･ベンガル,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
東南アジア,"121,461","23,863","1,306,324","264,683","35,013","23,653","359,303","262,532","86,448",210,"947,021","2,151"
,95.6%,84.2%,102.4%,116.5%,100.0%,84.3%,100.4%,117.1%,93.9%,67.3%,103.2%,72.8%
台湾,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
韓国,"15,251","4,332","120,516","50,874","2,720","4,285","31,920","50,155","12,531",47,"88,596",719
,116.6%,70.3%,93.0%,99.0%,77.7%,70.7%,86.0%,100.1%,130.8%,48.5%,95.8%,54.8%
中国(香港含む),"78,965","57,665","812,943","546,210","12,915","57,579","140,504","545,015","66,050",86,"672,439","1,195"
,95.1%,107.8%,96.0%,103.5%,90.8%,108.0%,88.3%,103.7%,96.0%,47.8%,97.8%,60.9%
ナホトカ,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
外航不定期,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
内航計,"22,569","19,104","252,072","197,132","11,058","17,379","119,417","177,320","11,511","1,725","132,655","19,812"
,99.5%,93.7%,98.3%,82.2%,97.9%,96.6%,87.5%,80.8%,101.0%,72.1%,110.6%,96.8%
内航定期計,"19,131","4,162","204,967","48,180","9,208","2,627","95,561","28,952","9,923","1,535","109,406","19,228"
,104.5%,80.2%,105.5%,98.2%,98.3%,93.8%,96.7%,95.9%,111.0%,64.2%,114.6%,101.8%
北海道,"7,323",730,"72,864","4,260","3,836",730,"37,511","3,980","3,487",-,"35,353",280
,121.9%,304.2%,113.3%,173.9%,117.7%,1216.7%,111.0%,372.3%,126.9%,-,115.8%,20.3%
東北,"3,143",905,"35,730","9,990","1,512",819,"16,445","9,355","1,631",86,"19,285",635
,98.3%,60.5%,87.5%,82.3%,95.3%,74.4%,83.0%,89.2%,101.2%,21.8%,91.8%,38.3%
関東,39,-,83,140,-,-,-,140,39,-,83,-
,14.0%,-,5.1%,20.1%,-,-,-,33.7%,975.0%,-,30.7%,-
伊豆諸島,-,-,307,-,-,-,222,-,-,-,85,-
,-,-,-,-,-,-,-,-,-,-,-,-
中部,"1,880",623,"24,208","10,809",317,623,"3,800","10,626","1,563",-,"20,408",183
,93.9%,51.6%,132.1%,80.7%,59.0%,53.0%,78.4%,85.2%,106.7%,-,151.4%,19.8%
近畿,814,416,"10,799","4,491",89,416,966,"4,364",725,-,"9,833",127
,105.7%,124.9%,127.7%,79.5%,523.5%,148.6%,150.0%,82.4%,96.3%,-,125.9%,36.5%
中国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
四国,-,-,-,-,-,-,-,-,-,-,-,-
,-,-,-,-,-,-,-,-,-,-,-,-
九州,"2,931",126,"28,868",935,"1,116",39,"11,814",448,"1,815",87,"17,054",487
,102.8%,96.9%,103.0%,73.0%,89.8%,-,92.4%,103.7%,112.8%,66.9%,111.8%,57.4%
沖縄,"3,001","1,362","32,108","17,555","2,338",-,"24,803",39,663,"1,362","7,305","17,516"
,93.8%,85.1%,98.4%,130.5%,95.3%,-,97.0%,-,88.8%,85.1%,103.2%,130.2%
内航不定期,"3,438","14,942","47,105","148,952","1,850","14,752","23,856","148,368","1,588",190,"23,249",584
,78.4%,98.3%,75.8%,78.1%,96.3%,97.1%,63.4%,78.4%,64.5%,4750.0%,94.8%,37.2%
,,,,,,,,,,,,
各下段： 対前年比％,,,,,,,,,,,,
