,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）
25,石灰石,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,25,石灰石
26,原塩,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,26,原塩
27,非金属鉱物,"3,943",234,538,583,-,320,41,280,-,996,60,619,174,98,62,52,"1,524",41,-,30,27,非金属鉱物
金属機械工業品,,"303,931","492,595","250,327","197,256","470,619","363,082","324,658","12,446","210,456","103,795","131,651","64,420","114,385","138,037","106,022","113,946","39,866","26,437",-,"3,411",金属機械工業品,
28,鉄鋼,"2,720","1,028","3,051",929,168,156,514,40,-,498,-,"2,629",337,839,226,70,932,75,-,60,28,鉄鋼
29,鋼材,"8,058","9,938","18,654","2,596","1,551","6,508","1,485","2,659","4,327","5,140","37,762","5,407","4,855","4,385","2,694",617,"10,890",96,-,353,29,鋼材
30,非鉄金属,"6,462","3,808","8,262","6,555","3,493","2,869","1,179",255,750,"3,455",475,928,"1,470","1,393","7,111","1,374","3,113","6,752",-,-,30,非鉄金属
31,金属製品,"16,581","18,361","17,639","7,005","14,600","16,476","2,942","3,380","2,245","10,601","3,296","3,442","4,857","7,193","18,789","6,209","5,221",700,-,356,31,金属製品
32,鉄道車両,276,56,-,5,-,275,35,-,-,-,-,2,10,-,-,31,18,-,-,-,32,鉄道車両
33,完成自動車,99,592,218,714,85,265,60,191,"4,066",210,"16,291","4,606",140,"1,357","10,805",488,34,26,-,-,33,完成自動車
34,その他輸送用車両,261,560,89,81,13,114,11,265,-,52,30,142,155,41,36,3,74,53,-,-,34,その他輸送用車両
35,二輪自動車,-,196,15,17,15,78,42,-,"1,382",-,-,981,239,-,9,660,-,79,-,-,35,二輪自動車
36,自動車部品,"51,203","200,218","97,226","19,170","316,722","171,317","22,322",204,"26,900","2,466","10,691","4,229","4,504","67,811","40,877","17,978","9,175",63,-,266,36,自動車部品
37,その他輸送機械,305,"1,606",123,297,"12,305","1,577","1,187",28,"3,449",706,59,30,901,13,15,"1,057",15,-,-,36,37,その他輸送機械
38,産業機械,"144,589","185,787","62,063","68,575","62,007","125,759","243,501","4,129","145,281","38,259","59,243","9,818","57,074","43,737","9,598","48,186","4,459","16,981",-,"1,202",38,産業機械
39,電気機械,"57,887","47,863","23,847","80,608","51,903","28,909","30,383",960,"20,564","39,824","3,037","29,568","29,987","4,185","9,574","21,427","4,476","1,424",-,"1,096",39,電気機械
40,測量・光学・医療機械,"11,829","18,423","10,739","6,699","7,691","6,794","18,730",209,"1,346","2,331",605,"1,636","2,986","6,682","2,869","15,364",994,109,-,42,40,測量・光学・医療機械
41,事務用機器,"2,664","3,499","8,223","3,430",66,"1,467","2,181",79,146,176,162,492,"5,953",401,374,464,-,27,-,-,41,事務用機器
42,その他機械,997,660,178,575,-,518,86,47,-,77,-,510,917,-,"3,045",18,465,52,-,-,42,その他機械
化学工業品,,"347,533","64,763","101,653","133,283","28,225","58,107","89,512","40,208","51,869","101,901","19,636","66,390","50,251","54,189","40,958","45,251","23,054","22,491","4,155","5,602",化学工業品,
43,陶磁器,517,353,126,421,164,100,91,-,238,30,-,"2,058",272,-,7,133,11,2,-,-,43,陶磁器
44,セメント,207,74,30,75,-,5,"1,006",68,-,81,30,74,54,454,31,6,30,-,-,15,44,セメント
45,ガラス類,"3,469","3,218",397,"1,910","8,149","2,840","2,740",50,252,"3,670",732,"1,190","3,218",181,"1,882","3,354","1,092",364,-,13,45,ガラス類
46,窯業品,"9,118","1,294","4,915","4,554",678,"2,420","3,675",114,"17,447","4,252",743,"3,120",662,"4,750",864,"4,538","2,089",166,-,151,46,窯業品
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油
48,石油製品,"3,440",106,"1,525",382,16,360,759,510,72,409,975,"1,774",249,248,326,66,75,101,-,117,48,石油製品
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,LNG/液化天然ガス
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LPG/液化石油ガス
51,その他の石油製品,889,130,429,242,-,46,30,-,13,154,18,159,175,173,"3,884",25,94,90,-,-,51,その他の石油製品
52,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,コークス
53,石炭製品,65,-,-,-,-,-,-,-,825,-,-,15,30,-,750,30,825,-,-,-,53,石炭製品
54,化学薬品,"32,180","14,558","34,111","2,413","6,908","10,297","25,502","4,514","4,208","13,679","1,029","6,132","12,316","7,789","3,141","2,952","2,987","2,047",-,205,54,化学薬品
55,化学肥料,-,255,-,15,31,3,13,110,-,41,-,-,64,15,45,-,"1,065",779,-,-,55,化学肥料
56,その他化学工業品,"297,648","44,775","60,120","123,271","12,279","42,036","55,696","34,842","28,814","79,585","16,109","51,868","33,211","40,579","30,028","34,147","14,786","18,942","4,155","5,101",56,その他化学工業品
軽工業品,,"24,002","43,589","12,928","73,542","6,705","38,654","27,662","7,522","42,602","18,220","4,371","24,576","21,714","7,918","10,539","5,184","16,769","5,883",-,"1,329",軽工業品,
57,紙・パルプ,"12,159","15,155","5,581","6,062","1,071","16,372","22,335","1,135","39,878",722,944,"2,995","1,453","2,168","4,739","2,663","13,111","5,329",-,868,57,紙・パルプ
58,糸及び紡績半製品,411,62,819,"1,115",2,225,67,230,964,3,-,131,649,21,15,149,12,28,-,-,58,糸及び紡績半製品
59,その他繊維工業品,"7,838","1,907","2,405","2,901","1,115","1,353","1,250","5,277",754,"2,212","1,260","1,285","1,103","3,315","1,355",644,"1,167",326,-,394,59,その他繊維工業品
60,砂糖,-,39,-,32,-,1,-,-,-,33,-,167,31,-,1,-,-,-,-,-,60,砂糖
61,製造食品,"2,138","21,344","3,883","56,011","4,027","17,137","3,303",745,679,"14,396","1,998","17,541","16,454","2,371","2,614","1,535","2,475",200,-,67,61,製造食品
62,飲料,"1,188","4,565",210,"7,285",475,"3,518",707,135,327,785,169,"2,453","1,344",43,369,193,-,-,-,-,62,飲料
63,水,267,504,30,121,-,2,-,-,-,31,-,4,656,-,"1,446",-,-,-,-,-,63,水
64,たばこ,-,12,-,-,-,15,-,-,-,4,-,-,-,-,-,-,4,-,-,-,64,たばこ
65,その他食料工業品,1,1,-,15,15,31,-,-,-,34,-,-,24,-,-,-,-,-,-,-,65,その他食料工業品
雑工業品,,"92,096","50,230","43,043","60,146","25,267","69,033","50,578","34,800","7,245","21,208","13,541","25,511","28,526","11,347","27,283","22,968","21,160","13,003",396,"5,972",雑工業品,
66,がん具,275,"1,362",272,"4,534",8,"1,472",177,163,-,484,17,"3,367",351,57,637,91,-,-,-,13,66,がん具
67,衣服・身廻品・はきもの,"6,872","3,800","5,475","6,495",318,"10,302","1,337",442,139,"6,492",372,"4,291","1,832","1,403","11,848",279,355,"1,395",-,198,67,衣服・身廻品・はきもの
68,文房具・運動娯楽用品・楽器,"14,926","7,112",933,"9,698","1,355","5,660","5,560",298,321,"6,784","2,266","3,896","4,944",686,"1,585","3,606","1,605",228,-,31,68,文房具・運動娯楽用品・楽器
69,家具装備品,"16,271","3,259","12,290","9,588","3,357","2,617","2,885",413,18,"1,608",97,"4,574","3,113",844,"1,409",338,907,515,-,729,69,家具装備品
70,その他日用品,"6,057","10,792","4,694","8,330","3,936","9,482","5,731",292,"1,131",850,"1,123","2,773","8,813","2,003","2,044","4,202","1,060",407,-,407,70,その他日用品
71,ゴム製品,"6,118","21,543","10,736","9,719","16,090","32,910","34,266","1,098","5,618","4,016",996,"2,335","2,033","2,674","6,705","13,141","9,286",50,-,57,71,ゴム製品
72,木製品,479,141,46,224,61,570,33,97,2,201,-,64,597,71,-,711,1,61,-,14,72,木製品
73,その他製造工業品,"41,098","2,221","8,597","11,558",142,"6,020",589,"31,997",16,773,"8,670","4,211","6,843","3,609","3,055",600,"7,946","10,347",396,"4,523",73,その他製造工業品
特殊品,,"440,366","12,180","189,533","103,470","24,151","23,376","6,456","290,742","16,772","52,431","103,523","57,192","20,929","8,523","33,895","6,074","80,588","117,967","162,326","147,584",特殊品,
74,金属くず,"1,691",172,90,847,50,138,63,"5,300",-,"15,162",105,-,27,398,-,-,"7,459",840,-,-,74,金属くず
75,再利用資材,"399,532",-,"162,043","61,454",-,-,-,"273,090",-,"19,422","73,416","35,447","8,105","1,679","13,797",172,"54,550","107,968","160,772","144,695",75,再利用資材
76,動植物性製造飼肥料,32,529,-,"1,264",90,90,-,19,-,658,-,153,18,15,3,45,"1,370","2,896",-,-,76,動植物性製造飼肥料
77,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,廃棄物
78,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃土砂
79,輸送用容器,"16,590","6,138","7,479","3,710","2,368","2,622","4,245",546,709,"9,948","10,756","1,716","5,567","3,991","3,641","4,025","6,060","1,264",-,535,79,輸送用容器
80,取合せ品,"22,521","5,341","19,921","36,195","21,643","20,526","2,148","11,787","16,063","7,241","19,246","19,876","7,212","2,440","16,454","1,832","11,149","4,999","1,554","2,354",80,取合せ品
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,
