,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
29,鋼材,"2,369",30,"10,420","1,854",30,712,"1,153",31,"2,287","3,828",599,15,"1,249","15,269",766,-,223,633,103,394,29,鋼材,,,
30,非鉄金属,"6,176",220,"5,795","2,088","1,180","1,634","1,627","2,726",657,"2,427","1,788","1,423","1,799","7,076","1,244","3,252",460,747,493,"1,031",30,非鉄金属,,,
31,金属製品,"55,478","2,355","31,395","64,382","69,959","19,378","17,923","16,612","29,716","16,154","9,495","5,949","25,189","33,998","25,726","11,474","7,435","34,199","6,697",880,31,金属製品,,,
32,鉄道車両,50,-,-,147,-,9,-,50,-,"1,384",-,-,-,-,90,-,-,-,-,-,32,鉄道車両,,,
33,完成自動車,"1,936",940,41,41,150,75,72,13,-,"2,522",459,38,123,179,"1,060",-,-,9,90,188,33,完成自動車,,,
34,その他輸送用車両,672,-,359,474,78,153,405,-,"3,884",905,295,48,-,763,144,30,180,90,151,30,34,その他輸送用車両,,,
35,二輪自動車,"2,808",18,690,-,43,30,7,246,"1,056","3,322",75,-,120,"3,880","3,131",-,99,311,120,-,35,二輪自動車,,,
36,自動車部品,"27,417","1,234","7,172","2,107","35,025","15,699","9,354","41,005","13,807","30,048","6,578","39,485","27,454","19,699","25,849","16,218","1,895","3,082","3,842","7,754",36,自動車部品,,,
37,その他輸送機械,"1,194",751,"221,211",-,"1,065","2,149","1,095",937,"6,091",293,245,416,"1,144",944,"1,105",-,135,-,132,644,37,その他輸送機械,,,
38,産業機械,"26,129","2,425","50,401","81,148","5,064","18,971","3,693","46,570","28,838","50,783","19,278","23,429","43,237","13,606","13,519","5,713","3,526","4,456","2,591","4,308",38,産業機械,,,
39,電気機械,"27,708","3,535","50,039","99,304","121,461","88,431","13,286","28,868","68,525","21,196","3,672","100,107","14,932","9,546","9,921","22,986","19,853","10,869",891,"1,671",39,電気機械,,,
40,測量・光学・医療機械,"9,315",849,"3,551","3,095","13,353","15,380","3,790","6,267","3,006","5,943","4,826","7,002","1,959","7,192","2,275",146,"5,649","2,203",63,"2,034",40,測量・光学・医療機械,,,
41,事務用機器,120,30,87,255,761,925,-,262,"6,405","1,227",-,"3,088","2,495",-,30,-,431,630,-,-,41,事務用機器,,,
42,その他機械,"1,270",71,-,94,-,12,98,30,74,598,373,"1,685",-,30,405,-,181,515,131,60,42,その他機械,,,
化学工業品,,"187,756","24,017","114,721","36,045","27,976","102,266","37,014","24,699","26,584","87,989","112,090","8,850","42,324","72,503","96,201","14,097","6,600","41,350","35,530","38,559",化学工業品,,,,
43,陶磁器,842,215,"3,356",214,"11,169",342,"1,680","15,753",285,"1,439","2,097",938,"1,089",624,322,-,664,938,"1,622",116,43,陶磁器,,,
44,セメント,90,-,210,-,45,375,-,-,-,-,600,-,-,-,90,-,-,"4,860",-,-,44,セメント,,,
45,ガラス類,"2,231","1,185","2,252","1,384",565,"2,441",195,"1,158","1,683","3,633","1,673","1,470",67,"8,072","1,624",132,30,"1,326",151,"3,464",45,ガラス類,,,
46,窯業品,"9,391","1,302","64,184","10,228",936,"5,696",748,15,607,"6,412","7,313",89,"1,950",435,"6,003",920,-,"3,047",200,60,46,窯業品,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,
48,石油製品,"2,076",60,-,-,15,225,15,-,210,"1,463",985,-,-,150,"1,162",-,-,15,432,375,48,石油製品,,,
49,LNG/液化天然ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,15,49,LNG/液化天然ガス,,,
50,LPG/液化石油ガス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,50,LPG/液化石油ガス,,,
51,その他の石油製品,932,-,135,12,-,30,15,-,-,300,937,-,15,540,515,-,-,15,"3,656",510,51,その他の石油製品,,,
52,コークス,-,-,"2,826",-,-,-,-,-,-,-,-,-,-,390,-,-,-,-,-,-,52,コークス,,,
53,石炭製品,315,-,-,-,-,15,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,石炭製品,,,
54,化学薬品,"49,593","3,040","23,983","5,220","3,413","10,474","5,741","1,007","9,512","23,840","30,467",307,"3,845","10,522","13,604","3,449",390,"1,116","7,960","2,713",54,化学薬品,,,
55,化学肥料,733,225,"2,040",225,150,525,-,105,195,"3,452",188,195,-,975,742,15,-,-,-,-,55,化学肥料,,,
56,その他化学工業品,"121,553","17,990","15,735","18,762","11,683","82,143","28,620","6,661","14,092","47,450","67,830","5,851","35,358","50,795","72,139","9,581","5,516","30,033","21,509","31,306",56,その他化学工業品,,,
軽工業品,,"137,486","199,942","74,192","84,178","61,743","77,798","54,153","13,995","40,336","67,253","180,962","9,134","43,003","71,635","72,306","114,824","27,786","73,573","155,051","162,123",軽工業品,,,,
57,紙・パルプ,"11,258",465,"14,981","9,617","6,430","2,297","1,090","5,742","9,237","12,921","16,775",620,"28,028","13,510","12,674",303,270,398,"129,932","1,917",57,紙・パルプ,,,
58,糸及び紡績半製品,180,30,120,630,120,"5,254",495,-,823,321,313,"2,790","2,320","4,996",90,43,180,247,"1,606",-,58,糸及び紡績半製品,,,
59,その他繊維工業品,"3,785",146,"16,608","4,912","4,046","17,181","2,873","4,527","1,635","1,253","11,863",16,"7,460","29,500","1,987",295,"1,703",400,"5,318",479,59,その他繊維工業品,,,
60,砂糖,"4,524","7,625",225,2,-,660,-,-,-,"8,185","4,115",-,60,-,"3,245",-,-,945,75,"1,117",60,砂糖,,,
61,製造食品,"83,056","110,403","40,715","68,758","49,008","40,278","39,132","3,568","24,323","25,803","50,720","4,767","4,085","15,413","25,638","113,088","21,597","68,178","7,022","59,330",61,製造食品,,,
62,飲料,"21,058","24,068",390,34,"1,209","2,808","10,413",39,"2,563","7,976","58,557",797,30,"2,240","8,072","1,065","3,600","2,535","3,953","76,179",62,飲料,,,
63,水,"13,069","56,474",-,210,585,"4,750",-,-,-,120,"8,293",-,-,150,"19,356",-,1,-,19,558,63,水,,,
64,たばこ,30,-,435,-,150,150,-,-,-,"3,171","8,307",22,"1,020",-,15,-,-,-,"6,946","4,073",64,たばこ,,,
65,その他食料工業品,526,731,718,15,195,"4,420",150,119,"1,755","7,503","22,019",122,-,"5,826","1,229",30,435,870,180,"18,470",65,その他食料工業品,,,
雑工業品,,"72,394","7,521","147,515","229,400","214,247","200,713","368,255","309,133","291,141","119,335","65,744","275,555","243,431","89,481","31,931","39,440","211,516","47,366","15,731","16,610",雑工業品,,,,
66,がん具,805,315,186,636,"12,376","1,478","20,562","50,888","16,718","4,407",621,"4,265","8,127",590,818,69,"10,397","1,395",45,249,66,がん具,,,
67,衣服・身廻品・はきもの,"15,808",776,"60,265","87,378","117,669","45,782","259,626","149,167","100,728","4,991","8,582","40,852","106,501","11,698","6,846","15,972","121,730","11,254","6,786","3,371",67,衣服・身廻品・はきもの,,,
68,文房具・運動娯楽用品・楽器,"16,776","1,224","2,777","5,899","30,482","2,804","22,459","12,331","28,788","7,531","3,032","2,612","9,745","12,462","6,312","19,783","39,588","2,682","2,188","2,340",68,文房具・運動娯楽用品・楽器,,,
69,家具装備品,"11,537","1,553","54,383","75,993","42,241","77,640","49,294","82,161","110,822","29,875","23,684","10,120","32,880","41,989","6,616","1,312","36,550","16,104",926,"3,090",69,家具装備品,,,
70,その他日用品,"13,042","1,517","15,771","2,564",819,"2,435","3,371","4,197","16,171","2,667","2,234","3,703","32,411","3,474","4,594",477,780,"8,865","1,320",646,70,その他日用品,,,
71,ゴム製品,"5,095",381,"1,427","9,295",972,"11,121","3,672","1,480","5,257","12,280","18,394","9,084","39,452","2,106","2,699",30,908,"4,474",189,"6,510",71,ゴム製品,,,
72,木製品,577,840,"9,759","46,417","4,491","53,146","3,651","7,124","1,553","51,713","5,588","204,277","3,543","10,648",417,"1,560",499,"1,815",-,88,72,木製品,,,
73,その他製造工業品,"8,754",915,"2,947","1,218","5,197","6,307","5,620","1,785","11,104","5,871","3,609",642,"10,772","6,514","3,629",237,"1,064",777,"4,277",316,73,その他製造工業品,,,
特殊品,,"270,587","59,037","47,623","41,830","27,614","34,101","31,782","93,444","37,434","44,002","29,365","19,676","24,065","40,133","121,306","13,156","3,758","39,005","35,840","15,746",特殊品,,,,
74,金属くず,"6,885","4,147",225,"1,110",-,673,135,73,-,936,770,"1,823",788,"1,950","7,781",105,30,"3,087","2,532",-,74,金属くず,,,
75,再利用資材,"4,489",81,-,-,-,570,-,-,-,-,120,284,-,716,"7,208",-,-,60,150,-,75,再利用資材,,,
76,動植物性製造飼肥料,"222,328","39,631",442,"2,598",392,"3,045","6,343",307,325,915,"10,852",-,15,"3,435","66,212","2,970",211,"10,070","5,217","1,657",76,動植物性製造飼肥料,,,
77,廃棄物,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,廃棄物,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃土砂,,,
79,輸送用容器,"26,496","1,134","33,867","27,197","13,053","15,253","12,902","88,393","17,047","9,248","8,361","10,148","17,943","28,350","12,668","7,167","1,293","11,252","19,109","11,050",79,輸送用容器,,,
80,取合せ品,"10,389","14,044","13,089","10,925","14,169","14,560","12,402","4,671","20,062","32,903","9,262","7,421","5,319","5,682","27,437","2,914","2,224","14,536","8,832","3,039",80,取合せ品,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,
