,,,,,,,,,,,,,,,,,,,,,,,(単位：トン）,,,
36,自動車部品,-,"8,680","3,937",30,"1,001","13,414",-,"1,583",-,-,-,-,-,-,-,-,16,-,-,-,36,自動車部品,,,
37,その他輸送機械,-,25,97,-,"3,165",75,-,-,-,-,-,-,-,-,-,-,-,-,-,-,37,その他輸送機械,,,
38,産業機械,-,651,"1,708",-,"2,651",492,"1,815","1,792",-,-,-,855,-,-,-,-,-,-,-,-,38,産業機械,,,
39,電気機械,-,"2,600","4,315","10,587","6,327",128,305,"1,046",-,"5,529",-,-,"4,771",-,"1,030",-,"1,188","2,567",335,566,39,電気機械,,,
40,測量・光学・医療機械,-,20,631,"2,278","2,248",15,-,199,-,"1,691",-,-,927,-,313,-,359,624,-,88,40,測量・光学・医療機械,,,
41,事務用機器,"110,566",730,369,-,-,"2,305",-,-,-,-,-,-,-,-,-,-,199,-,-,-,41,事務用機器,,,
42,その他機械,-,665,644,-,807,170,-,-,-,"1,110",-,-,472,-,96,-,-,-,264,-,42,その他機械,,,
化学工業品,,-,"40,962","19,169","1,295","5,852","6,364","1,543","2,069",818,915,983,-,-,-,88,247,37,43,567,-,化学工業品,,,,
43,陶磁器,-,-,174,-,30,-,-,302,-,-,-,-,-,-,-,-,-,-,-,-,43,陶磁器,,,
44,セメント,-,320,-,-,-,170,-,-,-,-,-,-,-,-,-,-,-,-,-,-,44,セメント,,,
45,ガラス類,-,250,30,-,30,875,-,15,-,-,-,-,-,-,-,-,-,-,-,-,45,ガラス類,,,
46,窯業品,-,830,300,142,-,165,686,610,-,-,-,-,-,-,-,-,-,-,-,-,46,窯業品,,,
47,重油,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,47,重油,,,
48,石油製品,-,"2,185",130,-,30,"1,290",-,-,-,-,-,-,-,-,-,-,-,-,-,-,48,石油製品,,,
49,LNG/液化天然ガス,-,-,-,-,18,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,LNG/液化天然ガス,,,
50,LPG/液化石油ガス,-,10,-,-,-,-,-,-,-,-,983,-,-,-,-,247,-,-,-,-,50,LPG/液化石油ガス,,,
51,その他の石油製品,-,470,135,-,-,115,-,180,-,-,-,-,-,-,-,-,-,-,-,-,51,その他の石油製品,,,
52,コークス,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,52,コークス,,,
53,石炭製品,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,53,石炭製品,,,
54,化学薬品,-,"33,763","5,313",240,"1,263","1,606",380,533,685,-,-,-,-,-,-,-,-,-,-,-,54,化学薬品,,,
55,化学肥料,-,"1,215",-,-,90,"1,075",15,-,-,-,-,-,-,-,-,-,-,-,-,-,55,化学肥料,,,
56,その他化学工業品,-,"1,919","13,087",913,"4,391","1,068",462,429,133,915,-,-,-,-,88,-,37,43,567,-,56,その他化学工業品,,,
軽工業品,,"7,950","140,230","38,326","4,738","58,569","56,923","17,102","8,629","5,117","7,375","4,349",-,"1,560",-,"2,012",886,"1,814",538,985,946,軽工業品,,,,
57,紙・パルプ,-,"25,855","1,804",-,"45,675","3,115",289,"3,153",52,"1,216",-,-,-,-,-,-,-,-,-,-,57,紙・パルプ,,,
58,糸及び紡績半製品,-,-,-,-,-,-,30,41,-,-,-,-,-,-,-,-,-,-,-,-,58,糸及び紡績半製品,,,
59,その他繊維工業品,-,25,420,-,961,84,-,31,-,"1,674",-,-,-,-,173,-,-,-,529,-,59,その他繊維工業品,,,
60,砂糖,-,"4,225","5,029",250,729,"3,789",-,-,-,85,-,-,98,-,592,-,-,-,-,-,60,砂糖,,,
61,製造食品,"7,950","29,625","7,479","4,308","10,563","24,309","1,547","3,182",465,"4,400","3,151",-,"1,462",-,"1,247",723,875,538,456,946,61,製造食品,,,
62,飲料,-,"79,075","2,066",60,90,"19,500","14,964","2,173","4,600",-,"1,198",-,-,-,-,163,939,-,-,-,62,飲料,,,
63,水,-,740,458,-,-,974,-,19,-,-,-,-,-,-,-,-,-,-,-,-,63,水,,,
64,たばこ,-,30,-,-,-,"3,370",-,-,-,-,-,-,-,-,-,-,-,-,-,-,64,たばこ,,,
65,その他食料工業品,-,655,"21,070",120,551,"1,782",272,30,-,-,-,-,-,-,-,-,-,-,-,-,65,その他食料工業品,,,
雑工業品,,-,"68,169","10,297","4,651","16,255","27,709",311,"4,379",412,"5,738","1,390",-,"1,291",38,"2,110",652,"1,702",323,851,882,雑工業品,,,,
66,がん具,-,75,26,-,-,165,-,-,-,-,-,-,-,-,-,-,-,-,-,-,66,がん具,,,
67,衣服・身廻品・はきもの,-,150,"1,909","2,617","3,084",150,30,230,-,"4,339",-,-,338,-,"1,105",-,"1,371",323,851,795,67,衣服・身廻品・はきもの,,,
68,文房具・運動娯楽用品・楽器,-,610,"1,561","1,432","8,602",15,9,101,-,"1,169",-,-,-,-,152,-,83,-,-,-,68,文房具・運動娯楽用品・楽器,,,
69,家具装備品,-,"8,860",901,542,718,300,-,42,-,230,-,-,895,-,603,-,209,-,-,-,69,家具装備品,,,
70,その他日用品,-,"42,259","4,512",-,784,"8,700",21,118,-,-,"1,390",-,58,38,250,652,39,-,-,87,70,その他日用品,,,
71,ゴム製品,-,355,887,-,"1,531","8,835",-,"2,640",-,-,-,-,-,-,-,-,-,-,-,-,71,ゴム製品,,,
72,木製品,-,50,15,60,295,104,251,239,397,-,-,-,-,-,-,-,-,-,-,-,72,木製品,,,
73,その他製造工業品,-,"15,810",486,-,"1,241","9,440",-,"1,009",15,-,-,-,-,-,-,-,-,-,-,-,73,その他製造工業品,,,
特殊品,,"323,226","78,178","111,241","153,938","47,769","30,558","22,033","32,506","4,607",-,"11,383","10,836",103,"7,048",-,"2,133",-,"1,125","2,017","1,665",特殊品,,,,
74,金属くず,-,75,30,-,87,20,15,180,-,-,-,-,-,-,-,-,-,-,-,-,74,金属くず,,,
75,再利用資材,-,30,-,-,"1,307",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,75,再利用資材,,,
76,動植物性製造飼肥料,-,"7,835","6,085","1,110",30,"21,349",240,"6,397",90,-,-,-,-,-,-,-,-,-,-,-,76,動植物性製造飼肥料,,,
77,廃棄物,-,"4,545",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,77,廃棄物,,,
78,廃土砂,-,-,-,-,-,-,95,-,-,-,-,-,-,-,-,-,-,-,-,-,78,廃土砂,,,
79,輸送用容器,-,"37,880","1,001",-,"7,387","5,708",952,"11,329",-,-,-,-,-,-,-,-,-,-,-,-,79,輸送用容器,,,
80,取合せ品,"323,226","27,813","104,125","152,828","38,958","3,481","20,731","14,600","4,517",-,"11,383","10,836",103,"7,048",-,"2,133",-,"1,125","2,017","1,665",80,取合せ品,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,分類不能のもの,,,,
