,,,,,,,,,,,(単位：トン）,,,,,
35,二輪自動車,-,-,210,469,-,-,-,-,-,-,,,,,
36,自動車部品,"22,151",-,"11,639","30,941","2,579",80,"1,054",-,-,150,,,,,
37,その他輸送機械,20,-,294,223,-,-,-,-,-,-,,,,,
38,産業機械,775,-,"25,703","1,783",290,135,978,-,-,"23,111",,,,,
39,電気機械,425,"2,399","12,829","1,107",160,"2,785",9,-,-,60,,,,,
40,測量・光学・医療機械,5,"1,305","1,026",445,-,120,-,-,-,-,,,,,
41,事務用機器,320,-,-,-,-,45,-,-,-,-,,,,,
42,その他機械,"1,770",-,54,313,-,70,-,-,10,-,,,,,
化学工業品,,"4,000",378,"9,930","1,308","1,231","1,095",354,-,"1,900",842,,,,,
43,陶磁器,-,-,417,-,-,-,-,-,-,-,,,,,
44,セメント,-,-,-,-,-,5,-,-,-,-,,,,,
45,ガラス類,50,-,331,-,-,-,-,-,-,-,,,,,
46,窯業品,-,-,"2,077",60,-,-,13,-,20,-,,,,,
47,重油,-,-,-,-,-,-,-,-,-,-,,,,,
48,石油製品,145,-,40,-,-,20,135,-,-,-,,,,,
49,LNG/液化天然ガス,60,-,-,-,-,-,-,-,-,-,,,,,
50,LPG/液化石油ガス,20,-,-,-,-,165,-,-,-,-,,,,,
51,その他の石油製品,15,-,-,-,-,20,-,-,-,-,,,,,
52,コークス,-,-,-,-,-,-,-,-,-,-,,,,,
53,石炭製品,-,-,-,-,-,-,-,-,-,-,,,,,
54,化学薬品,"2,025",-,"1,841",30,43,150,15,-,"1,810",337,,,,,
55,化学肥料,"1,525",-,-,-,-,730,-,-,-,-,,,,,
56,その他化学工業品,160,378,"5,224","1,218","1,188",5,191,-,70,505,,,,,
軽工業品,,"107,865","1,832","12,734",757,"4,741","34,010",225,"10,495","33,460",120,,,,,
57,紙・パルプ,"61,130",-,909,425,-,"12,115",-,-,"33,395",90,,,,,
58,糸及び紡績半製品,-,-,"9,778",-,-,-,195,-,-,-,,,,,
59,その他繊維工業品,10,-,635,15,-,-,-,-,-,-,,,,,
60,砂糖,"28,965","1,151",-,225,"2,544",335,-,-,-,-,,,,,
61,製造食品,"11,220",681,"1,142",92,"2,197","5,585",30,-,65,-,,,,,
62,飲料,"2,005",-,261,-,-,"5,105",-,"10,495",-,30,,,,,
63,水,"3,730",-,-,-,-,"9,550",-,-,-,-,,,,,
64,たばこ,-,-,-,-,-,960,-,-,-,-,,,,,
65,その他食料工業品,805,-,9,-,-,360,-,-,-,-,,,,,
雑工業品,,"7,320","1,657","2,485","3,508",881,"3,175",70,-,765,783,,,,,
66,がん具,-,-,-,75,-,-,-,-,-,-,,,,,
67,衣服・身廻品・はきもの,-,814,613,65,571,-,-,-,-,123,,,,,
68,文房具・運動娯楽用品・楽器,-,292,281,237,280,20,-,-,-,-,,,,,
69,家具装備品,225,-,37,30,-,"1,135",-,-,-,30,,,,,
70,その他日用品,"4,025",551,32,"2,880",30,810,-,-,-,-,,,,,
71,ゴム製品,170,-,180,161,-,950,10,-,765,600,,,,,
72,木製品,5,-,-,-,-,-,-,-,-,-,,,,,
73,その他製造工業品,"2,895",-,"1,342",60,-,260,60,-,-,30,,,,,
特殊品,,"142,517","178,650","96,202","74,135","76,447","35,260","60,440","43,844","2,790","12,701",,,,,
74,金属くず,"2,380",-,13,79,-,-,-,-,-,30,,,,,
75,再利用資材,"7,155",24,-,-,-,-,-,-,-,-,,,,,
76,動植物性製造飼肥料,625,-,44,-,-,70,-,-,-,-,,,,,
77,廃棄物,-,-,-,-,-,190,-,-,10,-,,,,,
78,廃土砂,-,-,-,-,-,-,-,-,-,-,,,,,
79,輸送用容器,"106,527",-,"1,893",-,-,"27,875",-,-,25,-,,,,,
80,取合せ品,"25,830","178,626","94,252","74,056","76,447","7,125","60,440","43,844","2,755","12,671",,,,,
分類不能のもの,,-,-,-,-,-,-,-,-,-,-,,,,,
