,,,,,,,,,,,(単位：トン）
タンジール,284,284,-,ケープタウン,"6,977","2,320","4,657",ミクロネシア連邦,45,45,-
カサブランカ,393,30,363,諸港(南ｱﾌﾘｶ),"1,794","1,617",177,トラック,15,15,-
アガディール,255,-,255,タンザニア,"3,632","3,632",-,諸港(ﾐｸﾛﾈｼｱ連邦),30,30,-
諸港(ﾓﾛｯｺ),176,-,176,ダルエスサラム,"3,556","3,556",-,ニューカレドニア,30,30,-
アルジェリア,7,7,-,諸港(タンザニア),76,76,-,ヌメア,26,26,-
アルジェ,7,7,-,アンゴラ,479,479,-,諸港(ニューカレドニア),4,4,-
チュニジア,652,114,538,カビンダ,9,9,-,クリスマス島,19,19,-
チュニス,265,23,242,ルアンダ,470,470,-,諸港（クリスマス島）,19,19,-
スース,2,2,-,コンゴ民主共和国,30,30,-,パラオ,42,42,-
諸港(チュニジア),385,89,296,マタディ,30,30,-,コロール,42,42,
リビア,31,31,-,カメルーン,5,5,-,,,,
トリポリ,16,16,-,デュアラ,1,1,-,,,,
ミスラタ,15,15,-,諸港(ｶﾒﾙｰﾝ),4,4,-,,,,
エジプト,"31,464","29,837","1,627",モーリシャス,"2,710","2,710",-,,,,
ポートサイド,"1,111",980,131,ポートルイス,"2,710","2,710",-,,,,
アレキサンドリア,"7,987","7,927",60,ナミビア,"1,139",80,"1,059",,,,
ダミエッタ,"21,169","20,323",846,ウォルビスベイ,620,80,540,,,,
ソクナポート,237,192,45,リューデリッジ,100,-,100,,,,
諸港(エジプト),960,415,545,諸港(ナミビア),419,-,419,,,,
スーダン,156,96,60,セーシェル,4,4,-,,,,
ポートスーダン,137,77,60,マヘ島,4,4,-,,,,
諸港(スーダン),19,19,-,レユニオン,30,-,30,,,,
カーボヴェルデ,1,1,-,諸港（レユニオン）,30,-,30,,,,
プライア,1,1,-,太洋州,"339,907","86,641","253,266",,,,
モーリタニア,"2,657",2,"2,655",オーストラリア,"78,208","62,047","16,161",,,,
ヌアジボー,"2,535",-,"2,535",タウンズビル,282,282,-,,,,
ヌアクショット,122,2,120,ブリスベーン,"17,031","16,102",929,,,,
セネガル,328,253,75,シドニー,"19,619","19,105",514,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
