町丁目,世帯数,男人数,女人数,合計人数
西荻南3丁目,1598,1146,1345,2491
西荻南4丁目,1642,1356,1598,2954
西荻北1丁目,1420,1187,1206,2393
西荻北2丁目,2465,1934,2424,4358
西荻北3丁目,3062,2138,2671,4809
西荻北4丁目,2357,1722,2023,3745
西荻北5丁目,1130,931,1046,1977
今川1丁目,1145,1143,1257,2400
今川2丁目,860,962,986,1948
今川3丁目,1416,1381,1480,2861
今川4丁目,1153,1176,1235,2411
清水1丁目,1901,1499,1758,3257
清水2丁目,966,927,1037,1964
清水3丁目,1780,1738,1825,3563
桃井1丁目,2200,1906,2015,3921
桃井2丁目,1311,1243,1430,2673
桃井3丁目,1217,1244,1452,2696
桃井4丁目,1451,1243,1316,2559
井草1丁目,2561,2218,2428,4646
井草2丁目,2987,2879,3108,5987
井草3丁目,1601,1240,1384,2624
井草4丁目,1236,959,1027,1986
井草5丁目,1154,1001,1020,2021
下井草1丁目,1884,1608,1667,3275
下井草2丁目,2180,1970,2155,4125
下井草3丁目,2611,2267,2496,4763
下井草4丁目,2032,1800,1944,3744
下井草5丁目,1469,1173,1289,2462
上井草1丁目,1930,1669,1882,3551
上井草2丁目,2718,2505,2640,5145
上井草3丁目,1942,2038,2078,4116
上井草4丁目,1364,1422,1561,2983
善福寺1丁目,2012,1901,2163,4064
善福寺2丁目,1930,1753,2057,3810
善福寺3丁目,989,972,1089,2061
善福寺4丁目,1048,1129,1196,2325
松庵1丁目,1862,1748,2026,3774
松庵2丁目,1457,1219,1449,2668
松庵3丁目,2705,2009,2349,4358
宮前1丁目,957,839,917,1756
宮前2丁目,1665,1715,1881,3596
宮前3丁目,2594,2536,2626,5162
宮前4丁目,2330,2188,2378,4566
宮前5丁目,2062,1915,2082,3997
久我山1丁目,913,728,858,1586
久我山2丁目,1418,1237,1431,2668
久我山3丁目,3005,2395,2817,5212
久我山4丁目,2645,2359,2796,5155
久我山5丁目,3002,2549,2976,5525
高井戸東1丁目,1818,1789,2022,3811
高井戸東2丁目,2197,1839,2069,3908
高井戸東3丁目,3847,3461,4003,7464
高井戸東4丁目,2589,2315,2546,4861
高井戸西1丁目,3520,2348,3224,5572
高井戸西2丁目,1551,1405,1693,3098
高井戸西3丁目,1359,1313,1378,2691
上高井戸1丁目,4159,2912,3499,6411
上高井戸2丁目,1811,1701,1902,3603
上高井戸3丁目,1264,1085,1083,2168
