町丁目,世帯数,男人数,女人数,合計人数
阿佐谷北4丁目,2500,2009,2115,4124
阿佐谷北5丁目,2197,1882,1984,3866
阿佐谷北6丁目,1816,1653,1737,3390
天沼1丁目,2468,2135,1906,4041
天沼2丁目,3102,2570,2675,5245
天沼3丁目,3938,2955,3130,6085
本天沼1丁目,1830,1621,1573,3194
本天沼2丁目,2469,2337,2289,4626
本天沼3丁目,1858,1833,1932,3765
成田西1丁目,1312,1327,1455,2782
成田西2丁目,1409,1499,1569,3068
成田西3丁目,993,1088,1146,2234
成田西4丁目,443,460,470,930
成田東1丁目,2444,2231,2366,4597
成田東2丁目,1698,1870,1949,3819
成田東3丁目,1866,1641,1671,3312
成田東4丁目,3066,2703,3033,5736
成田東5丁目,3520,2725,3128,5853
荻窪1丁目,2644,2647,2779,5426
荻窪2丁目,2169,1922,2096,4018
荻窪3丁目,3706,3402,3647,7049
荻窪4丁目,2628,1921,2349,4270
荻窪5丁目,3105,2238,2636,4874
南荻窪1丁目,1906,1844,2001,3845
南荻窪2丁目,1899,1963,2058,4021
南荻窪3丁目,1653,1467,1564,3031
南荻窪4丁目,1959,1633,1813,3446
上荻1丁目,1145,770,916,1686
上荻2丁目,3168,2503,2486,4989
上荻3丁目,1742,1637,1761,3398
上荻4丁目,2012,1641,1852,3493
西荻南1丁目,1405,1167,1352,2519
西荻南2丁目,2590,1693,2218,3911
西荻南3丁目,1593,1130,1337,2467
西荻南4丁目,1647,1354,1601,2955
西荻北1丁目,1422,1186,1205,2391
西荻北2丁目,2474,1936,2430,4366
西荻北3丁目,3073,2152,2692,4844
西荻北4丁目,2345,1731,2012,3743
西荻北5丁目,1129,934,1051,1985
今川1丁目,1142,1145,1249,2394
今川2丁目,860,965,984,1949
今川3丁目,1415,1385,1489,2874
今川4丁目,1142,1165,1229,2394
清水1丁目,1921,1511,1765,3276
清水2丁目,960,922,1031,1953
清水3丁目,1781,1737,1816,3553
桃井1丁目,2200,1896,2027,3923
桃井2丁目,1314,1250,1432,2682
桃井3丁目,1203,1233,1431,2664
桃井4丁目,1447,1244,1309,2553
井草1丁目,2561,2221,2429,4650
井草2丁目,2981,2894,3110,6004
井草3丁目,1598,1217,1394,2611
井草4丁目,1232,952,1022,1974
井草5丁目,1138,992,1008,2000
下井草1丁目,1879,1605,1657,3262
下井草2丁目,2187,1985,2153,4138
下井草3丁目,2601,2261,2493,4754
下井草4丁目,2029,1803,1950,3753
下井草5丁目,1482,1179,1302,2481
上井草1丁目,1954,1694,1897,3591
上井草2丁目,2704,2503,2645,5148
上井草3丁目,1941,2016,2080,4096
上井草4丁目,1364,1425,1561,2986
善福寺1丁目,2027,1907,2178,4085
善福寺2丁目,1929,1762,2065,3827
善福寺3丁目,995,977,1097,2074
善福寺4丁目,1044,1120,1199,2319
松庵1丁目,1852,1727,2009,3736
松庵2丁目,1442,1213,1440,2653
松庵3丁目,2724,2014,2361,4375
宮前1丁目,965,849,917,1766
宮前2丁目,1649,1704,1871,3575
宮前3丁目,2593,2525,2627,5152
宮前4丁目,2333,2204,2369,4573
宮前5丁目,2054,1917,2091,4008
久我山1丁目,910,720,856,1576
久我山2丁目,1396,1217,1407,2624
久我山3丁目,3007,2410,2818,5228
久我山4丁目,2651,2379,2804,5183
久我山5丁目,2989,2541,2959,5500
高井戸東1丁目,1816,1786,2015,3801
高井戸東2丁目,2178,1822,2045,3867
高井戸東3丁目,3850,3458,3994,7452
高井戸東4丁目,2620,2315,2562,4877
高井戸西1丁目,3540,2361,3239,5600
高井戸西2丁目,1570,1412,1722,3134
高井戸西3丁目,1368,1316,1378,2694
上高井戸1丁目,4112,2876,3466,6342
上高井戸2丁目,1786,1682,1881,3563
上高井戸3丁目,1277,1088,1089,2177
