町丁目,世帯数,男人数,女人数,合計人数
阿佐谷北5丁目,2214,1891,1999,3890
阿佐谷北6丁目,1827,1658,1739,3397
天沼1丁目,2456,2126,1897,4023
天沼2丁目,3111,2584,2683,5267
天沼3丁目,3945,2962,3140,6102
本天沼1丁目,1821,1619,1558,3177
本天沼2丁目,2457,2308,2291,4599
本天沼3丁目,1869,1846,1939,3785
成田西1丁目,1317,1350,1460,2810
成田西2丁目,1418,1507,1569,3076
成田西3丁目,992,1086,1141,2227
成田西4丁目,442,465,467,932
成田東1丁目,2456,2237,2379,4616
成田東2丁目,1703,1869,1951,3820
成田東3丁目,1880,1650,1676,3326
成田東4丁目,3055,2700,3032,5732
成田東5丁目,3540,2739,3148,5887
荻窪1丁目,2634,2649,2777,5426
荻窪2丁目,2166,1911,2094,4005
荻窪3丁目,3710,3403,3648,7051
荻窪4丁目,2634,1919,2335,4254
荻窪5丁目,3081,2219,2616,4835
南荻窪1丁目,1907,1841,1998,3839
南荻窪2丁目,1900,1958,2049,4007
南荻窪3丁目,1649,1473,1561,3034
南荻窪4丁目,1989,1645,1828,3473
上荻1丁目,1148,768,916,1684
上荻2丁目,3167,2494,2492,4986
上荻3丁目,1754,1664,1780,3444
上荻4丁目,2001,1636,1846,3482
西荻南1丁目,1404,1167,1343,2510
西荻南2丁目,2581,1690,2217,3907
西荻南3丁目,1601,1139,1349,2488
西荻南4丁目,1649,1357,1605,2962
西荻北1丁目,1428,1191,1216,2407
西荻北2丁目,2470,1936,2428,4364
西荻北3丁目,3067,2146,2677,4823
西荻北4丁目,2357,1727,2027,3754
西荻北5丁目,1129,931,1049,1980
今川1丁目,1145,1140,1255,2395
今川2丁目,860,966,987,1953
今川3丁目,1413,1375,1478,2853
今川4丁目,1150,1175,1232,2407
清水1丁目,1906,1501,1761,3262
清水2丁目,964,924,1039,1963
清水3丁目,1788,1744,1827,3571
桃井1丁目,2197,1894,2020,3914
桃井2丁目,1315,1247,1440,2687
桃井3丁目,1219,1245,1453,2698
桃井4丁目,1452,1246,1317,2563
井草1丁目,2555,2215,2422,4637
井草2丁目,2982,2881,3096,5977
井草3丁目,1603,1234,1394,2628
井草4丁目,1233,956,1027,1983
井草5丁目,1148,999,1016,2015
下井草1丁目,1884,1608,1668,3276
下井草2丁目,2169,1966,2152,4118
下井草3丁目,2622,2276,2505,4781
下井草4丁目,2031,1800,1950,3750
下井草5丁目,1471,1177,1288,2465
上井草1丁目,1930,1674,1883,3557
上井草2丁目,2706,2492,2644,5136
上井草3丁目,1950,2038,2088,4126
上井草4丁目,1364,1426,1557,2983
善福寺1丁目,2014,1903,2163,4066
善福寺2丁目,1936,1764,2062,3826
善福寺3丁目,989,970,1090,2060
善福寺4丁目,1052,1131,1204,2335
松庵1丁目,1856,1741,2019,3760
松庵2丁目,1451,1216,1443,2659
松庵3丁目,2724,2023,2359,4382
宮前1丁目,958,838,917,1755
宮前2丁目,1659,1706,1871,3577
宮前3丁目,2595,2530,2623,5153
宮前4丁目,2331,2187,2371,4558
宮前5丁目,2064,1917,2091,4008
久我山1丁目,916,729,862,1591
久我山2丁目,1418,1242,1431,2673
久我山3丁目,2998,2391,2816,5207
久我山4丁目,2639,2363,2795,5158
久我山5丁目,2999,2530,2974,5504
高井戸東1丁目,1818,1788,2017,3805
高井戸東2丁目,2196,1836,2057,3893
高井戸東3丁目,3865,3465,4013,7478
高井戸東4丁目,2598,2303,2557,4860
高井戸西1丁目,3519,2343,3228,5571
高井戸西2丁目,1554,1403,1700,3103
高井戸西3丁目,1369,1315,1386,2701
上高井戸1丁目,4150,2909,3490,6399
上高井戸2丁目,1799,1697,1893,3590
上高井戸3丁目,1271,1086,1092,2178
