町丁目,世帯数,男人数,女人数,合計人数
桃井3丁目,1211,1229,1441,2670
桃井4丁目,1446,1236,1313,2549
井草1丁目,2552,2207,2431,4638
井草2丁目,2964,2878,3105,5983
井草3丁目,1613,1261,1395,2656
井草4丁目,1240,964,1022,1986
井草5丁目,1145,994,1024,2018
下井草1丁目,1879,1581,1664,3245
下井草2丁目,2159,1973,2126,4099
下井草3丁目,2594,2260,2478,4738
下井草4丁目,2039,1798,1955,3753
下井草5丁目,1462,1168,1283,2451
上井草1丁目,1939,1678,1892,3570
上井草2丁目,2707,2515,2640,5155
上井草3丁目,1966,2056,2091,4147
上井草4丁目,1363,1411,1564,2975
善福寺1丁目,2013,1887,2155,4042
善福寺2丁目,1921,1736,2053,3789
善福寺3丁目,999,985,1096,2081
善福寺4丁目,1041,1123,1185,2308
松庵1丁目,1876,1744,2035,3779
松庵2丁目,1453,1207,1444,2651
松庵3丁目,2716,2004,2369,4373
宮前1丁目,949,831,916,1747
宮前2丁目,1668,1727,1883,3610
宮前3丁目,2630,2577,2658,5235
宮前4丁目,2301,2175,2337,4512
宮前5丁目,2056,1914,2077,3991
久我山1丁目,917,733,854,1587
久我山2丁目,1432,1253,1451,2704
久我山3丁目,3018,2411,2818,5229
久我山4丁目,2649,2364,2784,5148
久我山5丁目,3007,2562,2973,5535
高井戸東1丁目,1803,1780,2004,3784
高井戸東2丁目,2156,1814,2030,3844
高井戸東3丁目,3823,3434,3968,7402
高井戸東4丁目,2584,2328,2551,4879
高井戸西1丁目,3498,2320,3213,5533
高井戸西2丁目,1554,1415,1696,3111
高井戸西3丁目,1364,1305,1375,2680
上高井戸1丁目,4153,2903,3514,6417
上高井戸2丁目,1819,1714,1909,3623
上高井戸3丁目,1290,1105,1086,2191
