年月,西暦（年）,月,総合,持家の帰属家賃を除く総合,食料,住居,持家の帰属家賃を除く住居,光熱・水道,家具・家事用品,被服及び履物,保健医療,交通・通信,教育,教養娯楽,諸雑費,
月別指数／平成16年6月,2004,6,98.2,97.8,99.4,99.8,97.9,98.8,87.1,95.4,102.8,98.5,103.6,92,101.4,
月別指数／平成16年7月,2004,7,97.9,97.4,98.5,99.8,97.9,98.9,86.8,91.7,102.7,98.8,103.6,92.9,101.3,
月別指数／平成16年8月,2004,8,98,97.6,98.5,99.7,97.9,99,86.6,89.9,102.7,99.2,103.6,94.8,101.3,
月別指数／平成16年9月,2004,9,98.3,98,99,99.6,97.8,99.4,86.6,95.9,102.7,99.3,103.6,92.9,101.4,
月別指数／平成16年10月,2004,10,98.8,98.5,100.7,99.7,97.7,99.2,86.7,97,102.7,99.3,103.6,92.4,101.5,
前月比(％)／平成15年10月,2003,10,0,0,0,-0.1,0,-0.1,-0.4,0.6,-0.1,0,0,-0.5,-0.1,
前月比(％)／平成15年11月,2003,11,-0.5,-0.5,-1,0,-0.1,0,-0.2,0.1,-0.1,-0.1,0,-1.5,0,
前月比(％)／平成15年12月,2003,12,0.1,0.1,0.4,0,0,0,-0.4,-0.3,-0.1,0,0,0.5,0,
前月比(％)／平成16年1月,2004,1,-0.2,-0.3,1.3,-0.1,-0.1,-0.2,-0.6,-6.7,-0.1,-0.3,0,-1.4,-0.1,
前月比(％)／平成16年2月,2004,2,0,0,0.5,0.1,0,0,-0.5,-1.8,0.1,-0.3,0,-0.1,0.1,
前月比(％)／平成16年3月,2004,3,0.2,0.2,-0.2,0,-0.1,0,-0.1,3.3,-0.1,0.2,0,0.7,-0.1,
前月比(％)／平成16年4月,2004,4,0,0,-0.6,0,0,-0.2,-0.2,3.8,-0.8,-0.1,0.7,0.1,0.1,
前月比(％)／平成16年5月,2004,5,0.1,0.2,0.2,-0.1,0,0,-0.2,1.3,0.1,0.2,0.1,0,-0.3,
前月比(％)／平成16年6月,2004,6,0.2,0.2,0.4,0,-0.1,0.2,-0.3,-0.3,0,0.6,0,0,0,
前月比(％)／平成16年7月,2004,7,-0.3,-0.4,-0.9,0,0,0.1,-0.3,-3.9,-0.1,0.3,0,1,-0.1,
前月比(％)／平成16年8月,2004,8,0.1,0.2,0,-0.1,0,0.1,-0.2,-2,0,0.4,0,2,0,
前月比(％)／平成16年9月,2004,9,0.3,0.4,0.5,-0.1,-0.1,0.4,0,6.7,0,0.1,0,-2,0.1,
前月比(％)／平成16年10月,2004,10,0.5,0.5,1.7,0.1,-0.1,-0.2,0.1,1.1,0,0,0,-0.5,0.1,
前年同月比(％)／平成15年10月,2003,10,0,-0.1,-0.3,-0.1,-0.4,0.8,-2.9,-1.6,3.6,-0.1,0.4,-0.6,1.7,
前年同月比(％)／平成15年11月,2003,11,-0.5,-0.6,-1.4,0,-0.5,0.7,-2.9,-1.5,3.6,-0.2,0.4,-1.7,1.8,
前年同月比(％)／平成15年12月,2003,12,-0.4,-0.4,-0.8,-0.1,-0.5,0.7,-3,-1.3,3.6,-0.3,0.4,-1.7,1.7,
前年同月比(％)／平成16年1月,2004,1,-0.3,-3,-0.1,-0.2,-0.5,0.4,-3.1,-1.5,3.6,-0.6,0.4,-1.8,1.5,
前年同月比(％)／平成16年2月,2004,2,0,0,0.8,-0.1,-0.4,0.3,-3.3,-1.1,3.7,-0.9,0.4,-1.7,1.6,
前年同月比(％)／平成16年3月,2004,3,-0.1,-0.1,0.7,-0.1,-0.5,0.3,-3.1,-0.8,3.6,-1.2,0.4,-1.7,1.3,
前年同月比(％)／平成16年4月,2004,4,-0.4,-0.6,0,-0.1,-0.5,-0.5,-3.5,-0.7,-1.3,-1.2,0.7,-1.1,1.4,
前年同月比(％)／平成16年5月,2004,5,-0.5,-0.5,0,-0.2,-0.5,-0.5,-3.5,-0.5,-1.2,-0.9,0.8,-1.4,1.1,
前年同月比(％)／平成16年6月,2004,6,0,0,1,-0.3,-0.6,-0.2,-3.5,-0.5,-1.2,0,0.8,-1.4,1.2,
前年同月比(％)／平成16年7月,2004,7,-0.1,-0.2,0.8,-0.3,-0.6,-0.2,-3.9,-0.7,-1.3,0.1,0.8,-1.5,-0.1,
前年同月比(％)／平成16年8月,2004,8,-0.2,-0.2,0.5,-0.4,-0.4,-0.1,-3.7,0,-1.2,0.2,0.8,-1.4,-0.3,
前年同月比(％)／平成16年9月,2004,9,0,0.1,0.6,-0.4,-0.5,0.3,-3.6,0.2,-1.2,1,0.8,-1.3,-0.4,
前年同月比(％)／平成16年10月,2004,10,0.5,0.6,2.3,-0.2,-0.6,0.2,-3,0.7,-1.1,1,0.8,-1.3,-0.2,
,,,,,,,,,,,,,,,,
東京の物価／平成１６年１１月,,,,,,,,,,,,,,,,
１０．全国消費者物価１０大費目指数,,,,,,,,,,,,,,,,
(平成１２年＝１００),,,,,,,,,,,,,,,,
