"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","経度","緯度","分類"
"25","木","ご飯","牛乳","白身魚のしゅうまい;ビーフンソテー;中華スープ","牛乳;鶏肉;たら;豚肉;豆腐","米;砂糖;しゅうまいの皮;油;ビーフン;ごま油","玉ねぎ;ねぎ;椎茸;生姜;人参;筍;キャベツ;ピーマン;きくらげ;もやし;小松菜","592","15.2","20.5","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"26","金","キャロットライス","牛乳","タンドリーチキン;もやしと青菜のソテー;ミラノ風野菜のスープ","牛乳;鶏肉;ヨーグルト;ベーコン;チーズ","米;バター;油;じゃがいも;マカロニ","人参;玉ねぎ;にんにく;もやし;小松菜;トマト缶;キャベツ;セロリー;パセリ","619","14.8","27.2","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"30","火","ご飯","牛乳","鯖の薬味ソースかけ;野菜のおかか和え;味噌汁（大根）;甘辛大豆","牛乳;さば;かつお節;だし削り節;油揚げ;味噌;大豆","米;砂糖;ごま;でん粉;油","生姜;にんにく;ねぎ;キャベツ;チンゲンサイ;コーン缶;大根;人参","642","15.8","27.6","4","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"1","水","スパゲッティナポリタン","牛乳","コールスローサラダ;抹茶あずきスコーン","ベーコン;豚肉;チーズ;牛乳;ヨーグルト;あずき;卵","スパゲッティ;油;砂糖;小麦粉;バター","にんにく;人参;玉ねぎ;セロリー;マッシュルーム;トマト缶;ピーマン;キャベツ;きゅうり;りんご","674","12.9","27.6","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"2","木","ご飯","牛乳","かつおの竜田揚げ;磯浸し;味噌汁（じゃが芋・豆腐）","牛乳;鰹;のり;だし削り節;油揚げ;豆腐;味噌","米;でん粉;油;じゃがいも","生姜;小松菜;人参;チンゲンサイ;えのきたけ;キャベツ","581","17.3","22.5","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"7","火","ご飯","牛乳","生揚げと野菜の煮付け;ツナ入り茹で野菜（和風）;ジューシーフルーツ","牛乳;生揚げ;だし削り節;まぐろ（油漬）","米;砂糖;油;こんにゃく;じゃがいも;ふ","人参;椎茸;玉ねぎ;筍;冷凍いんげん;キャベツ;きゅうり;ジューシーフルーツ","629","13.3","28","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"8","水","胚芽パン","牛乳","鮭のムニエル;豆と野菜のドレッシング和え;野菜のポタージュ","牛乳;鮭;大豆;生クリーム","胚芽パン;小麦粉;バター;油;砂糖;じゃがいも","レモン;きゅうり;人参;蓮根;枝豆（冷凍）;玉ねぎ;クリームコーン缶;パセリ","618","18","33.9","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"9","木","ご飯","牛乳","挽き肉のコーン蒸し;野菜のオイスター炒め;②;わかめスープ②","牛乳;鶏肉;豚挽き肉;卵;だし削り節;豆腐;わかめ","米;ごま油;油","玉ねぎ;椎茸;筍;コーン缶;人参;キャベツ;もやし;ねぎ","573","15.8","29.2","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"10","金","きびご飯","牛乳","小魚の南蛮漬け;青菜のごま和え;豚汁","牛乳;わかさぎ;だし煮干;豚肉;豆腐;味噌","米;きび;小麦粉;でん粉;油;砂糖;ごま;こんにゃく;じゃがいも","玉ねぎ;パセリ;もやし;人参;小松菜;ごぼう;大根;ねぎ","571","14.2","26","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"13","月","チキンカレー","牛乳","シーフードサラダ;甘夏みかん（1/6）","鶏肉;牛乳;いか;海老","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;玉ねぎ;人参;りんご;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;キャベツ;きゅうり;レモン;甘夏みかん","633","12.6","25.2","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"14","火","グリンピースご飯","牛乳","豚肉のスタミナみそ焼き;かぼちゃの煮付け;豆腐汁;２","牛乳;豚肉;味噌;だし削り節;豆腐;油揚げ","米;砂糖","グリンピース;にんにく;かぼちゃ;人参;ねぎ;小松菜","603","16.4","24.9","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"15","水","八宝麺","牛乳","ベークドポテト;中華サラダ（切干大根）","豚肉;いか;海老;うずら卵;牛乳","中華めん;油;でん粉;ごま油;じゃがいも;バター;砂糖;ごま","生姜;にんにく;筍;人参;キャベツ;椎茸;ねぎ;小松菜;切り干し大根;きゅうり","555","14.1","27.6","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"16","木","ご飯","牛乳","鯖の塩焼き;五目きんぴら;若竹汁","牛乳;さば;だし削り節;蒸しかまぼこ;わかめ","米;ごま油;糸こんにゃく;砂糖;ごま;ふ","蓮根;人参;ごぼう;さやいんげん;たけのこ","573","14.9","24","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"17","金","親子丼","牛乳","野菜のからし醤油かけ;根菜汁（フリー）","鶏肉;だし削り節;卵;牛乳;豆腐;味噌","米;油;砂糖;じゃがいも","玉ねぎ;みつば;小松菜;もやし;人参;ごぼう;大根;ねぎ","582","15.1","24.7","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"20","月","チャーハン","牛乳","いかのトウバンジャン焼き;変わりバンサンスー;ワンタンスープ","豚挽き肉;なると;牛乳;いか;ハム;鶏肉","米;大麦;油;ごま油;砂糖;はるさめ;ワンタンの皮","ねぎ;椎茸;グリンピース（冷凍）;生姜;にんにく;人参;セロリー;キャベツ;きゅうり;コーン缶;筍;玉ねぎ;小松菜","594","15.6","25.6","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"21","火","バンズパン","牛乳","ポテトコロッケ;ボイルキャベツ;チンゲンサイとしめじのスープ;ミニトマト","牛乳;豚挽き肉;卵;だし削り節;鶏肉;豆腐","バンズパン;じゃがいも;バター;小麦粉;パン粉;油","玉ねぎ;人参;キャベツ;チンゲンサイ;しめじ;ミニトマト","556","13.9","32.4","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"22","水","ご飯","牛乳","麻婆豆腐;野菜ナムル;焼きししゃも","牛乳;豚挽き肉;大豆;豆腐;ししゃも","米;油;砂糖;でん粉;ごま油","にんにく;生姜;人参;筍;椎茸;ねぎ;もやし;ほうれん草","592","17.6","28.1","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"23","木","パエリア","牛乳","人参サラダ（胡瓜・ツナ）;野菜スープ;メロン（大）","鶏肉;あさり;いか;海老;牛乳;まぐろ（油漬）;ベーコン","米;バター;油;ごま;じゃがいも","にんにく;玉ねぎ;トマト缶;ピーマン;グリンピース（冷凍）;人参;きゅうり;レモン;セロリー;メロン","567","13.9","26.3","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"24","金","ご飯","牛乳","鶏肉の香味焼き;煮びたし;味噌汁（フリー）","牛乳;鶏肉;だし煮干;油揚げ;豆腐;味噌","米;砂糖;ごま","生姜;ねぎ;キャベツ;もやし;人参;玉ねぎ;大根;小松菜","577","16.4","28.9","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"27","月","山菜うどん","牛乳","焼きおにぎり（練り味噌）;コーンとわかめのサラダ","だし削り節;鶏肉;油揚げ;蒸しかまぼこ;牛乳;味噌;わかめ","うどん;米;大麦;ごま油;砂糖;ごま;油","人参;筍;わらび;しめじ;ぜんまい;えのきたけ;ねぎ;にんにく;コーン缶;きゅうり;玉ねぎ","595","13.3","20.4","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"28","火","ガーリックライス","牛乳","じゃこオムレツ;コロコロサラダ;野菜スープ（フリー３）","牛乳;チーズ;ちりめんじゃこ;卵;ベーコン","米;バター;油;砂糖;じゃがいも","にんにく;玉ねぎ;小松菜;人参;大根;きゅうり;キャベツ","583","14","28.9","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"29","水","ご飯","牛乳","山海揚げ;小松菜のお浸し;味噌汁（フリー２）","牛乳;たら;いわしすり身;海老;大豆;ひじき;チーズ;卵;かつお節;だし削り節;豆腐;味噌","米;でん粉;油;じゃがいも","人参;ねぎ;小松菜;もやし;大根","574","16.4","24","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"30","木","レモンバタートースト","牛乳","ビーンズシチュー;茹で野菜（ノンオイルドレ）","牛乳;豚肉;大豆","食パン;バター;砂糖;油;じゃがいも;小麦粉","レモン;人参;玉ねぎ;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;もやし;キャベツ;きゅうり;りんご","587","13.6","35.7","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"31","金","ご飯","牛乳","チーズタッカルビ;中華風きゅうり;ニラ卵スープ","牛乳;鶏肉;味噌;チーズ;だし削り節;卵","米;ごま油;砂糖;でん粉","生姜;にんにく;玉ねぎ;キャベツ;人参;きゅうり;椎茸;にら","564","16.7","28.2","5","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"3","月","梅若ご飯(飯)","牛乳","ひじき入り卵焼き☆;野菜の塩風味(生野菜)☆;甘辛じゃこ大豆(煮物);すまし汁☆","乾燥わかめ（素干し）;牛乳;鶏肉．ひき肉（生）;ひじき（ほしひじき、ステンレス釜、乾）;;;鶏卵．全卵（生）;ちりめんじゃこ;黄だいず（国産，乾）;だし削り節;蒸しかまぼこ","水稲穀粒（精白米）;植物油;車糖（上白糖）;でん粉（じゃがいもでん粉）;揚げ油","梅漬（塩漬）;たまねぎ（りん茎、生）;にんじん（根、皮むき，生）;キャベツ（結球葉、生）;きゅうり（果実、生）;たけのこ（水煮缶詰）;ぶなしめじ（生）;きょうな（葉、生）","590","15.8","26.8","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"4","火","ご飯(飯)","牛乳","蒸し鶏のごまだれかけ☆;ビーフンソテー☆;中華スープ;５☆☆☆","牛乳;鶏もも切り身５０ｇ;ぶた大型種．もも（脂身つき、生）;木綿豆腐","水稲穀粒（精白米）;車糖（上白糖）;白;すりごま;ごま油;植物油;ビーフン","根深ねぎ（葉、軟白、生）;しょうが（根茎、生）;にんにく（りん茎、生）;にんじん（根、皮むき，生）;たけのこ（水煮缶詰）;キャベツ（結球葉、生）;青ピーマン（果実、生）;たまねぎ（りん茎、生）;きくらげ（乾）;チンゲンサイ（葉、生）","613","15.1","29.1","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"5","水","ご飯(飯)","牛乳","いわしの生姜煮（段階）;もやしとコーンのおかか和え(あえ物);根菜汁（フリー２）★;海苔の佃煮","牛乳;まいわし;４０ｇ;かつお節;だし削り節;木綿豆腐;米みそ（赤色辛みそ）;米みそ（淡色辛みそ）;あまのり（焼きのり）","水稲穀粒（精白米）;車糖（上白糖）;じゃがいも（塊茎、生）","根深ねぎ（葉、軟白、生）;しょうが（根茎、生）;ブラックマッペもやし（生）;スイートコーン缶詰（ホールカーネルスタイル）;にんじん（根、皮むき，生）;ごぼう（根、生）;だいこん（根，皮むき，生）","560","14.9","19.4","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"6","木","海の幸スパゲッティ（塩）★","牛乳","カラフルサラダ☆;米粉のレモンケーキ","ベーコン（ショルダー）;こういか（生）;しばえび（生）;牛乳;鶏卵．全卵（生）;普通牛乳;クリーム（植物性脂肪）","スパゲッティ;オリーブ油;植物油;車糖（上白糖）;米粉;薄力粉（１等）;有塩バター","にんにく（りん茎、生）;とうがらし（果実，乾）;たまねぎ（りん茎、生）;にんじん（根、皮むき，生）;ぶなしめじ（生）;パセリ（葉、生）;キャベツ（結球葉、生）;きゅうり（果実、生）;赤ピーマン（果実、生）;黄ピーマン（果実、生）;レモン（果汁，生）","671","13.8","31.8","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"7","金","新生姜ご飯☆","牛乳","豚肉のピリ辛焼き☆;小松菜と油揚げの煮びたし☆;味噌汁;４★","牛乳;豚もも切り身５０ｇ;油揚げ;だし削り節;木綿豆腐;カットわかめ;米みそ（赤色辛みそ）;米みそ（淡色辛みそ）","水稲穀粒（精白米）;ごま油;車糖（上白糖）;じゃがいも（塊茎、生）","しょうが（根茎、生）;にんにく（りん茎、生）;ブラックマッペもやし（生）;にんじん（根、皮むき，生）;こまつな（葉、生）;たまねぎ（りん茎、生）;根深ねぎ（葉、軟白、生）","573","16","25.9","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"10","月","ご飯(飯)","牛乳","焼き豆腐とえびの中華煮☆;じゃこ入り海藻サラダ;甘夏みかん（1/6）","牛乳;ぶた大型種．かた（脂身つき、生）;しばえび（生）;焼き豆腐;ちりめんじゃこ;海藻サラダ;乾燥","水稲穀粒（精白米）;植物油;車糖（上白糖）;でん粉（じゃがいもでん粉）;ごま油","にんじん（根、皮むき，生）;乾しいたけ（乾）;たけのこ（水煮缶詰）;根深ねぎ（葉、軟白、生）;グリンピース（冷凍）;きゅうり（果実、生）;キャベツ（結球葉、生）;甘夏みかん","602","16.9","23.8","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"11","火","ご飯(飯)","牛乳","魚の照り焼き;野菜の磯香和え☆;豚汁☆","牛乳;まさば;５０ｇ;あまのり（焼きのり）;だし煮干;ぶた大型種．もも（脂身つき、生）;木綿豆腐;米みそ（淡色辛みそ）;米みそ（赤色辛みそ）","水稲穀粒（精白米）;車糖（上白糖）;板こんにゃく（精粉こんにゃく）;じゃがいも（塊茎、生）","しょうが（根茎、生）;にんじん（根、皮むき，生）;ブラックマッペもやし（生）;ほうれんそう（葉、通年平均、生）;ごぼう（根、生）;だいこん（根，皮むき，生）;根深ねぎ（葉、軟白、生）","589","16.2","25.2","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"12","水","ハニートースト","牛乳","大豆のトマト煮☆;ツナサラダ②☆;さくらんぼ","牛乳;黄だいず（国産，乾）;ベーコン（ショルダー）;ぶた大型種．もも（脂身つき、生）;まぐろ類缶詰（油漬，フレーク，ライト）","食パン;50g;ソフトタイプマーガリン（家庭用）;はちみつ;植物油;じゃがいも（塊茎、生）;車糖（上白糖）","にんじん（根、皮むき，生）;たまねぎ（りん茎、生）;トマト加工品（ピューレー）;キャベツ（結球葉、生）;きゅうり（果実、生）;さくらんぼ（国産、生）","563","15.3","32.6","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"13","木","ニラそぼろ丼☆","牛乳","しそきゅうり(漬け物);豆腐汁（豆腐30）☆","ぶた．ひき肉（生）;牛乳;だし削り節;木綿豆腐","水稲穀粒（精白米）;おおむぎ（米粒麦）;植物油;車糖（上白糖）;でん粉（じゃがいもでん粉）","にんにく（りん茎、生）;しょうが（根茎、生）;たまねぎ（りん茎、生）;にら（葉、生）;きゅうり（果実、生）;ゆかり;にんじん（根、皮むき，生）;根深ねぎ（葉、軟白、生）;こまつな（葉、生）","577","14.8","28.7","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"14","金","発芽玄米ご飯","牛乳","わかさぎの二色揚げ☆;肉じゃがの旨煮（１／２）☆;味噌汁（フリー）☆","牛乳;わかさぎ（生）;あおのり（素干し）;ぶた大型種．もも（脂身つき、生）;だし削り節;だし煮干;油揚げ;木綿豆腐;米みそ（赤色辛みそ）;米みそ（淡色辛みそ）","水稲穀粒（精白米）;水稲穀粒（玄米）;でん粉（じゃがいもでん粉）;薄力粉（１等）;植物油;じゃがいも（塊茎、生）;板こんにゃく（精粉こんにゃく）;車糖（上白糖）","たまねぎ（りん茎、生）;にんじん（根、皮むき，生）;さやいんげん（若ざや、生）;だいこん（根，皮むき，生）;こまつな（葉、生）","594","14.3","25.5","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"17","月","刻みきつねうどん★","牛乳","お好み焼き☆;そら豆の塩茹で","若鶏．もも（皮つき，生）;蒸しかまぼこ;油揚げ;だし削り節;牛乳;ぶた大型種．もも（脂身つき、生）;さくらえび（素干し）;こういか（生）;鶏卵．全卵（生）;かつお節;あおのり（素干し）","冷凍うどん（給食会）;植物油;薄力粉（１等）;ながいも（塊根，生）","にんじん（根、皮むき，生）;ぶなしめじ（生）;根深ねぎ（葉、軟白、生）;冷凍さやえんどう;キャベツ（結球葉、生）;そらまめ（未熟豆，生）","582","17.5","22.1","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"18","火","キムチ炒飯②（卵なし）☆","牛乳","いかの竜田揚げ☆;野菜と木耳のサラダ;春雨スープ☆","ぶた大型種．もも（脂身つき、生）;牛乳;こういか５０ｇ;若鶏．手羽（皮つき、生）","水稲穀粒（精白米）;植物油;ごま油;でん粉（じゃがいもでん粉）;車糖（上白糖）;白ごま;普通はるさめ（乾）","たまねぎ（りん茎、生）;はくさい（キムチ）;しょうが（根茎、生）;キャベツ（結球葉、生）;きゅうり（果実、生）;きくらげ（乾）;にんじん（根、皮むき，生）;乾しいたけ（乾）;チンゲンサイ（葉、生）;根深ねぎ（葉、軟白、生）","591","15.5","26.6","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"19","水","キャロットライス（バターなし）☆","牛乳","洋風卵焼き(焼き物(間))☆;スティックサラダ☆;じゃが芋のポタージュ☆☆","牛乳;鶏肉．ひき肉（生）;鶏卵．全卵（生）;普通牛乳;クリーム（植物性脂肪）","水稲穀粒（精白米）;植物油;車糖（上白糖）;有塩バター;じゃがいも（塊茎、生）","にんじん（根、皮むき，生）;たまねぎ（りん茎、生）;グリンピース（冷凍）;だいこん（根，皮むき，生）;きゅうり（果実、生）;パセリ（葉、生）","640","13.1","29.5","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"20","木","麦ご飯(飯)","牛乳","家常豆腐;2☆;もやしとにらのナムル☆;ぴり辛こんにゃく","牛乳;ぶた大型種．かた（脂身つき、生）;生揚げ;米みそ（赤色辛みそ）","水稲穀粒（精白米）;おおむぎ（米粒麦）;植物油;車糖（上白糖）;ごま油;白ごま;板こんにゃく（精粉こんにゃく）","しょうが（根茎、生）;根深ねぎ（葉、軟白、生）;にんじん（根、皮むき，生）;乾しいたけ（乾）;たまねぎ（りん茎、生）;たけのこ（水煮缶詰）;キャベツ（結球葉、生）;グリンピース（冷凍）;ブラックマッペもやし（生）;にら（葉、生）;にんにく（りん茎、生）","565","14.8","28.2","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"21","金","ぶどうパン(普通ﾊﾟﾝ)","牛乳","えび入りマカロニグラタン☆;ほうれん草とコーンのソテー;野菜スープ（フリー４）☆","牛乳;若鶏．もも（皮つき，生）;しばえび（生）;普通牛乳;ナチュラルチーズ（パルメザン）;ベーコン（ベーコン）","ぶどうパン;うず巻き;50g;マカロニ;植物油;薄力粉（１等）;有塩バター;じゃがいも（塊茎、生）","たまねぎ（りん茎、生）;マッシュルーム（水煮缶詰）;パセリ（葉、生）;スイートコーン缶詰（ホールカーネルスタイル）;ほうれんそう（葉、通年平均、生）;にんじん（根、皮むき，生）;セロリー（葉柄、生）","631","14.3","30.8","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"24","月","コーン茶飯☆","牛乳","魚の黄金焼き;切干大根の炒め煮(炒め物)☆;味噌汁（フリー）☆","だし昆布;牛乳;ホキ５０ｇ;さつま揚げ;だし煮干;油揚げ;木綿豆腐;米みそ（赤色辛みそ）;米みそ（淡色辛みそ）","水稲穀粒（精白米）;マヨネーズ（全卵型）;植物油;車糖（上白糖）","スイートコーン缶詰（ホールカーネルスタイル）;しょうが（根茎、生）;切干しだいこん（乾）;にんじん（根、皮むき，生）;冷凍いんげん;たまねぎ（りん茎、生）;こまつな（葉、生）","577","16.5","25.3","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"25","火","炒めジャージャー麺☆","牛乳","チンゲンサイのお浸し;ガーリックポテト(炒め物)☆","ぶた．ひき肉（生）;豆みそ;牛乳;削り節","植物油;蒸し中華めん;車糖（上白糖）;でん粉（じゃがいもでん粉）;ごま油;じゃがいも（塊茎、生）","しょうが（根茎、生）;にんにく（りん茎、生）;乾しいたけ（乾）;にんじん（根、皮むき，生）;たけのこ（水煮缶詰）;根深ねぎ（葉、軟白、生）;ブラックマッペもやし（生）;きゅうり（果実、生）;チンゲンサイ（葉、生）;にんじん（根、皮つき，生）","526","14.8","30.1","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
"26","水","ポークカレー☆","牛乳","チーズ入りイタリアンサラダ☆;メロン（大）","ぶた大型種．かた（脂身つき、生）;牛乳;プロセスチーズ","水稲穀粒（精白米）;おおむぎ（米粒麦）;植物油;じゃがいも（塊茎、生）;有塩バター;薄力粉（１等）;オリーブ油","とうがらし（果実，乾）;にんにく（りん茎、生）;しょうが（根茎、生）;にんじん（根、皮むき，生）;たまねぎ（りん茎、生）;りんご;セロリー（葉柄、生）;トマト缶詰（ホール，食塩無添加）;キャベツ（結球葉、生）;きゅうり（果実、生）;赤ピーマン（果実、生）;黄ピーマン（果実、生）;メロン（温室メロン、生）","634","12.2","27.5","6","小学校","中野区中野4-11-19","139.662904755454","35.7096225942072","区立小学校標準献立表"
