"データセットID","データセットタイトル","データセット説明","タグ","タグ読み","ライセンス","組織","事業説明等のページ","データ所管部署","データセット作成日時","データセット最終更新日時","更新頻度","カテゴリ分類","データタイトル","データURL","データ説明","形式","サイズ","並び順","データ作成日時","データ最終更新日時","GIS用住所","経度","緯度","分類"
"t131148d0000000011","定期予防接種任意接種助成実施医療機関一覧","【中野区】中野区の定期予防接種任意接種助成実施医療機関の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部保健予防課","","","必要に応じて","医療・福祉","定期予防接種任意接種助成実施医療機関一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_47/CSV/opendata_550200.csv","中野区の定期予防接種任意接種助成実施医療機関の一覧です。","CSV","","0","2020/02/07 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000012","高齢者用肺炎球菌予防接種契約医療機関一覧","【中野区】中野区の高齢者用肺炎球菌予防接種契約医療機関一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部保健予防課","","","必要に応じて","医療・福祉","高齢者用肺炎球菌予防接種契約医療機関一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_47/CSV/opendata_550210.csv","中野区の高齢者用肺炎球菌予防接種契約医療機関の一覧です。","CSV","","0","2020/04/01 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000013","風しん抗体検査及び予防接種実施医療機関一覧","【中野区】中野区の風しん抗体検査及び予防接種実施医療機関一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部保健予防課","","","必要に応じて","医療・福祉","風しん抗体検査及び予防接種実施医療機関一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_47/CSV/opendata_550220.csv","中野区の風しん抗体検査及び予防接種契約医療機関の一覧です。","CSV","","0","2020/04/01 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000014","風しん第５期抗体検査及び予防接種実施医療機関一覧","【中野区】中野区の風しん第５期抗体検査及び予防接種実施医療機関一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部保健予防課","","","必要に応じて","医療・福祉","風しん第５期抗体検査及び予防接種実施医療機関一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_47/CSV/opendata_550230.csv","中野区の風しん第5期抗体検査及び予防接種契約医療機関の一覧です。","CSV","","0","2020/04/01 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000015","指定管理者制度導入施設一覧","【中野区】中野区の指定管理者制度導入施設一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","企画部企画課","","","1年に1回程度","その他","指定管理者制度導入施設一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_550270.csv","中野区の指定管理者制度導入施設一覧です。","CSV","","0","2020/04/01 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000016","震災時の避難所一覧","【中野区】中野区内にある震災時の避難所一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","総務部防災危機管理課","","","必要に応じて","防災・災害計画","震災時の避難所一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_32/CSV/opendata_5000342.csv","中野区内にある震災時の避難所一覧です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000018","一時保育_短期特例保育実施保育園一覧","【中野区】一時保育と短期特例保育を実施している保育園の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","子ども教育部子育て支援課","","","１年に１回程度","医療・福祉","一時保育_短期特例保育実施保育園一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_36/CSV/opendata_550170.csv","一時保育と短期特例保育を実施している保育園の一覧です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000019","区立小学校標準献立表","【中野区】中野区立小学校の標準献立表です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","教育委員会事務局学務課","","","1回/月","その他","区立小学校標準献立表","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5000771.csv","中野区立小学校の標準献立表です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000020","区立中学校標準献立表","【中野区】中野区立中学校の標準献立表です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","教育委員会事務局学務課","","","1回/月","その他","区立中学校標準献立表","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5000772.csv","中野区立中学校の標準献立表です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000021","住宅宿泊事業届出住宅一覧","【中野区】中野区において受理した住宅宿泊事業届出住宅の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部生活衛生課","","","1年に2回程度","環境","住宅宿泊事業届出住宅一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_34/CSV/opendata_550140.csv","中野区において受理した住宅宿泊事業届出住宅の一覧です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000022","資源とごみの収集曜日一覧","【中野区】中野区全域の資源とごみの収集曜日一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","環境部ごみゼロ推進課","","","変更あるごと","環境","資源とごみの収集曜日一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_550239.csv","中野区全域の資源とごみの収集曜日一覧です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000023","食品ロス削減協力店登録店舗一覧","【中野区】食品ロス削減協力店登録事業「なかの☆もったいない ぱくぱくパートナーズ」に登録された店舗の中でホームページ掲載許可のある店舗のみの一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","環境部ごみゼロ推進課","","","半年に１回程度","環境","食品ロス削減協力店登録店舗一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_48/CSV/opendata_52000020.csv","食品ロス削減協力店登録事業「なかの☆もったいない ぱくぱくパートナーズ」に登録された店舗の中でホームページ掲載許可のある店舗のみの一覧です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000024","使用済小型家電回収運搬ボックス設置施設一覧","【中野区】中野区内の使用済小型家電の回収場所の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","環境部ごみゼロ推進課","","","変更あるごと","環境","使用済小型家電回収運搬ボックス設置施設一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_48/CSV/opendata_550250.csv","中野区内の使用済小型家電の回収場所の一覧です。","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000025","有料ごみ処理券取扱所一覧","【中野区】中野区の有料ごみ処理券有料粗大ごみ処理券の取扱所の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","環境部ごみゼロ推進課","","","変更あるごと","環境","有料ごみ処理券取扱所一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_48/CSV/opendata_550260.csv","有料ごみ処理券取扱所一覧","CSV","","0","2021/03/17 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000026","食品等営業許可届出一覧","【中野区】中野区において食品営業許可を取得した施設等の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部生活衛生課","","","1年に2回程度","生活","食品等営業許可届出一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_40/CSV/opendata_550150.csv","中野区において食品営業許可を取得した施設等の一覧です。","CSV","","0","2021/10/04 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000027","区営自転車駐車場設置箇所","【中野区】中野区内にある区営自転車駐車場の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","都市基盤部交通政策課","","","２か月に１回程度","生活","区営自転車駐車場設置箇所","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_57000020.csv","中野区内にある区営自転車駐車場の一覧です。","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000028","病児病後児保育実施施設一覧","【中野区】中野区にある病児病後児保育の実施施設一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","子ども教育部子育て支援課","","","１年に１回程度","医療・福祉","病児病後児保育実施施設一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_37/CSV/opendata_550180.csv","中野区にある病児病後児保育の実施施設一覧です。","CSV","","0","2021/11/22 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000029","特別支援学級_特別支援教室_特別支援学校一覧","【中野区】中野区にある特別支援学級特別支援教室特別支援学校の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","教育委員会事務局学務課","","","変更時","その他","特別支援学級_特別支援教室_特別支援学校一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_35/CSV/opendata_550190.csv","中野区にある特別支援学級特別支援教室特別支援学校の一覧です。","CSV","","0","2021/11/22 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000030","区民意識_実態調査2021年","【中野区】2021年令和3年中野区区民意識実態調査の結果です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","総務部総務課","","","過年度調査結果のため更新は行わない","その他","区民意識_実態調査2021年","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_550610.csv","2021年令和3年中野区区民意識実態調査の結果です。","CSV","","0","2022/03/30 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000031","環境衛生施設","【中野区】中野区内にある許可もしくは届出のある環境衛生施設の一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部生活衛生課","","","1年に2回程度","環境","環境衛生施設","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_44/CSV/opendata_5000793.csv","中野区内にある許可もしくは届出のある環境衛生施設の一覧です。","CSV","","0","2022/11/30 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000032","ごみ分別一覧","【中野区】中野区のごみの分別一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","環境部ごみゼロ推進課","","","半年に1回程度","環境","ごみ分別一覧","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5000769.csv","中野区のごみの分別一覧です。","CSV","","0","2023/01/30 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000033","標識設置届_令和3年度","【中野区】令和3年度に中野区に届出のあった標識設置届のうち令和4年12月末時点で工事完了予定が過ぎていない情報です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","都市基盤部都市計画課","","","更新なし","まちづくり","標識設置届_令和3年度","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5000782.csv","令和3年度に中野区に届出のあった標識設置届のうち令和4年12月末時点で工事完了予定が過ぎていない情報です。","CSV","","0","2023/01/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000034","区民意識_実態調査2022年","【中野区】2022年令和4年中野区区民意識実態調査の結果です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","総務部総務課","","","過年度調査結果のため更新は行わない","その他","区民意識_実態調査2022年","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5000774.csv","2022年令和4年中野区区民意識実態調査の結果です。","CSV","","0","2023/04/01 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000035","支援制度_給付金_情報","","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","総務部DX推進室デジタル政策課","","","更新は行わない","その他","支援制度_給付金_情報","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_1/CSV/opendata_5000776.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000036","中野区保健所","","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部保健予防課","","","必要に応じて","医療・福祉","中野区保健所","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000411.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000037","区民活動センター_高齢者会館等_中部","施設の所管変更に伴い、従来のセットを区民活動センター（地域活動推進課所管）とすこやか福祉センター、高齢者会館等（地域包括ケア推進課所管）に分割する。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","地域支えあい推進部地域包括ケア推進課","","","年１回","医療・福祉","区民活動センター_高齢者会館等_中部","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000408.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000038","区民活動センター_高齢者会館等_北部","施設の所管変更に伴い、従来のセットを区民活動センター（地域活動推進課所管）とすこやか福祉センター、高齢者会館等（地域包括ケア推進課所管）に分割する。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","地域支えあい推進部地域包括ケア推進課","","","年１回","医療・福祉","区民活動センター_高齢者会館等_北部","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000420.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000039","区民活動センター_高齢者会館等_南部","施設の所管変更に伴い、従来のセットを区民活動センター（地域活動推進課所管）とすこやか福祉センター、高齢者会館等（地域包括ケア推進課所管）に分割する。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","地域支えあい推進部地域包括ケア推進課","","","年１回","医療・福祉","区民活動センター_高齢者会館等_南部","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000421.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000040","区民活動センター_高齢者会館等_鷺宮","施設の所管変更に伴い、従来のセットを区民活動センター（地域活動推進課所管）とすこやか福祉センター、高齢者会館等（地域包括ケア推進課所管）に分割する。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","地域支えあい推進部地域包括ケア推進課","","","年１回","医療・福祉","区民活動センター_高齢者会館等_鷺宮","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000399.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000041","社会福祉会館","","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部福祉推進課","","","1年に1回程度","医療・福祉","社会福祉会館","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000422.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000042","障害者支援施設","","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部障害福祉課","","","３ヶ月に１回程度","医療・福祉","障害者支援施設","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000419.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000043","清掃事務所等","【中野区】中野区清掃事務所・清掃事務所南中野事業所・リサイクル展示室の施設情報一覧です。","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","環境部ごみゼロ推進課","","","変更あるごと","環境","清掃事務所等","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000335.csv","中野区清掃事務所・清掃事務所南中野事業所・リサイクル展示室の施設情報一覧です。","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000044","障害児通所支援施設","","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","健康福祉部障害福祉課","","","３ヶ月に１回程度","医療・福祉","障害児通所支援施設","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000396.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
"t131148d0000000045","児童館_学童_キッズプラザ","","","","クリエイティブコモンズ 表示CC BY","中野区","https://www.city.tokyo-nakano.lg.jp/kusei/toukei-cyousa/opendata/opendata.html","子ども教育部育成活動推進課","","","年１回","その他","児童館_学童_キッズプラザ","https://www2.wagmap.jp/nakanodatamap/nakanodatamap/opendatafile/map_21/CSV/opendata_5000395.csv","","CSV","","0","2023/11/20 0:00:00","2024/07/01 0:00:00","中野区中野4-11-19","139.662904755454","35.7096225942072","オープンデータ一覧"
