"日","曜日","主食","牛乳","副食","血や肉や骨や歯になるもの","体を動かす熱や力になるもの","からだの調子を整える","エネルギー_kcal","タンパク質_パーセント","脂質_パーセント","月","学校","GIS搭載用住所","マッチングレベル","経度","緯度","分類"
"16","火","ご飯","牛乳","魚のオニオンステーキ;じゃが芋のきんぴら;;にら玉味噌汁","牛乳;鮭;豆腐;だし煮干;卵;味噌","米;バター;ごま油;じゃがいも;糸こんにゃく;砂糖","生姜;玉ねぎ;人参;冷凍いんげん;えのきたけ;にら","724","17","19.3","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"17","水","ジャージャー麺","牛乳","人参ラペ;磯ポテト","豚挽き肉;大豆;味噌;牛乳;まぐろ（油漬）;青のり","中華めん;油;砂糖;ごま油;でん粉;ごま;じゃがいも","生姜;にんにく;人参;椎茸;筍;ねぎ;きゅうり;もやし;らっきょう;レモン","705","15.1","33.6","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"18","木","炒飯","牛乳","いかのリング揚げ;豆もやしのナムル２;わかめ入りスープ","なると;卵;牛乳;いか;だし削り節;わかめ;豆腐","米;大麦;油;でん粉;ごま油;砂糖;ごま","ねぎ;生姜;大豆もやし;人参;きゅうり;玉ねぎ;小松菜","731","15","26.7","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"19","金","夏野菜カレー","牛乳","チキンサラダ;冷凍みかん","豚肉;牛乳;鶏肉","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;人参;玉ねぎ;かぼちゃ;茄子;トマト缶;りんご;セロリー;枝豆（冷凍）;キャベツ;きゅうり;冷凍みかん","843","12.1","23.3","7","中学校","中野区中野4-11-19","","139.662904755454","35.7096225942072","区立中学校標準献立表"
"19","水","ししじゅうしい","牛乳","豆あじの唐揚げ;ゴーヤチャンプル;具だくさん味噌汁（フリー）","豚肉;昆布;牛乳;あじ;豆腐;かつお節;だし煮干;味噌;油揚げ","米;油;ごま;でん粉;ごま油;じゃがいも","生姜;にがうり;もやし;人参;大根;ごぼう;ねぎ;ほうれん草","788","18.9","29.5","7","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"20","木","夏野菜カレー","牛乳","チキンサラダ;すいか","豚肉;牛乳;鶏肉","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;人参;玉ねぎ;かぼちゃ;茄子;トマト缶;りんご;セロリー;枝豆（冷凍）;キャベツ;きゅうり;すいか","851","14.4","24.7","7","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"1","金","チリビーンズライス","牛乳","いか入りフレンチサラダ;デラウエア","豚挽き肉;大豆;ひよこまめ;チーズ;牛乳;いか","米;大麦;油;小麦粉;じゃがいも;砂糖","ﾄﾏﾄﾋﾟｭｰﾚｰ;にんにく;玉ねぎ;人参;トマト缶;キャベツ;きゅうり;りんご;ぶどう","731","14.4","22.2","9","中学校","中野区中野4-8-2","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"4","月","わかめご飯","牛乳","魚の香味焼き;切干大根の炒め煮;味噌汁（煮干しだし）","わかめ;牛乳;鮭;油揚げ;だし煮干;豆腐;味噌","米;ごま;ごま油;砂糖;油;じゃがいも","生姜;ねぎ;切り干し大根;椎茸;人参;さやいんげん;えのきたけ","727","20","22.9","9","中学校","中野区中野4-8-3","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"5","火","ご飯","牛乳","揚げ豆腐の肉味噌かけ;茹で野菜１;チンゲンサイとしめじのスープ","牛乳;豆腐;鶏肉;味噌","米;でん粉;小麦粉;油;砂糖;ごま油","生姜;にら;もやし;人参;きゅうり;コーン缶;しめじ;チンゲンサイ;ねぎ","841","14.6","30.8","9","中学校","中野区中野4-8-4","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","水","キャベツ入りガーリックパスタ","牛乳","フォカッチャ;ツナ入り茹で野菜","ベーコン;豚肉;牛乳;まぐろ（油漬）;わかめ","スパゲッティ;油;小麦粉;砂糖;バター","にんにく;玉ねぎ;マッシュルーム;キャベツ;レモン;もやし;人参;小松菜","766","15.4","27.1","9","中学校","中野区中野4-8-5","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"7","木","ご飯","牛乳","厚焼き卵(3);菊花お浸し（小松菜・菊）;味噌汁（ねぎ・わかめ等）;梨","牛乳;鶏肉;卵;だし削り節;油揚げ;わかめ;味噌","米;油;砂糖;でん粉","玉ねぎ;人参;小松菜;菊;ねぎ;梨","724","15.6","28.7","9","中学校","中野区中野4-8-6","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"8","金","ご飯（95＋10）","牛乳","いかの照り焼き;じゃが芋の旨煮;味噌汁（豆腐入り）;カミカミ佃煮","牛乳;いか;豚肉;竹輪;だし削り節;だし煮干;豆腐;味噌;煮干し","米;大麦;油;じゃがいも;糸こんにゃく;ふ;砂糖;ごま","生姜;人参;玉ねぎ;さやいんげん;大根;ねぎ;小松菜","744","19.6","17.1","9","中学校","中野区中野4-8-7","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"11","月","海老ピラフ","牛乳","鶏肉のアップルソース焼き;ほうれん草とコーンのソテー;ベーコンスープ","海老;牛乳;鶏肉;ベーコン;豆腐","米;バター;砂糖;油","人参;玉ねぎ;グリンピース（冷凍）;りんご;ほうれん草;もやし;コーン缶;セロリー;小松菜;生姜","737","18","31.1","9","中学校","中野区中野4-8-8","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"12","火","ご飯","牛乳","ザーサイ豆腐;じゃが芋のチーズ焼き;じゃこ入り茹で野菜（わかめ抜き）","牛乳;豚肉;豆腐;チーズ;ちりめんじゃこ","米;油;砂糖;でん粉;じゃがいも","生姜;にんにく;ザーサイ（漬物）;人参;筍;椎茸;チンゲンサイ;もやし","795","17.4","27.1","9","中学校","中野区中野4-8-9","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","水","ごまご飯","牛乳","小魚のカレー揚げ;野菜の味噌ドレッシングかけ;根菜汁","牛乳;きびなご;味噌;だし削り節;油揚げ","米;大麦;ごま;小麦粉;油;砂糖;ごま油;こんにゃく;じゃがいも","生姜;キャベツ;もやし;きゅうり;人参;ごぼう;大根;ねぎ","759","14.4","30.2","9","中学校","中野区中野4-8-10","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"14","木","フレンチトースト","牛乳","秋野菜のシチュー;ビーンズサラダ③;りんご（1/6）","卵;牛乳;鶏肉;生クリーム;ひよこまめ","食パン;砂糖;バター;油;さつまいも;小麦粉","玉ねぎ;人参;ブロッコリー;かぶ;しめじ;キャベツ;きゅうり;枝豆（冷凍）;りんご","757","15.4","34.6","9","中学校","中野区中野4-8-11","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"15","金","ご飯","牛乳","バンバンジー;きゅうりと春雨のピリ辛;ニラ卵汁","牛乳;鶏肉;だし削り節;卵","米;ごま;砂糖;ごま油;はるさめ;でん粉","生姜;にんにく;ねぎ;きゅうり;人参;玉ねぎ;にら","741","16.2","29.4","9","中学校","中野区中野4-8-12","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"19","火","ハヤシライス（大豆入り）","牛乳","チキンサラダ;巨峰","大豆;豚肉;牛乳;鶏肉","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;玉ねぎ;人参;セロリー;ﾄﾏﾄﾋﾟｭｰﾚｰ;しめじ;グリンピース（冷凍）;キャベツ;きゅうり;巨峰","843","14.8","27.2","9","中学校","中野区中野4-8-13","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"20","水","五目うどん","牛乳","水菜とツナの和え物②;甘納豆蒸しパン","だし削り節;鶏肉;油揚げ;蒸しかまぼこ;牛乳;まぐろ（油漬）;卵","うどん;油;砂糖;小麦粉;バター;甘納豆","人参;大根;筍;ねぎ;水菜;きゅうり","790","14.6","25.5","9","中学校","中野区中野4-8-14","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"21","木","ご飯","牛乳","白身魚のチリソース;野菜ナムル１;中華スープ８","牛乳;メルルーサ;だし削り節;豆腐","米;でん粉;油;砂糖;ごま油;ごま","ねぎ;にんにく;生姜;もやし;人参;ほうれん草;えのきたけ;きくらげ","767","16.3","25.5","9","中学校","中野区中野4-8-15","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"22","金","ジャンバラヤ","牛乳","ハムエッグ;バジルサラダ;野菜スープ（フリー２）","豚挽き肉;牛乳;ハム;卵;鶏肉","米;バター;油;砂糖;じゃがいも","トマトジュース;生姜;にんにく;人参;玉ねぎ;マッシュルーム;ピーマン;キャベツ;きゅうり;小松菜","717","16","31.6","9","中学校","中野区中野4-8-16","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"25","月","ご飯","牛乳","魚のもみじ焼き;野菜のおかかかけ;（こも）;けんちん汁（豆腐25＋醤油）","牛乳;ホキ;チーズ;かつお節;だし削り節;油揚げ;豆腐","米;マヨネーズ;ごま油;こんにゃく;じゃがいも","人参;小松菜;もやし;ごぼう;大根;ねぎ","751","17.7","30.7","9","中学校","中野区中野4-8-17","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"26","火","炒めそばの五目あんかけ","牛乳","人参サラダ（ツナ缶別だし）;もちもちポテト","豚肉;いか;海老;牛乳;まぐろ（油漬）","中華めん;油;砂糖;でん粉;ごま油;ごま;じゃがいも;ながいも","生姜;にんにく;人参;椎茸;筍;玉ねぎ;白菜;チンゲンサイ;もやし;キャベツ;らっきょう","732","16.7","31.8","9","中学校","中野区中野4-8-18","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"27","水","ご飯","牛乳","豚肉の柳川風;大根のゆかり和え;すまし汁（フリー）","牛乳;豚肉;蒸しかまぼこ;卵;だし削り節;豆腐;わかめ","米;油;砂糖","椎茸;人参;ごぼう;玉ねぎ;みつば;大根;ゆかり;ねぎ","749","17.2","25","9","中学校","中野区中野4-8-19","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"28","木","胚芽バンズパン","牛乳","かぼちゃのコロッケ;コールスローサラダ;オニオンスープ","牛乳;豚挽き肉;脱脂粉乳;卵;ベーコン","胚芽丸パン;マッシュポテト;油;バター;小麦粉;パン粉","かぼちゃ;玉ねぎ;人参;キャベツ;パセリ","801","14.9","32","9","中学校","中野区中野4-8-20","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"29","金","ご飯","牛乳","鯖の文化干し（70g）;チンゲンサイの生姜醤油かけ;みたらし団子（小）;味噌汁（フリー②）","牛乳;塩さば;だし削り節;だし昆布;味噌;油揚げ","米;白玉粉;上新粉;砂糖;でん粉","チンゲンサイ;人参;生姜;玉ねぎ;大根;えのきたけ;にら","830","17.3","26.6","9","中学校","中野区中野4-8-21","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"2","月","ガーリックライス","牛乳","鶏肉のディアブル;コロコロベジタブル;マカロニスープ","牛乳;鶏肉;卵;チーズ;ベーコン","米;パン粉;油;砂糖;マカロニ","にんにく;大根;きゅうり;人参;コーン缶;玉ねぎ;りんご;キャベツ;しめじ;小松菜","806","15.5","30","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"3","火","麦ご飯","牛乳","四川味噌豆腐;ひじきのナムル（ごまなし）;いわちく炒め","牛乳;豚挽き肉;味噌;豆腐;ひじき;竹輪;田作り","米;大麦;ごま油;砂糖;でん粉;油;ごま","生姜;にんにく;人参;筍;椎茸;ザーサイ（漬物）;ねぎ;もやし;小松菜","794","18.9","29.2","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"4","水","ご飯","牛乳","手作りさつま揚げ(2個）;茹で野菜４;すまし汁（フリー）","牛乳;たら;いわしすり身;昆布;味噌;卵;だし削り節;豆腐;はんぺん","米;砂糖;でん粉;やまいも;ごま;油","人参;ごぼう;ねぎ;生姜;しそ;大根;きゅうり;コーン缶;椎茸;小松菜;みつば","765","16.4","26.9","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"5","木","焼きホットドッグ","牛乳","じゃが芋のオランダ煮;ボイルキャベツ;梨","ウインナー;牛乳;ベーコン;豚肉;チーズ","コッペパン（無塩）;油;じゃがいも","人参;玉ねぎ;冷凍いんげん;キャベツ;梨","776","15.6","37.6","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","金","カレーピラフ","牛乳","白身魚のピカタ;グリーンサラダ（きゃピ）;野菜スープ（フリー２）","鶏肉;牛乳;ホキ;卵;チーズ;ベーコン","米;バター;油;小麦粉;砂糖;じゃがいも","玉ねぎ;人参;マッシュルーム;グリンピース（冷凍）;キャベツ;きゅうり;ピーマン;りんご;小松菜","722","18.6","26.4","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"11","水","青じそご飯","牛乳","ぎせい豆腐;切干し大根と青菜の和え物;味噌汁（フリー②）","牛乳;鶏肉;豆腐;卵;だし削り節;味噌","米;油;砂糖;でん粉;ごま;じゃがいも","かおり;筍;人参;椎茸;ねぎ;切り干し大根;小松菜;玉ねぎ;キャベツ","731","16.8","26","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"12","木","海の幸スパゲッティ","牛乳","じゃこ炒り茹で野菜（わかめ抜き）;スイートポテト","いか;海老;牛乳;ちりめんじゃこ;生クリーム;脱脂粉乳;卵","スパゲッティ;油;砂糖;さつまいも;バター","にんにく;玉ねぎ;トマト缶;マッシュルーム;パセリ;もやし;人参;小松菜","737","16.1","27","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","金","発芽玄米ご飯","牛乳","ししゃもの磯辺揚げ;野菜のからし醤油かけ;みそけんちん汁","牛乳;ししゃも;卵;青のり;だし削り節;油揚げ;豆腐;味噌","米;小麦粉;油;ごま油;じゃがいも","チンゲンサイ;人参;もやし;ごぼう;大根;ねぎ","733","14.8","29.5","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"16","月","ご飯","牛乳","豚肉の生姜焼き;ポテトサラダ（セルフ）;豆腐と青菜のスープ;ミニトマト（1粒）","牛乳;豚肉;だし削り節;豆腐;蒸しかまぼこ;だし昆布","米;砂糖;じゃがいも;油;マヨネーズ","生姜;人参;きゅうり;ねぎ;小松菜;ミニトマト","770","17.5","29.9","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"17","火","チキンカレー","牛乳","じゃこ入りビーンズサラダ;柿","鶏肉;牛乳;ちりめんじゃこ;ひよこまめ","米;大麦;油;じゃがいも;バター;小麦粉;砂糖","にんにく;生姜;玉ねぎ;人参;りんご;トマト缶;グリンピース（冷凍）;キャベツ;きゅうり;枝豆（冷凍）;柿","833","14.5","26.4","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"18","水","ご飯","牛乳","鯖の味噌煮;お浸し（フリー）;かきたま汁;②","牛乳;さば;味噌;かつお節;だし削り節;豆腐;卵","米;砂糖;でん粉","生姜;ねぎ;人参;緑豆もやし;キャベツ;小松菜","808","17.8","28.1","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"19","木","醤油ラーメン","牛乳","大根ときゅうりの中華風あえもの;肉蒸しパン","焼き豚;なると;うずら卵;牛乳;卵;豚挽き肉","中華めん;油;ごま油;砂糖;ごま;小麦粉;でん粉","生姜;にんにく;玉ねぎ;人参;コーン缶;チンゲンサイ;大根;きゅうり;椎茸;筍","787","15.7","30.9","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"20","金","かて飯","牛乳","鶏肉と芋の揚げ煮;もやしとコーンのおかかかけ","油揚げ;牛乳;鶏肉;かつお節","米;大麦;こんにゃく;砂糖;でん粉;油;じゃがいも","椎茸;人参;ごぼう;小松菜;生姜;ピーマン;もやし;きゅうり;コーン缶","773","14.8","29.2","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"23","月","ご飯","牛乳","和風ハンバーグおろしソースがけ;野菜の胡麻和え;味噌汁③","牛乳;豚挽き肉;鶏肉;卵;おから;だし削り節;豆腐;味噌","米;バター;でん粉;ごま;砂糖;じゃがいも","玉ねぎ;人参;大根;ほうれん草;もやし;えのきたけ;ねぎ","738","17.1","27.4","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"24","火","ご飯","牛乳","いかのバター焼き;磯びたし（キャベツ・小松菜）;小魚と大豆のカリカリ揚げ;秋野菜汁（さつま芋入り）","牛乳;いか;のり;大豆;田作り;だし削り節;油揚げ;味噌","米;バター;でん粉;油;砂糖;ごま;さつまいも","生姜;キャベツ;小松菜;ごぼう;人参;大根;しめじ;ねぎ","761","19","23.8","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"25","水","田舎うどん","牛乳","和風ツナサラダ;焼きおにぎり（味噌だれ）","だし削り節;鶏肉;油揚げ;竹輪;牛乳;まぐろ（油漬）;味噌","うどん;油;砂糖;米;ごま","人参;ごぼう;椎茸;ねぎ;小松菜;キャベツ;きゅうり;りんご;玉ねぎ","765","14.5","22.1","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"26","木","ぶどうパン","牛乳","ピザ風ココット蒸し;じゃがバタコーン;野菜スープ（フリー２）","牛乳;豚挽き肉;卵;チーズ","ぶどうパン;油;バター;じゃがいも","にんにく;玉ねぎ;マッシュルーム;ピーマン;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ;パセリ;コーン缶;人参;セロリー;小松菜","699","17","33.1","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"27","金","栗ご飯","牛乳","魚の黄金焼き;キャベツのサッと和え;豆腐団子汁","牛乳;鮭;豆腐;だし昆布;だし削り節;鶏肉;油揚げ","むき栗;米;もち米;マヨネーズ;白玉粉","生姜;キャベツ;大根;人参;ねぎ;小松菜","759","18.2","22.4","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"30","月","じゃこ入りチャーハン（卵あり）","牛乳","ビックリ春巻;大豆もやしナムル;わかめスープ;（卵なし）","ちりめんじゃこ;卵;なると;牛乳;チーズ;鰆;だし削り節;豆腐;わかめ","米;大麦;油;春巻きの皮;ごま油;砂糖","ねぎ;キャベツ;人参;生姜;大豆もやし;小松菜","798","17.9","33.9","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"31","火","パンプキンパンコッペ","牛乳","ビーンズシチュー(白）;コールスローサラダ（ノンオイル）;りんご","牛乳;豚肉;ベーコン;脱脂粉乳;大豆","パンプキンパンコッペ;じゃがいも;バター;油;小麦粉;砂糖","人参;玉ねぎ;パセリ;マッシュルーム;キャベツ;りんご","717","15.7","34.1","10","中学校","中野区中野4-8-1","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"1","水","ご飯","牛乳","豚肉の中華焼き;ビーフンソテー;中華スープ８","牛乳;豚肉;鶏肉;だし削り節;豆腐","米;ごま油;油;ビーフン","ねぎ;生姜;人参;筍;キャベツ;ピーマン;えのきたけ;きくらげ","748","18","24.4","11","中学校","中野区中野4-8-2","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"2","木","菜飯（大根葉）","牛乳","鯖の煮おろしがけ;もやしとコーンのおかかかけ;味噌汁（フリー①）","牛乳;さば;かつお節;だし削り節;味噌","米;ごま;でん粉;里芋","大根葉;大根;葉ねぎ;もやし;きゅうり;コーン缶;人参;ごぼう;しめじ;ねぎ;白菜","735","17.6","27.2","11","中学校","中野区中野4-8-3","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"6","月","ご飯","牛乳","ツナニラ玉;野菜ナムル;青梗菜としめじのスープ","牛乳;まぐろ（油漬）;卵;鶏肉","米;油;ごま油;砂糖;でん粉;ごま","ねぎ;椎茸;にら;もやし;人参;きゅうり;生姜;にんにく;しめじ;チンゲンサイ","746","16.7","30.5","11","中学校","中野区中野4-8-4","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"7","火","スパゲッティボンゴレ","牛乳","じゃこ入りビーンズサラダ;マドレーヌ","ベーコン;あさり;牛乳;ちりめんじゃこ;ひよこまめ;卵","スパゲッティ;油;バター;砂糖;小麦粉;マーガリン","にんにく;玉ねぎ;人参;ピーマン;マッシュルーム;パセリ;キャベツ;きゅうり;枝豆（冷凍）;レモン","733","16.3","35","11","中学校","中野区中野4-8-5","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"8","水","ご飯","牛乳","豆腐のカレー煮;キャベツの甘酢かけ;柿（１/６)","牛乳;豆腐;豚挽き肉","米;油;じゃがいも;砂糖;でん粉;ごま油","にんにく;生姜;人参;玉ねぎ;筍;椎茸;グリンピース（冷凍）;キャベツ;柿","736","15","24.1","11","中学校","中野区中野4-8-6","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"9","木","キャロットライス","牛乳","ローストチキン;カラフルサラダ;野菜のポタージュ","牛乳;鶏肉","米;大麦;バター;砂糖;油;じゃがいも","人参;にんにく;玉ねぎ;ブロッコリー;きゅうり;ピーマン;クリームコーン缶;パセリ","800","15.8","30.8","11","中学校","中野区中野4-8-7","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"10","金","押し麦ご飯","牛乳","いかのかりんと揚げ;じゃが芋のそぼろ煮２/３②;味噌汁（フリー②）","牛乳;いか;豚挽き肉;だし削り節;味噌","米;大麦;でん粉;油;じゃがいも;砂糖","生姜;玉ねぎ;人参;椎茸;冷凍さやえんどう;白菜;小松菜","719","15.9","21.9","11","中学校","中野区中野4-8-8","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"13","月","チャンポン","牛乳","大学芋;花みかん","豚肉;いか;なると;うずら卵;牛乳","中華めん;油;ごま油;さつまいも;砂糖;水あめ;ごま","にんにく;生姜;人参;キャベツ;もやし;ねぎ;にら;みかん","722","14","29.9","11","中学校","中野区中野4-8-9","","139.663737226103","35.7068716920706","区立中学校標準献立表"
"14","火","かやくご飯","牛乳","鰆の西京焼き;切干大根の炒め煮②;すまし汁（フリー２）","鶏肉;油揚げ;牛乳;鰆;味噌;さつま揚げ;だし削り節;豆腐","米;砂糖;こんにゃく;油","椎茸;人参;グリンピース（冷凍）;切り干し大根;さやいんげん;えのきたけ;ねぎ;小松菜","730","20","26.8","11","中学校","中野区中野4-8-10","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"15","水","ご飯","牛乳","豆腐のつくねきのこあんかけ;野菜のごま和え;味噌汁（野菜・油揚げ）","牛乳;鶏肉;脱脂粉乳;豆腐;卵;だし削り節;油揚げ;味噌","米;でん粉;砂糖;ごま;じゃがいも","ねぎ;生姜;人参;えのきたけ;しめじ;ほうれん草;もやし;大根","730","15.9","25.3","11","中学校","中野区中野4-8-11","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"16","木","ビスキューイパン","牛乳","ポークビーンズ;チキンサラダ","卵;牛乳;大豆;豚肉;鶏肉","バンズパン;バター;砂糖;小麦粉;油;じゃがいも","玉ねぎ;人参;セロリー;ﾄﾏﾄﾋﾟｭｰﾚｰ;グリンピース（冷凍）;キャベツ;きゅうり","714","18.3","34.4","11","中学校","中野区中野4-8-12","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"17","金","吹き寄せご飯","牛乳","茶碗蒸し（ささみ）;一口がんもの含め煮;味噌汁9","鶏肉;牛乳;卵;だし鰹節;蒸しかまぼこ;がんもどき;だし削り節;だし煮干;味噌","むき栗;米;油;銀杏;砂糖","生姜;人参;椎茸;冷凍いんげん;しめじ;みつば;大根;玉ねぎ;小松菜","724","17.5","28","11","中学校","中野区中野4-8-13","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"20","月","オムライス","牛乳","フレンチサラダ２;ベーコンスープ","鶏肉;卵;牛乳;ベーコン;豆腐","米;バター;砂糖;油","トマトジュース;玉ねぎ;しめじ;グリンピース（冷凍）;人参;キャベツ;きゅうり;りんご;セロリー;小松菜;生姜","738","14.4","30","11","中学校","中野区中野4-8-14","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"21","火","ご飯","牛乳","小魚のガーリック揚げ;野菜の味噌ドレッシングかけ;けんちん汁（豆腐25＋醤油）","牛乳;わかさぎ;味噌;だし削り節;油揚げ;豆腐","米;小麦粉;でん粉;油;砂糖;ごま油;こんにゃく;じゃがいも","生姜;にんにく;キャベツ;もやし;きゅうり;人参;ごぼう;大根;ねぎ","735","14.3","28","11","中学校","中野区中野4-8-15","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"22","水","豊作うどん;（鶏肉）","牛乳","水菜とツナの和え物②;五平もち","鶏肉;だし削り節;油揚げ;牛乳;まぐろ（油漬）;味噌","うどん;油;こんにゃく;里芋;砂糖;米;もち米;ごま","人参;玉ねぎ;大根;椎茸;ねぎ;小松菜;水菜;きゅうり","742","14.4","23.8","11","中学校","中野区中野4-8-16","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"24","金","ご飯","牛乳","珍珠丸子;海藻サラダ;②;ウースータン","牛乳;豚挽き肉;卵;海藻サラダ;鶏肉;豆腐","米;パン粉;でん粉;もち米;油;砂糖;ごま油","生姜;椎茸;玉ねぎ;白菜;きゅうり;人参;筍;ねぎ;チンゲンサイ","835","15.9","26.4","11","中学校","中野区中野4-8-17","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"27","月","コーン茶飯","牛乳","鶏味噌おでん;磯びたし（キャベツ・小松菜）","だし昆布;牛乳;だし削り節;昆布;生揚げ;うずら卵;鶏肉;味噌;のり","米;大麦;里芋;こんにゃく;砂糖;油","コーン缶;大根;人参;生姜;キャベツ;小松菜","720","15.4","25.6","11","中学校","中野区中野4-8-18","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"28","火","ソフトフランスパン","牛乳","ポテトグラタン;スティック野菜;ミネストローネ（芋なし）","牛乳;鶏肉;海老;生クリーム;チーズ;ベーコン","ソフトフランス;油;じゃがいも;小麦粉;バター;マカロニ","玉ねぎ;マッシュルーム;パセリ;大根;きゅうり;人参;にんにく;セロリー;キャベツ;トマト缶;ﾄﾏﾄﾋﾟｭｰﾚｰ","776","15.5","36.9","11","中学校","中野区中野4-8-19","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"29","水","高野豆腐入りそぼろご飯","牛乳","魚の香味焼き;かぶときゅうりの浅漬け;豚汁２;りんご（1/6）","鶏肉;高野豆腐;牛乳;鮭;豚肉;だし削り節;豆腐;味噌","米;大麦;油;砂糖;ごま;ごま油;こんにゃく;じゃがいも","生姜;人参;ねぎ;椎茸;グリンピース（冷凍）;かぶ;きゅうり;かぶ（葉）;ごぼう;大根;玉ねぎ;さやいんげん;りんご","752","21.6","24.8","11","中学校","中野区中野4-8-20","","139.66351618299","35.7076643503608","区立中学校標準献立表"
"30","木","キムチチャーハン","牛乳","揚げ餃子;じゃこ入り茹で野菜（わかめ抜き）;わかめ入りスープ","豚肉;牛乳;豚挽き肉;ちりめんじゃこ;だし削り節;わかめ;豆腐","米;大麦;油;ごま油;ぎょうざの皮;砂糖;でん粉;ごま","人参;ピーマン;キムチ;にんにく;生姜;にら;キャベツ;ねぎ;もやし;玉ねぎ;小松菜","807","16.1","32.3","11","中学校","中野区中野4-8-21","","139.66351618299","35.7076643503608","区立中学校標準献立表"
