NO,名称,名称_カナ,住所,方書,緯度,経度,標高（ｍ）,電話番号,内線番号,市区町村コード,都道府県名,市区町村名,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_高潮,災害種別_地震,災害種別_津波,災害種別_大規模な火事,災害種別_内水氾濫,災害種別_火山現象,指定避難所との重複,想定収容人数,対象となる町会・自治会,URL,備考
0000000032,大岡山小学校,オオオカヤマショウガッコウ,東京都目黒区平町 2-3-1,,35.615482,139.683004,37.6 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000033,中根小学校,ナカネショウガッコウ,東京都目黒区緑が丘 1-1-1,,35.612410,139.678527,24.5 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000034,第十一中学校,ダイジュウイチチュウガッコウ,東京都目黒区緑が丘 1-8-1,,35.609469,139.679024,28.6 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000035,緑ヶ丘小学校,ミドリガオカショウガッコウ,東京都目黒区緑が丘 2-13-1,,35.610299,139.673449,24.5 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000036,宮前小学校,ミヤマエショウガッコウ,東京都目黒区八雲 3-13-21,,35.615365,139.666880,28.4 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000037,めぐろ区民キャンパス,メグロクミンキャンパス,東京都目黒区八雲 1-1-１,,35.621542,139.672741,37.6 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000038,都立桜修館中等教育学校,トリツオウシュウカンチュウトウキョウイクガッコウ,東京都目黒区八雲 1-1-2,,35.621198,139.670993,37.6 ,,,131105,東京都,目黒区,,,,◯,,,,,,,,,
0000000039,八雲小学校,ヤクモショウガッコウ,東京都目黒区八雲 2-5-1,,35.618062,139.671255,28.2 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000040,第十中学校,ダイジュウチュウガッコウ,東京都目黒区八雲 5-2-1,,35.624320,139.668677,37.9 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
0000000041,東根小学校,ヒガシネショウガッコウ,東京都目黒区東が丘 1-20-1,,35.627158,139.668027,39.0 ,,,131105,東京都,目黒区,◯,◯,,◯,,,◯,,,,,,
