NO,名称,名称_カナ,住所,緯度,経度,電話番号,市区町村コード,災害種別_洪水,災害種別_崖崩れ、土石流及び地滑り,災害種別_地震(火災),指定避難所との重複,想定収容人数,対象となる地区,備考
41,一の谷小学校校庭,イチノタニショウガッコウコウテイ,東京都あきる野市引田980,35.71994,139.272106,559-4501,132284,,,1,　,7401,西秋留,
42,一の谷小学校体育館,イチノタニショウガッコウタイイクカン,東京都あきる野市引田980,35.720716,139.272344,559-4501,132284,,1,1,1,364,西秋留,
43,西中学校校庭,ニシチュウガッコウコウテイ,東京都あきる野市上代継190,35.729566,139.27787,558-6260,132284,,,1,　,16160,西秋留,
44,西中学校体育館,ニシチュウガッコウタイイクカン,東京都あきる野市上代継190,35.730092,139.277174,558-6260,132284,1,1,1,1,600,西秋留,
45,西秋留小学校校庭,ニシアキルショウガッコウコウテイ,東京都あきる野市上代継292,35.72324,139.276374,558-1127,132284,,,1,　,10821,西秋留,
46,西秋留小学校体育館,ニシアキルショウガッコウタイイクカン,東京都あきる野市上代継292,35.72314,139.27731,558-1127,132284,1,1,1,1,358,西秋留,
47,若葉児童館,ワカバジドウカン,東京都あきる野市上代継303-5,35.723188,139.277674,559-3967,132284,1,1,1,　,100,西秋留,
48,千代里会館,チヨサトカイカン,東京都あきる野市上代継424,35.720815,139.277704,-,132284,1,1,1,　,175,西秋留,
49,代継会館,ヨツギカイカン,東京都あきる野市上代継693-1,35.718869,139.280228,-,132284,,1,1,　,50,西秋留,
50,油平クラブハウス,アブラダイクラブハウス,東京都あきる野市油平92-7,35.726655,139.287551,559-7531,132284,1,1,1,　,76,西秋留,
51,あきる野ルピア３・４F,アキルノルピアサン・ヨンカイ,東京都あきる野市秋川1-8,35.729943,139.287079,550-4700,132284,1,1,1,1,624,西秋留,
52,秋川キララホール,アキガワキララホール,東京都あきる野市秋川1-16-1,35.731116,139.288312,559-7500,132284,,,,,280,西秋留,※ロビー、エントランス部分、※帰宅困難者一時受け入れ施設
53,山田グラウンド,ヤマダグランド,東京都あきる野市山田1-1,35.722229,139.257705,596-4075,132284,,,1,　,8230,増戸,
54,森の下公園,モリノシタコウエン,東京都あきる野市伊奈851-2,35.729252,139.255804,-,132284,,,1,　,3290,増戸,
55,五日市ファインプラザ,イツカイチファインプラザ,東京都あきる野市伊奈859-3,35.729316,139.255367,596-5611,132284,1,1,1,1,1000,増戸,※帰宅困難者一時受け入れ施設
56,増戸会館,マスコカイカン,東京都あきる野市伊奈1157-5,35.727456,139.247595,596-0109,132284,1,1,1,　,50,増戸,
57,増戸小学校校庭,マスコショウガッコウコウテイ,東京都あきる野市伊奈1173,35.727838,139.248499,596-0240,132284,,,1,　,9429,増戸,
58,増戸小学校体育館,マスコショウガッコウタイイクカン,東京都あきる野市伊奈1173,35.727507,139.248027,596-0240,132284,1,1,1,1,373,増戸,
59,増戸中学校校庭,マスコチュウガッコウコウテイ,東京都あきる野市伊奈1181,35.727864,139.249507,596-0241,132284,,,1,　,8131,増戸,
60,増戸中学校体育館,マスコチュウガッコウタイイクカン,東京都あきる野市伊奈1181,35.72799,139.250411,596-0241,132284,1,1,1,1,494,増戸,
61,五日市小学校校庭,イツカイチショウガッコウコウテイ,東京都あきる野市五日市315,35.731321,139.222369,596-0017,132284,,,1,　,9646,五日市,
62,五日市小学校体育館,イツカイチショウガッタイイクカン,東京都あきる野市五日市315,35.731525,139.222975,596-0017,132284,1,1,1,1,463,五日市,
63,五日市中学校校庭,イツカイチチュウガッコウコウテイ,東京都あきる野市五日市400,35.729953,139.221355,596-0173,132284,,,1,　,11104,五日市,
64,五日市中学校体育館,イツカイチチュウガッコウタイイクカン,東京都あきる野市五日市400,35.73092,139.221505,596-0173,132284,1,,1,1,569,五日市,
65,五日市地域交流センター,イツカイチチイキコウリュウセンター,東京都あきる野市五日市411,35.729395,139.219959,558-1111,132284,1,1,1,1,480,五日市,※帰宅困難者一時受け入れ施設
66,五日市会館,イツカイチカイカン,東京都あきる野市五日市412,35.729793,139.220094,558-1111,132284,1,1,1,1,510,五日市,
67,都立五日市高等学校校庭,トリツイツカイチコウトウガッコウコウテイ,東京都あきる野市五日市894,35.729385,139.218807,-,132284,,,1,　,10680,五日市,
68,小和田グラウンド,コワダグラウンド,東京都あきる野市小和田8,35.722955,139.227264,596-1599,132284,,,1,　,43883,五日市,
69,都立小峰公園,トリツコミネコウエン,東京都あきる野市留原284-1,35.721067,139.231397,595-0400,132284,,,1,　,3317,五日市,
70,小峰運動公園,コミネウンドウコウエン,東京都あきる野市小峰台11,35.720923,139.235503,-,132284,,,1,　,10035,五日市,
71,戸倉会館,トクラカイカン,東京都あきる野市戸倉133-4,35.726125,139.20471,-,132284,1,,1,　,50,戸倉,
72,アートスタジオ五日市,アートスタジオイツカイチ,東京都あきる野市戸倉300,35.727076,139.203973,595-2649,132284,1,,1,　,44,戸倉,
73,戸倉しろやまテラスグラウンド,トクラシロヤマテラスグラウンド,東京都あきる野市戸倉325,35.725763,139.204292,595-1234,132284,,,1,　,4497,戸倉,
74,戸倉しろやまテラス体育館,トクラシロヤマテラスタイイクカン,東京都あきる野市戸倉325,35.725528,139.203936,595-1234,132284,1,1,1,1,378,戸倉,
75,戸倉運動場,トクラウンドウジョウ,東京都あきる野市戸倉611-1,35.729824,139.199074,-,132284,,,1,　,6744,戸倉,
76,ふるさと工房五日市,フルサトコウボウイツカイチ,東京都あきる野市乙津671,35.723416,139.179061,596-6000,132284,1,1,1,1,282,小宮,
77,小宮ふるさと自然体験学校校庭,コミヤフルサトシゼンタイケンガッコウコウテイ,東京都あきる野市乙津1984,35.733999,139.1835,596-0414,132284,,,1,　,2950,小宮,
78,小宮ふるさと自然体験学校2・3F,コミヤフルサトシゼンタイケンガッコウニ・サンカイ,東京都あきる野市乙津1984,35.734153,139.183366,596-0414,132284,1,1,1,1,380,小宮,※帰宅困難者一時受け入れ施設
79,小宮ふるさと自然体験学校体育館,コミヤフルサトシゼンタイケンガッコウタイイクカン,東京都あきる野市乙津1984,35.734221,139.18401,596-0414,132284,1,1,1,1,392,小宮,
80,小宮会館,コミヤカイカン,東京都あきる野市乙津1997,35.733729,139.18302,-,132284,1,1,1,　,50,小宮,
81,養沢センター,ヨウザワセンター,東京都あきる野市養沢290-1,35.746541,139.185548,596-2151,132284,,,1,　,1000,小宮,
