"施設名称","施設郵便番号","施設所在地","施設方書","確認日","確認番号","施設種別"
"ポニークリーニング乃木坂店","107-0052","東京都港区赤坂九丁目5番26号","パレ乃木坂102号","2009/3/26","20港み生環き第183号","取次所"
"株式会社白洋舍　ザ・リッツ・カールトン東京工場","107-0052","東京都港区赤坂九丁目7番1号","地下3階","2007/3/5","18港み生環き第117号","一般"
"東京ミッドタウン・レジデンシイズ","107-0052","東京都港区赤坂九丁目7番2号","ミッドタウンイースト 13階","2007/2/22","18港み生環き第133号","取次所"
"東京ミッドタウン　４５Ｒ店","107-0052","東京都港区赤坂九丁目7番4号","D-112","2019/5/7","31港み生環き第15号","取次所"
"オークウッドプレミア東京ミッドタウン","107-0052","東京都港区赤坂九丁目7番4号",,"2021/2/19","2港み生環き第205号","取次所"
"ザ・パーク・レジデンシィズ・アット・ザ・リッツ・カールトン東京","107-0052","東京都港区赤坂九丁目7番7号","東京ミッドタウン","2015/7/21","27港み生環き第80号","取次所"
"株式会社岩崎ランドリー","106-0045","東京都港区麻布十番一丁目6番4号","岩崎ビル1階","2021/5/12","3港み生環き第15号","一般"
"スワローチェーン　麻布十番店","106-0045","東京都港区麻布十番一丁目11番11号","亀澤堂ビル 2階","2008/12/25","20港み生環き第146号","取次所"
"ハイクラウンクリーニング麻布店","106-0045","東京都港区麻布十番二丁目8番17号","本善寺ビル1階","2022/7/8","4港み生環き第41号","取次所"
"アクシア　フォレスタ麻布","106-0045","東京都港区麻布十番二丁目11番5号",,"2006/8/21","18港み生環き第80号","取次所"
"ポニークリーニング麻布十番２丁目店","106-0045","東京都港区麻布十番二丁目13番9号","クレスト麻布1階","2011/4/26","23港み生環き第7号","取次所"
"ポニークリーニング仙台坂下店","106-0045","東京都港区麻布十番三丁目13番4号",,"2011/2/14","22港み生環き第164号","取次所"
"ジャヌ東京　ランドリー室","106-0041","東京都港区麻布台一丁目1番10号","麻布台ヒルズレジデンスA 地下1階","2024/3/6","5港み生環き第117号","一般"
"麻布台ヒルズレジデンスＡ","106-0041","東京都港区麻布台一丁目2番1号","麻布台ヒルズレジデンスA2階","2023/12/4","5港み生環き第177号","取次所"
"ユナイテッドアローズ　麻布台ヒルズ　ウィメンズストア","106-0041","東京都港区麻布台一丁目3番1号","麻布台ヒルズ タワープラザ2階","2023/11/20","5港み生環き第163号","取次所"
"アマンレジデンス東京","106-0041","東京都港区麻布台一丁目3番2号","アマンレジデンス東京56階","2023/10/11","5港み生環き第125号","取次所"
"セブンーイレブン港区飯倉店","106-0041","東京都港区麻布台一丁目9番8号",,"2008/6/4","20港み生環き第32号","取次所"
"麻布台パークハウス","106-0041","東京都港区麻布台二丁目1番2号",,"2011/3/9","22港み生環き第186号","取次所"
"グランスイート麻布台ヒルトップタワー","106-0041","東京都港区麻布台三丁目5番3号",,"2014/3/19","25港み生環き第188号","取次所"
"ブランズ麻布狸穴町","106-0042","東京都港区麻布狸穴町47番地1",,"2014/1/30","25港み生環き第166号","取次所"
"ウェリス麻布狸穴","106-0042","東京都港区麻布狸穴町60番地1",,"2016/9/15","28港み生環き第110号","取次所"
"虎ノ門ヒルズ　レジデンシャルタワー","105-0002","東京都港区愛宕一丁目1番1号","1階","2022/2/28","3港み生環き第243号","取次所"
"虎ノ門ヒルズ　レジデンシャルタワー","105-0002","東京都港区愛宕一丁目1番1号","42階","2022/2/28","3港み生環き第244号","取次所"
"ミニストップ愛宕１丁目店","105-0002","東京都港区愛宕一丁目3番4号","愛宕東洋ビル 1階","2013/7/29","25港み生環き第68号","取次所"
"愛宕グリーンヒルズ　フォレストタワー","105-0002","東京都港区愛宕二丁目3番1号",,"2009/4/28","21港み生環き第6号","取次所"
"ラ・トゥール汐留","105-0022","東京都港区海岸一丁目1番1号","ラ・トゥール汐留 2階","2014/10/24","26港み生環き第134号","取次所"
"ブリリアタワー浜離宮","105-0022","東京都港区海岸一丁目6番1号","1階","2023/10/20","5港み生環き第128号","取次所"
"スカイハウス浜離宮","105-0022","東京都港区海岸一丁目9番15号","13階","2019/6/21","31港み生環き第47号","取次所"
"メズム東京オートグラフコレクション（ｍｅｓｍ　Ｔｏｋｙｏ，Ａｕｔｏｇｒａｐｈ　Ｃｏｌｌｅｃｔｉｏｎ）","105-0022","東京都港区海岸一丁目10番30号","WATERS takeshiba 高層棟15階","2020/4/10","31港み生環き第292号","取次所"
"東京ポートシティ竹芝　レジデンスタワー　フロントコンシェルジュ","105-0022","東京都港区海岸一丁目13番15号","3階","2021/2/8","2港み生環き第202号","取次所"
"ローレルタワールネ浜松町","105-0022","東京都港区海岸二丁目5番1号","6階","2020/2/21","31港み生環き第244号","取次所"
"セブンイレブン港区汐彩橋店","108-0022","東京都港区海岸三丁目3番20号",,"2012/1/24","23港み生環き第132号","取次所"
"セブンーイレブン港区海岸３丁目店","108-0022","東京都港区海岸三丁目7番20号",,"2013/9/3","25港み生環き第73号","取次所"
"麻布十番ドライ（有）芝浦支店","108-0022","東京都港区海岸三丁目9番40号",,"1993/4/30","5港芝総衛環き第8号","一般"
"伊藤忠ユニダス","107-0061","東京都港区北青山二丁目5番1号","伊藤忠ビル 2階","2001/8/10","13港み生環き第46号","取次所"
"ホテル　アラマンダ青山","107-0061","東京都港区北青山二丁目7番13号","プラセオ青山ビル2階","2020/2/4","31港み生環き第211号","取次所"
"Ｗｅｌｌｉｔｈ　Ｏｎｅ　Ａｏｙａｍａ","107-0061","東京都港区北青山二丁目12番44号",,"2019/10/23","31港み生環き第157号","取次所"
"クリーニングショップトモエ　青山店","107-0061","東京都港区北青山三丁目3番7号",,"1996/2/29","7港赤総衛環き第37号","取次所"
"クラス青山","107-0061","東京都港区北青山三丁目4番3号","1階","2020/6/8","2港み生環き第55号","取次所"
"パラシオ青山","107-0061","東京都港区北青山三丁目6番10号","パラシオ青山 1階","2013/7/16","25港み生環き第58号","取次所"
"紀ノ国屋　青山店","107-0061","東京都港区北青山三丁目11番7号","Aoビル地下1階","2021/4/16","2港み生環き第232号","取次所"
"ＪＲ東日本リネン（株）品川派出","108-0075","東京都港区港南二丁目1番34号",,"2016/10/12","28港み生環き第121号","取次所"
"セブンイレブン品川駅港南口店","108-0075","東京都港区港南二丁目5番3号",,"2006/7/26","18港み生環き第70号","取次所"
"ストリングスホテル東京インターコンチネンタル","108-0075","東京都港区港南二丁目16番1号","27階","2020/4/9","31港み生環き第290号","取次所"
"品川Ｖタワー","108-0075","東京都港区港南二丁目16番7号","タワー2階","2006/7/6","18港み生環き第53号","取次所"
"品川Ｖタワーレセプションデスク","108-0075","東京都港区港南二丁目16番7号","品川Vタワー2階","2007/8/31","19港み生環き第53号","取次所"
"ストーリア品川","108-0075","東京都港区港南二丁目16番8号",,"2011/4/18","23港み生環き第6号","取次所"
"コスモポリス品川","108-0075","東京都港区港南三丁目6番21号","1階","2005/3/24","16港み生環き第125号","取次所"
"フェイバリッチタワー品川フロントサービス","108-0075","東京都港区港南三丁目7番16号",,"2008/1/17","19港み生環き第111号","取次所"
"フェイバリッチタワー品川","108-0075","東京都港区港南三丁目7番16号",,"2013/6/17","25港み生環き第38号","取次所"
"ベイクレストタワー","108-0075","東京都港区港南三丁目9番33号",,"2005/12/8","17港み生環き第115号","取次所"
"ウエリスアーバン品川タワー","108-0075","東京都港区港南四丁目1番6号","ウエリスアーバン品川タワー1階","2022/12/22","4港み生環き第153号","取次所"
"ポニークリーニング港南店","108-0075","東京都港区港南四丁目2番6号","シティタワー品川104","2007/11/1","19港み生環き第74号","取次所"
"シティタワー品川","108-0075","東京都港区港南四丁目2番7号","1階","2019/2/7","30港み生環き第181号","取次所"
"ワールドシティタワーズ","108-0075","東京都港区港南四丁目6番3号","アクアタワー 1階","2015/4/30","27港み生環き第14号","取次所"
"ブリーズタワーＢ１棟１階","108-0075","東京都港区港南四丁目6番5号","ワールドシティタワーズブリーズタワー 1階","2015/4/30","27港み生環き第15号","取次所"
"キャピタルタワーＣ１棟２階","108-0075","東京都港区港南四丁目6番7号","ワールドシティタワーズキャピタルタワー 2階","2015/4/30","27港み生環き第16号","取次所"
"ＴＯＫＹＯ　ＳＥＡ　ＳＯＵＴＨ　ブランファーレ","108-0075","東京都港区港南四丁目7番55号","1階","2015/5/28","27港み生環き第43号","取次所"
"東京シーサウスブランファーレ","108-0075","東京都港区港南四丁目7番55号",,"2008/8/4","20港み生環き第72号","取次所"
"Ｆ．Ａ．クリーニングクレストプライムタワー芝","105-0014","東京都港区芝一丁目2番1号","1階","2008/3/19","19港み生環き第134号","取次所"
"ヴィラフォンテーヌ東京浜松町","105-0014","東京都港区芝一丁目6番5号",,"2007/3/12","18港み生環き第147号","取次所"
"くれたけインプレミアム浜松町","105-0014","東京都港区芝一丁目8番18号","1階","2013/10/24","25港み生環き第120号","取次所"
"セブンイレブン港区芝１丁目店","105-0014","東京都港区芝一丁目12番7号","芝1丁目ビル1階","2020/1/27","31港み生環き第204号","取次所"
"クリーニング　セキネ","105-0014","東京都港区芝二丁目15番15号",,"1995/3/20","6港芝総衛環き第70号","取次所"
"ポニークリーニング芝２丁目店","105-0014","東京都港区芝二丁目16番1号","川上ビル1階","2006/6/30","18港み生環き第55号","取次所"
"クリーニングセブンフォーセブン","105-0014","東京都港区芝二丁目18番4号","鳥塚ビル1階","2023/3/31","4港み生環き第227号","一般"
"スーパーホテル東京・芝","105-0014","東京都港区芝二丁目31番17号","1階","2018/8/8","30港み生環き第70号","取次所"
"ラ・トゥール芝公園","105-0014","東京都港区芝三丁目8番2号",,"2006/1/23","17港み生環き第139号","取次所"
"（株）ダスキン木村","105-0014","東京都港区芝三丁目13番1号","MKビルディング 2階","2004/7/2","16港み生環き第41号","取次所"
"クイックリフォームサービス赤羽橋店","105-0014","東京都港区芝三丁目15番13号",,"2021/2/19","2港み生環き第209号","取次所"
"マルコシ","105-0014","東京都港区芝三丁目17番15号",,"1982/6/19","57港芝保衛環き第20号","取次所"
"ポニークリーニング芝３丁目店","105-0014","東京都港区芝三丁目20番4号","大月ビル1階","2019/1/8","30港み生環き第158号","取次所"
"パークハウス　芝タワー","105-0014","東京都港区芝三丁目21番10号","パークハウス 芝タワー 1階 (クリコム)","2004/10/25","16港み生環き第83号","取次所"
"パークハウス芝タワー","105-0014","東京都港区芝三丁目21番10号",,"2017/2/20","28港み生環き第187号","取次所"
"ホテル　ザ　セレスティン　東京芝","105-0014","東京都港区芝三丁目23番1号",,"2015/9/8","27港み生環き第107号","取次所"
"クリーンポーター","105-0014","東京都港区芝三丁目27番3号","ウェルハウス芝101号室","2009/11/6","21港み生環き第103号","取次所"
"芝パーク・タワー","105-0014","東京都港区芝三丁目34番1号",,"2020/10/14","2港み生環き第113号","取次所"
"アパホテル＜三田駅前＞","108-0014","東京都港区芝四丁目4番8号",,"2014/12/24","26港み生環き第160号","取次所"
"東洋ランドリー芝店","108-0014","東京都港区芝四丁目5番9号","1階","2015/1/14","26港み生環き第168号","取次所"
"セブンイレブン港区芝フロントビル店","108-0014","東京都港区芝四丁目11番3号","芝フロントビル 1階","2015/1/16","26港み生環き第170号","取次所"
"ＦＡクリーニング　カテリーナ　三田タワースイート","108-0014","東京都港区芝四丁目16番1号","2階","2006/11/9","18港み生環き第102号","取次所"
"東洋ランドリー株式会社","108-0014","東京都港区芝四丁目18番3号",,"2005/6/16","17港み生環き第33号","一般"
"トータルクリーニング　グレイス","108-0014","東京都港区芝五丁目3番5号",,"2003/4/4","15港み生環き第3号","取次所"
"グランド・ガーラ三田","108-0014","東京都港区芝五丁目4番1号",,"2017/11/24","29港み生環き第65号","取次所"
"グランド・ガーラ三田","108-0014","東京都港区芝五丁目4番1号","1階","2019/2/25","30港み生環き第190号","取次所"
"ポニークリーニング芝５丁目店","108-0014","東京都港区芝五丁目15番1号","河村ビル1階","2008/1/11","19港み生環き第110号","取次所"
"ローソン芝浦シーバンス前","105-0023","東京都港区芝浦一丁目3番2号","モアグランデ浜松町 1階","2018/1/16","29港み生環き第188号","取次所"
"ローソン芝浦シーバンス前店","105-0023","東京都港区芝浦一丁目3番2号",,"2018/11/30","30港み生環き第135号","取次所"
"チサンホテル浜松町","105-0023","東京都港区芝浦一丁目3番10号",,"2016/6/21","28港み生環き第42号","取次所"
"グローバルフロントタワー","105-0023","東京都港区芝浦一丁目6番41号","1階","2016/2/9","27港み生環き第192号","取次所"
"東洋ランドリー芝浦店","105-0023","東京都港区芝浦一丁目12番2号","YKMビル 1階","2014/9/22","26港み生環き第102号","取次所"
"株式会社エンジョイフォーラム","105-0023","東京都港区芝浦一丁目13番10号",,"2013/5/13","25港み生環き第19号","一般"
"にじのそら保育園　芝浦","105-0023","東京都港区芝浦一丁目14番6号","BSビル1階","2018/11/14","30港み生環き第110号","取次所"
"ローソン芝浦二丁目","108-0023","東京都港区芝浦二丁目4番1号","インフォサイエンスビル 1階","2013/8/28","25港み生環き第82号","取次所"
"パークタワー芝浦ベイワード　アーバンウィング","108-0023","東京都港区芝浦二丁目6番11号","受付フロント 1階","2015/5/14","27港み生環き第30号","取次所"
"ブランズタワー芝浦","108-0023","東京都港区芝浦二丁目9番1号",,"2022/1/7","3港み生環き第188号","取次所"
"ポニークリーニング　芝浦２丁目店","108-0023","東京都港区芝浦二丁目14番7号","加藤ビル 1階","2007/5/24","19港み生環き第13号","取次所"
"株式会社白洋舍　芝浦チェーン店","108-0023","東京都港区芝浦二丁目14番17号",,"2006/10/12","18港み生環き第90号","取次所"
"はとやランドリー","108-0023","東京都港区芝浦二丁目15番3号",,"2007/9/14","19港み生環き第60号","一般"
"プルマン東京田町","108-0023","東京都港区芝浦三丁目1番21号",,"2018/9/21","30港み生環き第89号","取次所"
"国際クリーニング　田町店","108-0023","東京都港区芝浦三丁目4番1号",,"1996/10/4","8港芝総衛環き第37号","取次所"
"静鉄ホテルプレジオ東京田町","108-0023","東京都港区芝浦三丁目6番18号",,"2020/5/11","2港み生環き第4号","取次所"
"ホテルグレイスリー田町","108-0023","東京都港区芝浦三丁目8番1号",,"2008/10/14","20港み生環き第102号","取次所"
"セブンイレブン港区芝浦３なぎざ通り店","108-0023","東京都港区芝浦三丁目11番8号",,"2017/5/30","28港み生環き第206号","取次所"
"トップクリーニング","108-0023","東京都港区芝浦三丁目13番9号",,"2020/10/12","2港み生環き第142号","取次所"
"相鉄フレッサイン東京田町","108-0023","東京都港区芝浦三丁目14番21号",,"2012/10/30","24港み生環き第113号","取次所"
"ポニークリーニング芝浦３丁目店","108-0023","東京都港区芝浦三丁目20番2号","山楽ビル101号室","2011/10/31","23港み生環き第87号","取次所"
"ヴィラフォンテーヌグランド東京田町","108-0023","東京都港区芝浦四丁目2番8号",,"2007/3/15","18港み生環き第149号","取次所"
"ナチュラルローソン芝浦海岸通","108-0023","東京都港区芝浦四丁目13番23号","MSビル 1階","2013/3/5","24港み生環き第177号","取次所"
"プラウドタワー芝浦","108-0023","東京都港区芝浦四丁目15番1号","プラウドタワー芝浦1階","2023/3/7","4港み生環き第205号","取次所"
"セブンーイレブン　芝浦４丁目店","108-0023","東京都港区芝浦四丁目15番33号","芝浦清水ビル 1階","2013/9/4","25港み生環き第90号","取次所"
"クリーニングヨシダ　芝浦店","108-0023","東京都港区芝浦四丁目16番14号",,"2018/10/4","30港み生環き第103号","取次所"
"芝浦アイランドケープタワー","108-0023","東京都港区芝浦四丁目19番1号",,"2007/8/28","19港み生環き第50号","取次所"
"ドレスエステ","108-0023","東京都港区芝浦四丁目20番2号","芝浦アイランドブルームタワー 2階","2008/9/24","20港み生環き第100号","取次所"
"白洋舎芝浦ピーコックサービス店","108-0023","東京都港区芝浦四丁目22番2号","ピーコックストア1階","2018/8/29","30港み生環き第81号","取次所"
"国際クリーニング　ピーコックストア芝浦アイランド店","108-0023","東京都港区芝浦四丁目22番2号","ピーコックストア芝浦アイランド内","2022/8/31","4港み生環き第52号","取次所"
"国際クリーニング　芝公園店","105-0011","東京都港区芝公園二丁目3番9号","パークレジデンス芝公園 1階","2006/6/23","18港み生環き第41号","取次所"
"ラ・トゥール芝公園　２","105-0011","東京都港区芝公園二丁目11番1号",,"2006/1/16","17港み生環き第140号","取次所"
"東京プリンスホテルランドリー","105-0011","東京都港区芝公園三丁目3番1号",,"1971/8/30","第6号","一般"
"ザ・プリンスパークタワー東京","105-0011","東京都港区芝公園四丁目8番1号","地下2階","2005/3/24","16港み生環き第132号","一般"
"京王プレッソイン浜松町","105-0012","東京都港区芝大門一丁目1番26号","(1階)","2017/12/11","29港み生環き第159号","取次所"
"相鉄フレッサイン浜松町大門","105-0012","東京都港区芝大門一丁目2番7号","1階","2014/12/24","26港み生環き第166号","取次所"
"京急ＥＸイン浜松町・大門駅前","105-0012","東京都港区芝大門一丁目15番4号",,"2019/3/25","30港み生環き第216号","取次所"
"ポニークリーニング　芝大門店","105-0012","東京都港区芝大門二丁目9番17号","戸部ビル 1階","2004/10/15","16港み生環き第80号","取次所"
"ローソン港白金","108-0072","東京都港区白金一丁目1番12号","内野マンション 1階","2018/1/16","29港み生環き第187号","取次所"
"ローソン港白金","108-0072","東京都港区白金一丁目1番12号",,"2018/11/30","30港み生環き第134号","取次所"
"白金ザ・スカイ","108-0072","東京都港区白金一丁目2番2号",,"2023/2/1","4港み生環き第194号","取次所"
"白洋舍　白金チェーン店","108-0072","東京都港区白金一丁目8番9号",,"1978/9/6","53港芝保衛環き第36号","取次所"
"（有）佐々木クリーニング店","108-0072","東京都港区白金一丁目12番18号",,"1998/2/10","9港芝総衛環き第75号","一般"
"白金タワー","108-0072","東京都港区白金一丁目17番1号",,"2017/11/30","29港み生環き第63号","取次所"
"白金タワー","108-0072","東京都港区白金一丁目17番1号",,"2019/2/22","30港み生環き第191号","取次所"
"田中ランドリー","108-0072","東京都港区白金一丁目25番9号",,"2002/8/16","14港み生環き第55号","一般"
"株式会社クリーンショップ保科","108-0072","東京都港区白金一丁目25番12号",,"2004/5/24","16港み生環き第11号","一般"
"ポニークリーニング白金１丁目店","108-0072","東京都港区白金一丁目25番29号","1階","2018/3/7","29港み生環き第225号","取次所"
"クリーニング白金","108-0072","東京都港区白金一丁目25番31号",,"2004/9/10","16港み生環き第71号","取次所"
"横手クリーニング","108-0072","東京都港区白金二丁目1番11号",,"1998/7/14","10港み生環き第48号","一般"
"高輪デュープレックスＣ’ｓ","108-0072","東京都港区白金二丁目3番23号",,"2011/4/18","23港み生環き第5号","取次所"
"レジオン白金クロス　フロント","108-0072","東京都港区白金二丁目5番10号",,"2019/8/27","31港み生環き第95号","取次所"
"ザ・パークハウス白金２丁目タワー","108-0072","東京都港区白金二丁目5番20号",,"2019/8/27","31港み生環き第94号","取次所"
"翠翔舎","108-0072","東京都港区白金三丁目1番7号","K&G510ハウス102号","2017/6/30","29港み生環き第49号","取次所"
"スワローチェーン　三光坂店","108-0072","東京都港区白金三丁目11番12号",,"2007/11/20","19港み生環き第82号","取次所"
"（有）丸善ランドリー商会","108-0072","東京都港区白金三丁目19番8号",,"2000/3/21","11港み生環き第181号","一般"
"丸屋クリーニング","108-0072","東京都港区白金三丁目22番5号",,"1968/5/24","第6号","一般"
"（有）クリーニングヨシダ白金４丁目店","108-0072","東京都港区白金四丁目10番28号","パークレ・ジェイド白金レジデンス1階","2023/3/22","4港み生環き第236号","取次所"
"クリーニングスズキ","108-0072","東京都港区白金五丁目7番13号",,"1989/10/16","元港芝総衛環き第40号","取次所"
