都道府県別 ・ 男女別，立川市への転入者数,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
地　　域,2014年総数,2014年男,2014年女,2015年総数,2015年男,2015年女,2016年総数,2016年男,2016年女,2017年総数,2017年男,2017年女,2018年総数,2018年男,2018年女,2019年総数,2019年男,2019年女,2020年総数,2020年男,2020年女,2021年総数,2021年男,2021年女
島根県,22,16,6,12,4,8,12,8,4,18,8,10,20,13,7,15,6,9,5,2,3,10,5,5
岡山県,37,17,20,35,20,15,41,21,20,25,11,14,40,19,21,49,21,28,40,20,20,27,10,17
広島県,85,39,46,58,31,27,72,39,33,74,45,29,78,41,37,61,36,25,61,26,35,59,27,32
山口県,28,17,11,43,19,24,25,14,11,30,10,20,40,16,24,17,8,9,36,17,19,28,15,13
徳島県,9,4,5,9,7,2,21,16,5,11,7,4,14,8,6,10,4,6,15,7,8,11,6,5
香川県,29,12,17,20,9,11,22,6,16,25,11,14,23,13,10,16,10,6,29,15,14,13,6,7
愛媛県,27,12,15,15,8,7,23,14,9,16,7,9,25,15,10,25,12,13,21,9,12,25,7,18
高知県,20,10,10,13,8,5,13,7,6,11,5,6,21,12,9,9,4,5,25,9,16,11,6,5
福岡県,127,70,57,126,67,59,172,91,81,162,78,84,147,79,68,152,87,65,136,69,67,126,76,50
佐賀県,17,10,7,9,7,2,21,10,11,19,10,9,22,11,11,21,12,9,21,14,7,19,10,9
長崎県,22,12,10,25,15,10,34,17,17,47,22,25,38,19,19,28,15,13,33,21,12,31,12,19
熊本県,37,13,24,28,17,11,38,19,19,40,20,20,41,17,24,31,16,15,23,9,14,34,15,19
大分県,25,10,15,16,10,6,9,4,5,22,11,11,20,11,9,27,11,16,23,9,14,27,14,13
宮崎県,34,12,22,38,19,19,30,14,16,22,12,10,39,16,23,35,15,20,18,8,10,24,14,10
鹿児島県,36,17,19,38,22,16,55,33,22,48,26,22,52,22,30,45,23,22,45,26,19,38,17,21
沖縄県,52,31,21,64,29,35,55,34,21,66,47,19,75,40,35,83,36,47,70,35,35,60,28,32
国外,571,252,319,592,314,278,686,365,321,826,395,431,986,508,478,989,572,417,519,273,246,267,132,135
従前の住所なし,2,1,1,5,2,3,2,1,1,- ,- ,- ,-,-,-,-,-,-,1,1,0,3,1,2
,,,,,,,,,,,,,,,,,,,,,,,,
資料：市民生活部市民課「住民基本台帳月報」,,,,,,,,,,,,,,,,,,,,,,,,
注：東京都の区部の人数及び市部の人数は、東京都の内数,,,,,,,,,,,,,,,,,,,,,,,,
