"運行ルート","行き先","停留所番号","停留所名","時刻1","時刻2","時刻3","時刻4","時刻5","時刻6","時刻7","時刻8","時刻9","時刻10","時刻11","時刻12","時刻13","時刻14","時刻15","時刻16","時刻17","時刻18","時刻19","時刻20","時刻21","時刻22","時刻23","時刻24","時刻25","時刻26","備考"
"麻布東ルート","港区役所","32","六本木けやき坂","7:47","8:17","8:47","9:17","9:47","10:17","10:47","11:17","11:47","12:17","12:47","13:17","13:47","14:17","14:47","15:17","15:47","16:17","16:47","17:17","17:47","18:17","18:47","19:17","19:47","20:17","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","92","鳥居坂下","7:51","8:21","8:51","9:21","9:51","10:21","10:51","11:21","11:51","12:21","12:51","13:21","13:51","14:21","14:51","15:21","15:51","16:21","16:51","17:21","17:51","18:21","18:51","19:21","19:51","20:21","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","106","麻布地区総合支所前","7:53","8:23","8:53","9:23","9:53","10:23","10:53","11:23","11:53","12:23","12:53","13:23","13:53","14:23","14:53","15:23","15:53","16:23","16:53","17:23","17:53","18:23","18:53","19:23","19:53","20:23","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","107","六本木五丁目","7:56","8:26","8:56","9:26","9:56","10:26","10:56","11:26","11:56","12:26","12:56","13:26","13:56","14:26","14:56","15:26","15:56","16:26","16:56","17:26","17:56","18:26","18:56","19:26","19:56","20:26","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","108","飯倉片町","7:57","8:27","8:57","9:27","9:57","10:27","10:57","11:27","11:57","12:27","12:57","13:27","13:57","14:27","14:57","15:27","15:57","16:27","16:57","17:27","17:57","18:27","18:57","19:27","19:57","20:27","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","108-2","東麻布三丁目","8:01","8:31","9:01","9:31","10:01","10:31","11:01","11:31","12:01","12:31","13:01","13:31","14:01","14:31","15:01","15:31","16:01","16:31","17:01","17:31","18:01","18:31","19:01","19:31","20:01","20:31","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","109","麻布いーすと通り","8:02","8:32","9:02","9:32","10:02","10:32","11:02","11:32","12:02","12:32","13:02","13:32","14:02","14:32","15:02","15:32","16:02","16:32","17:02","17:32","18:02","18:32","19:02","19:32","20:02","20:32","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","110","東麻布一丁目（東京タワー下）","8:04","8:34","9:04","9:34","10:04","10:34","11:04","11:34","12:04","12:34","13:04","13:34","14:04","14:34","15:04","15:34","16:04","16:34","17:04","17:34","18:04","18:34","19:04","19:34","20:04","20:34","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","111","虎ノ門五丁目","8:05","8:35","9:05","9:35","10:05","10:35","11:05","11:35","12:05","12:35","13:05","13:35","14:05","14:35","15:05","15:35","16:05","16:35","17:05","17:35","18:05","18:35","19:05","19:35","20:05","20:35","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","112","神谷町駅前","8:06","8:36","9:06","9:36","10:06","10:36","11:06","11:36","12:06","12:36","13:06","13:36","14:06","14:36","15:06","15:36","16:06","16:36","17:06","17:36","18:06","18:36","19:06","19:36","20:06","20:36","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","113","御成門北","8:08","8:38","9:08","9:38","10:08","10:38","11:08","11:38","12:08","12:38","13:08","13:38","14:08","14:38","15:08","15:38","16:08","16:38","17:08","17:38","18:08","18:38","19:08","19:38","20:08","20:38","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","114","御成門中学校","8:09","8:39","9:09","9:39","10:09","10:39","11:09","11:39","12:09","12:39","13:09","13:39","14:09","14:39","15:09","15:39","16:09","16:39","17:09","17:39","18:09","18:39","19:09","19:39","20:09","20:39","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"
"麻布東ルート","港区役所","68-2","港区役所北","8:12","8:42","9:12","9:42","10:12","10:42","11:12","11:42","12:12","12:42","13:12","13:42","14:12","14:42","15:12","15:42","16:12","16:42","17:12","17:42","18:12","18:42","19:12","19:42","20:12","20:42","港区役所北で乗車したまま、六本木けやき坂方面へ乗り継ぐことができます。"

"ちぃばす時刻表　麻布東ルート（平日）","Ver202204",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
