"年月［西暦］","回収方法","種類","回収量[kg]","対前年同月比[%]"
201610,"集積所回収","資源プラスチック",205210,-7
201610,"集積所回収","古紙",576400,-8
201610,"集積所回収","びん・缶",346825,
201610,"集積所回収","4%減",,
201610,"集積所回収","ペットボトル",91990,-2
201610,"拠点回収","紙パック",180,-10
201610,"拠点回収","使用済み乾電池",0,"-"
201610,"拠点回収","使用済み小型家電製品",131,-19
201610,"拠点回収","古着",5068,+17
201610,"拠点回収","蛍光灯",19,+58
201610,"拠点回収","ペットボトルキャップ",64,+77
201610,"拠点回収","廃食用油",0,"-"
201610,"ピックアップ回収","金属製品等(不燃ごみからの回収)",43590,+2
201610,"ピックアップ回収","コード類(不燃ごみからの回収)",1578,-53
201610,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1890,-10
201610,"ピックアップ回収","金属製品等(粗大ごみからの回収)",28360,+57
201610,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201610,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201610,"ピックアップ回収","木材(粗大ごみからの回収)",24060,"-"
201611,"集積所回収","資源プラスチック",210570,+1
201611,"集積所回収","古紙",579280,-1
201611,"集積所回収","びん・缶",352710,
201611,"集積所回収","2%増",,
201611,"集積所回収","ペットボトル",83140,+3
201611,"拠点回収","紙パック",140,"-"
201611,"拠点回収","使用済み乾電池",2030,+6
201611,"拠点回収","使用済み小型家電製品",82,-56
201611,"拠点回収","古着",3811,-28
201611,"拠点回収","蛍光灯",6,+100
201611,"拠点回収","ペットボトルキャップ",27,-17
201611,"拠点回収","廃食用油",0,"-"
201611,"ピックアップ回収","金属製品等(不燃ごみからの回収)",42680,+3
201611,"ピックアップ回収","コード類(不燃ごみからの回収)",2844,-3
201611,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",3155,+10
201611,"ピックアップ回収","金属製品等(粗大ごみからの回収)",27080,+60
201611,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201611,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201611,"ピックアップ回収","木材(粗大ごみからの回収)",29850,"-"
201612,"集積所回収","資源プラスチック",222750,-5
201612,"集積所回収","古紙",693890,-3
201612,"集積所回収","びん・缶",393481,-1
201612,"集積所回収","ペットボトル",85220,+4
201612,"拠点回収","紙パック",150,-7
201612,"拠点回収","使用済み乾電池",0,"-"
201612,"拠点回収","使用済み小型家電製品",97,-17
201612,"拠点回収","古着",4460,+12
201612,"拠点回収","蛍光灯",22,+37
201612,"拠点回収","ペットボトルキャップ",43,-18
201612,"拠点回収","廃食用油",0,"-"
201612,"ピックアップ回収","金属製品等(不燃ごみからの回収)",50060,+24
201612,"ピックアップ回収","コード類(不燃ごみからの回収)",2674,-25
201612,"ピックアップ回収","蛍光灯(不燃ごみからの回収)",1058,-43
201612,"ピックアップ回収","金属製品等(粗大ごみからの回収)",27230,+41
201612,"ピックアップ回収","羽毛布団(粗大ごみからの回収)",0,"-"
201612,"ピックアップ回収","ふとん(粗大ごみからの回収)",0,"-"
201612,"ピックアップ回収","木材(粗大ごみからの回収)",26210,"-"
201701,"集積所回収","資源プラスチック",221250,-5
201701,"集積所回収","古紙",609580,-2
201701,"集積所回収","びん・缶",407461,-1
201701,"集積所回収","ペットボトル",79170,"-"
201701,"拠点回収","紙パック",160,6
201701,"拠点回収","使用済み乾電池",0,"-"
201701,"拠点回収","使用済み小型家電製品",132,-17
201701,"拠点回収","古着",2890,16
201701,"拠点回収","蛍光灯",10,-67
201701,"拠点回収","ペットボトルキャップ",63,65
201701,"拠点回収","廃食用油",0,"-"
201701,"ピックアップ回収","金属製品等（不燃ごみからの回収）",47480,12
201701,"ピックアップ回収","コード類（不燃ごみからの回収）",4537,24
201701,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",3649,10
201701,"ピックアップ回収","金属製品等（粗大ごみからの回収）",23290,83
201701,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201701,"ピックアップ回収","ふとん（粗大ごみからの回収）",0,"-"
201701,"ピックアップ回収","木材（粗大ごみからの回収）　※1",18110,"-"
201702,"集積所回収","資源プラスチック",189720,-11
201702,"集積所回収","古紙",506650,-9
201702,"集積所回収","びん・缶",330824,-6
201702,"集積所回収","ペットボトル",75850,-3
201702,"拠点回収","紙パック",90,-31
201702,"拠点回収","使用済み乾電池",0,"-"
201702,"拠点回収","使用済み小型家電製品",128,1
201702,"拠点回収","古着",2740,4
201702,"拠点回収","蛍光灯",3,-40
201702,"拠点回収","ペットボトルキャップ",60,2
201702,"拠点回収","廃食用油",0,"-"
201702,"ピックアップ回収","金属製品等（不燃ごみからの回収）",43050,9
201702,"ピックアップ回収","コード類（不燃ごみからの回収）",2852,-14
201702,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",2456,-31
201702,"ピックアップ回収","金属製品等（粗大ごみからの回収）",28340,74
201702,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201702,"ピックアップ回収","ふとん（粗大ごみからの回収）",0,"-"
201702,"ピックアップ回収","木材（粗大ごみからの回収）　※1",28420,"-"
201703,"集積所回収","資源プラスチック",221760,-5
201703,"集積所回収","古紙",638780,-5
201703,"集積所回収","びん・缶",373643,-1
201703,"集積所回収","ペットボトル",88660,3
201703,"拠点回収","紙パック",80,-39
201703,"拠点回収","使用済み乾電池",1363,"-"
201703,"拠点回収","使用済み小型家電製品",146,-6
201703,"拠点回収","古着",2096,-47
201703,"拠点回収","蛍光灯",8,"-"
201703,"拠点回収","ペットボトルキャップ",43,126
201703,"拠点回収","廃食用油",0,"-"
201703,"ピックアップ回収","金属製品等（不燃ごみからの回収）",42980,12
201703,"ピックアップ回収","コード類（不燃ごみからの回収）",2960,-4
201703,"ピックアップ回収","蛍光灯（不燃ごみからの回収）",2597,-46
201703,"ピックアップ回収","金属製品等（粗大ごみからの回収）",30610,52
201703,"ピックアップ回収","羽毛布団（粗大ごみからの回収）",0,"-"
201703,"ピックアップ回収","ふとん（粗大ごみからの回収）",0,"-"
201703,"ピックアップ回収","木材（粗大ごみからの回収）　※1",33160,"-"

"平成28年度　資源回収量【速報値】","Ver201703",,,
