"町丁目","総合支所","平成23年度調査区域面積[ha]","平成28年度調査区域面積[平方メートル]","平成28年度調査区域面積[ha]","平成23年度緑被地面積[平方メートル]","平成28年度緑被地面積[平方メートル]","緑被地面積増減(H23→H28)[平方メートル]","平成23年度緑被率[％]","平成28年度緑被率[％]","緑被地面積増減率[％]","緑被率増減(H23→H28)[ポイント]"
"浜松町一丁目","芝地区","8.81 ","88,070 ","8.81 ","2,999 ","3,774 ","775","3.41 ","4.29 ","0.88","0.88"
"浜松町二丁目","芝地区","8.41 ","81,920 ","8.19 ","5,230 ","4,382 ","-848","6.22 ","5.35 ","-1.04","-0.87"
"芝大門一丁目","芝地区","8.40 ","83,987 ","8.40 ","8,049 ","7,692 ","-357","9.58 ","9.16 ","-0.42","-0.42"
"芝大門二丁目","芝地区","6.87 ","68,694 ","6.87 ","2,056 ","1,971 ","-85","2.99 ","2.87 ","-0.12","-0.12"
"芝公園一丁目","芝地区","6.99 ","69,868 ","6.99 ","16,483 ","13,313 ","-3170","23.59 ","19.05 ","-4.54","-4.54"
"芝公園二丁目","芝地区","9.86 ","98,629 ","9.86 ","19,299 ","16,147 ","-3152","19.57 ","16.37 ","-3.2","-3.2"
"芝公園三丁目","芝地区","22.02 ","220,166 ","22.02 ","78,285 ","74,019 ","-4267","35.56 ","33.62 ","-1.94","-1.94"
"芝公園四丁目","芝地区","26.47 ","264,685 ","26.47 ","133,640 ","134,063 ","423","50.49 ","50.65 ","0.16","0.16"
"虎ノ門一丁目","芝地区","13.00 ","130,034 ","13.00 ","6,245 ","10,322 ","4,077","4.80 ","7.94 ","3.14","3.14"
"虎ノ門二丁目","芝地区","12.78 ","127,810 ","12.78 ","18,189 ","8,553 ","-9636","14.23 ","6.69 ","-7.54","-7.54"
"虎ノ門三丁目","芝地区","12.66 ","126,632 ","12.66 ","20,066 ","21,022 ","956","15.85 ","16.60 ","0.75","0.75"
"虎ノ門四丁目","芝地区","8.54 ","85,123 ","8.51 ","20,592 ","19,611 ","-981","24.10 ","23.04 ","-1.15","-1.06"
"虎ノ門五丁目","芝地区","7.86 ","78,623 ","7.86 ","13,629 ","18,132 ","4,503","17.34 ","23.06 ","5.73","5.73"
"愛宕一丁目","芝地区","3.65 ","36,549 ","3.65 ","16,014 ","15,077 ","-937","43.81 ","41.25 ","-2.56","-2.56"
"愛宕二丁目","芝地区","4.08 ","40,767 ","4.08 ","17,562 ","19,446 ","1,884","43.08 ","47.70 ","4.62","4.62"
"麻布狸穴町","麻布地区","2.00 ","19,978 ","2.00 ","5,802 ","4,940 ","-862","29.04 ","24.73 ","-4.31","-4.31"
"麻布永坂町","麻布地区","5.05 ","50,477 ","5.05 ","22,672 ","23,681 ","1,009","44.92 ","46.91 ","2.00","2.00"
"南麻布一丁目","麻布地区","15.89 ","158,876 ","15.89 ","22,105 ","21,785 ","-319","13.91 ","13.71 ","-0.2","-0.2"
"南麻布二丁目","麻布地区","14.31 ","143,078 ","14.31 ","12,115 ","13,571 ","1,456","8.47 ","9.48 ","1.02","1.02"
"南麻布三丁目","麻布地区","19.25 ","192,488 ","19.25 ","40,485 ","41,284 ","799","21.03 ","21.45 ","0.42","0.42"
"南麻布四丁目","麻布地区","26.17 ","261,656 ","26.17 ","82,005 ","79,828 ","-2177","31.34 ","30.51 ","-0.83","-0.83"
"南麻布五丁目","麻布地区","23.32 ","233,184 ","23.32 ","86,909 ","84,869 ","-2041","37.27 ","36.40 ","-0.88","-0.88"
"元麻布一丁目","麻布地区","9.47 ","94,750 ","9.47 ","28,919 ","29,335 ","416","30.52 ","30.96 ","0.44","0.44"
"元麻布二丁目","麻布地区","14.11 ","141,104 ","14.11 ","26,717 ","27,111 ","394","18.93 ","19.21 ","0.28","0.28"
"元麻布三丁目","麻布地区","14.04 ","140,354 ","14.04 ","31,602 ","29,917 ","-1685","22.52 ","21.32 ","-1.2","-1.2"
"西麻布一丁目","麻布地区","9.38 ","93,777 ","9.38 ","5,519 ","6,157 ","638","5.89 ","6.57 ","0.68","0.68"
"西麻布二丁目","麻布地区","14.34 ","143,354 ","14.34 ","16,548 ","15,944 ","-604","11.54 ","11.12 ","-0.42","-0.42"
"西麻布三丁目","麻布地区","18.88 ","188,760 ","18.88 ","27,890 ","26,203 ","-1687","14.78 ","13.88 ","-0.89","-0.89"
"西麻布四丁目","麻布地区","16.97 ","169,713 ","16.97 ","28,403 ","28,677 ","274","16.74 ","16.90 ","0.16","0.16"
"六本木一丁目","麻布地区","15.08 ","151,165 ","15.12 ","45,857 ","53,194 ","7,338","30.40 ","35.19 ","4.85","4.79"
"六本木二丁目","麻布地区","7.40 ","73,981 ","7.40 ","23,561 ","24,082 ","520","31.85 ","32.55 ","0.70","0.70"
"六本木三丁目","麻布地区","18.90 ","188,970 ","18.90 ","18,998 ","16,964 ","-2033","10.05 ","8.98 ","-1.08","-1.08"
"六本木四丁目","麻布地区","9.48 ","94,804 ","9.48 ","13,682 ","9,752 ","-3930","14.43 ","10.29 ","-4.15","-4.15"
"六本木五丁目","麻布地区","20.32 ","203,207 ","20.32 ","47,484 ","46,549 ","-936","23.37 ","22.91 ","-0.46","-0.46"
"六本木六丁目","麻布地区","20.90 ","209,016 ","20.90 ","49,034 ","46,326 ","-2708","23.46 ","22.16 ","-1.3","-1.3"
"六本木七丁目","麻布地区","27.77 ","277,735 ","27.77 ","56,412 ","56,453 ","41","20.31 ","20.33 ","0.01","0.01"
"麻布台一丁目","麻布地区","12.27 ","122,742 ","12.27 ","23,095 ","22,551 ","-545","18.82 ","18.37 ","-0.44","-0.44"
"麻布台二丁目","麻布地区","5.78 ","57,759 ","5.78 ","15,635 ","15,180 ","-455","27.07 ","26.28 ","-0.79","-0.79"
"麻布台三丁目","麻布地区","3.79 ","37,895 ","3.79 ","3,734 ","4,003 ","269","9.85 ","10.56 ","0.71","0.71"
"麻布十番一丁目","麻布地区","5.67 ","56,656 ","5.67 ","2,981 ","3,022 ","41","5.26 ","5.33 ","0.07","0.07"
"麻布十番二丁目","麻布地区","6.68 ","66,832 ","6.68 ","3,675 ","3,657 ","-18","5.50 ","5.47 ","-0.03","-0.03"
"麻布十番三丁目","麻布地区","3.34 ","33,414 ","3.34 ","622 ","854 ","232","1.86 ","2.56 ","0.69","0.69"
"麻布十番四丁目","麻布地区","1.71 ","17,085 ","1.71 ","926 ","1,171 ","245","5.42 ","6.85 ","1.43","1.43"
"東麻布一丁目","麻布地区","9.09 ","90,873 ","9.09 ","6,755 ","6,670 ","-85","7.43 ","7.34 ","-0.09","-0.09"
"東麻布二丁目","麻布地区","10.07 ","100,702 ","10.07 ","6,641 ","7,391 ","750","6.59 ","7.34 ","0.74","0.74"
"東麻布三丁目","麻布地区","4.33 ","43,350 ","4.33 ","2,689 ","2,834 ","145","6.20 ","6.54 ","0.33","0.33"
"元赤坂一丁目","赤坂地区","8.78 ","92,986 ","9.30 ","7,987 ","12,331 ","4,344","9.10 ","13.26 ","4.67","4.16"
"元赤坂二丁目","赤坂地区","72.32 ","717,996 ","71.80 ","547,101 ","546,859 ","-242","75.65 ","76.16 ","-0.03","0.52"
"赤坂一丁目","赤坂地区","15.33 ","153,316 ","15.33 ","34,139 ","33,117 ","-1023","22.27 ","21.60 ","-0.67","-0.67"
"赤坂二丁目","赤坂地区","20.81 ","208,053 ","20.81 ","26,522 ","25,074 ","-1448","12.75 ","12.05 ","-0.7","-0.7"
"赤坂三丁目","赤坂地区","9.54 ","95,366 ","9.54 ","2,289 ","3,135 ","845","2.40 ","3.29 ","0.89","0.89"
"赤坂四丁目","赤坂地区","15.18 ","151,793 ","15.18 ","21,984 ","20,053 ","-1932","14.48 ","13.21 ","-1.27","-1.27"
"赤坂五丁目","赤坂地区","10.70 ","106,981 ","10.70 ","22,607 ","23,778 ","1,170","21.13 ","22.23 ","1.09","1.09"
"赤坂六丁目","赤坂地区","18.28 ","182,848 ","18.28 ","43,425 ","41,882 ","-1543","23.75 ","22.91 ","-0.84","-0.84"
"赤坂七丁目","赤坂地区","16.33 ","163,340 ","16.33 ","34,378 ","32,430 ","-1948","21.05 ","19.85 ","-1.19","-1.19"
"赤坂八丁目","赤坂地区","17.63 ","176,341 ","17.63 ","38,445 ","37,174 ","-1270","21.80 ","21.08 ","-0.72","-0.72"
"赤坂九丁目","赤坂地区","17.70 ","176,962 ","17.70 ","55,679 ","51,358 ","-4321","31.46 ","29.02 ","-2.44","-2.44"
"南青山一丁目","赤坂地区","16.46 ","164,558 ","16.46 ","37,465 ","37,410 ","-55","22.77 ","22.73 ","-0.03","-0.03"
"南青山二丁目","赤坂地区","50.22 ","509,427 ","50.94 ","199,328 ","199,564 ","236","39.69 ","39.17 ","0.05","-0.51"
"南青山三丁目","赤坂地区","12.88 ","128,809 ","12.88 ","12,337 ","11,480 ","-858","9.58 ","8.91 ","-0.67","-0.67"
"南青山四丁目","赤坂地区","20.72 ","207,220 ","20.72 ","42,915 ","42,424 ","-492","20.71 ","20.47 ","-0.24","-0.24"
"南青山五丁目","赤坂地区","16.26 ","162,617 ","16.26 ","17,677 ","15,673 ","-2003","10.87 ","9.64 ","-1.23","-1.23"
"南青山六丁目","赤坂地区","13.40 ","133,983 ","13.40 ","27,141 ","28,435 ","1,295","20.26 ","21.22 ","0.97","0.97"
"南青山七丁目","赤坂地区","9.95 ","99,456 ","9.95 ","18,059 ","14,087 ","-3972","18.16 ","14.16 ","-3.99","-3.99"
"北青山一丁目","赤坂地区","15.04 ","150,371 ","15.04 ","64,384 ","64,300 ","-84","42.82 ","42.76 ","-0.06","-0.06"
"北青山二丁目","赤坂地区","20.05 ","200,529 ","20.05 ","38,323 ","38,669 ","345","19.11 ","19.28 ","0.17","0.17"
"北青山三丁目","赤坂地区","15.12 ","151,248 ","15.12 ","31,846 ","32,855 ","1,008","21.06 ","21.72 ","0.67","0.67"
"三田四丁目","高輪地区","24.29 ","242,855 ","24.29 ","61,528 ","62,393 ","865","25.34 ","25.69 ","0.36","0.36"
"三田五丁目","高輪地区","11.52 ","115,158 ","11.52 ","11,399 ","10,591 ","-809","9.90 ","9.20 ","-0.7","-0.7"
"高輪一丁目","高輪地区","24.86 ","248,596 ","24.86 ","57,446 ","60,316 ","2,870","23.11 ","24.26 ","1.15","1.15"
"高輪二丁目","高輪地区","33.02 ","330,184 ","33.02 ","67,883 ","67,105 ","-778","20.56 ","20.32 ","-0.24","-0.24"
"高輪三丁目","高輪地区","43.62 ","436,155 ","43.62 ","116,030 ","116,676 ","646","26.60 ","26.75 ","0.15","0.15"
"高輪四丁目","高輪地区","31.47 ","314,673 ","31.47 ","76,542 ","75,906 ","-636","24.32 ","24.12 ","-0.2","-0.2"
"白金一丁目","高輪地区","13.55 ","135,543 ","13.55 ","13,924 ","13,849 ","-74","10.27 ","10.22 ","-0.05","-0.05"
"白金二丁目","高輪地区","15.48 ","154,777 ","15.48 ","52,317 ","50,334 ","-1982","33.80 ","32.52 ","-1.28","-1.28"
"白金三丁目","高輪地区","10.69 ","106,878 ","10.69 ","8,027 ","7,521 ","-505","7.51 ","7.04 ","-0.47","-0.47"
"白金四丁目","高輪地区","15.69 ","156,877 ","15.69 ","58,907 ","55,123 ","-3784","37.55 ","35.14 ","-2.41","-2.41"
"白金五丁目","高輪地区","9.70 ","97,030 ","9.70 ","10,262 ","8,449 ","-1813","10.58 ","8.71 ","-1.87","-1.87"
"白金六丁目","高輪地区","12.00 ","119,976 ","12.00 ","24,001 ","19,370 ","-4631","20.00 ","16.14 ","-3.86","-3.86"
"白金台一丁目","高輪地区","14.76 ","147,574 ","14.76 ","42,686 ","43,023 ","337","28.93 ","29.15 ","0.23","0.23"
"白金台二丁目","高輪地区","15.17 ","151,720 ","15.17 ","30,331 ","31,014 ","683","19.99 ","20.44 ","0.45","0.45"
"白金台三丁目","高輪地区","15.92 ","159,213 ","15.92 ","36,062 ","35,389 ","-674","22.65 ","22.23 ","-0.42","-0.42"
"白金台四丁目","高輪地区","16.16 ","161,583 ","16.16 ","44,974 ","42,787 ","-2187","27.83 ","26.48 ","-1.35","-1.35"
"白金台五丁目","高輪地区","36.28 ","362,830 ","36.28 ","240,117 ","239,137 ","-979","66.18 ","65.91 ","-0.27","-0.27"
"芝浦一丁目","芝浦港南地区","28.74 ","293,129 ","29.31 ","38,444 ","50,803 ","12,358","13.37 ","17.33 ","4.22","3.96"
"芝浦二丁目","芝浦港南地区","14.32 ","120,899 ","12.09 ","12,524 ","12,908 ","384","8.75 ","10.68 ","0.32","1.93"
"芝浦三丁目","芝浦港南地区","26.14 ","256,604 ","25.66 ","35,274 ","31,139 ","-4134","13.50 ","12.14 ","-1.61","-1.36"
"芝浦四丁目","芝浦港南地区","55.07 ","545,642 ","54.56 ","75,961 ","78,845 ","2,884","13.79 ","14.45 ","0.53","0.66"
"海岸二丁目","芝浦港南地区","16.40 ","149,630 ","14.96 ","9,967 ","11,815 ","1,848","6.08 ","7.90 ","1.24","1.82"
"海岸三丁目","芝浦港南地区","59.03 ","585,716 ","58.57 ","39,776 ","42,796 ","3,020","6.74 ","7.31 ","0.52","0.57"
"港南一丁目","芝浦港南地区","41.17 ","419,947 ","41.99 ","75,677 ","89,318 ","13,641","18.38 ","21.27 ","3.25","2.89"
"港南二丁目","芝浦港南地区","68.87 ","694,539 ","69.45 ","50,469 ","50,941 ","471","7.33 ","7.33 ","0.07","0.01"
"港南三丁目","芝浦港南地区","23.01 ","276,115 ","27.61 ","30,618 ","33,983 ","3,364","13.31 ","12.31 ","1.22","-1"
"港南四丁目","芝浦港南地区","42.30 ","418,815 ","41.88 ","120,864 ","127,984 ","7,120","28.57 ","30.56 ","1.70","1.99"
"港南五丁目","芝浦港南地区","44.09 ","441,237 ","44.12 ","28,407 ","31,594 ","3,187","6.44 ","7.16 ","0.72","0.72"
"台場一丁目","芝浦港南地区","42.56 ","427,153 ","42.72 ","165,727 ","168,360 ","2,633","38.94 ","39.41 ","0.62","0.47"
"台場二丁目","芝浦港南地区","22.36 ","223,641 ","22.36 ","39,108 ","37,693 ","-1414","17.49 ","16.85 ","-0.63","-0.63"

"※平成28年6月18日現在のデータである",,,,,,,,,,,
"※「調査区域面積」：東京都都市計画基本図データによる行政界図形面積",,,,,,,,,,,
"※「緑被地面積増減」は次式による：[平成28年度緑被地面積]－[平成23年度緑被地面積]",,,,,,,,,,,
"※「緑被地面積増減率は次式による：[緑被地面積増減]÷[調査区域面積]×100",,,,,,,,,,,
"※「緑被率増減」は次式による：[平成28年度緑被率]－[平成23年度緑被率]",,,,,,,,,,,
"※マイナス値：減少した数値",,,,,,,,,,,
"※面積は小数第1位、率は小数第3位を四捨五入により集計値が合わない場合がある",,,,,,,,,,,

"港区みどりの実態調査[第９次]町丁目別緑被地の推移","Ver201606",,,,,,,,,,
